Orthogroup	Pras	Pram
OG0000000	Pras.g_00493, Pras.g_00470	Pram.g_01511
OG0000000	Pras.g_00469, Pras.g_00117	Pram.g_01556, Pram.g_01512
OG0000001	Pras.g_00243	Pram.g_00873, Pram.g_00879
OG0000001	Pras.g_01554	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Pras.g_00541, Pras.g_00118, Pras.g_00120	Pram.g_00719
OG0000002	Pras.g_00235	Pram.g_01953, Pram.g_01954
OG0000004	Pras.g_00182, Pras.g_00471, Pras.g_00136	Pram.g_01513, Pram.g_01176
OG0000005	Pras.g_01638	Pram.g_01207
OG0000006	Pras.g_00163, Pras.g_01654, Pras.g_00004	Pram.g_01505, Pram.g_00621
OG0000008	Pras.g_01375	Pram.g_00433
OG0000008	Pras.g_00550	Pram.g_01632
OG0000009	Pras.g_00881	Pram.g_00602
OG0000010	Pras.g_01681	Pram.g_01164
OG0000010	Pras.g_01101	Pram.g_00237
OG0000011	Pras.g_01228	Pram.g_01723
OG0000011	Pras.g_01653	Pram.g_01529
OG0000012	Pras.g_01985	Pram.g_00259
OG0000013	Pras.g_00463, Pras.g_00956	Pram.g_00390, Pram.g_01284
OG0000015	Pras.g_01263	Pram.g_00359
OG0000016	Pras.g_00127	Pram.g_01545, Pram.g_00696
OG0000018	Pras.g_01474	Pram.g_00535, Pram.g_00542
OG0000019	Pras.g_01235, Pras.g_00539	Pram.g_00662, Pram.g_00618, Pram.g_01597
OG0000020	Pras.g_00246	Pram.g_01283
OG0000021	Pras.g_00886	Pram.g_01357, Pram.g_01580
OG0000022	Pras.g_01093, Pras.g_00148	Pram.g_00229
OG0000023	Pras.g_00507, Pras.g_01218	Pram.g_00794
OG0000024	Pras.g_00175	Pram.g_00629, Pram.g_01186
OG0000025	Pras.g_01645	Pram.g_01004, Pram.g_00765
OG0000026	Pras.g_00184	Pram.g_01561
OG0000029	Pras.g_01682	Pram.g_01189, Pram.g_01617
OG0000030	Pras.g_01683	Pram.g_01544, Pram.g_00644
OG0000031	Pras.g_00750	Pram.g_01841
