Orthogroup	Pras	Praw
OG0000000	Pras.g_00470	Praw.g_00455
OG0000000	Pras.g_00117	Praw.g_00496, Praw.g_00294, Praw.g_00454
OG0000001	Pras.g_00243	Praw.g_01009
OG0000001	Pras.g_01554	Praw.g_01844
OG0000002	Pras.g_00541	Praw.g_00497
OG0000002	Pras.g_00235	Praw.g_01000
OG0000003	Pras.g_00228	Praw.g_00924
OG0000003	Pras.g_00119	Praw.g_01390
OG0000004	Pras.g_00182	Praw.g_00959
OG0000004	Pras.g_00471	Praw.g_00457
OG0000004	Pras.g_00136	Praw.g_00495
OG0000005	Pras.g_01631	Praw.g_01775
OG0000005	Pras.g_01638	Praw.g_01769
OG0000006	Pras.g_00163	Praw.g_00945
OG0000006	Pras.g_01654	Praw.g_01754
OG0000006	Pras.g_00004	Praw.g_00184
OG0000007	Pras.g_00151	Praw.g_00928
OG0000007	Pras.g_01237	Praw.g_00750
OG0000008	Pras.g_01375	Praw.g_00651
OG0000008	Pras.g_00550	Praw.g_00515
OG0000010	Pras.g_01681	Praw.g_01717
OG0000010	Pras.g_01101	Praw.g_00884
OG0000011	Pras.g_01653	Praw.g_01755
OG0000012	Pras.g_01227	Praw.g_00758
OG0000013	Pras.g_00463	Praw.g_00447
OG0000013	Pras.g_00956	Praw.g_01330
OG0000014	Pras.g_01158	Praw.g_00828
OG0000015	Pras.g_01182	Praw.g_00804
OG0000016	Pras.g_00127	Praw.g_01738
OG0000017	Pras.g_00185	Praw.g_00962
OG0000017	Pras.g_01348	Praw.g_00677
OG0000018	Pras.g_01474	Praw.g_01944
OG0000019	Pras.g_01235	Praw.g_00752
OG0000020	Pras.g_00246	Praw.g_01012
OG0000021	Pras.g_00370	Praw.g_00357
OG0000022	Pras.g_01093, Pras.g_00148	Praw.g_01950
OG0000023	Pras.g_00507	Praw.g_00479
OG0000023	Pras.g_01218	Praw.g_00767
OG0000024	Pras.g_00175	Praw.g_00951
OG0000025	Pras.g_01645	Praw.g_01763
OG0000026	Pras.g_00184	Praw.g_00961, Praw.g_01782
OG0000027	Pras.g_01548	Praw.g_01850
OG0000029	Pras.g_01682	Praw.g_01716
OG0000030	Pras.g_01683	Praw.g_01715
OG0000031	Pras.g_00750	Praw.g_00032
OG0000032	Pras.g_00875	Praw.g_01395
OG0000033	Pras.g_01634	Praw.g_01773
OG0000034	Pras.g_00350	Praw.g_01083, Praw.g_01081
OG0000035	Pras.g_00464	Praw.g_00448
OG0000036	Pras.g_00001	Praw.g_00181
OG0000037	Pras.g_00179	Praw.g_00955
OG0000037	Pras.g_00508	Praw.g_00491
OG0000039	Pras.g_00855	Praw.g_01415
OG0000040	Pras.g_00176	Praw.g_00952
OG0000041	Pras.g_01499	Praw.g_00159
OG0000042	Pras.g_00797	Praw.g_01180
OG0000045	Pras.g_01462	Praw.g_01932
OG0000046	Pras.g_01662	Praw.g_01746
OG0000047	Pras.g_00056	Praw.g_00234
