Orthogroup	Pras	Prbe
OG0000000	Pras.g_00493, Pras.g_00470	Prbe.g_01119
OG0000000	Pras.g_00469, Pras.g_00117	Prbe.g_01052, Prbe.g_01120, Prbe.g_01586
OG0000001	Pras.g_00243	Prbe.g_01285, Prbe.g_01290
OG0000001	Pras.g_01554	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Pras.g_00541, Pras.g_00118, Pras.g_00120	Prbe.g_00112
OG0000002	Pras.g_00235	Prbe.g_00400
OG0000004	Pras.g_00182, Pras.g_00471, Pras.g_00136	Prbe.g_01587
OG0000005	Pras.g_01638	Prbe.g_01628
OG0000006	Pras.g_00163, Pras.g_01654, Pras.g_00004	Prbe.g_00081
OG0000008	Pras.g_01375	Prbe.g_00636
OG0000008	Pras.g_00550	Prbe.g_00985
OG0000010	Pras.g_01681	Prbe.g_01573
OG0000010	Pras.g_01101	Prbe.g_01802
OG0000011	Pras.g_01228	Prbe.g_01091
OG0000011	Pras.g_01653	Prbe.g_01054, Prbe.g_01133, Prbe.g_00025
OG0000012	Pras.g_01985	Prbe.g_01825
OG0000013	Pras.g_00463, Pras.g_00956	Prbe.g_00216
OG0000015	Pras.g_01263	Prbe.g_01921
OG0000016	Pras.g_00127	Prbe.g_01046, Prbe.g_01000
OG0000017	Pras.g_00185, Pras.g_01348	Prbe.g_01121, Prbe.g_00012
OG0000018	Pras.g_01474	Prbe.g_00536, Prbe.g_00529
OG0000019	Pras.g_01235, Pras.g_00539	Prbe.g_01024, Prbe.g_01130
OG0000020	Pras.g_00246	Prbe.g_01603, Prbe.g_00214
OG0000021	Pras.g_00886	Prbe.g_00290, Prbe.g_01040
OG0000022	Pras.g_01093, Pras.g_00148	Prbe.g_01794
OG0000023	Pras.g_00507, Pras.g_01218	Prbe.g_01208
OG0000024	Pras.g_00175	Prbe.g_00013, Prbe.g_01595
OG0000025	Pras.g_01645	Prbe.g_01415, Prbe.g_00449
OG0000029	Pras.g_01682	Prbe.g_01598, Prbe.g_01011
OG0000030	Pras.g_01683	Prbe.g_01003
OG0000031	Pras.g_00750	Prbe.g_00766
OG0000034	Pras.g_00350	Prbe.g_00311
OG0000035	Pras.g_00464, Pras.g_00538	Prbe.g_00678
OG0000036	Pras.g_00001	Prbe.g_00204
OG0000041	Pras.g_01499	Prbe.g_00511, Prbe.g_00196
OG0000045	Pras.g_01462	Prbe.g_00996, Prbe.g_00549
OG0000046	Pras.g_01662	Prbe.g_00220
OG0000047	Pras.g_00056	Prbe.g_01549
OG0000048	Pras.g_00096	Prbe.g_00158
OG0000048	Pras.g_00285	Prbe.g_00333
OG0000049	Pras.g_00291, Pras.g_00290	Prbe.g_00351
OG0000050	Pras.g_01017	Prbe.g_01714
OG0000051	Pras.g_01213	Prbe.g_00062
OG0000052	Pras.g_01285	Prbe.g_01027, Prbe.g_01021
OG0000053	Pras.g_01606	Prbe.g_01214
OG0000054	Pras.g_00543	Prbe.g_00007, Prbe.g_00993
OG0000055	Pras.g_00883, Pras.g_00743	Prbe.g_00774
OG0000056	Pras.g_00873	Prbe.g_00132
OG0000057	Pras.g_01008	Prbe.g_01705
OG0000058	Pras.g_01223	Prbe.g_00740
OG0000059	Pras.g_01416	Prbe.g_00596, Prbe.g_01114
OG0000062	Pras.g_01723	Prbe.g_01245
OG0000065	Pras.g_01089	Prbe.g_01789
OG0000066	Pras.g_01353	Prbe.g_00658
OG0000067	Pras.g_01574	Prbe.g_01206
OG0000070	Pras.g_01934	Prbe.g_01297
OG0000071	Pras.g_00150	Prbe.g_01522
OG0000072	Pras.g_00209	Prbe.g_00893
OG0000073	Pras.g_00882	Prbe.g_01025
OG0000073	Pras.g_00227	Prbe.g_00010
OG0000074	Pras.g_00272, Pras.g_00273, Pras.g_00271, Pras.g_00330	Prbe.g_00353
OG0000075	Pras.g_00687	Prbe.g_00836
OG0000076	Pras.g_00326	Prbe.g_00272
OG0000077	Pras.g_00853	Prbe.g_01076
OG0000078	Pras.g_01174	Prbe.g_01875
