Orthogroup	Pras	Prbb
OG0000000	Pras.g_00493	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785
OG0000000	Pras.g_00470	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Pras.g_00469, Pras.g_00117	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Pras.g_00243	Prbb.g_00844
OG0000001	Pras.g_01554	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Pras.g_00541, Pras.g_00118, Pras.g_00120	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Pras.g_00235	Prbb.g_01611
OG0000003	Pras.g_00228	Prbb.g_00077
OG0000003	Pras.g_00119	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Pras.g_00182, Pras.g_00471, Pras.g_00136	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Pras.g_01638	Prbb.g_00425, Prbb.g_00748
OG0000006	Pras.g_00163, Pras.g_01654, Pras.g_00004	Prbb.g_01294
OG0000008	Pras.g_01375	Prbb.g_00501
OG0000008	Pras.g_00550	Prbb.g_01823
OG0000009	Pras.g_00191	Prbb.g_00078
OG0000010	Pras.g_01681	Prbb.g_00757, Prbb.g_00761
OG0000011	Pras.g_01653	Prbb.g_01800
OG0000015	Pras.g_01263	Prbb.g_00421
OG0000015	Pras.g_01182	Prbb.g_00386
OG0000016	Pras.g_00127	Prbb.g_01158
OG0000017	Pras.g_00185, Pras.g_01348	Prbb.g_01375
OG0000018	Pras.g_01474	Prbb.g_00598
OG0000019	Pras.g_01235, Pras.g_00539	Prbb.g_01189
OG0000020	Pras.g_00246	Prbb.g_01632
OG0000021	Pras.g_00886, Pras.g_00370	Prbb.g_01705
OG0000022	Pras.g_01093, Pras.g_00148	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Pras.g_00507, Pras.g_01218	Prbb.g_00099
OG0000024	Pras.g_00175	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Pras.g_01645	Prbb.g_01175, Prbb.g_00680
OG0000026	Pras.g_00184	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000029	Pras.g_01682	Prbb.g_00747, Prbb.g_01897
OG0000030	Pras.g_01683	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Pras.g_00750	Prbb.g_02069
OG0000032	Pras.g_00875	Prbb.g_01921
OG0000033	Pras.g_00440, Pras.g_01634	Prbb.g_01114, Prbb.g_01127
OG0000034	Pras.g_00350	Prbb.g_01686
OG0000035	Pras.g_00464, Pras.g_00538	Prbb.g_01324, Prbb.g_01729
OG0000036	Pras.g_00001	Prbb.g_01071
OG0000037	Pras.g_00508	Prbb.g_01391
OG0000040	Pras.g_00176	Prbb.g_01229
OG0000041	Pras.g_01499	Prbb.g_01111
OG0000045	Pras.g_01462	Prbb.g_01882
OG0000046	Pras.g_01662	Prbb.g_01231
OG0000047	Pras.g_00056	Prbb.g_01517
OG0000048	Pras.g_00096	Prbb.g_00112
OG0000049	Pras.g_00291, Pras.g_00290	Prbb.g_00851
