HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N30.HOG0000000	OG0000000	n1																																					Prbk.g_02574	Prbl.g_01582		
N30.HOG0000001	OG0000000	n36																																					Prbk.g_01649	Prbl.g_01092		
N30.HOG0000002	OG0000001	n22																																					Prbk.g_00167	Prbl.g_00118		
N30.HOG0000003	OG0000001	n45																																					Prbk.g_00165	Prbl.g_00116		
N30.HOG0000004	OG0000002	n4																																					Prbk.g_01196	Prbl.g_00725		
N30.HOG0000005	OG0000002	n17																																					Prbk.g_00561	Prbl.g_00808		
N30.HOG0000006	OG0000002	n19																																					Prbk.g_02701	Prbl.g_02598		
N30.HOG0000007	OG0000002	n24																																					Prbk.g_00170	Prbl.g_00121		
N30.HOG0000008	OG0000002	n25																																					Prbk.g_00630	Prbl.g_02578		
N30.HOG0000009	OG0000003	n23																																					Prbk.g_00166	Prbl.g_00117		
N30.HOG0000010	OG0000004	n9																																					Prbk.g_01701	Prbl.g_01685		
N30.HOG0000011	OG0000004	n15																																					Prbk.g_00304	Prbl.g_00628		
N30.HOG0000012	OG0000004	n16																																					Prbk.g_00355	Prbl.g_00679		
N30.HOG0000013	OG0000006	n1																																						Prbl.g_00531		
N30.HOG0000014	OG0000006	n36																																					Prbk.g_00907	Prbl.g_00394		
N30.HOG0000015	OG0000007	n2																																					Prbk.g_01819	Prbl.g_01855		
N30.HOG0000016	OG0000007	n28																																					Prbk.g_01820	Prbl.g_01854		
N30.HOG0000017	OG0000009	n1																																					Prbk.g_01004	Prbl.g_01509		
N30.HOG0000018	OG0000011	n1																																					Prbk.g_02565	Prbl.g_01574		
N30.HOG0000019	OG0000011	n23																																					Prbk.g_01202	Prbl.g_00719		
N30.HOG0000020	OG0000012	n13																																					Prbk.g_01150	Prbl.g_01755		
N30.HOG0000021	OG0000012	n18																																					Prbk.g_01142	Prbl.g_01763		
N30.HOG0000022	OG0000013	n0																																					Prbk.g_02558	Prbl.g_01566		
N30.HOG0000023	OG0000016	n20																																					Prbk.g_01746	Prbl.g_00007		
N30.HOG0000024	OG0000016	n28																																					Prbk.g_01786	Prbl.g_00046		
N30.HOG0000025	OG0000017	n21																																					Prbk.g_01230	Prbl.g_00691		
N30.HOG0000026	OG0000018	n0																																					Prbk.g_02695	Prbl.g_02601		
N30.HOG0000027	OG0000019	n0																																					Prbk.g_01137	Prbl.g_01768		
N30.HOG0000028	OG0000020	n0																																					Prbk.g_00405	Prbl.g_01465		
N30.HOG0000029	OG0000024	n19																																					Prbk.g_00454	Prbl.g_01416		
N30.HOG0000030	OG0000026	n37																																					Prbk.g_01613	Prbl.g_01981		
N30.HOG0000031	OG0000028	n0																																					Prbk.g_00259	Prbl.g_00242		
N30.HOG0000032	OG0000031	n1																																					Prbk.g_01709	Prbl.g_01677		
N30.HOG0000033	OG0000032	n13																																					Prbk.g_00534	Prbl.g_00835		
N30.HOG0000034	OG0000032	n14																																					Prbk.g_00539	Prbl.g_00830		
N30.HOG0000035	OG0000034	n4																																					Prbk.g_00499	Prbl.g_00870		
N30.HOG0000036	OG0000036	n19																																					Prbk.g_01122	Prbl.g_01783		
N30.HOG0000037	OG0000037	n0																																					Prbk.g_02610	Prbl.g_01618		
N30.HOG0000038	OG0000038	n16																																					Prbk.g_01667	Prbl.g_01072		
N30.HOG0000039	OG0000038	n19																																					Prbk.g_00212	Prbl.g_01310		
N30.HOG0000040	OG0000039	n16																																					Prbk.g_01836	Prbl.g_01838		
N30.HOG0000041	OG0000039	n19																																					Prbk.g_00773	Prbl.g_00281		
N30.HOG0000042	OG0000040	n0																																					Prbk.g_02448	Prbl.g_02355		
N30.HOG0000043	OG0000042	n19																																					Prbk.g_01835	Prbl.g_01839		
N30.HOG0000044	OG0000042	n22																																					Prbk.g_00619	Prbl.g_02567		
N30.HOG0000045	OG0000043	n18																																					Prbk.g_01644	Prbl.g_01097		
N30.HOG0000046	OG0000043	n21																																					Prbk.g_01642	Prbl.g_01099		
N30.HOG0000047	OG0000044	n22																																					Prbk.g_01019	Prbl.g_02084		
N30.HOG0000048	OG0000045	n2																																					Prbk.g_00479	Prbl.g_00890		
N30.HOG0000049	OG0000046	n0																																					Prbk.g_00919	Prbl.g_00405		
N30.HOG0000050	OG0000047	n2																																					Prbk.g_00237	Prbl.g_01285		
N30.HOG0000051	OG0000048	n15																																					Prbk.g_00140	Prbl.g_01121		
N30.HOG0000052	OG0000048	n19																																					Prbk.g_01495	Prbl.g_01236		
N30.HOG0000053	OG0000049	n1																																					Prbk.g_00789	Prbl.g_00265		
N30.HOG0000054	OG0000049	n10																																					Prbk.g_01243	Prbl.g_00106		
N30.HOG0000055	OG0000049	n16																																					Prbk.g_02676			
N30.HOG0000056	OG0000049	n17																																					Prbk.g_00040			
N30.HOG0000057	OG0000049	n18																																					Prbk.g_01285	Prbl.g_00064		
N30.HOG0000058	OG0000049	n23																																					Prbk.g_00899			
N30.HOG0000059	OG0000049	n24																																					Prbk.g_02221	Prbl.g_02178		
N30.HOG0000060	OG0000049	n29																																					Prbk.g_01943	Prbl.g_00740		
N30.HOG0000061	OG0000049	n30																																					Prbk.g_00240	Prbl.g_00261		
N30.HOG0000062	OG0000049	n31																																					Prbk.g_01100	Prbl.g_00746		
N30.HOG0000063	OG0000050	n0																																					Prbk.g_01617	Prbl.g_01977		
N30.HOG0000064	OG0000051	n1																																					Prbk.g_00764	Prbl.g_00290		
N30.HOG0000065	OG0000052	n0																																					Prbk.g_00925	Prbl.g_00411		
N30.HOG0000066	OG0000053	n0																																					Prbk.g_01094	Prbl.g_00752		
N30.HOG0000067	OG0000054	n0																																					Prbk.g_01468	Prbl.g_01943		
N30.HOG0000068	OG0000055	n0																																					Prbk.g_02493	Prbl.g_02310		
N30.HOG0000069	OG0000056	n0																																					Prbk.g_00694	Prbl.g_00138		
N30.HOG0000070	OG0000058	n14																																					Prbk.g_02113	Prbl.g_01340		
N30.HOG0000071	OG0000059	n0																																					Prbk.g_01765	Prbl.g_00025		
N30.HOG0000072	OG0000062	n18																																					Prbk.g_02195	Prbl.g_02204		
N30.HOG0000073	OG0000063	n0																																					Prbk.g_01496	Prbl.g_01384		
N30.HOG0000074	OG0000065	n0																																					Prbk.g_01183	Prbl.g_01722		
N30.HOG0000075	OG0000066	n0																																					Prbk.g_00477	Prbl.g_00892		
N30.HOG0000076	OG0000068	n20																																					Prbk.g_00796	Prbl.g_01126		
N30.HOG0000077	OG0000068	n21																																					Prbk.g_00944	Prbl.g_01000		
N30.HOG0000078	OG0000069	n11																																					Prbk.g_00480	Prbl.g_00889		
N30.HOG0000079	OG0000069	n14																																					Prbk.g_01209	Prbl.g_00712		
N30.HOG0000080	OG0000070	n10																																					Prbk.g_00094			
N30.HOG0000081	OG0000070	n32																																					Prbk.g_00841	Prbl.g_01171		
N30.HOG0000082	OG0000070	n35																																					Prbk.g_02591	Prbl.g_01599		
N30.HOG0000083	OG0000071	n0																																					Prbk.g_02290	Prbl.g_02109		
N30.HOG0000084	OG0000072	n0																																					Prbk.g_00472	Prbl.g_00897		
N30.HOG0000085	OG0000073	n0																																					Prbk.g_00709	Prbl.g_01395		
N30.HOG0000086	OG0000074	n0																																					Prbk.g_01815	Prbl.g_01859		
N30.HOG0000087	OG0000075	n0																																					Prbk.g_02475	Prbl.g_02328		
N30.HOG0000088	OG0000076	n0																																					Prbk.g_00056	Prbl.g_00927		
N30.HOG0000089	OG0000078	n0																																					Prbk.g_00476	Prbl.g_00893		
N30.HOG0000090	OG0000079	n0																																					Prbk.g_00931	Prbl.g_00417		
N30.HOG0000091	OG0000080	n0																																					Prbk.g_02012	Prbl.g_00462		
N30.HOG0000092	OG0000081	n0																																					Prbk.g_00512	Prbl.g_00857		
N30.HOG0000093	OG0000082	n13																																					Prbk.g_02204	Prbl.g_02195		
N30.HOG0000094	OG0000083	n0																																					Prbk.g_02281	Prbl.g_02118		
N30.HOG0000095	OG0000084	n0																																					Prbk.g_02284	Prbl.g_02115		
N30.HOG0000096	OG0000085	n0																																					Prbk.g_01626	Prbl.g_01968		
N30.HOG0000097	OG0000087	n0																																					Prbk.g_02126	Prbl.g_02273		
N30.HOG0000098	OG0000088	n0																																					Prbk.g_00191	Prbl.g_01331		
N30.HOG0000099	OG0000089	n0																																					Prbk.g_00206	Prbl.g_01316		
N30.HOG0000100	OG0000090	n0																																					Prbk.g_00559	Prbl.g_00810		
N30.HOG0000101	OG0000091	n0																																					Prbk.g_00776	Prbl.g_00278		
N30.HOG0000102	OG0000092	n0																																					Prbk.g_00777	Prbl.g_00277		
