HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N10.HOG0000000	OG0000000	n1							Prag.g_01382																Praw.g_01009																	
N10.HOG0000001	OG0000000	n35							Prag.g_00656																Praw.g_01844																	
N10.HOG0000002	OG0000001	n1							Prag.g_01213, Prag.g_01607, Prag.g_01650																Praw.g_00294, Praw.g_00454, Praw.g_00496																	
N10.HOG0000003	OG0000001	n5							Prag.g_01626																Praw.g_00472																	
N10.HOG0000004	OG0000001	n45							Prag.g_00722																Praw.g_01779																	
N10.HOG0000005	OG0000002	n1							Prag.g_01374																Praw.g_01000																	
N10.HOG0000006	OG0000002	n79							Prag.g_00764																Praw.g_01739																	
N10.HOG0000007	OG0000002	n93							Prag.g_01216, Prag.g_01215																Praw.g_01951																	
N10.HOG0000008	OG0000002	n101							Prag.g_01651																Praw.g_00497																	
N10.HOG0000009	OG0000003	n20							Prag.g_01649																Praw.g_00495																	
N10.HOG0000010	OG0000003	n21							Prag.g_01610																Praw.g_00457																	
N10.HOG0000011	OG0000003	n60							Prag.g_01333																Praw.g_00959																	
N10.HOG0000012	OG0000004	n28							Prag.g_00726																Praw.g_01775																	
N10.HOG0000013	OG0000004	n47							Prag.g_00734																Praw.g_01769																	
N10.HOG0000014	OG0000004	n64							Prag.g_01332																Praw.g_00958																	
N10.HOG0000015	OG0000005	n2							Prag.g_01648																Praw.g_00494																	
N10.HOG0000016	OG0000005	n9							Prag.g_01230, Prag.g_01348																Praw.g_00893, Praw.g_00974																	
N10.HOG0000017	OG0000005	n10							Prag.g_00721																Praw.g_01780																	
N10.HOG0000018	OG0000005	n51							Prag.g_01608																Praw.g_00455																	
N10.HOG0000019	OG0000006	n1							Prag.g_00476																Praw.g_00651																	
N10.HOG0000020	OG0000006	n36							Prag.g_01669																Praw.g_00515																	
N10.HOG0000021	OG0000007	n2							Prag.g_01655																Praw.g_00501																	
N10.HOG0000022	OG0000007	n32							Prag.g_00650																Praw.g_01850																	
N10.HOG0000023	OG0000007	n49							Prag.g_01656																Praw.g_00502																	
N10.HOG0000024	OG0000008	n1							Prag.g_00376																Praw.g_00750																	
N10.HOG0000025	OG0000008	n22							Prag.g_01264																Praw.g_00328																	
N10.HOG0000026	OG0000008	n39							Prag.g_01300																Praw.g_00928																	
N10.HOG0000027	OG0000009	n3							Prag.g_00786																Praw.g_01717																	
N10.HOG0000028	OG0000009	n30							Prag.g_00242																Praw.g_00884																	
N10.HOG0000029	OG0000010	n7							Prag.g_01636																Praw.g_00482																	
N10.HOG0000030	OG0000010	n16							Prag.g_01103																Praw.g_00184																	
N10.HOG0000031	OG0000010	n32							Prag.g_01319																Praw.g_00945																	
N10.HOG0000032	OG0000011	n23							Prag.g_00321																Praw.g_00804																	
N10.HOG0000033	OG0000012	n0							Prag.g_00576																Praw.g_01944																	
N10.HOG0000034	OG0000013	n10							Prag.g_00765																Praw.g_01738																	
N10.HOG0000035	OG0000014	n14							Prag.g_00449																Praw.g_00677																	
N10.HOG0000036	OG0000014	n27							Prag.g_01336																Praw.g_00962																	
N10.HOG0000037	OG0000014	n36							Prag.g_01646																Praw.g_00492																	
N10.HOG0000038	OG0000015	n28							Prag.g_00374																Praw.g_00752																	
N10.HOG0000039	OG0000016	n0							Prag.g_01385																Praw.g_01012																	
N10.HOG0000040	OG0000017	n6							Prag.g_01510																Praw.g_00357																	
N10.HOG0000041	OG0000018	n0							Prag.g_00234, Prag.g_01231																Praw.g_01950																	
N10.HOG0000042	OG0000019	n18							Prag.g_00359																Praw.g_00767																	
N10.HOG0000043	OG0000019	n19							Prag.g_01633																Praw.g_00479																	
N10.HOG0000044	OG0000020	n30							Prag.g_00368																Praw.g_00758																	
N10.HOG0000045	OG0000020	n31							Prag.g_01658																Praw.g_00504																	
N10.HOG0000046	OG0000021	n0							Prag.g_00788																Praw.g_01715																	
N10.HOG0000047	OG0000022	n4							Prag.g_01647																Praw.g_00493																	
N10.HOG0000048	OG0000022	n24							Prag.g_01335																Praw.g_00961																	
N10.HOG0000049	OG0000022	n25							Prag.g_00719																Praw.g_01782																	
N10.HOG0000050	OG0000023	n0							Prag.g_01600																Praw.g_00447																	
N10.HOG0000051	OG0000024	n0							Prag.g_00297																Praw.g_00828																	
N10.HOG0000052	OG0000025	n0							Prag.g_01071																Praw.g_01432																	
N10.HOG0000053	OG0000026	n12							Prag.g_00033																Praw.g_01395																	
N10.HOG0000054	OG0000027	n3							Prag.g_00730																Praw.g_01773																	
N10.HOG0000055	OG0000028	n6							Prag.g_01488																Praw.g_01083																	
N10.HOG0000056	OG0000028	n31							Prag.g_01490																Praw.g_01081																	
N10.HOG0000057	OG0000029	n19							Prag.g_01601																Praw.g_00448																	
