HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N17.HOG0000000	OG0000000	n1										Praj.g_00832																		Prbb.g_00844	Prbc.g_01920											
N17.HOG0000001	OG0000000	n41										Praj.g_00670																		Prbb.g_00683	Prbc.g_01759											
N17.HOG0000002	OG0000000	n53										Praj.g_01489																		Prbb.g_01546	Prbc.g_01475											
N17.HOG0000003	OG0000000	n61										Praj.g_01488																		Prbb.g_01545	Prbc.g_01474											
N17.HOG0000004	OG0000000	n82										Praj.g_01493																		Prbb.g_01550	Prbc.g_01479											
N17.HOG0000005	OG0000000	n83										Praj.g_01487																		Prbb.g_01544	Prbc.g_01473											
N17.HOG0000006	OG0000000	n84										Praj.g_01492																		Prbb.g_01549	Prbc.g_01478											
N17.HOG0000007	OG0000001	n7										Praj.g_01100																		Prbb.g_01145	Prbc.g_00608											
N17.HOG0000008	OG0000001	n18										Praj.g_01080																			Prbc.g_00808											
N17.HOG0000009	OG0000001	n20										Praj.g_01307, Praj.g_01359, Praj.g_01732																		Prbb.g_01123, Prbb.g_01352, Prbb.g_01403, Prbb.g_01787	Prbc.g_00618, Prbc.g_02167											
N17.HOG0000010	OG0000001	n21																													Prbc.g_00106											
N17.HOG0000011	OG0000001	n23										Praj.g_01267																		Prbb.g_01313												
N17.HOG0000012	OG0000001	n43										Praj.g_00087																		Prbb.g_00103	Prbc.g_00525											
N17.HOG0000013	OG0000002	n1										Praj.g_01549																		Prbb.g_01611	Prbc.g_00588											
N17.HOG0000014	OG0000002	n57										Praj.g_01112																		Prbb.g_01157												
N17.HOG0000015	OG0000002	n60										Praj.g_00463, Praj.g_01861																		Prbb.g_00474, Prbb.g_01915	Prbc.g_01530, Prbc.g_00925											
N17.HOG0000016	OG0000003	n32										Praj.g_01099																		Prbb.g_01144	Prbc.g_00609											
N17.HOG0000017	OG0000003	n39																												Prbb.g_00429												
N17.HOG0000018	OG0000003	n41										Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311																		Prbb.g_01321, Prbb.g_01356												
N17.HOG0000019	OG0000003	n43										Praj.g_01737																		Prbb.g_01792												
N17.HOG0000020	OG0000004	n19										Praj.g_01121																														
N17.HOG0000021	OG0000004	n21										Praj.g_00411																		Prbb.g_00425	Prbc.g_02193											
N17.HOG0000022	OG0000004	n24																													Prbc.g_01233											
N17.HOG0000023	OG0000004	n25										Praj.g_01222																		Prbb.g_01814	Prbc.g_01294											
N17.HOG0000024	OG0000005	n30										Praj.g_00418, Praj.g_01077, Praj.g_01357																		Prbb.g_00432, Prbb.g_01120, Prbb.g_01401	Prbc.g_02164											
N17.HOG0000025	OG0000005	n37										Praj.g_01730																		Prbb.g_01785	Prbc.g_00104, Prbc.g_00806											
N17.HOG0000026	OG0000005	n45										Praj.g_01272, Praj.g_01309																		Prbb.g_00431, Prbb.g_01121, Prbb.g_01319	Prbc.g_02165											
N17.HOG0000027	OG0000005	n46										Praj.g_01078																														
N17.HOG0000028	OG0000005	n48										Praj.g_00417, Praj.g_01202																		Prbb.g_01244												
N17.HOG0000029	OG0000006	n1										Praj.g_00489																		Prbb.g_00501	Prbc.g_01556											
N17.HOG0000030	OG0000006	n36										Praj.g_01768																		Prbb.g_01823	Prbc.g_00832											
N17.HOG0000031	OG0000007	n2										Praj.g_01829																		Prbb.g_01884	Prbc.g_00893											
N17.HOG0000032	OG0000007	n49										Praj.g_01830																		Prbb.g_01885	Prbc.g_00894											
N17.HOG0000033	OG0000009	n3										Praj.g_00747																		Prbb.g_00761	Prbc.g_01836											
N17.HOG0000034	OG0000010	n2										Praj.g_01249																		Prbb.g_01294	Prbc.g_01323											
N17.HOG0000035	OG0000011	n1										Praj.g_00408																		Prbb.g_00421	Prbc.g_01273											
N17.HOG0000036	OG0000011	n23										Praj.g_00370																		Prbb.g_00386	Prbc.g_01227											
N17.HOG0000037	OG0000012	n5										Praj.g_00585																		Prbb.g_00598	Prbc.g_01674											
N17.HOG0000038	OG0000012	n6										Praj.g_00592																		Prbb.g_00605	Prbc.g_01681											
N17.HOG0000039	OG0000013	n0										Praj.g_01113																		Prbb.g_01158	Prbc.g_00599											
