HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N34.HOG0000000	OG0000000	n7																																	Prbg.g_01222							Prbn.g_01483
N34.HOG0000001	OG0000000	n16																																	Prbg.g_01227							Prbn.g_01478
N34.HOG0000002	OG0000000	n41																																	Prbg.g_01119							Prbn.g_01586
N34.HOG0000003	OG0000000	n53																																	Prbg.g_01516							Prbn.g_01159
N34.HOG0000004	OG0000000	n65																																	Prbg.g_00523							Prbn.g_01234
N34.HOG0000005	OG0000000	n70																																	Prbg.g_01514							Prbn.g_01161
N34.HOG0000006	OG0000000	n75																																	Prbg.g_01521							Prbn.g_01154
N34.HOG0000007	OG0000000	n84																																	Prbg.g_00694							Prbn.g_00879
N34.HOG0000008	OG0000001	n7																																	Prbg.g_01583							Prbn.g_01678
N34.HOG0000009	OG0000001	n20																																	Prbg.g_01523, Prbg.g_01568							Prbn.g_01152, Prbn.g_01663
N34.HOG0000010	OG0000002	n1																																	Prbg.g_00502							Prbn.g_01213
N34.HOG0000011	OG0000002	n60																																	Prbg.g_01069							Prbn.g_01923
N34.HOG0000012	OG0000003	n49																																	Prbg.g_01524							Prbn.g_01151
N34.HOG0000013	OG0000004	n1																																	Prbg.g_00451							Prbn.g_01110
N34.HOG0000014	OG0000005	n5																																	Prbg.g_01567							Prbn.g_01662
N34.HOG0000015	OG0000006	n1																																	Prbg.g_00216							Prbn.g_00617
N34.HOG0000016	OG0000006	n36																																	Prbg.g_01650							Prbn.g_01745
N34.HOG0000017	OG0000007	n2																																	Prbg.g_00744							Prbn.g_01645
N34.HOG0000018	OG0000007	n49																																	Prbg.g_00745							Prbn.g_01646
N34.HOG0000019	OG0000009	n3																																	Prbg.g_01510							Prbn.g_01165
N34.HOG0000020	OG0000009	n30																																	Prbg.g_01032							Prbn.g_00015
N34.HOG0000021	OG0000010	n47																																	Prbg.g_00032							Prbn.g_01049
N34.HOG0000022	OG0000011	n1																																	Prbg.g_00143							Prbn.g_00690
N34.HOG0000023	OG0000012	n3																																	Prbg.g_00317							Prbn.g_00517
N34.HOG0000024	OG0000012	n18																																	Prbg.g_00324							Prbn.g_00510
N34.HOG0000025	OG0000013	n31																																	Prbg.g_01589							Prbn.g_01684
N34.HOG0000026	OG0000013	n32																																	Prbg.g_01635							Prbn.g_01730
N34.HOG0000027	OG0000014	n7																																	Prbg.g_00721							Prbn.g_00139
N34.HOG0000028	OG0000014	n10																																	Prbg.g_01569							Prbn.g_01664
N34.HOG0000029	OG0000015	n21																																	Prbg.g_01578							Prbn.g_01673
N34.HOG0000030	OG0000015	n22																																	Prbg.g_01611							Prbn.g_01706
N34.HOG0000031	OG0000016	n20																																	Prbg.g_01540							Prbn.g_01135
N34.HOG0000032	OG0000016	n28																																	Prbg.g_00688							Prbn.g_00885
N34.HOG0000033	OG0000017	n28																																	Prbg.g_00612							Prbn.g_00233
N34.HOG0000034	OG0000017	n31																																	Prbg.g_01595							Prbn.g_01690
N34.HOG0000035	OG0000018	n0																																	Prbg.g_01024							Prbn.g_00308
N34.HOG0000036	OG0000019	n0																																	Prbg.g_01145							Prbn.g_01560
N34.HOG0000037	OG0000020	n18																																	Prbg.g_00464							Prbn.g_01097
