Orthogroup	Prbm	Syao
OG0000001	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426	Syao.g_00314
OG0000004	Prbm.g_01483	Syao.g_02374
OG0000004	Prbm.g_00291	Syao.g_01271, Syao.g_01007
OG0000005	Prbm.g_01790	Syao.g_01578
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syao.g_01518
OG0000007	Prbm.g_00522	Syao.g_00105
OG0000007	Prbm.g_01841	Syao.g_01554
OG0000008	Prbm.g_01908	Syao.g_01321
OG0000010	Prbm.g_01066, Prbm.g_00499	Syao.g_02683
OG0000011	Prbm.g_01202, Prbm.g_01174, Prbm.g_01134	Syao.g_01282
OG0000012	Prbm.g_01106	Syao.g_01193
OG0000013	Prbm.g_00382	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prbm.g_00362	Syao.g_02027
OG0000015	Prbm.g_01427, Prbm.g_01149	Syao.g_00302
OG0000016	Prbm.g_00013	Syao.g_01955
OG0000017	Prbm.g_00635	Syao.g_00997
OG0000018	Prbm.g_01571, Prbm.g_00843	Syao.g_00071
OG0000019	Prbm.g_00792	Syao.g_02108
OG0000021	Prbm.g_01939	Syao.g_01002
OG0000022	Prbm.g_01204, Prbm.g_01324	Syao.g_01218
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syao.g_01266
OG0000025	Prbm.g_00849	Syao.g_00436, Syao.g_00437
OG0000026	Prbm.g_00031	Syao.g_02234
OG0000028	Prbm.g_01656	Syao.g_02012
OG0000030	Prbm.g_02105	Syao.g_02189, Syao.g_02188
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syao.g_01083
OG0000032	Prbm.g_01747	Syao.g_00090
OG0000033	Prbm.g_00228	Syao.g_02507
OG0000035	Prbm.g_01710	Syao.g_01486
OG0000037	Prbm.g_00166	Syao.g_00374
OG0000038	Prbm.g_02174	Syao.g_02440, Syao.g_02442
OG0000039	Prbm.g_00723	Syao.g_00704
OG0000042	Prbm.g_02102	Syao.g_00019, Syao.g_01941
OG0000045	Prbm.g_01088	Syao.g_01214, Syao.g_00148
OG0000046	Prbm.g_00383	Syao.g_01845, Syao.g_01909
OG0000047	Prbm.g_00428, Prbm.g_00390	Syao.g_01899
OG0000048	Prbm.g_00329	Syao.g_02077
OG0000051	Prbm.g_01267, Prbm.g_01276	Syao.g_01261
OG0000052	Prbm.g_00114	Syao.g_01972
OG0000053	Prbm.g_01729	Syao.g_00067
