Orthogroup	Prbm	Syag
OG0000001	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426	Syag.g_00575
OG0000004	Prbm.g_01483	Syag.g_00988
OG0000004	Prbm.g_00291	Syag.g_00370, Syag.g_01790
OG0000005	Prbm.g_01790	Syag.g_01667
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbm.g_00522	Syag.g_01507
OG0000007	Prbm.g_01841	Syag.g_01687
OG0000008	Prbm.g_01907	Syag.g_00496
OG0000008	Prbm.g_01908	Syag.g_01017
OG0000009	Prbm.g_01235, Prbm.g_01400	Syag.g_00220, Syag.g_00231
OG0000010	Prbm.g_01066, Prbm.g_00499	Syag.g_01355
OG0000011	Prbm.g_01202, Prbm.g_01174, Prbm.g_01134	Syag.g_01299
OG0000013	Prbm.g_00382	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbm.g_00362	Syag.g_02559
OG0000014	Prbm.g_02126	Syag.g_02487
OG0000015	Prbm.g_01427, Prbm.g_01149	Syag.g_00596
OG0000016	Prbm.g_00013	Syag.g_02286
OG0000016	Prbm.g_01944	Syag.g_01066
OG0000017	Prbm.g_00635	Syag.g_00336
OG0000018	Prbm.g_01571, Prbm.g_00843	Syag.g_01387
OG0000019	Prbm.g_00792	Syag.g_02663
OG0000020	Prbm.g_01065, Prbm.g_01156	Syag.g_00085
OG0000022	Prbm.g_01204, Prbm.g_01324	Syag.g_00458
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syag.g_00261, Syag.g_00234
OG0000024	Prbm.g_01151, Prbm.g_00709	Syag.g_00455
OG0000025	Prbm.g_00849	Syag.g_00718
OG0000026	Prbm.g_00031	Syag.g_02309
OG0000028	Prbm.g_01656	Syag.g_02540
OG0000029	Prbm.g_01823	Syag.g_00195
OG0000030	Prbm.g_02105	Syag.g_02375, Syag.g_02374
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syag.g_02486
OG0000032	Prbm.g_01747	Syag.g_01366
OG0000033	Prbm.g_00228	Syag.g_01978
OG0000034	Prbm.g_01620	Syag.g_01225, Syag.g_01947
OG0000035	Prbm.g_01710	Syag.g_01420
OG0000037	Prbm.g_00166	Syag.g_00173
OG0000038	Prbm.g_02174	Syag.g_02130, Syag.g_02132
OG0000039	Prbm.g_00723	Syag.g_01325, Syag.g_02155
OG0000041	Prbm.g_01886	Syag.g_01750
OG0000042	Prbm.g_02102	Syag.g_01094, Syag.g_02378
OG0000043	Prbm.g_00906	Syag.g_00564
OG0000045	Prbm.g_01088	Syag.g_00223
OG0000046	Prbm.g_00383	Syag.g_02805, Syag.g_02812, Syag.g_02819
OG0000047	Prbm.g_00428, Prbm.g_00390	Syag.g_00768
OG0000048	Prbm.g_00329	Syag.g_02611
OG0000053	Prbm.g_01729	Syag.g_01391
OG0000054	Prbm.g_00637	Syag.g_00350
OG0000055	Prbm.g_00778	Syag.g_00946
OG0000055	Prbm.g_01921	Syag.g_01799
OG0000057	Prbm.g_00735	Syag.g_00985
OG0000058	Prbm.g_00881	Syag.g_02477
OG0000059	Prbm.g_01973	Syag.g_02721
OG0000060	Prbm.g_01422	Syag.g_01095
OG0000061	Prbm.g_01549	Syag.g_01141
OG0000063	Prbm.g_01947	Syag.g_02313
OG0000065	Prbm.g_00164	Syag.g_00182, Syag.g_01885
OG0000066	Prbm.g_00572	Syag.g_01443
OG0000067	Prbm.g_00814	Syag.g_00667
OG0000068	Prbm.g_01660	Syag.g_01537
OG0000070	Prbm.g_00460	Syag.g_00049
OG0000071	Prbm.g_00468, Prbm.g_01611	Syag.g_01192
OG0000072	Prbm.g_00230	Syag.g_01980, Syag.g_02859
OG0000073	Prbm.g_00533	Syag.g_01505
OG0000075	Prbm.g_02069	Syag.g_02434
OG0000076	Prbm.g_02094	Syag.g_02393
OG0000077	Prbm.g_00135	Syag.g_01831
OG0000078	Prbm.g_00300	Syag.g_01778
OG0000079	Prbm.g_00311	Syag.g_02659, Syag.g_02652
OG0000082	Prbm.g_01900	Syag.g_00318
OG0000084	Prbm.g_01706	Syag.g_01425
OG0000085	Prbm.g_01834	Syag.g_01676
OG0000086	Prbm.g_00145	Syag.g_01853
OG0000087	Prbm.g_00198	Syag.g_01939
OG0000088	Prbm.g_00225	Syag.g_01974
OG0000089	Prbm.g_00423	Syag.g_00005
OG0000090	Prbm.g_00566	Syag.g_01454
OG0000091	Prbm.g_00673	Syag.g_00418
OG0000092	Prbm.g_00934	Syag.g_00242
OG0000097	Prbm.g_01502	Syag.g_01065
OG0000098	Prbm.g_01630	Syag.g_00578
OG0000099	Prbm.g_00394	Syag.g_02536
OG0000100	Prbm.g_01787	Syag.g_00704
OG0000101	Prbm.g_02033	Syag.g_02773
OG0000102	Prbm.g_02099	Syag.g_02387
OG0000103	Prbm.g_02218	Syag.g_02253
OG0000104	Prbm.g_02229	Syag.g_02268
OG0000105	Prbm.g_00331	Syag.g_02606
OG0000106	Prbm.g_01172, Prbm.g_01237	Syag.g_00462
OG0000108	Prbm.g_00506	Syag.g_01528
OG0000109	Prbm.g_00519	Syag.g_01512
OG0000110	Prbm.g_00607	Syag.g_00303
OG0000111	Prbm.g_00736	Syag.g_00984
OG0000112	Prbm.g_00980	Syag.g_00801
OG0000113	Prbm.g_00838, Prbm.g_01191	Syag.g_00699
OG0000114	Prbm.g_00929	Syag.g_00609
OG0000115	Prbm.g_01803	Syag.g_01397
OG0000116	Prbm.g_01560	Syag.g_01156
OG0000117	Prbm.g_01522	Syag.g_01097
OG0000118	Prbm.g_01622	Syag.g_01232
OG0000120	Prbm.g_00707	Syag.g_02535
OG0000121	Prbm.g_01712	Syag.g_01414
OG0000122	Prbm.g_01751	Syag.g_00446
OG0000123	Prbm.g_02040	Syag.g_02781
OG0000124	Prbm.g_02111	Syag.g_02367
OG0000125	Prbm.g_02176	Syag.g_02136, Syag.g_02134
OG0000126	Prbm.g_02228	Syag.g_02266
OG0000128	Prbm.g_00011	Syag.g_02284
OG0000129	Prbm.g_00053	Syag.g_02121
OG0000130	Prbm.g_00126	Syag.g_01819
OG0000131	Prbm.g_00204	Syag.g_01951
OG0000132	Prbm.g_00223	Syag.g_01972
OG0000133	Prbm.g_00377	Syag.g_00806
OG0000134	Prbm.g_00425	Syag.g_00008
OG0000135	Prbm.g_01389	Syag.g_02171
OG0000136	Prbm.g_00451	Syag.g_00038
OG0000137	Prbm.g_00500	Syag.g_01356
OG0000138	Prbm.g_00520	Syag.g_01511
OG0000139	Prbm.g_00570	Syag.g_01448
OG0000140	Prbm.g_00571	Syag.g_01446
OG0000141	Prbm.g_00638	Syag.g_00351
OG0000142	Prbm.g_00666	Syag.g_00410
OG0000143	Prbm.g_00670	Syag.g_00414
OG0000144	Prbm.g_00683	Syag.g_00493
OG0000145	Prbm.g_01094	Syag.g_01504
OG0000146	Prbm.g_00979	Syag.g_00800
OG0000147	Prbm.g_00978	Syag.g_00799
OG0000148	Prbm.g_00832	Syag.g_00693
OG0000149	Prbm.g_00862	Syag.g_00731
OG0000150	Prbm.g_00870	Syag.g_00352
OG0000151	Prbm.g_00940	Syag.g_00623
OG0000152	Prbm.g_00988	Syag.g_00810
