Orthogroup	Prbm	Prbc
OG0000000	Prbm.g_01115	Prbc.g_02163
OG0000000	Prbm.g_00437	Prbc.g_00103
OG0000000	Prbm.g_01228	Prbc.g_00103
OG0000000	Prbm.g_01312	Prbc.g_00103
OG0000000	Prbm.g_01381	Prbc.g_00103
OG0000000	Prbm.g_01140	Prbc.g_00609
OG0000000	Prbm.g_01814	Prbc.g_00812
OG0000000	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406	Prbc.g_02164
OG0000000	Prbm.g_01808	Prbc.g_00806
OG0000000	Prbm.g_01117	Prbc.g_02165
OG0000000	Prbm.g_01119	Prbc.g_00618
OG0000000	Prbm.g_01404	Prbc.g_00618
OG0000000	Prbm.g_01810	Prbc.g_00618
OG0000000	Prbm.g_01119	Prbc.g_02167
OG0000000	Prbm.g_01404	Prbc.g_02167
OG0000000	Prbm.g_01810	Prbc.g_02167
OG0000000	Prbm.g_01141	Prbc.g_00608
OG0000001	Prbm.g_01633	Prbc.g_00588
OG0000001	Prbm.g_01906	Prbc.g_00892
OG0000001	Prbm.g_00496, Prbm.g_01940	Prbc.g_01530, Prbc.g_00925
OG0000002	Prbm.g_00874	Prbc.g_01920
OG0000002	Prbm.g_01578	Prbc.g_01475
OG0000002	Prbm.g_01577	Prbc.g_01474
OG0000002	Prbm.g_01582	Prbc.g_01479
OG0000002	Prbm.g_01576	Prbc.g_01473
OG0000002	Prbm.g_01581	Prbc.g_01478
OG0000002	Prbm.g_00712	Prbc.g_01759
OG0000004	Prbm.g_01483	Prbc.g_01381
OG0000004	Prbm.g_00291	Prbc.g_00339
OG0000005	Prbm.g_01790	Prbc.g_00788
OG0000006	Prbm.g_00302	Prbc.g_02202
OG0000007	Prbm.g_00522	Prbc.g_01556
OG0000007	Prbm.g_01841	Prbc.g_00832
OG0000008	Prbm.g_01907	Prbc.g_00893
OG0000008	Prbm.g_01908	Prbc.g_00894
OG0000009	Prbm.g_01235, Prbm.g_01400	Prbc.g_01344
OG0000010	Prbm.g_01066	Prbc.g_02115
OG0000010	Prbm.g_00499	Prbc.g_01533
OG0000011	Prbm.g_01202	Prbc.g_00164
OG0000011	Prbm.g_01174	Prbc.g_00136
OG0000011	Prbm.g_01134	Prbc.g_00616
OG0000012	Prbm.g_01106	Prbc.g_02155
OG0000013	Prbm.g_00382	Prbc.g_01219
OG0000014	Prbm.g_00362	Prbc.g_01198
OG0000014	Prbm.g_02126	Prbc.g_00680
OG0000015	Prbm.g_01427, Prbm.g_01149	Prbc.g_00599
OG0000016	Prbm.g_00013	Prbc.g_01083
OG0000016	Prbm.g_01944	Prbc.g_00929
OG0000017	Prbm.g_00635	Prbc.g_01681
OG0000018	Prbm.g_01571	Prbc.g_01468
OG0000018	Prbm.g_00843	Prbc.g_01887
OG0000019	Prbm.g_00792	Prbc.g_01836
OG0000020	Prbm.g_01065	Prbc.g_02114
OG0000020	Prbm.g_01156	Prbc.g_00116
OG0000021	Prbm.g_01939	Prbc.g_00924
OG0000022	Prbm.g_01204	Prbc.g_00166
OG0000022	Prbm.g_01324	Prbc.g_01288
OG0000023	Prbm.g_01444, Prbm.g_01297	Prbc.g_00006
OG0000024	Prbm.g_01151	Prbc.g_00598
OG0000024	Prbm.g_00709	Prbc.g_01755
OG0000025	Prbm.g_00849	Prbc.g_01894
OG0000026	Prbm.g_00031	Prbc.g_01101
OG0000028	Prbm.g_01656	Prbc.g_00653
OG0000030	Prbm.g_02105	Prbc.g_00199
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Prbc.g_01228
OG0000032	Prbm.g_01747	Prbc.g_00746
OG0000033	Prbm.g_00228	Prbc.g_00402
OG0000034	Prbm.g_01620	Prbc.g_00575
OG0000035	Prbm.g_01710	Prbc.g_00709
OG0000037	Prbm.g_00166	Prbc.g_00464
OG0000038	Prbm.g_02174	Prbc.g_00995
OG0000039	Prbm.g_00723	Prbc.g_01768
OG0000040	Prbm.g_01923	Prbc.g_00909
OG0000040	Prbm.g_01813	Prbc.g_00811
OG0000041	Prbm.g_01886	Prbc.g_00877
OG0000042	Prbm.g_02102	Prbc.g_00203
OG0000043	Prbm.g_00906	Prbc.g_01953
OG0000043	Prbm.g_01173	Prbc.g_00135
OG0000044	Prbm.g_00478	Prbc.g_00533
OG0000045	Prbm.g_01088	Prbc.g_02137
OG0000046	Prbm.g_00383	Prbc.g_01220
OG0000047	Prbm.g_00428	Prbc.g_01273
OG0000047	Prbm.g_00390	Prbc.g_01227
OG0000048	Prbm.g_00329	Prbc.g_01165
OG0000050	Prbm.g_01485	Prbc.g_01383
OG0000050	Prbm.g_00118	Prbc.g_00513
OG0000051	Prbm.g_01267	Prbc.g_00088
OG0000051	Prbm.g_01276	Prbc.g_00095
OG0000052	Prbm.g_00114	Prbc.g_00518, Prbc.g_00517
OG0000053	Prbm.g_01729	Prbc.g_00728
OG0000054	Prbm.g_00637	Prbc.g_01683
OG0000055	Prbm.g_00778	Prbc.g_01822
OG0000055	Prbm.g_01921	Prbc.g_00907
OG0000056	Prbm.g_00477	Prbc.g_00011, Prbc.g_00532
OG0000057	Prbm.g_00735	Prbc.g_01780
OG0000058	Prbm.g_00881	Prbc.g_01928
OG0000059	Prbm.g_01973	Prbc.g_00958
OG0000061	Prbm.g_01549	Prbc.g_01446
OG0000062	Prbm.g_01792	Prbc.g_00790
OG0000063	Prbm.g_01947	Prbc.g_00932
OG0000065	Prbm.g_00164	Prbc.g_00466
OG0000066	Prbm.g_00572	Prbc.g_01618
OG0000067	Prbm.g_00814	Prbc.g_01858
OG0000068	Prbm.g_01660	Prbc.g_00657
OG0000069	Prbm.g_01387	Prbc.g_02181
OG0000069	Prbm.g_01753	Prbc.g_00752
OG0000070	Prbm.g_00460	Prbc.g_01511
OG0000071	Prbm.g_00468, Prbm.g_01611	Prbc.g_00566
OG0000072	Prbm.g_00230	Prbc.g_00400
OG0000073	Prbm.g_00533	Prbc.g_01579
OG0000074	Prbm.g_01099	Prbc.g_02148
OG0000074	Prbm.g_00912	Prbc.g_01960
OG0000074	Prbm.g_00717	Prbc.g_01763
OG0000075	Prbm.g_02069	Prbc.g_00236
OG0000076	Prbm.g_02094	Prbc.g_00211
OG0000077	Prbm.g_00135	Prbc.g_00495
OG0000078	Prbm.g_00300	Prbc.g_00330
OG0000079	Prbm.g_00311	Prbc.g_01148
OG0000081	Prbm.g_00564	Prbc.g_01610
OG0000082	Prbm.g_01900	Prbc.g_00891
OG0000083	Prbm.g_01988	Prbc.g_02193
OG0000083	Prbm.g_00081	Prbc.g_01233
OG0000084	Prbm.g_01706	Prbc.g_00705
OG0000085	Prbm.g_01834	Prbc.g_00826
OG0000086	Prbm.g_00145	Prbc.g_00485
OG0000087	Prbm.g_00198	Prbc.g_00432
OG0000088	Prbm.g_00225	Prbc.g_00405
OG0000089	Prbm.g_00423	Prbc.g_01268
OG0000090	Prbm.g_00566	Prbc.g_01612
OG0000091	Prbm.g_00673	Prbc.g_01719
OG0000092	Prbm.g_00934	Prbc.g_01982
OG0000093	Prbm.g_00799	Prbc.g_01843
OG0000094	Prbm.g_00888	Prbc.g_01935
OG0000095	Prbm.g_01064	Prbc.g_02113
OG0000096	Prbm.g_01359	Prbc.g_01323
OG0000097	Prbm.g_01502	Prbc.g_01400
OG0000098	Prbm.g_01630	Prbc.g_00585
OG0000099	Prbm.g_00394	Prbc.g_01229
OG0000100	Prbm.g_01787	Prbc.g_00785
OG0000101	Prbm.g_02033	Prbc.g_00284
OG0000102	Prbm.g_02099	Prbc.g_00206
OG0000103	Prbm.g_02218	Prbc.g_01053
OG0000104	Prbm.g_02229	Prbc.g_01065
OG0000105	Prbm.g_00331	Prbc.g_01167
OG0000106	Prbm.g_01172	Prbc.g_00134
OG0000106	Prbm.g_01237	Prbc.g_00641
OG0000107	Prbm.g_01949	Prbc.g_00934
OG0000108	Prbm.g_00506	Prbc.g_01540
OG0000109	Prbm.g_00519	Prbc.g_01553
OG0000110	Prbm.g_00607	Prbc.g_01654
OG0000111	Prbm.g_00736	Prbc.g_01781
OG0000112	Prbm.g_00980	Prbc.g_02028
OG0000113	Prbm.g_00838	Prbc.g_01882
OG0000113	Prbm.g_01191	Prbc.g_00153
OG0000114	Prbm.g_00929	Prbc.g_01977
OG0000115	Prbm.g_01803	Prbc.g_00801
OG0000116	Prbm.g_01560	Prbc.g_01457
OG0000117	Prbm.g_01522	Prbc.g_00102
OG0000118	Prbm.g_01622	Prbc.g_00577
OG0000119	Prbm.g_01653	Prbc.g_00650
OG0000120	Prbm.g_00707	Prbc.g_01753
OG0000121	Prbm.g_01712	Prbc.g_00711
OG0000122	Prbm.g_01751	Prbc.g_00750
OG0000123	Prbm.g_02040	Prbc.g_00277
OG0000124	Prbm.g_02111	Prbc.g_00193
OG0000125	Prbm.g_02176	Prbc.g_00997
OG0000126	Prbm.g_02228	Prbc.g_01063
OG0000127	Prbm.g_01460	Prbc.g_01352, Prbc.g_00621
OG0000127	Prbm.g_01293	Prbc.g_00002
OG0000127	Prbm.g_01292	Prbc.g_00016
OG0000128	Prbm.g_00011	Prbc.g_01081
OG0000129	Prbm.g_00053	Prbc.g_01122
OG0000130	Prbm.g_00126	Prbc.g_00504
OG0000131	Prbm.g_00204	Prbc.g_00426
OG0000132	Prbm.g_00223	Prbc.g_00407
OG0000133	Prbm.g_00377	Prbc.g_01214
OG0000134	Prbm.g_00425	Prbc.g_01270
OG0000135	Prbm.g_01389	Prbc.g_02198, Prbc.g_02183
OG0000136	Prbm.g_00451	Prbc.g_01502
OG0000137	Prbm.g_00500	Prbc.g_01534
OG0000138	Prbm.g_00520	Prbc.g_01554
OG0000139	Prbm.g_00570	Prbc.g_01616
OG0000140	Prbm.g_00571	Prbc.g_01617
OG0000141	Prbm.g_00638	Prbc.g_01684
OG0000142	Prbm.g_00666	Prbc.g_01712
OG0000143	Prbm.g_00670	Prbc.g_01716
OG0000144	Prbm.g_00683	Prbc.g_01729
OG0000145	Prbm.g_01094	Prbc.g_02142
OG0000146	Prbm.g_00979	Prbc.g_02027
OG0000147	Prbm.g_00978	Prbc.g_02026
OG0000148	Prbm.g_00832	Prbc.g_01876
OG0000149	Prbm.g_00862	Prbc.g_01908
OG0000150	Prbm.g_00870	Prbc.g_01916
OG0000151	Prbm.g_00940	Prbc.g_01988
OG0000152	Prbm.g_00988	Prbc.g_02036
OG0000153	Prbm.g_01006	Prbc.g_02054
OG0000154	Prbm.g_01035	Prbc.g_02083
OG0000155	Prbm.g_01527	Prbc.g_01424
OG0000156	Prbm.g_01600	Prbc.g_00555
OG0000157	Prbm.g_01601	Prbc.g_00556
OG0000158	Prbm.g_02077	Prbc.g_00228
OG0000160	Prbm.g_01711	Prbc.g_00710
OG0000161	Prbm.g_01717	Prbc.g_00716
OG0000162	Prbm.g_01723	Prbc.g_00722
OG0000163	Prbm.g_01759	Prbc.g_00758
OG0000164	Prbm.g_01863	Prbc.g_00854
OG0000165	Prbm.g_01871	Prbc.g_00862
OG0000166	Prbm.g_01996	Prbc.g_00321
OG0000167	Prbm.g_02067	Prbc.g_00238
OG0000168	Prbm.g_02078	Prbc.g_00227
OG0000169	Prbm.g_02088	Prbc.g_00217
OG0000170	Prbm.g_02090	Prbc.g_00215
OG0000171	Prbm.g_02110	Prbc.g_00194
OG0000172	Prbm.g_02146	Prbc.g_00967
OG0000173	Prbm.g_02161	Prbc.g_00982
OG0000174	Prbm.g_02192	Prbc.g_01013
OG0000175	Prbm.g_02209	Prbc.g_01044
OG0000176	Prbm.g_00004	Prbc.g_01074
OG0000177	Prbm.g_00005	Prbc.g_01075
OG0000178	Prbm.g_00006	Prbc.g_01076
OG0000179	Prbm.g_00016	Prbc.g_01086
OG0000180	Prbm.g_00017	Prbc.g_01087
OG0000181	Prbm.g_00018	Prbc.g_01088
OG0000182	Prbm.g_00019	Prbc.g_01089
OG0000183	Prbm.g_00023	Prbc.g_01093
OG0000184	Prbm.g_00055	Prbc.g_01124
OG0000185	Prbm.g_00058	Prbc.g_01127
OG0000186	Prbm.g_00121	Prbc.g_00509
OG0000187	Prbm.g_00122	Prbc.g_00508
OG0000188	Prbm.g_00139	Prbc.g_00491
OG0000189	Prbm.g_00153	Prbc.g_00477
OG0000190	Prbm.g_00154	Prbc.g_00476
OG0000191	Prbm.g_00177	Prbc.g_00453
OG0000192	Prbm.g_00181	Prbc.g_00449
OG0000193	Prbm.g_00205	Prbc.g_00425
OG0000194	Prbm.g_00208	Prbc.g_00422
OG0000195	Prbm.g_00210	Prbc.g_00420
OG0000196	Prbm.g_00220	Prbc.g_00410
OG0000197	Prbm.g_00221	Prbc.g_00409
OG0000198	Prbm.g_00222	Prbc.g_00408
OG0000199	Prbm.g_00229	Prbc.g_00401
OG0000200	Prbm.g_00243	Prbc.g_00388
OG0000201	Prbm.g_00252	Prbc.g_00379
OG0000202	Prbm.g_00253	Prbc.g_00378
OG0000203	Prbm.g_00254	Prbc.g_00377
OG0000204	Prbm.g_00255	Prbc.g_00376
OG0000205	Prbm.g_00262	Prbc.g_00369
OG0000206	Prbm.g_00266	Prbc.g_00365
OG0000207	Prbm.g_00268	Prbc.g_00363
OG0000208	Prbm.g_00269	Prbc.g_00362
OG0000209	Prbm.g_00278	Prbc.g_00352
OG0000210	Prbm.g_00279	Prbc.g_00351
OG0000211	Prbm.g_00293	Prbc.g_00337
OG0000212	Prbm.g_00301	Prbc.g_00329
OG0000213	Prbm.g_00317	Prbc.g_01153
OG0000214	Prbm.g_00325	Prbc.g_01161
OG0000215	Prbm.g_00349	Prbc.g_01185
OG0000216	Prbm.g_00350	Prbc.g_01186
OG0000217	Prbm.g_00353	Prbc.g_01189
OG0000218	Prbm.g_00355	Prbc.g_01191
OG0000219	Prbm.g_00356	Prbc.g_01192
OG0000220	Prbm.g_00357	Prbc.g_01193
OG0000221	Prbm.g_00358	Prbc.g_01194
OG0000222	Prbm.g_00366	Prbc.g_01202
OG0000223	Prbm.g_00378	Prbc.g_01215
OG0000224	Prbm.g_00380	Prbc.g_01217
OG0000225	Prbm.g_00411	Prbc.g_01257
OG0000226	Prbm.g_00415	Prbc.g_01261
OG0000227	Prbm.g_00417	Prbc.g_01263
OG0000228	Prbm.g_00422	Prbc.g_01267
OG0000229	Prbm.g_00446	Prbc.g_01497
OG0000230	Prbm.g_00448	Prbc.g_01499
