Orthogroup	Prbm	Prbd
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Prbd.g_01833
OG0000000	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808	Prbd.g_01914
OG0000000	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436	Prbd.g_01568
OG0000001	Prbm.g_01426	Prbd.g_01930
OG0000002	Prbm.g_00874	Prbd.g_01771
OG0000002	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Prbd.g_00566
OG0000004	Prbm.g_01483	Prbd.g_00549
OG0000004	Prbm.g_00291	Prbd.g_01007
OG0000005	Prbm.g_01790	Prbd.g_01612
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Prbd.g_00998
OG0000007	Prbm.g_00522	Prbd.g_00745
OG0000007	Prbm.g_01841	Prbd.g_01525
OG0000009	Prbm.g_01235, Prbm.g_01400	Prbd.g_01887
OG0000010	Prbm.g_01066, Prbm.g_00499	Prbd.g_00768
OG0000011	Prbm.g_01202	Prbd.g_01859
OG0000011	Prbm.g_01174	Prbd.g_00534, Prbd.g_01867
OG0000012	Prbm.g_01106	Prbd.g_00621
OG0000013	Prbm.g_00382	Prbd.g_00912
OG0000014	Prbm.g_00362	Prbd.g_00933
OG0000015	Prbm.g_01427, Prbm.g_01149	Prbd.g_00065, Prbd.g_00826
OG0000016	Prbm.g_00013	Prbd.g_01224
OG0000017	Prbm.g_00635	Prbd.g_00646
OG0000018	Prbm.g_01571	Prbd.g_00449
OG0000018	Prbm.g_00843	Prbd.g_00129
OG0000019	Prbm.g_00792	Prbd.g_00082
OG0000020	Prbm.g_01065	Prbd.g_00406
OG0000021	Prbm.g_01939	Prbd.g_01546, Prbd.g_00874
OG0000022	Prbm.g_01204	Prbd.g_00061
OG0000022	Prbm.g_01324	Prbd.g_00423
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Prbd.g_00879
OG0000024	Prbm.g_01151	Prbd.g_00045
OG0000024	Prbm.g_00709	Prbd.g_00569
OG0000025	Prbm.g_00849	Prbd.g_00137, Prbd.g_00908
OG0000026	Prbm.g_00031	Prbd.g_01206, Prbd.g_00355
OG0000028	Prbm.g_01656	Prbd.g_01864
OG0000029	Prbm.g_01823	Prbd.g_00052
OG0000030	Prbm.g_02105	Prbd.g_01325
OG0000033	Prbm.g_00228	Prbd.g_01071
OG0000034	Prbm.g_01620	Prbd.g_01791
OG0000035	Prbm.g_01710	Prbd.g_01689
OG0000037	Prbm.g_00166	Prbd.g_01135
OG0000038	Prbm.g_02174	Prbd.g_01283
OG0000039	Prbm.g_00723	Prbd.g_00558
OG0000040	Prbm.g_01409, Prbm.g_01813	Prbd.g_01550
OG0000041	Prbm.g_01886	Prbd.g_01478
OG0000042	Prbm.g_02102	Prbd.g_01328
OG0000043	Prbm.g_00906	Prbd.g_00174
OG0000043	Prbm.g_01173	Prbd.g_01891
OG0000045	Prbm.g_01088	Prbd.g_00867
OG0000047	Prbm.g_00390	Prbd.g_00909
OG0000048	Prbm.g_00329	Prbd.g_00439, Prbd.g_00864
OG0000050	Prbm.g_01485	Prbd.g_01928
OG0000050	Prbm.g_00118	Prbd.g_00375
OG0000051	Prbm.g_01276	Prbd.g_01544
OG0000053	Prbm.g_01729	Prbd.g_01669
OG0000054	Prbm.g_00637	Prbd.g_00638
OG0000055	Prbm.g_00778	Prbd.g_00083
OG0000057	Prbm.g_00735	Prbd.g_00546
OG0000058	Prbm.g_00881	Prbd.g_01733
OG0000059	Prbm.g_01973	Prbd.g_01439
OG0000060	Prbm.g_01422	Prbd.g_00824
OG0000061	Prbm.g_01549	Prbd.g_00468
OG0000062	Prbm.g_01792	Prbd.g_01610
OG0000063	Prbm.g_01947	Prbd.g_01204
OG0000065	Prbm.g_00164	Prbd.g_01137
OG0000066	Prbm.g_00572	Prbd.g_00703
OG0000067	Prbm.g_00814	Prbd.g_00102
OG0000068	Prbm.g_01660	Prbd.g_01764
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prbd.g_01575
OG0000070	Prbm.g_00460	Prbd.g_00792
OG0000071	Prbm.g_00468, Prbm.g_01611	Prbd.g_01801
OG0000072	Prbm.g_00230	Prbd.g_01069
OG0000073	Prbm.g_00533	Prbd.g_00743
OG0000074	Prbm.g_00717	Prbd.g_00562
OG0000075	Prbm.g_02069	Prbd.g_01359
OG0000076	Prbm.g_02094	Prbd.g_01335
OG0000077	Prbm.g_00135	Prbd.g_01166
OG0000078	Prbm.g_00300	Prbd.g_01000
OG0000079	Prbm.g_00311	Prbd.g_00987
OG0000081	Prbm.g_00564	Prbd.g_00711
OG0000082	Prbm.g_01900	Prbd.g_00658
OG0000083	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081	Prbd.g_00038, Prbd.g_01855, Prbd.g_00031
OG0000084	Prbm.g_01706	Prbd.g_01693
OG0000085	Prbm.g_01834	Prbd.g_01532
OG0000086	Prbm.g_00145	Prbd.g_01156
OG0000087	Prbm.g_00198	Prbd.g_01104, Prbd.g_01103
OG0000088	Prbm.g_00225	Prbd.g_01074
OG0000089	Prbm.g_00423	Prbd.g_00883
OG0000090	Prbm.g_00566	Prbd.g_00709
OG0000091	Prbm.g_00673	Prbd.g_00602
OG0000092	Prbm.g_00934	Prbd.g_00211
OG0000093	Prbm.g_00799	Prbd.g_00232
OG0000094	Prbm.g_00888	Prbd.g_00321
OG0000095	Prbm.g_01064	Prbd.g_00340
OG0000096	Prbm.g_01359	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000097	Prbm.g_01502	Prbd.g_00509
OG0000098	Prbm.g_01630	Prbd.g_01782
OG0000099	Prbm.g_00394	Prbd.g_01734
OG0000100	Prbm.g_01787	Prbd.g_01614
OG0000101	Prbm.g_02033	Prbd.g_01391
OG0000102	Prbm.g_02099	Prbd.g_01330
OG0000103	Prbm.g_02218	Prbd.g_01250
OG0000104	Prbm.g_02229	Prbd.g_01241
OG0000105	Prbm.g_00331	Prbd.g_00965
OG0000106	Prbm.g_01172, Prbm.g_01237	Prbd.g_00868
OG0000107	Prbm.g_01949	Prbd.g_00852
OG0000108	Prbm.g_00506	Prbd.g_00762
OG0000109	Prbm.g_00519	Prbd.g_00748
OG0000110	Prbm.g_00607	Prbd.g_00668
OG0000111	Prbm.g_00736	Prbd.g_00545
OG0000112	Prbm.g_00980	Prbd.g_00066
OG0000113	Prbm.g_00838, Prbm.g_01191	Prbd.g_00124
OG0000114	Prbm.g_00929	Prbd.g_00206
OG0000115	Prbm.g_01803	Prbd.g_00401
OG0000116	Prbm.g_01560	Prbd.g_00458
OG0000117	Prbm.g_01522	Prbd.g_01895
OG0000118	Prbm.g_01622	Prbd.g_01789
OG0000119	Prbm.g_01653	Prbd.g_01768
OG0000120	Prbm.g_00707	Prbd.g_01737
OG0000121	Prbm.g_01712	Prbd.g_01687
OG0000122	Prbm.g_01751	Prbd.g_01649
OG0000123	Prbm.g_02040	Prbd.g_01384
OG0000124	Prbm.g_02111	Prbd.g_01318
OG0000125	Prbm.g_02176	Prbd.g_01281
OG0000126	Prbm.g_02228	Prbd.g_01242
OG0000128	Prbm.g_00011	Prbd.g_01226
OG0000129	Prbm.g_00053	Prbd.g_01194
OG0000130	Prbm.g_00126	Prbd.g_01175
OG0000131	Prbm.g_00204	Prbd.g_01095
OG0000132	Prbm.g_00223	Prbd.g_01076
OG0000133	Prbm.g_00377	Prbd.g_00917
OG0000134	Prbm.g_00425	Prbd.g_00882
OG0000135	Prbm.g_01389	Prbd.g_00855
OG0000136	Prbm.g_00451	Prbd.g_01722, Prbd.g_00801
OG0000137	Prbm.g_00500	Prbd.g_00767
OG0000138	Prbm.g_00520	Prbd.g_00747
OG0000139	Prbm.g_00570	Prbd.g_00705
OG0000140	Prbm.g_00571	Prbd.g_00704
OG0000141	Prbm.g_00638	Prbd.g_00637
OG0000142	Prbm.g_00666	Prbd.g_00609
OG0000143	Prbm.g_00670	Prbd.g_00605
OG0000144	Prbm.g_00683	Prbd.g_00592
OG0000145	Prbm.g_01094	Prbd.g_00062
OG0000146	Prbm.g_00979	Prbd.g_00067
OG0000147	Prbm.g_00978	Prbd.g_00068
OG0000148	Prbm.g_00832	Prbd.g_00118
OG0000149	Prbm.g_00862	Prbd.g_00149
OG0000150	Prbm.g_00870	Prbd.g_00157
OG0000151	Prbm.g_00940	Prbd.g_00216
OG0000152	Prbm.g_00988	Prbd.g_00264
OG0000153	Prbm.g_01006	Prbd.g_00283
OG0000154	Prbm.g_01035	Prbd.g_00314
OG0000155	Prbm.g_01527	Prbd.g_00488
OG0000156	Prbm.g_01600	Prbd.g_01812
OG0000157	Prbm.g_01601	Prbd.g_01811
