Orthogroup	Prbm	Syas
OG0000004	Prbm.g_01483	Syas.g_00176
OG0000004	Prbm.g_00291	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbm.g_01790	Syas.g_02704
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbm.g_00522	Syas.g_01232
OG0000007	Prbm.g_01841	Syas.g_02681
OG0000008	Prbm.g_01907	Syas.g_00886
OG0000008	Prbm.g_01908	Syas.g_00887
OG0000010	Prbm.g_01066, Prbm.g_00499	Syas.g_01334
OG0000013	Prbm.g_00382	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbm.g_00362	Syas.g_01816
OG0000016	Prbm.g_00013	Syas.g_02048
OG0000016	Prbm.g_01944	Syas.g_01086, Syas.g_01050
OG0000017	Prbm.g_00635	Syas.g_00849
OG0000018	Prbm.g_01571, Prbm.g_00843	Syas.g_01290
OG0000019	Prbm.g_00792	Syas.g_01696
OG0000022	Prbm.g_01204, Prbm.g_01324	Syas.g_02758
OG0000025	Prbm.g_00849	Syas.g_00231
OG0000026	Prbm.g_00031	Syas.g_02070
OG0000028	Prbm.g_01656	Syas.g_01793
OG0000030	Prbm.g_02105	Syas.g_01644, Syas.g_01645
OG0000033	Prbm.g_00228	Syas.g_02328
OG0000034	Prbm.g_01620	Syas.g_02371, Syas.g_02838
OG0000035	Prbm.g_01710	Syas.g_02814, Syas.g_02818
OG0000037	Prbm.g_00166	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbm.g_02174	Syas.g_01885, Syas.g_01887
OG0000039	Prbm.g_00723	Syas.g_02795
OG0000040	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813	Syas.g_02028
OG0000042	Prbm.g_02102	Syas.g_01121, Syas.g_02147
OG0000044	Prbm.g_00478, Prbm.g_01281	Syas.g_00894, Syas.g_02453
OG0000046	Prbm.g_00383	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbm.g_00329	Syas.g_01734
OG0000051	Prbm.g_01267, Prbm.g_01276	Syas.g_01445
OG0000053	Prbm.g_01729	Syas.g_01287
OG0000054	Prbm.g_00637	Syas.g_00961
