Orthogroup	Prbm	Syan
OG0000004	Prbm.g_01483	Syan.g_00183
OG0000004	Prbm.g_00291	Syan.g_00989
OG0000005	Prbm.g_01790	Syan.g_01378
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbm.g_00522	Syan.g_02743
OG0000007	Prbm.g_01841	Syan.g_01400
OG0000008	Prbm.g_01907	Syan.g_00640, Syan.g_02532
OG0000008	Prbm.g_01908	Syan.g_00641, Syan.g_02531
OG0000009	Prbm.g_01235, Prbm.g_01400	Syan.g_02972
OG0000010	Prbm.g_01066, Prbm.g_00499	Syan.g_02847
OG0000012	Prbm.g_01106	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbm.g_00382	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbm.g_00362	Syan.g_01987
OG0000016	Prbm.g_00013	Syan.g_01766
OG0000016	Prbm.g_01944	Syan.g_02598, Syan.g_00440
OG0000017	Prbm.g_00635	Syan.g_01006
OG0000018	Prbm.g_01571, Prbm.g_00843	Syan.g_02816
OG0000019	Prbm.g_00792	Syan.g_02088
OG0000021	Prbm.g_01939	Syan.g_01001
OG0000022	Prbm.g_01204, Prbm.g_01324	Syan.g_00089
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syan.g_00404
OG0000025	Prbm.g_00849	Syan.g_00374
OG0000026	Prbm.g_00031	Syan.g_01743
OG0000028	Prbm.g_01656	Syan.g_01971
OG0000030	Prbm.g_02105	Syan.g_01884, Syan.g_01883
OG0000032	Prbm.g_01747	Syan.g_02835
OG0000033	Prbm.g_00228	Syan.g_03036
OG0000034	Prbm.g_01620	Syan.g_01227, Syan.g_03003
OG0000035	Prbm.g_01710	Syan.g_01276
OG0000037	Prbm.g_00166	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbm.g_02174	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prbm.g_00723	Syan.g_02771, Syan.g_00535
OG0000041	Prbm.g_01886	Syan.g_01465
OG0000042	Prbm.g_02102	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prbm.g_00478, Prbm.g_01281	Syan.g_01065
OG0000045	Prbm.g_01088	Syan.g_00086, Syan.g_00151
OG0000046	Prbm.g_00383	Syan.g_02157, Syan.g_02160
OG0000048	Prbm.g_00329	Syan.g_02036
OG0000052	Prbm.g_00114	Syan.g_01954, Syan.g_01953
OG0000053	Prbm.g_01729	Syan.g_02812
OG0000054	Prbm.g_00637	Syan.g_02503
OG0000055	Prbm.g_00778, Prbm.g_01921	Syan.g_00312
OG0000058	Prbm.g_00881	Syan.g_01128, Syan.g_01124
OG0000060	Prbm.g_01422	Syan.g_00277
OG0000061	Prbm.g_01549	Syan.g_02696
OG0000062	Prbm.g_01792	Syan.g_00098
OG0000063	Prbm.g_01947	Syan.g_01739
OG0000065	Prbm.g_00164	Syan.g_02974
OG0000066	Prbm.g_00572	Syan.g_01156
OG0000067	Prbm.g_00814	Syan.g_00690
OG0000068	Prbm.g_01660	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Syan.g_00278
OG0000070	Prbm.g_00460	Syan.g_00289
OG0000071	Prbm.g_00468, Prbm.g_01611	Syan.g_01213
OG0000072	Prbm.g_00230	Syan.g_03038, Syan.g_02999
OG0000073	Prbm.g_00533	Syan.g_02741
OG0000075	Prbm.g_02069	Syan.g_00981, Syan.g_01937
OG0000076	Prbm.g_02094	Syan.g_01896
OG0000077	Prbm.g_00135	Syan.g_02919, Syan.g_02579
OG0000079	Prbm.g_00311	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prbm.g_01900	Syan.g_00952
OG0000085	Prbm.g_01834	Syan.g_01387
OG0000086	Prbm.g_00145	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prbm.g_00198	Syan.g_02268
OG0000088	Prbm.g_00225	Syan.g_03031
OG0000089	Prbm.g_00423	Syan.g_02316
OG0000090	Prbm.g_00566	Syan.g_01166
OG0000091	Prbm.g_00673	Syan.g_00235, Syan.g_00808
OG0000092	Prbm.g_00934	Syan.g_02502
OG0000093	Prbm.g_00799	Syan.g_02934
OG0000094	Prbm.g_00888	Syan.g_00065
OG0000097	Prbm.g_01502	Syan.g_00160, Syan.g_00733
OG0000098	Prbm.g_01630	Syan.g_00043
OG0000099	Prbm.g_00394	Syan.g_01968
OG0000100	Prbm.g_01787	Syan.g_00658
OG0000101	Prbm.g_02033	Syan.g_02199
OG0000102	Prbm.g_02099	Syan.g_01891
OG0000103	Prbm.g_02218	Syan.g_01692
OG0000104	Prbm.g_02229	Syan.g_01792
OG0000105	Prbm.g_00331	Syan.g_02031
OG0000106	Prbm.g_01172, Prbm.g_01237	Syan.g_00076
