Orthogroup	Prbm	Syae
OG0000001	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426	Syae.g_02061
OG0000004	Prbm.g_01483	Syae.g_00779
OG0000004	Prbm.g_00291	Syae.g_00042, Syae.g_02231
OG0000005	Prbm.g_01790	Syae.g_01143
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syae.g_02030, Syae.g_02248
OG0000007	Prbm.g_00522	Syae.g_02328
OG0000007	Prbm.g_01841	Syae.g_01163
OG0000008	Prbm.g_01907	Syae.g_00753
OG0000008	Prbm.g_01908	Syae.g_00752
OG0000009	Prbm.g_01235, Prbm.g_01400	Syae.g_00561, Syae.g_00171
OG0000010	Prbm.g_01066, Prbm.g_00499	Syae.g_02529
OG0000011	Prbm.g_01202	Syae.g_00268
OG0000011	Prbm.g_01134	Syae.g_00871
OG0000013	Prbm.g_00382	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prbm.g_00362	Syae.g_01930
OG0000014	Prbm.g_02126	Syae.g_01850
OG0000015	Prbm.g_01427, Prbm.g_01149	Syae.g_00590
OG0000016	Prbm.g_00013	Syae.g_01726
OG0000016	Prbm.g_01944	Syae.g_00681, Syae.g_00233
OG0000017	Prbm.g_00635	Syae.g_02462
OG0000018	Prbm.g_01571, Prbm.g_00843	Syae.g_02625
OG0000019	Prbm.g_00792	Syae.g_02015
OG0000021	Prbm.g_01939	Syae.g_01261
OG0000022	Prbm.g_01204, Prbm.g_01324	Syae.g_00144
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syae.g_00439, Syae.g_00930
OG0000025	Prbm.g_00849	Syae.g_00833
OG0000026	Prbm.g_00031	Syae.g_01748
OG0000028	Prbm.g_01656	Syae.g_01916
OG0000029	Prbm.g_01823	Syae.g_00136
OG0000030	Prbm.g_02105	Syae.g_01817, Syae.g_01816
OG0000032	Prbm.g_01747	Syae.g_02607
OG0000033	Prbm.g_00228	Syae.g_01453
OG0000034	Prbm.g_01620	Syae.g_00975, Syae.g_01424
OG0000035	Prbm.g_01710	Syae.g_02653
OG0000037	Prbm.g_00166	Syae.g_01367
OG0000038	Prbm.g_02174	Syae.g_01571
OG0000039	Prbm.g_00723	Syae.g_00822, Syae.g_02495
OG0000041	Prbm.g_01886	Syae.g_01042
OG0000042	Prbm.g_02102	Syae.g_01821
OG0000043	Prbm.g_00906, Prbm.g_01173	Syae.g_00117
OG0000044	Prbm.g_00478, Prbm.g_01281	Syae.g_01067
OG0000046	Prbm.g_00383	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Prbm.g_00428, Prbm.g_00390	Syae.g_02184
OG0000048	Prbm.g_00329	Syae.g_01982
OG0000050	Prbm.g_01485	Syae.g_00122
OG0000053	Prbm.g_01729	Syae.g_02629
OG0000054	Prbm.g_00637	Syae.g_00014
OG0000055	Prbm.g_00778	Syae.g_00817
OG0000057	Prbm.g_00735	Syae.g_00782
OG0000058	Prbm.g_00881	Syae.g_01905
OG0000059	Prbm.g_01973	Syae.g_02074
OG0000060	Prbm.g_01422	Syae.g_00649
OG0000061	Prbm.g_01549	Syae.g_00921
OG0000063	Prbm.g_01947	Syae.g_01752
OG0000065	Prbm.g_00164	Syae.g_00722, Syae.g_01363
OG0000066	Prbm.g_00572	Syae.g_02386
OG0000067	Prbm.g_00814	Syae.g_00521
OG0000068	Prbm.g_01660	Syae.g_02299
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Syae.g_00458
