Orthogroup	Prbm	Prad
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Prad.g_00352
OG0000000	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808	Prad.g_01982
OG0000000	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436	Prad.g_00392
OG0000000	Prbm.g_01119, Prbm.g_01404, Prbm.g_01810, Prbm.g_01141	Prad.g_01297
OG0000001	Prbm.g_01426	Prad.g_01434, Prad.g_01994
OG0000002	Prbm.g_00874	Prad.g_00601
OG0000002	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Prad.g_01252
OG0000004	Prbm.g_01483	Prad.g_01269
OG0000004	Prbm.g_00291	Prad.g_01759
OG0000005	Prbm.g_01790	Prad.g_00438
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Prad.g_01750
OG0000007	Prbm.g_00522	Prad.g_00132
OG0000007	Prbm.g_01841	Prad.g_00941
OG0000009	Prbm.g_01235, Prbm.g_01400	Prad.g_00317
OG0000010	Prbm.g_01066, Prbm.g_00499	Prad.g_00033
OG0000011	Prbm.g_01202	Prad.g_00339
OG0000011	Prbm.g_01174	Prad.g_01212
OG0000012	Prbm.g_01106	Prad.g_01412
OG0000013	Prbm.g_00382	Prad.g_01664
OG0000014	Prbm.g_00362	Prad.g_01685
OG0000015	Prbm.g_01427, Prbm.g_01149	Prad.g_01108
OG0000016	Prbm.g_00013	Prad.g_01973
OG0000017	Prbm.g_00635	Prad.g_01387
OG0000018	Prbm.g_01571	Prad.g_01515
OG0000018	Prbm.g_00843	Prad.g_01173
OG0000019	Prbm.g_00792	Prad.g_01125
OG0000020	Prbm.g_01065	Prad.g_00647
OG0000020	Prbm.g_01156	Prad.g_01299
OG0000021	Prbm.g_01939	Prad.g_01981, Prad.g_00745
OG0000022	Prbm.g_01204	Prad.g_01105
OG0000022	Prbm.g_01324	Prad.g_01993
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Prad.g_00751
OG0000024	Prbm.g_01151	Prad.g_01088
OG0000024	Prbm.g_00709	Prad.g_01249
OG0000025	Prbm.g_00849	Prad.g_01181, Prad.g_01660
OG0000026	Prbm.g_00031	Prad.g_01955, Prad.g_01004
OG0000028	Prbm.g_01656	Prad.g_01204
OG0000029	Prbm.g_01823	Prad.g_01096
OG0000032	Prbm.g_01747	Prad.g_00572
OG0000033	Prbm.g_00228	Prad.g_01822
OG0000034	Prbm.g_01620	Prad.g_00618
OG0000035	Prbm.g_01710	Prad.g_00515
OG0000037	Prbm.g_00166	Prad.g_01884
OG0000038	Prbm.g_02174	Prad.g_01582
OG0000039	Prbm.g_00723	Prad.g_01260
OG0000040	Prbm.g_01409, Prbm.g_01813	Prad.g_00369
OG0000041	Prbm.g_01886	Prad.g_00894
OG0000042	Prbm.g_02102	Prad.g_01624
OG0000043	Prbm.g_00906	Prad.g_00276
OG0000043	Prbm.g_01173	Prad.g_00313
OG0000044	Prbm.g_01281	Prad.g_01213
OG0000045	Prbm.g_01088	Prad.g_00738
OG0000047	Prbm.g_00428	Prad.g_00683
OG0000047	Prbm.g_00390	Prad.g_01661
OG0000048	Prbm.g_00329	Prad.g_00735
OG0000050	Prbm.g_01485	Prad.g_01291
OG0000050	Prbm.g_00118	Prad.g_00985
OG0000052	Prbm.g_00114	Prad.g_00571
OG0000053	Prbm.g_01729	Prad.g_00494
OG0000054	Prbm.g_00637	Prad.g_01395
OG0000055	Prbm.g_00778	Prad.g_01126
OG0000057	Prbm.g_00735	Prad.g_01272
OG0000058	Prbm.g_00881	Prad.g_00565
OG0000059	Prbm.g_01973	Prad.g_00855
OG0000061	Prbm.g_01549	Prad.g_01496
OG0000062	Prbm.g_01792	Prad.g_00436
OG0000063	Prbm.g_01947	Prad.g_01953, Prad.g_00081
OG0000065	Prbm.g_00164	Prad.g_01886
OG0000066	Prbm.g_00572	Prad.g_00090
OG0000067	Prbm.g_00814	Prad.g_01146
OG0000068	Prbm.g_01660	Prad.g_00594
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prad.g_00952, Prad.g_00400
OG0000070	Prbm.g_00460	Prad.g_00057
OG0000071	Prbm.g_00468, Prbm.g_01611	Prad.g_00628
OG0000072	Prbm.g_00230	Prad.g_01820
OG0000073	Prbm.g_00533	Prad.g_00130
OG0000074	Prbm.g_00717	Prad.g_01256
OG0000075	Prbm.g_02069	Prad.g_00775
OG0000076	Prbm.g_02094	Prad.g_01631
OG0000077	Prbm.g_00135	Prad.g_01915
OG0000078	Prbm.g_00300	Prad.g_01752
OG0000079	Prbm.g_00311	Prad.g_01739
OG0000081	Prbm.g_00564	Prad.g_00098
OG0000082	Prbm.g_01900	Prad.g_01374
OG0000083	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081	Prad.g_01082, Prad.g_00345, Prad.g_01075
OG0000084	Prbm.g_01706	Prad.g_00519
OG0000085	Prbm.g_01834	Prad.g_00948
OG0000086	Prbm.g_00145	Prad.g_01905
OG0000087	Prbm.g_00198	Prad.g_01854
OG0000088	Prbm.g_00225	Prad.g_01825
OG0000089	Prbm.g_00423	Prad.g_00755
OG0000090	Prbm.g_00566	Prad.g_00096
OG0000091	Prbm.g_00673	Prad.g_01431
OG0000092	Prbm.g_00934	Prad.g_00240
OG0000093	Prbm.g_00799	Prad.g_00218
OG0000094	Prbm.g_00888	Prad.g_01038
OG0000095	Prbm.g_01064	Prad.g_01018
OG0000096	Prbm.g_01359	Prad.g_00650, Prad.g_00330
OG0000097	Prbm.g_01502	Prad.g_01454
OG0000098	Prbm.g_01630	Prad.g_00612
OG0000099	Prbm.g_00394	Prad.g_00566
OG0000100	Prbm.g_01787	Prad.g_00440
OG0000101	Prbm.g_02033	Prad.g_00807
OG0000102	Prbm.g_02099	Prad.g_01626
OG0000103	Prbm.g_02218	Prad.g_01548
OG0000104	Prbm.g_02229	Prad.g_01540
OG0000105	Prbm.g_00331	Prad.g_01717
OG0000106	Prbm.g_01172, Prbm.g_01237	Prad.g_00739
OG0000107	Prbm.g_01949	Prad.g_00724
OG0000108	Prbm.g_00506	Prad.g_00027
OG0000109	Prbm.g_00519	Prad.g_00013
OG0000110	Prbm.g_00607	Prad.g_01364
OG0000111	Prbm.g_00736	Prad.g_01273
OG0000112	Prbm.g_00980	Prad.g_01109
OG0000113	Prbm.g_00838, Prbm.g_01191	Prad.g_01168
OG0000114	Prbm.g_00929	Prad.g_00245
OG0000115	Prbm.g_01803	Prad.g_00641
OG0000116	Prbm.g_01560	Prad.g_01506
OG0000117	Prbm.g_01522	Prad.g_01214
OG0000118	Prbm.g_01622	Prad.g_00616
OG0000119	Prbm.g_01653	Prad.g_00598
OG0000120	Prbm.g_00707	Prad.g_00564
OG0000121	Prbm.g_01712	Prad.g_00513
OG0000122	Prbm.g_01751	Prad.g_00474
OG0000123	Prbm.g_02040	Prad.g_00800
OG0000124	Prbm.g_02111	Prad.g_01616
OG0000125	Prbm.g_02176	Prad.g_01580
OG0000126	Prbm.g_02228	Prad.g_01541
OG0000128	Prbm.g_00011	Prad.g_01975
OG0000129	Prbm.g_00053	Prad.g_01943
OG0000130	Prbm.g_00126	Prad.g_01924
OG0000131	Prbm.g_00204	Prad.g_01846
OG0000132	Prbm.g_00223	Prad.g_01827
OG0000133	Prbm.g_00377	Prad.g_01669
OG0000134	Prbm.g_00425	Prad.g_00754
OG0000135	Prbm.g_01389	Prad.g_00727
OG0000136	Prbm.g_00451	Prad.g_00066
OG0000137	Prbm.g_00500	Prad.g_00032
OG0000138	Prbm.g_00520	Prad.g_00012
OG0000139	Prbm.g_00570	Prad.g_00092
OG0000140	Prbm.g_00571	Prad.g_00091
OG0000141	Prbm.g_00638	Prad.g_01396
OG0000142	Prbm.g_00666	Prad.g_01424
OG0000143	Prbm.g_00670	Prad.g_01428
OG0000144	Prbm.g_00683	Prad.g_01226
OG0000145	Prbm.g_01094	Prad.g_01107
OG0000146	Prbm.g_00979	Prad.g_01110
OG0000147	Prbm.g_00978	Prad.g_01111
OG0000148	Prbm.g_00832	Prad.g_01162
OG0000149	Prbm.g_00862	Prad.g_00301
OG0000150	Prbm.g_00870	Prad.g_00293
OG0000151	Prbm.g_00940	Prad.g_00235
OG0000152	Prbm.g_00988	Prad.g_00186
OG0000153	Prbm.g_01006	Prad.g_00167
OG0000154	Prbm.g_01035	Prad.g_00139
OG0000155	Prbm.g_01527	Prad.g_01476
OG0000156	Prbm.g_01600	Prad.g_00359
OG0000157	Prbm.g_01601	Prad.g_00360
OG0000158	Prbm.g_02077	Prad.g_00567
OG0000159	Prbm.g_02133, Prbm.g_02115	Prad.g_00563
OG0000160	Prbm.g_01711	Prad.g_00514
OG0000161	Prbm.g_01717	Prad.g_00508
OG0000162	Prbm.g_01723	Prad.g_00502
OG0000163	Prbm.g_01759	Prad.g_00467
OG0000164	Prbm.g_01863	Prad.g_00917
OG0000165	Prbm.g_01871	Prad.g_00910
OG0000166	Prbm.g_01996	Prad.g_00843
OG0000167	Prbm.g_02067	Prad.g_00777
OG0000168	Prbm.g_02078	Prad.g_00767
OG0000169	Prbm.g_02088	Prad.g_01637
OG0000170	Prbm.g_02090	Prad.g_01635
OG0000171	Prbm.g_02110	Prad.g_01617
OG0000172	Prbm.g_02146	Prad.g_01609
OG0000173	Prbm.g_02161	Prad.g_01594
OG0000174	Prbm.g_02192	Prad.g_01566
OG0000175	Prbm.g_02209	Prad.g_01556
OG0000176	Prbm.g_00004	Prad.g_01532
OG0000177	Prbm.g_00005	Prad.g_01531
OG0000178	Prbm.g_00006	Prad.g_01530
OG0000179	Prbm.g_00016	Prad.g_01970
OG0000180	Prbm.g_00017	Prad.g_01969
OG0000181	Prbm.g_00018	Prad.g_01968
OG0000182	Prbm.g_00019	Prad.g_01967
OG0000183	Prbm.g_00023	Prad.g_01963
OG0000184	Prbm.g_00055	Prad.g_01940
OG0000185	Prbm.g_00058	Prad.g_01937
OG0000186	Prbm.g_00121	Prad.g_01929
OG0000187	Prbm.g_00122	Prad.g_01928
OG0000188	Prbm.g_00139	Prad.g_01911
OG0000189	Prbm.g_00153	Prad.g_01897
OG0000190	Prbm.g_00154	Prad.g_01896
OG0000191	Prbm.g_00177	Prad.g_01876
OG0000192	Prbm.g_00181	Prad.g_01872
OG0000193	Prbm.g_00205	Prad.g_01845
OG0000194	Prbm.g_00208	Prad.g_01842
OG0000195	Prbm.g_00210	Prad.g_01840
OG0000196	Prbm.g_00220	Prad.g_01830
OG0000197	Prbm.g_00221	Prad.g_01829
OG0000198	Prbm.g_00222	Prad.g_01828
OG0000199	Prbm.g_00229	Prad.g_01821
OG0000200	Prbm.g_00243	Prad.g_01807
OG0000201	Prbm.g_00252	Prad.g_01799
OG0000202	Prbm.g_00253	Prad.g_01798
OG0000203	Prbm.g_00254	Prad.g_01797
OG0000204	Prbm.g_00255	Prad.g_01796
OG0000205	Prbm.g_00262	Prad.g_01789
OG0000206	Prbm.g_00266	Prad.g_01784
OG0000207	Prbm.g_00268	Prad.g_01782
OG0000208	Prbm.g_00269	Prad.g_01781
OG0000209	Prbm.g_00278	Prad.g_01772
OG0000210	Prbm.g_00279	Prad.g_01771
OG0000211	Prbm.g_00293	Prad.g_01758
OG0000212	Prbm.g_00301	Prad.g_01751
OG0000213	Prbm.g_00317	Prad.g_01734
OG0000214	Prbm.g_00325	Prad.g_01724
OG0000215	Prbm.g_00349	Prad.g_01699
OG0000216	Prbm.g_00350	Prad.g_01697
OG0000217	Prbm.g_00353	Prad.g_01694
OG0000218	Prbm.g_00355	Prad.g_01692
OG0000219	Prbm.g_00356	Prad.g_01691
OG0000220	Prbm.g_00357	Prad.g_01690
OG0000221	Prbm.g_00358	Prad.g_01689
OG0000222	Prbm.g_00366	Prad.g_01681
OG0000223	Prbm.g_00378	Prad.g_01668
OG0000224	Prbm.g_00380	Prad.g_01666
OG0000225	Prbm.g_00411	Prad.g_01645
OG0000226	Prbm.g_00415	Prad.g_00761
OG0000227	Prbm.g_00417	Prad.g_00759
OG0000228	Prbm.g_00422	Prad.g_00756
OG0000229	Prbm.g_00446	Prad.g_00666
OG0000230	Prbm.g_00448	Prad.g_00069
OG0000231	Prbm.g_00459	Prad.g_00058
OG0000232	Prbm.g_00484	Prad.g_00049
OG0000233	Prbm.g_00492	Prad.g_00043
OG0000234	Prbm.g_00501	Prad.g_00031
OG0000235	Prbm.g_00505	Prad.g_00028
OG0000236	Prbm.g_00518	Prad.g_00014
OG0000237	Prbm.g_00540	Prad.g_00123
OG0000238	Prbm.g_00546	Prad.g_00117
OG0000239	Prbm.g_00558	Prad.g_00104
OG0000240	Prbm.g_00559	Prad.g_00103
OG0000241	Prbm.g_00563	Prad.g_00099
OG0000242	Prbm.g_00565	Prad.g_00097
OG0000243	Prbm.g_00576	Prad.g_01333
OG0000244	Prbm.g_00579	Prad.g_01336
OG0000245	Prbm.g_00581	Prad.g_01338
OG0000246	Prbm.g_00585	Prad.g_01342
OG0000247	Prbm.g_00595	Prad.g_01352
OG0000248	Prbm.g_00597	Prad.g_01354
OG0000249	Prbm.g_00599	Prad.g_01356
OG0000250	Prbm.g_00604	Prad.g_01361
OG0000251	Prbm.g_00620	Prad.g_01380
OG0000252	Prbm.g_00623	Prad.g_01383
OG0000253	Prbm.g_00625	Prad.g_01384
OG0000254	Prbm.g_00642	Prad.g_01400
OG0000255	Prbm.g_00648	Prad.g_01406
OG0000256	Prbm.g_00658	Prad.g_01416
OG0000257	Prbm.g_00661	Prad.g_01419
OG0000258	Prbm.g_00674	Prad.g_01432
OG0000259	Prbm.g_00691	Prad.g_01234
OG0000260	Prbm.g_00694	Prad.g_01237
OG0000261	Prbm.g_00697	Prad.g_01239
OG0000262	Prbm.g_00702	Prad.g_01243
OG0000263	Prbm.g_00716	Prad.g_01255
OG0000264	Prbm.g_00728	Prad.g_01265
