Orthogroup	Prbm	Syaa
OG0000004	Prbm.g_01483	Syaa.g_00892
OG0000004	Prbm.g_00291	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbm.g_01790	Syaa.g_00573
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbm.g_00522	Syaa.g_02032
OG0000007	Prbm.g_01841	Syaa.g_00551
OG0000008	Prbm.g_01907	Syaa.g_00918
OG0000008	Prbm.g_01908	Syaa.g_00919
OG0000010	Prbm.g_01066, Prbm.g_00499	Syaa.g_01843
OG0000013	Prbm.g_00382	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbm.g_00362	Syaa.g_00222
OG0000014	Prbm.g_02126	Syaa.g_00481
OG0000015	Prbm.g_01427, Prbm.g_01149	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbm.g_00013	Syaa.g_00014
OG0000016	Prbm.g_01944	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbm.g_00635	Syaa.g_01890
OG0000018	Prbm.g_01571, Prbm.g_00843	Syaa.g_01801
OG0000019	Prbm.g_00792	Syaa.g_00307
OG0000022	Prbm.g_01204, Prbm.g_01324	Syaa.g_01571
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbm.g_01151, Prbm.g_00709	Syaa.g_00922
OG0000025	Prbm.g_00849	Syaa.g_00839
OG0000026	Prbm.g_00031	Syaa.g_00038
OG0000028	Prbm.g_01656	Syaa.g_00205
OG0000029	Prbm.g_01823	Syaa.g_01578
OG0000030	Prbm.g_02105	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syaa.g_00480
OG0000032	Prbm.g_01747	Syaa.g_01818
OG0000033	Prbm.g_00228	Syaa.g_02478
OG0000034	Prbm.g_01620	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbm.g_01710	Syaa.g_01773
OG0000037	Prbm.g_00166	Syaa.g_02384
OG0000038	Prbm.g_02174	Syaa.g_02596
OG0000039	Prbm.g_00723	Syaa.g_00846
OG0000040	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813	Syaa.g_01606
OG0000041	Prbm.g_01886	Syaa.g_00660
OG0000042	Prbm.g_02102	Syaa.g_00103
OG0000043	Prbm.g_01173	Syaa.g_01437
OG0000045	Prbm.g_01088	Syaa.g_01560
OG0000046	Prbm.g_00383	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbm.g_00428, Prbm.g_00390	Syaa.g_02189
OG0000048	Prbm.g_00329	Syaa.g_02719, Syaa.g_00275
OG0000050	Prbm.g_01485	Syaa.g_01591
OG0000053	Prbm.g_01729	Syaa.g_01797
OG0000054	Prbm.g_00637	Syaa.g_01691
OG0000055	Prbm.g_00778	Syaa.g_00852
OG0000055	Prbm.g_01921	Syaa.g_01564
OG0000057	Prbm.g_00735	Syaa.g_00889
OG0000058	Prbm.g_00881	Syaa.g_00193
OG0000059	Prbm.g_01973	Syaa.g_02315
OG0000060	Prbm.g_01422	Syaa.g_01007
OG0000061	Prbm.g_01549	Syaa.g_00770
OG0000063	Prbm.g_01947	Syaa.g_00042
OG0000065	Prbm.g_00164	Syaa.g_02380
OG0000066	Prbm.g_00572	Syaa.g_01968
OG0000067	Prbm.g_00814	Syaa.g_01154
OG0000068	Prbm.g_01660	Syaa.g_02059
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Syaa.g_01256
OG0000070	Prbm.g_00460	Syaa.g_00718
OG0000071	Prbm.g_00468, Prbm.g_01611	Syaa.g_00735
OG0000072	Prbm.g_00230	Syaa.g_02480
OG0000073	Prbm.g_00533	Syaa.g_02030
OG0000074	Prbm.g_01099, Prbm.g_00912, Prbm.g_00717	Syaa.g_00372
