Orthogroup	Prbm	Syaj
OG0000001	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426	Syaj.g_02674
OG0000002	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Syaj.g_02667
OG0000004	Prbm.g_01483	Syaj.g_00441
OG0000004	Prbm.g_00291	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbm.g_01790	Syaj.g_01698
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syaj.g_02635
OG0000007	Prbm.g_00522	Syaj.g_00091
OG0000007	Prbm.g_01841	Syaj.g_01721
OG0000008	Prbm.g_01907	Syaj.g_00496
OG0000008	Prbm.g_01908	Syaj.g_00497
OG0000009	Prbm.g_01235, Prbm.g_01400	Syaj.g_01069
OG0000010	Prbm.g_01066, Prbm.g_00499	Syaj.g_01445
OG0000011	Prbm.g_01202	Syaj.g_01133
OG0000012	Prbm.g_01106	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000013	Prbm.g_00382	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prbm.g_00362	Syaj.g_02522
OG0000014	Prbm.g_02126	Syaj.g_02344
OG0000015	Prbm.g_01427, Prbm.g_01149	Syaj.g_00725, Syaj.g_02659
OG0000016	Prbm.g_00013	Syaj.g_02276
OG0000016	Prbm.g_01944	Syaj.g_00590, Syaj.g_01191
OG0000017	Prbm.g_00635	Syaj.g_00248
OG0000018	Prbm.g_01571, Prbm.g_00843	Syaj.g_01413
OG0000019	Prbm.g_00792	Syaj.g_02613
OG0000021	Prbm.g_01939	Syaj.g_00982
OG0000022	Prbm.g_01204, Prbm.g_01324	Syaj.g_01220
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbm.g_01151, Prbm.g_00709	Syaj.g_00500
OG0000025	Prbm.g_00849	Syaj.g_00383
OG0000026	Prbm.g_00031	Syaj.g_02298
OG0000028	Prbm.g_01656	Syaj.g_02506
OG0000029	Prbm.g_01823	Syaj.g_01229
OG0000030	Prbm.g_02105	Syaj.g_02396, Syaj.g_02395
OG0000032	Prbm.g_01747	Syaj.g_01432
OG0000033	Prbm.g_00228	Syaj.g_01990
OG0000034	Prbm.g_01620	Syaj.g_01959
OG0000035	Prbm.g_01710	Syaj.g_01378
OG0000037	Prbm.g_00166	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbm.g_02174	Syaj.g_02115
OG0000039	Prbm.g_00723	Syaj.g_00392, Syaj.g_00275
OG0000041	Prbm.g_01886	Syaj.g_01602
OG0000042	Prbm.g_02102	Syaj.g_02399
OG0000043	Prbm.g_00906, Prbm.g_01173	Syaj.g_01247
OG0000044	Prbm.g_00478, Prbm.g_01281	Syaj.g_01344
OG0000046	Prbm.g_00383	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781
OG0000047	Prbm.g_00428, Prbm.g_00390	Syaj.g_02799
OG0000048	Prbm.g_00329	Syaj.g_02578
OG0000053	Prbm.g_01729	Syaj.g_01409
OG0000054	Prbm.g_00637	Syaj.g_01341
OG0000055	Prbm.g_00778	Syaj.g_00394
OG0000056	Prbm.g_00477	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794
