Orthogroup	Prbm	Prbi
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Prbi.g_01373
OG0000000	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436	Prbi.g_01709
OG0000001	Prbm.g_01905, Prbm.g_01906	Prbi.g_01542, Prbi.g_01763
OG0000001	Prbm.g_01426	Prbi.g_01270
OG0000002	Prbm.g_00874	Prbi.g_01432
OG0000002	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Prbi.g_00681
OG0000004	Prbm.g_01483	Prbi.g_00698
OG0000004	Prbm.g_00291	Prbi.g_00256
OG0000005	Prbm.g_01790	Prbi.g_01666
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Prbi.g_00265
OG0000007	Prbm.g_00522	Prbi.g_00500
OG0000007	Prbm.g_01841	Prbi.g_01787
OG0000008	Prbm.g_01907	Prbi.g_01764
OG0000008	Prbm.g_01908	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Prbm.g_01235, Prbm.g_01400	Prbi.g_01338
OG0000010	Prbm.g_01066, Prbm.g_00499	Prbi.g_00477
OG0000011	Prbm.g_01202	Prbi.g_01361
OG0000012	Prbm.g_01106	Prbi.g_00625
OG0000013	Prbm.g_00382	Prbi.g_00351
OG0000014	Prbm.g_00362	Prbi.g_00330
OG0000014	Prbm.g_02126	Prbi.g_01475
OG0000015	Prbm.g_01427, Prbm.g_01149	Prbi.g_00810, Prbi.g_01304
OG0000016	Prbm.g_00013	Prbi.g_00013
OG0000017	Prbm.g_00635	Prbi.g_00600
OG0000018	Prbm.g_01571	Prbi.g_01188
OG0000018	Prbm.g_00843	Prbi.g_00874
OG0000019	Prbm.g_00792	Prbi.g_00827
OG0000020	Prbm.g_01065	Prbi.g_01153
OG0000021	Prbm.g_01939	Prbi.g_01742, Prbi.g_00389
OG0000022	Prbm.g_01204	Prbi.g_00805
OG0000022	Prbm.g_01324	Prbi.g_01170
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Prbi.g_00384
OG0000024	Prbm.g_01151	Prbi.g_00788
OG0000024	Prbm.g_00709	Prbi.g_00678
OG0000025	Prbm.g_00849	Prbi.g_00882, Prbi.g_00355
OG0000026	Prbm.g_00031	Prbi.g_00031, Prbi.g_01101
OG0000028	Prbm.g_01656	Prbi.g_01319, Prbi.g_01768
OG0000029	Prbm.g_01823	Prbi.g_00796
OG0000030	Prbm.g_02105	Prbi.g_02004
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Prbi.g_01467
OG0000033	Prbm.g_00228	Prbi.g_00193
OG0000034	Prbm.g_01620	Prbi.g_01401
OG0000035	Prbm.g_01710	Prbi.g_01589, Prbi.g_01591
OG0000037	Prbm.g_00166	Prbi.g_00116
OG0000038	Prbm.g_02174	Prbi.g_02057
OG0000039	Prbm.g_00723	Prbi.g_00689
OG0000040	Prbm.g_01409, Prbm.g_01813	Prbi.g_01738
OG0000041	Prbm.g_01886	Prbi.g_01833
OG0000042	Prbm.g_02102	Prbi.g_02001
OG0000043	Prbm.g_00906	Prbi.g_00918
OG0000043	Prbm.g_01173	Prbi.g_01334
OG0000044	Prbm.g_00478	Prbi.g_01744
OG0000044	Prbm.g_01281	Prbi.g_01760
OG0000045	Prbm.g_01088	Prbi.g_00395
OG0000047	Prbm.g_00390	Prbi.g_00354
OG0000048	Prbm.g_00329	Prbi.g_00398
OG0000050	Prbm.g_00118	Prbi.g_01122
OG0000051	Prbm.g_01276	Prbi.g_01281
OG0000053	Prbm.g_01729	Prbi.g_01611
OG0000054	Prbm.g_00637	Prbi.g_00608
OG0000055	Prbm.g_00778	Prbi.g_00828
OG0000056	Prbm.g_00477	Prbi.g_01276
OG0000057	Prbm.g_00735	Prbi.g_00702
OG0000058	Prbm.g_00881	Prbi.g_01461
OG0000059	Prbm.g_01973	Prbi.g_01873, Prbi.g_01717
OG0000061	Prbm.g_01549	Prbi.g_01207
OG0000062	Prbm.g_01792	Prbi.g_01482, Prbi.g_01668
OG0000063	Prbm.g_01947	Prbi.g_00033
OG0000065	Prbm.g_00164	Prbi.g_00114
OG0000066	Prbm.g_00572	Prbi.g_00542
OG0000067	Prbm.g_00814	Prbi.g_00847
OG0000068	Prbm.g_01660	Prbi.g_01439
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prbi.g_01702
OG0000070	Prbm.g_00460	Prbi.g_00451
OG0000071	Prbm.g_00468, Prbm.g_01611	Prbi.g_01391
OG0000072	Prbm.g_00230	Prbi.g_00195
OG0000073	Prbm.g_00533	Prbi.g_00502
OG0000074	Prbm.g_00717	Prbi.g_00685
OG0000075	Prbm.g_02069	Prbi.g_01970
OG0000076	Prbm.g_02094	Prbi.g_01994
OG0000077	Prbm.g_00135	Prbi.g_00085
OG0000078	Prbm.g_00300	Prbi.g_00263
OG0000079	Prbm.g_00311	Prbi.g_00276
OG0000081	Prbm.g_00564	Prbi.g_00534
OG0000082	Prbm.g_01900	Prbi.g_00587
OG0000083	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081	Prbi.g_00782, Prbi.g_00775
OG0000084	Prbm.g_01706	Prbi.g_01585
OG0000085	Prbm.g_01834	Prbi.g_01780
OG0000086	Prbm.g_00145	Prbi.g_00095
OG0000087	Prbm.g_00198	Prbi.g_00147
OG0000088	Prbm.g_00225	Prbi.g_00190
OG0000089	Prbm.g_00423	Prbi.g_00380
OG0000090	Prbm.g_00566	Prbi.g_00536
OG0000091	Prbm.g_00673	Prbi.g_00645
OG0000092	Prbm.g_00934	Prbi.g_00956
OG0000093	Prbm.g_00799	Prbi.g_00977
OG0000094	Prbm.g_00888	Prbi.g_01067
OG0000095	Prbm.g_01064	Prbi.g_01086
OG0000096	Prbm.g_01359	Prbi.g_01156, Prbi.g_01352
OG0000097	Prbm.g_01502	Prbi.g_01248
OG0000098	Prbm.g_01630	Prbi.g_01421
OG0000099	Prbm.g_00394	Prbi.g_01462
OG0000100	Prbm.g_01787	Prbi.g_01664
OG0000101	Prbm.g_02033	Prbi.g_01938
OG0000102	Prbm.g_02099	Prbi.g_01999
OG0000103	Prbm.g_02218	Prbi.g_02091
OG0000104	Prbm.g_02229	Prbi.g_02099
OG0000105	Prbm.g_00331	Prbi.g_00298
OG0000106	Prbm.g_01172, Prbm.g_01237	Prbi.g_00394
OG0000107	Prbm.g_01949	Prbi.g_00409
OG0000108	Prbm.g_00506	Prbi.g_00483
OG0000109	Prbm.g_00519	Prbi.g_00497
OG0000110	Prbm.g_00607	Prbi.g_00577
OG0000111	Prbm.g_00736	Prbi.g_00703
OG0000112	Prbm.g_00980	Prbi.g_00811
OG0000113	Prbm.g_00838, Prbm.g_01191	Prbi.g_00869
OG0000114	Prbm.g_00929	Prbi.g_00951
OG0000115	Prbm.g_01803	Prbi.g_01148
OG0000116	Prbm.g_01560	Prbi.g_01197
OG0000117	Prbm.g_01522	Prbi.g_01330
OG0000118	Prbm.g_01622	Prbi.g_01403
OG0000119	Prbm.g_01653	Prbi.g_01435
OG0000120	Prbm.g_00707	Prbi.g_01460
OG0000121	Prbm.g_01712	Prbi.g_01593
OG0000122	Prbm.g_01751	Prbi.g_01630
OG0000123	Prbm.g_02040	Prbi.g_01945
OG0000124	Prbm.g_02111	Prbi.g_02010
OG0000125	Prbm.g_02176	Prbi.g_02059
OG0000126	Prbm.g_02228	Prbi.g_02098
OG0000127	Prbm.g_01293, Prbm.g_01292	Prbi.g_01300, Prbi.g_01549
OG0000128	Prbm.g_00011	Prbi.g_00011
OG0000129	Prbm.g_00053	Prbi.g_00053
OG0000130	Prbm.g_00126	Prbi.g_00076
OG0000131	Prbm.g_00204	Prbi.g_00169
OG0000132	Prbm.g_00223	Prbi.g_00188
OG0000133	Prbm.g_00377	Prbi.g_00346
OG0000134	Prbm.g_00425	Prbi.g_00381
OG0000135	Prbm.g_01389	Prbi.g_00407
OG0000136	Prbm.g_00451	Prbi.g_00442
OG0000137	Prbm.g_00500	Prbi.g_00478
OG0000138	Prbm.g_00520	Prbi.g_00498
OG0000139	Prbm.g_00570	Prbi.g_00540
OG0000140	Prbm.g_00571	Prbi.g_00541
OG0000141	Prbm.g_00638	Prbi.g_00609
OG0000142	Prbm.g_00666	Prbi.g_00638
OG0000143	Prbm.g_00670	Prbi.g_00642
OG0000144	Prbm.g_00683	Prbi.g_00655
OG0000145	Prbm.g_01094	Prbi.g_00807
OG0000146	Prbm.g_00979	Prbi.g_00812
OG0000147	Prbm.g_00978	Prbi.g_00813
OG0000148	Prbm.g_00832	Prbi.g_00863
OG0000149	Prbm.g_00862	Prbi.g_00894
OG0000150	Prbm.g_00870	Prbi.g_00902
OG0000151	Prbm.g_00940	Prbi.g_00961
OG0000152	Prbm.g_00988	Prbi.g_01009
OG0000153	Prbm.g_01006	Prbi.g_01028
OG0000154	Prbm.g_01035	Prbi.g_01060
OG0000155	Prbm.g_01527	Prbi.g_01227
OG0000156	Prbm.g_01600	Prbi.g_01380
OG0000157	Prbm.g_01601	Prbi.g_01381
OG0000158	Prbm.g_02077	Prbi.g_01489
OG0000159	Prbm.g_02133, Prbm.g_02115	Prbi.g_01490
OG0000160	Prbm.g_01711	Prbi.g_01592
OG0000161	Prbm.g_01717	Prbi.g_01598
OG0000162	Prbm.g_01723	Prbi.g_01604
OG0000163	Prbm.g_01759	Prbi.g_01637
OG0000164	Prbm.g_01863	Prbi.g_01811
OG0000165	Prbm.g_01871	Prbi.g_01818
OG0000166	Prbm.g_01996	Prbi.g_01902
OG0000167	Prbm.g_02067	Prbi.g_01968
OG0000168	Prbm.g_02078	Prbi.g_01978
OG0000169	Prbm.g_02088	Prbi.g_01988
OG0000170	Prbm.g_02090	Prbi.g_01990
OG0000171	Prbm.g_02110	Prbi.g_02009
OG0000172	Prbm.g_02146	Prbi.g_02030
OG0000173	Prbm.g_02161	Prbi.g_02045
OG0000174	Prbm.g_02192	Prbi.g_02073
OG0000175	Prbm.g_02209	Prbi.g_02083
OG0000176	Prbm.g_00004	Prbi.g_00004
OG0000177	Prbm.g_00005	Prbi.g_00005
OG0000178	Prbm.g_00006	Prbi.g_00006
OG0000179	Prbm.g_00016	Prbi.g_00016
OG0000180	Prbm.g_00017	Prbi.g_00017
OG0000181	Prbm.g_00018	Prbi.g_00018
OG0000182	Prbm.g_00019	Prbi.g_00019
OG0000183	Prbm.g_00023	Prbi.g_00023
OG0000184	Prbm.g_00055	Prbi.g_00057
OG0000185	Prbm.g_00058	Prbi.g_00060
OG0000186	Prbm.g_00121	Prbi.g_00071
OG0000187	Prbm.g_00122	Prbi.g_00072
OG0000188	Prbm.g_00139	Prbi.g_00089
OG0000189	Prbm.g_00153	Prbi.g_00103
OG0000190	Prbm.g_00154	Prbi.g_00104
OG0000191	Prbm.g_00177	Prbi.g_00125
OG0000192	Prbm.g_00181	Prbi.g_00129
OG0000193	Prbm.g_00205	Prbi.g_00170
OG0000194	Prbm.g_00208	Prbi.g_00173
OG0000195	Prbm.g_00210	Prbi.g_00175
OG0000196	Prbm.g_00220	Prbi.g_00185
OG0000197	Prbm.g_00221	Prbi.g_00186
OG0000198	Prbm.g_00222	Prbi.g_00187
OG0000199	Prbm.g_00229	Prbi.g_00194
OG0000200	Prbm.g_00243	Prbi.g_00208
OG0000201	Prbm.g_00252	Prbi.g_00216
OG0000202	Prbm.g_00253	Prbi.g_00217
OG0000203	Prbm.g_00254	Prbi.g_00218
OG0000204	Prbm.g_00255	Prbi.g_00219
