Orthogroup	Prbm	Syar
OG0000001	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426	Syar.g_00069
OG0000004	Prbm.g_01483	Syar.g_02051
OG0000004	Prbm.g_00291	Syar.g_02225, Syar.g_00842
OG0000005	Prbm.g_01790	Syar.g_02909
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbm.g_00522	Syar.g_01491
OG0000007	Prbm.g_01841	Syar.g_02929
OG0000008	Prbm.g_01907	Syar.g_02097
OG0000008	Prbm.g_01908	Syar.g_02098
OG0000010	Prbm.g_01066, Prbm.g_00499	Syar.g_01272
OG0000013	Prbm.g_00382	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbm.g_00362	Syar.g_00825
OG0000014	Prbm.g_02126	Syar.g_02736
OG0000016	Prbm.g_00013, Prbm.g_01944	Syar.g_02859
OG0000017	Prbm.g_00635	Syar.g_02188
OG0000018	Prbm.g_01571, Prbm.g_00843	Syar.g_01409
OG0000019	Prbm.g_00792	Syar.g_00163
OG0000022	Prbm.g_01204, Prbm.g_01324	Syar.g_00835
OG0000025	Prbm.g_00849	Syar.g_01811
OG0000026	Prbm.g_00031	Syar.g_00505
OG0000028	Prbm.g_01656	Syar.g_00718
OG0000032	Prbm.g_01747	Syar.g_01390
OG0000033	Prbm.g_00228	Syar.g_00105
OG0000034	Prbm.g_01620	Syar.g_00074, Syar.g_02790
OG0000035	Prbm.g_01710	Syar.g_02809
OG0000037	Prbm.g_00166	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbm.g_02174	Syar.g_00334, Syar.g_00336
OG0000039	Prbm.g_00723	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000042	Prbm.g_02102	Syar.g_00595, Syar.g_01970
OG0000044	Prbm.g_00478, Prbm.g_01281	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prbm.g_01088	Syar.g_02592
OG0000046	Prbm.g_00383	Syar.g_01102, Syar.g_01105, Syar.g_03233
OG0000048	Prbm.g_00329	Syar.g_00213
OG0000051	Prbm.g_01267, Prbm.g_01276	Syar.g_01597
OG0000052	Prbm.g_00114	Syar.g_00281
OG0000053	Prbm.g_01729	Syar.g_01413
OG0000055	Prbm.g_00778, Prbm.g_01921	Syar.g_01386
OG0000056	Prbm.g_00477	Syar.g_01662
OG0000057	Prbm.g_00735	Syar.g_00006
OG0000061	Prbm.g_01549	Syar.g_01539
OG0000062	Prbm.g_01792	Syar.g_01439
OG0000063	Prbm.g_01947	Syar.g_00509
OG0000065	Prbm.g_00164	Syar.g_03119
OG0000066	Prbm.g_00572	Syar.g_02228
OG0000067	Prbm.g_00814	Syar.g_02639
OG0000068	Prbm.g_01660	Syar.g_02329, Syar.g_01461
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Syar.g_01716
OG0000070	Prbm.g_00460	Syar.g_02223
OG0000071	Prbm.g_00468, Prbm.g_01611	Syar.g_02777
OG0000072	Prbm.g_00230	Syar.g_00107, Syar.g_01140
OG0000073	Prbm.g_00533	Syar.g_01493
OG0000075	Prbm.g_02069	Syar.g_03065, Syar.g_00659
OG0000076	Prbm.g_02094	Syar.g_00608
OG0000077	Prbm.g_00135	Syar.g_03051
OG0000078	Prbm.g_00300	Syar.g_01366
OG0000079	Prbm.g_00311	Syar.g_00166
OG0000081	Prbm.g_00564	Syar.g_01898
OG0000082	Prbm.g_01900	Syar.g_02202
OG0000085	Prbm.g_01834	Syar.g_02919
OG0000086	Prbm.g_00145	Syar.g_03085
OG0000087	Prbm.g_00198	Syar.g_03192, Syar.g_00068
OG0000088	Prbm.g_00225	Syar.g_00101
OG0000089	Prbm.g_00423	Syar.g_01162
OG0000090	Prbm.g_00566	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbm.g_00673	Syar.g_01891, Syar.g_02426
OG0000092	Prbm.g_00934	Syar.g_01960
OG0000093	Prbm.g_00799	Syar.g_00819
OG0000094	Prbm.g_00888	Syar.g_01789
OG0000095	Prbm.g_01064	Syar.g_01932
OG0000097	Prbm.g_01502	Syar.g_01706, Syar.g_00364
OG0000098	Prbm.g_01630	Syar.g_02343
OG0000099	Prbm.g_00394	Syar.g_00715
OG0000100	Prbm.g_01787	Syar.g_02477
OG0000101	Prbm.g_02033	Syar.g_01073, Syar.g_03154
OG0000102	Prbm.g_02099	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbm.g_02218	Syar.g_00452, Syar.g_00014
OG0000104	Prbm.g_02229	Syar.g_00466
OG0000105	Prbm.g_00331	Syar.g_00218
OG0000106	Prbm.g_01172, Prbm.g_01237	Syar.g_01748
OG0000107	Prbm.g_01949	Syar.g_00149
OG0000108	Prbm.g_00506	Syar.g_01469
OG0000109	Prbm.g_00519	Syar.g_03310, Syar.g_01485
OG0000110	Prbm.g_00607	Syar.g_02295
OG0000111	Prbm.g_00736	Syar.g_01940
OG0000112	Prbm.g_00980	Syar.g_02548, Syar.g_03195
OG0000113	Prbm.g_00838, Prbm.g_01191	Syar.g_02664
OG0000114	Prbm.g_00929	Syar.g_01616
OG0000115	Prbm.g_01803	Syar.g_02854, Syar.g_01415
OG0000116	Prbm.g_01560	Syar.g_01525, Syar.g_02255
OG0000117	Prbm.g_01522	Syar.g_01969
OG0000118	Prbm.g_01622	Syar.g_02793
OG0000120	Prbm.g_00707	Syar.g_00713
OG0000121	Prbm.g_01712	Syar.g_02806
OG0000123	Prbm.g_02040	Syar.g_01079
OG0000124	Prbm.g_02111	Syar.g_00586
OG0000125	Prbm.g_02176	Syar.g_00338
OG0000126	Prbm.g_02228	Syar.g_00887, Syar.g_00888
OG0000128	Prbm.g_00011	Syar.g_00482
OG0000129	Prbm.g_00053	Syar.g_00324
OG0000130	Prbm.g_00126	Syar.g_03040
OG0000131	Prbm.g_00204	Syar.g_00078
OG0000132	Prbm.g_00223	Syar.g_00099
OG0000133	Prbm.g_00377	Syar.g_02543
OG0000134	Prbm.g_00425	Syar.g_02009, Syar.g_01165
OG0000135	Prbm.g_01389	Syar.g_00698
OG0000136	Prbm.g_00451	Syar.g_02874
OG0000137	Prbm.g_00500	Syar.g_01273
OG0000138	Prbm.g_00520	Syar.g_01486
OG0000139	Prbm.g_00570	Syar.g_03245
OG0000140	Prbm.g_00571	Syar.g_02344, Syar.g_03246
OG0000141	Prbm.g_00638	Syar.g_02129
OG0000142	Prbm.g_00666	Syar.g_02418
OG0000143	Prbm.g_00670	Syar.g_02422
OG0000144	Prbm.g_00683	Syar.g_02441
OG0000145	Prbm.g_01094	Syar.g_01494
OG0000146	Prbm.g_00979	Syar.g_02549
OG0000147	Prbm.g_00978	Syar.g_02550
OG0000148	Prbm.g_00832	Syar.g_02658
OG0000149	Prbm.g_00862	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbm.g_00870	Syar.g_02130
OG0000151	Prbm.g_00940	Syar.g_02038
OG0000152	Prbm.g_00988	Syar.g_02539
OG0000153	Prbm.g_01006	Syar.g_03283, Syar.g_02503
OG0000154	Prbm.g_01035	Syar.g_01800
OG0000155	Prbm.g_01527	Syar.g_01959
OG0000156	Prbm.g_01600	Syar.g_01517
OG0000157	Prbm.g_01601	Syar.g_01516
OG0000158	Prbm.g_02077	Syar.g_00650
OG0000159	Prbm.g_02133, Prbm.g_02115	Syar.g_02359
OG0000160	Prbm.g_01711	Syar.g_02807
OG0000161	Prbm.g_01717	Syar.g_02801
OG0000162	Prbm.g_01723	Syar.g_02863
OG0000163	Prbm.g_01759	Syar.g_01186
OG0000164	Prbm.g_01863	Syar.g_03168, Syar.g_02969
OG0000165	Prbm.g_01871	Syar.g_02976
OG0000166	Prbm.g_01996	Syar.g_01034
OG0000167	Prbm.g_02067	Syar.g_00662
OG0000168	Prbm.g_02078	Syar.g_00246
OG0000169	Prbm.g_02088	Syar.g_00262
OG0000170	Prbm.g_02090	Syar.g_00613
OG0000171	Prbm.g_02110	Syar.g_00587
OG0000172	Prbm.g_02146	Syar.g_00547
OG0000173	Prbm.g_02161	Syar.g_00528
OG0000174	Prbm.g_02192	Syar.g_00701
OG0000175	Prbm.g_02209	Syar.g_00438
OG0000176	Prbm.g_00004	Syar.g_00474
OG0000177	Prbm.g_00005	Syar.g_00475
OG0000178	Prbm.g_00006	Syar.g_00476
OG0000179	Prbm.g_00016	Syar.g_00489
OG0000180	Prbm.g_00017	Syar.g_00490
OG0000181	Prbm.g_00018	Syar.g_00491
OG0000182	Prbm.g_00019	Syar.g_00492
OG0000183	Prbm.g_00023	Syar.g_00496
OG0000184	Prbm.g_00055	Syar.g_00897
OG0000185	Prbm.g_00058	Syar.g_00909
OG0000186	Prbm.g_00121	Syar.g_03036
OG0000187	Prbm.g_00122	Syar.g_03038
OG0000188	Prbm.g_00139	Syar.g_03058
OG0000189	Prbm.g_00153	Syar.g_03104
OG0000190	Prbm.g_00154	Syar.g_03107, Syar.g_02374
OG0000191	Prbm.g_00177	Syar.g_00039
OG0000192	Prbm.g_00181	Syar.g_00046
OG0000193	Prbm.g_00205	Syar.g_00079
OG0000194	Prbm.g_00208	Syar.g_00082, Syar.g_03236
OG0000195	Prbm.g_00210	Syar.g_00023, Syar.g_00084
OG0000196	Prbm.g_00220	Syar.g_00096
OG0000197	Prbm.g_00221	Syar.g_00097
OG0000198	Prbm.g_00222	Syar.g_00098
OG0000199	Prbm.g_00229	Syar.g_00106
OG0000200	Prbm.g_00243	Syar.g_00124
OG0000201	Prbm.g_00252	Syar.g_01000
OG0000202	Prbm.g_00253	Syar.g_00021, Syar.g_00998
OG0000203	Prbm.g_00254	Syar.g_00997, Syar.g_00020
OG0000204	Prbm.g_00255	Syar.g_00996
OG0000205	Prbm.g_00262	Syar.g_00988
OG0000206	Prbm.g_00266	Syar.g_00963
OG0000207	Prbm.g_00268	Syar.g_00957
OG0000208	Prbm.g_00269	Syar.g_00956
OG0000209	Prbm.g_00278	Syar.g_00936, Syar.g_03261
OG0000210	Prbm.g_00279	Syar.g_03260, Syar.g_00935
OG0000211	Prbm.g_00293	Syar.g_03026
OG0000212	Prbm.g_00301	Syar.g_03017
OG0000213	Prbm.g_00317	Syar.g_00187
OG0000214	Prbm.g_00325	Syar.g_00209
OG0000215	Prbm.g_00349	Syar.g_00239
OG0000216	Prbm.g_00350	Syar.g_00244
OG0000217	Prbm.g_00353	Syar.g_00854
OG0000218	Prbm.g_00355	Syar.g_00852
OG0000219	Prbm.g_00356	Syar.g_00851
OG0000220	Prbm.g_00357	Syar.g_00850, Syar.g_02026
OG0000221	Prbm.g_00358	Syar.g_00834
OG0000222	Prbm.g_00366	Syar.g_02119, Syar.g_00728
OG0000223	Prbm.g_00378	Syar.g_00649
OG0000224	Prbm.g_00380	Syar.g_00273
OG0000225	Prbm.g_00411	Syar.g_01142
OG0000226	Prbm.g_00415	Syar.g_01146
OG0000227	Prbm.g_00417	Syar.g_01148
OG0000228	Prbm.g_00422	Syar.g_01161
OG0000229	Prbm.g_00446	Syar.g_01177, Syar.g_03273
OG0000230	Prbm.g_00448	Syar.g_01179
OG0000231	Prbm.g_00459	Syar.g_02865, Syar.g_03151
OG0000232	Prbm.g_00484	Syar.g_01424
OG0000233	Prbm.g_00492	Syar.g_03183, Syar.g_01247
OG0000234	Prbm.g_00501	Syar.g_01275
OG0000235	Prbm.g_00505	Syar.g_01468
OG0000236	Prbm.g_00518	Syar.g_01484, Syar.g_03311
OG0000237	Prbm.g_00540	Syar.g_01503
OG0000238	Prbm.g_00546	Syar.g_01508
OG0000239	Prbm.g_00558	Syar.g_03277, Syar.g_02687
OG0000240	Prbm.g_00559	Syar.g_02686, Syar.g_03278
OG0000241	Prbm.g_00563	Syar.g_02410
OG0000242	Prbm.g_00565	Syar.g_01926
OG0000243	Prbm.g_00576	Syar.g_02335
OG0000244	Prbm.g_00579	Syar.g_02327
OG0000245	Prbm.g_00581	Syar.g_02325, Syar.g_03238
OG0000246	Prbm.g_00585	Syar.g_02321
OG0000247	Prbm.g_00595	Syar.g_02310
OG0000248	Prbm.g_00597	Syar.g_02307, Syar.g_03293
OG0000249	Prbm.g_00599	Syar.g_02305
OG0000250	Prbm.g_00604	Syar.g_02299
OG0000251	Prbm.g_00620	Syar.g_03207, Syar.g_02194
OG0000252	Prbm.g_00623	Syar.g_02189, Syar.g_03263
OG0000253	Prbm.g_00625	Syar.g_02028
OG0000254	Prbm.g_00642	Syar.g_02169
