Orthogroup	Syag	Syar
OG0000001	Syag.g_01942	Syar.g_00069
OG0000001	Syag.g_01943	Syar.g_00070
OG0000003	Syag.g_01246, Syag.g_01565, Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561	Syar.g_00836
OG0000004	Syag.g_00988	Syar.g_02051
OG0000004	Syag.g_00370	Syar.g_02225
OG0000004	Syag.g_01790	Syar.g_00842
OG0000005	Syag.g_01708	Syar.g_02952
OG0000005	Syag.g_01667	Syar.g_02909
OG0000006	Syag.g_00435	Syar.g_02439
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syag.g_01507	Syar.g_01491
OG0000007	Syag.g_01687	Syar.g_02929
OG0000008	Syag.g_00496	Syar.g_02097
OG0000008	Syag.g_01017	Syar.g_02098
OG0000009	Syag.g_01883	Syar.g_03116
OG0000010	Syag.g_01355	Syar.g_01272
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syar.g_00690, Syar.g_02860
OG0000013	Syag.g_02806	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syag.g_02559	Syar.g_00825
OG0000014	Syag.g_02487	Syar.g_02736
OG0000015	Syag.g_02252	Syar.g_00451
OG0000016	Syag.g_02286, Syag.g_01066	Syar.g_02859
OG0000017	Syag.g_00336	Syar.g_03181
OG0000017	Syag.g_00344	Syar.g_02180
OG0000018	Syag.g_01387	Syar.g_01409
OG0000019	Syag.g_02663	Syar.g_00163
OG0000022	Syag.g_00458	Syar.g_00835
OG0000025	Syag.g_00718	Syar.g_01811
OG0000026	Syag.g_02309	Syar.g_00505
OG0000027	Syag.g_00950, Syag.g_00165	Syar.g_02055
OG0000028	Syag.g_02540	Syar.g_00718
OG0000031	Syag.g_02510	Syar.g_00714
OG0000032	Syag.g_01366	Syar.g_01390
OG0000032	Syag.g_02480	Syar.g_00543
OG0000033	Syag.g_01978, Syag.g_02481	Syar.g_00105
OG0000034	Syag.g_01225, Syag.g_01947	Syar.g_00074, Syar.g_02790
OG0000038	Syag.g_02130	Syar.g_00334
OG0000038	Syag.g_02132	Syar.g_00336
OG0000039	Syag.g_01325	Syar.g_02827
OG0000039	Syag.g_02155	Syar.g_02151
OG0000040	Syag.g_02215	Syar.g_00858
OG0000042	Syag.g_01094, Syag.g_02378	Syar.g_00595, Syar.g_01970
OG0000045	Syag.g_00225	Syar.g_02592
OG0000046	Syag.g_02819	Syar.g_03233
OG0000046	Syag.g_02805	Syar.g_01102, Syar.g_01105
OG0000048	Syag.g_02611	Syar.g_00213
OG0000051	Syag.g_01026, Syag.g_00214	Syar.g_01597
OG0000052	Syag.g_02451	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Syag.g_01391	Syar.g_01413
OG0000054	Syag.g_00350	Syar.g_02265
OG0000055	Syag.g_01799	Syar.g_01386
OG0000057	Syag.g_00985	Syar.g_01941, Syar.g_00006
OG0000058	Syag.g_02477	Syar.g_00648
OG0000059	Syag.g_02721	Syar.g_01024
OG0000060	Syag.g_01338, Syag.g_01530	Syar.g_01260
OG0000061	Syag.g_01141	Syar.g_01539
OG0000062	Syag.g_01669	Syar.g_02911
OG0000063	Syag.g_02313	Syar.g_00509
OG0000064	Syag.g_00487	Syar.g_03117
OG0000064	Syag.g_01589	Syar.g_00860
OG0000065	Syag.g_01885	Syar.g_03119
OG0000066	Syag.g_01443	Syar.g_02228
OG0000068	Syag.g_01537	Syar.g_02329, Syar.g_01461
OG0000070	Syag.g_00049	Syar.g_02223
OG0000072	Syag.g_01980	Syar.g_00107
OG0000072	Syag.g_02859	Syar.g_01140
OG0000073	Syag.g_01505	Syar.g_01493
OG0000075	Syag.g_02434	Syar.g_03065, Syar.g_00659
OG0000076	Syag.g_02393	Syar.g_00608
OG0000077	Syag.g_01831	Syar.g_03051
OG0000078	Syag.g_01778	Syar.g_03265, Syar.g_03018
OG0000079	Syag.g_02659, Syag.g_02652	Syar.g_00166
OG0000081	Syag.g_00167	Syar.g_01898
OG0000082	Syag.g_00318	Syar.g_02202
OG0000085	Syag.g_01676	Syar.g_02919
OG0000086	Syag.g_01853	Syar.g_03085
OG0000087	Syag.g_01939	Syar.g_03192, Syar.g_00068
OG0000088	Syag.g_01974	Syar.g_00101
OG0000089	Syag.g_00005	Syar.g_01162
OG0000090	Syag.g_01454	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syag.g_00418	Syar.g_01891, Syar.g_02426
OG0000092	Syag.g_00242	Syar.g_01960
OG0000093	Syag.g_00649	Syar.g_02623
OG0000094	Syag.g_00881	Syar.g_01789
OG0000095	Syag.g_00974	Syar.g_01932
OG0000097	Syag.g_01065	Syar.g_01706
OG0000098	Syag.g_01445	Syar.g_02343
OG0000099	Syag.g_02536	Syar.g_00715
OG0000100	Syag.g_00704	Syar.g_02477
OG0000101	Syag.g_02773	Syar.g_03154
OG0000102	Syag.g_02387	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syag.g_02253	Syar.g_00014, Syar.g_00452
OG0000104	Syag.g_02268	Syar.g_00466
OG0000105	Syag.g_02606	Syar.g_00218
OG0000106	Syag.g_00462	Syar.g_01748
OG0000107	Syag.g_02689	Syar.g_00149
OG0000108	Syag.g_01528	Syar.g_01469
OG0000109	Syag.g_01512	Syar.g_03310, Syar.g_01485
OG0000110	Syag.g_00303	Syar.g_02295
OG0000111	Syag.g_00984	Syar.g_01940, Syar.g_00005
OG0000112	Syag.g_00801	Syar.g_02548
OG0000113	Syag.g_00699	Syar.g_02664
OG0000114	Syag.g_00609	Syar.g_01616
OG0000115	Syag.g_01397	Syar.g_02854, Syar.g_01415
OG0000116	Syag.g_01156	Syar.g_01525, Syar.g_02255
OG0000117	Syag.g_01097	Syar.g_01969
OG0000118	Syag.g_01232	Syar.g_02793
OG0000120	Syag.g_02535	Syar.g_00713
OG0000121	Syag.g_01414	Syar.g_02806
OG0000123	Syag.g_02781	Syar.g_01079
OG0000124	Syag.g_02367	Syar.g_00586
OG0000125	Syag.g_02136, Syag.g_02134	Syar.g_00338
OG0000126	Syag.g_02266	Syar.g_00887, Syar.g_00888
OG0000128	Syag.g_02284	Syar.g_00482
OG0000129	Syag.g_02121	Syar.g_00324
OG0000130	Syag.g_01819	Syar.g_03040
OG0000131	Syag.g_01951	Syar.g_00078
OG0000132	Syag.g_01972	Syar.g_00099
OG0000133	Syag.g_00806	Syar.g_02543
OG0000134	Syag.g_00008	Syar.g_02009, Syar.g_01165
OG0000135	Syag.g_02171	Syar.g_00698
OG0000136	Syag.g_00038	Syar.g_02874
OG0000137	Syag.g_01356	Syar.g_01273
OG0000138	Syag.g_01511	Syar.g_01486
OG0000139	Syag.g_01448	Syar.g_03245, Syar.g_02348
OG0000140	Syag.g_01446	Syar.g_02344, Syar.g_03246
OG0000141	Syag.g_00351	Syar.g_02129
OG0000142	Syag.g_00410	Syar.g_02418
OG0000143	Syag.g_00414	Syar.g_02422
OG0000144	Syag.g_00493	Syar.g_02441
OG0000145	Syag.g_01504	Syar.g_01494
