Orthogroup	Syag	Prbc
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbc.g_00588
OG0000004	Syag.g_00988	Prbc.g_01381
OG0000004	Syag.g_00370, Syag.g_01790	Prbc.g_00339
OG0000005	Syag.g_01708	Prbc.g_00098
OG0000005	Syag.g_01667	Prbc.g_00788
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbc.g_02202
OG0000007	Syag.g_01507	Prbc.g_01556
OG0000007	Syag.g_01687	Prbc.g_00832
OG0000008	Syag.g_00496	Prbc.g_00893
OG0000008	Syag.g_01017	Prbc.g_00894
OG0000009	Syag.g_00220, Syag.g_00231	Prbc.g_01344
OG0000010	Syag.g_01355	Prbc.g_02115
OG0000011	Syag.g_01299	Prbc.g_00136, Prbc.g_00616
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prbc.g_01219
OG0000014	Syag.g_02559	Prbc.g_01198
OG0000014	Syag.g_02487	Prbc.g_00680
OG0000015	Syag.g_02252, Syag.g_00596	Prbc.g_00599
OG0000016	Syag.g_02286	Prbc.g_01083
OG0000016	Syag.g_01066	Prbc.g_00929
OG0000018	Syag.g_01387	Prbc.g_01468
OG0000019	Syag.g_02663	Prbc.g_01836
OG0000020	Syag.g_00085	Prbc.g_00054, Prbc.g_00116
OG0000021	Syag.g_00229	Prbc.g_00924, Prbc.g_02189
OG0000022	Syag.g_00458	Prbc.g_01288
OG0000023	Syag.g_00261, Syag.g_00234	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syag.g_00455	Prbc.g_00598, Prbc.g_01755
OG0000025	Syag.g_00718	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syag.g_02309	Prbc.g_01101
OG0000027	Syag.g_00950, Syag.g_00165	Prbc.g_00072
OG0000028	Syag.g_02540	Prbc.g_00653
OG0000030	Syag.g_02375, Syag.g_02374	Prbc.g_00199
OG0000031	Syag.g_02510, Syag.g_02486	Prbc.g_01228
OG0000032	Syag.g_01366	Prbc.g_00746
OG0000033	Syag.g_01978, Syag.g_02481	Prbc.g_00402
