Orthogroup	Syag	Prbm
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbm.g_01633
OG0000004	Syag.g_00988	Prbm.g_01483
OG0000004	Syag.g_00370, Syag.g_01790	Prbm.g_00291
OG0000005	Syag.g_01667	Prbm.g_01790
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syag.g_01507	Prbm.g_00522
OG0000007	Syag.g_01687	Prbm.g_01841
OG0000008	Syag.g_00496	Prbm.g_01907
OG0000008	Syag.g_01017	Prbm.g_01908
OG0000009	Syag.g_00220, Syag.g_00231	Prbm.g_01235, Prbm.g_01400
OG0000010	Syag.g_01355	Prbm.g_01066
OG0000011	Syag.g_01299	Prbm.g_01174, Prbm.g_01134
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prbm.g_00382
OG0000014	Syag.g_02559	Prbm.g_00362
OG0000014	Syag.g_02487	Prbm.g_02126
OG0000015	Syag.g_02252, Syag.g_00596	Prbm.g_01427, Prbm.g_01149
OG0000016	Syag.g_02286	Prbm.g_00013
OG0000016	Syag.g_01066	Prbm.g_01944
OG0000018	Syag.g_01387	Prbm.g_01571
OG0000019	Syag.g_02663	Prbm.g_00792
OG0000020	Syag.g_00085	Prbm.g_01156
OG0000021	Syag.g_00229	Prbm.g_01939
OG0000022	Syag.g_00458	Prbm.g_01324
OG0000023	Syag.g_00261, Syag.g_00234	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syag.g_00455	Prbm.g_01151, Prbm.g_00709
OG0000025	Syag.g_00718	Prbm.g_00849
OG0000026	Syag.g_02309	Prbm.g_00031
OG0000028	Syag.g_02540	Prbm.g_01656
OG0000029	Syag.g_00195	Prbm.g_01823
OG0000030	Syag.g_02375, Syag.g_02374	Prbm.g_02105
OG0000031	Syag.g_02510, Syag.g_02486	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syag.g_01366	Prbm.g_01747
OG0000033	Syag.g_01978, Syag.g_02481	Prbm.g_00228
OG0000034	Syag.g_01225, Syag.g_01947	Prbm.g_01620
OG0000035	Syag.g_01420, Syag.g_01421	Prbm.g_01710
OG0000037	Syag.g_00173	Prbm.g_00166
OG0000038	Syag.g_02130, Syag.g_02132	Prbm.g_02174
OG0000039	Syag.g_01325, Syag.g_02155	Prbm.g_00723
OG0000041	Syag.g_01750, Syag.g_00962	Prbm.g_01886
OG0000042	Syag.g_01094, Syag.g_02378	Prbm.g_02102
OG0000043	Syag.g_00564	Prbm.g_01173, Prbm.g_00906
OG0000044	Syag.g_00945	Prbm.g_00478, Prbm.g_01281
OG0000046	Syag.g_02812, Syag.g_02819, Syag.g_02805	Prbm.g_00383
OG0000047	Syag.g_00768	Prbm.g_00390, Prbm.g_00428
OG0000048	Syag.g_02611	Prbm.g_00329
OG0000052	Syag.g_02451	Prbm.g_00114
OG0000053	Syag.g_01391	Prbm.g_01729
OG0000054	Syag.g_00350	Prbm.g_00637
OG0000055	Syag.g_01799	Prbm.g_01921
OG0000057	Syag.g_00985	Prbm.g_00735
OG0000058	Syag.g_02477	Prbm.g_00881
OG0000059	Syag.g_02721	Prbm.g_01973
OG0000060	Syag.g_01338, Syag.g_01530, Syag.g_02045, Syag.g_01095	Prbm.g_01422
OG0000061	Syag.g_01141	Prbm.g_01549
OG0000062	Syag.g_01669	Prbm.g_01792
OG0000063	Syag.g_02313	Prbm.g_01947
OG0000065	Syag.g_01885, Syag.g_00182	Prbm.g_00164
OG0000066	Syag.g_01443	Prbm.g_00572
OG0000067	Syag.g_00667	Prbm.g_00814
OG0000068	Syag.g_01537	Prbm.g_01660
OG0000070	Syag.g_00049	Prbm.g_00460
OG0000071	Syag.g_01192	Prbm.g_00468, Prbm.g_01611
OG0000072	Syag.g_01980, Syag.g_02859	Prbm.g_00230
OG0000073	Syag.g_01505	Prbm.g_00533
OG0000075	Syag.g_02434	Prbm.g_02069
OG0000076	Syag.g_02393	Prbm.g_02094
OG0000077	Syag.g_01831	Prbm.g_00135
OG0000078	Syag.g_01778	Prbm.g_00300
OG0000079	Syag.g_02659, Syag.g_02652	Prbm.g_00311
OG0000081	Syag.g_00167	Prbm.g_00564
OG0000082	Syag.g_00318	Prbm.g_01900
OG0000084	Syag.g_00212, Syag.g_01425	Prbm.g_01706
OG0000085	Syag.g_01676	Prbm.g_01834
OG0000086	Syag.g_01853	Prbm.g_00145
OG0000087	Syag.g_01939	Prbm.g_00198
OG0000088	Syag.g_01974	Prbm.g_00225
OG0000089	Syag.g_00005	Prbm.g_00423
OG0000090	Syag.g_01454	Prbm.g_00566
