Orthogroup	Syag	Syai
OG0000001	Syag.g_01942	Syai.g_01197, Syai.g_02594
OG0000001	Syag.g_01943	Syai.g_02595
OG0000001	Syag.g_00520	Syai.g_01729
OG0000004	Syag.g_00988	Syai.g_01994
OG0000004	Syag.g_00370	Syai.g_01062
OG0000004	Syag.g_01790	Syai.g_00530
OG0000005	Syag.g_01708	Syai.g_02393
OG0000005	Syag.g_01667	Syai.g_02356
OG0000006	Syag.g_00435	Syai.g_01126
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syai.g_00317, Syai.g_00547
OG0000007	Syag.g_01507	Syai.g_00657
OG0000007	Syag.g_01687	Syai.g_02378
OG0000008	Syag.g_00496	Syai.g_01956
OG0000008	Syag.g_01017	Syai.g_01955
OG0000009	Syag.g_00220, Syag.g_00231	Syai.g_01626
OG0000009	Syag.g_01883	Syai.g_02541
OG0000010	Syag.g_01355	Syai.g_00864
OG0000011	Syag.g_01299	Syai.g_01952
OG0000012	Syag.g_00377	Syai.g_01068
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syai.g_01529, Syai.g_01650
OG0000013	Syag.g_02811	Syai.g_00442
OG0000013	Syag.g_02820	Syai.g_00450
OG0000013	Syag.g_02806	Syai.g_00436
OG0000014	Syag.g_02559	Syai.g_00220
OG0000015	Syag.g_00596	Syai.g_01246, Syai.g_01245
OG0000016	Syag.g_02286	Syai.g_00014
OG0000016	Syag.g_01066	Syai.g_01785
OG0000017	Syag.g_00336	Syai.g_00801
OG0000017	Syag.g_00344	Syai.g_00808
OG0000018	Syag.g_01387	Syai.g_00915
OG0000019	Syag.g_02663	Syai.g_00304
OG0000020	Syag.g_00085	Syai.g_00476
OG0000021	Syag.g_00229	Syai.g_00556
OG0000022	Syag.g_00458	Syai.g_01159
OG0000023	Syag.g_00261, Syag.g_00234	Syai.g_02318
OG0000024	Syag.g_00455	Syai.g_01951
OG0000025	Syag.g_00718	Syai.g_02044
OG0000026	Syag.g_02309	Syai.g_00038
OG0000027	Syag.g_00950	Syai.g_01128
OG0000027	Syag.g_00165	Syai.g_01654
OG0000028	Syag.g_02540	Syai.g_00205
OG0000029	Syag.g_00195	Syai.g_01035, Syai.g_01584
OG0000030	Syag.g_02375	Syai.g_00096
OG0000030	Syag.g_02374	Syai.g_00095
OG0000031	Syag.g_02510	Syai.g_00197
OG0000032	Syag.g_01366	Syai.g_00895
OG0000033	Syag.g_01978	Syai.g_02634
OG0000034	Syag.g_01225, Syag.g_01947	Syai.g_02192, Syai.g_02604
OG0000035	Syag.g_01420, Syag.g_01421	Syai.g_00955
OG0000036	Syag.g_00928	Syai.g_01848
OG0000037	Syag.g_00173	Syai.g_02544
OG0000038	Syag.g_02130	Syai.g_02780
OG0000040	Syag.g_02215	Syai.g_02876
OG0000041	Syag.g_00962	Syai.g_02016
OG0000042	Syag.g_01094, Syag.g_02378	Syai.g_00099
OG0000043	Syag.g_00564	Syai.g_01599
OG0000045	Syag.g_00223	Syai.g_02432
OG0000046	Syag.g_02812	Syai.g_00443
OG0000046	Syag.g_02819	Syai.g_00449
OG0000046	Syag.g_02805	Syai.g_00435
OG0000047	Syag.g_00768	Syai.g_00462
OG0000048	Syag.g_02611	Syai.g_00272
OG0000051	Syag.g_01026	Syai.g_01773
OG0000052	Syag.g_02451	Syai.g_00176
OG0000053	Syag.g_01391	Syai.g_00930
OG0000054	Syag.g_00350	Syai.g_01040
OG0000055	Syag.g_00946	Syai.g_02029
OG0000057	Syag.g_00985	Syai.g_01997
OG0000058	Syag.g_02477	Syai.g_00195
OG0000059	Syag.g_02721	Syai.g_00351
OG0000060	Syag.g_01530	Syai.g_00635
OG0000060	Syag.g_01095	Syai.g_01758
OG0000061	Syag.g_01141	Syai.g_02144
OG0000062	Syag.g_01669	Syai.g_02358
OG0000063	Syag.g_02313	Syai.g_00042
OG0000064	Syag.g_00076	Syai.g_02350
OG0000064	Syag.g_00487	Syai.g_02844
OG0000064	Syag.g_01589	Syai.g_01163, Syai.g_01668
OG0000067	Syag.g_00667	Syai.g_01321
OG0000068	Syag.g_01537	Syai.g_00628
OG0000070	Syag.g_00049	Syai.g_02196
OG0000071	Syag.g_01192	Syai.g_02179
OG0000072	Syag.g_01980	Syai.g_02636
OG0000073	Syag.g_01505	Syai.g_00659
OG0000075	Syag.g_02434	Syai.g_00161
OG0000076	Syag.g_02393	Syai.g_00111
OG0000077	Syag.g_01831	Syai.g_02486
OG0000078	Syag.g_01778	Syai.g_00543
OG0000081	Syag.g_00167	Syai.g_02292
OG0000082	Syag.g_00318	Syai.g_00781
OG0000084	Syag.g_00212	Syai.g_01196
OG0000085	Syag.g_01676	Syai.g_02365
OG0000086	Syag.g_01853	Syai.g_02507
OG0000087	Syag.g_01939	Syai.g_02592
OG0000088	Syag.g_01974	Syai.g_02630
OG0000089	Syag.g_00005	Syai.g_00517
OG0000090	Syag.g_01454	Syai.g_00707
OG0000091	Syag.g_00418	Syai.g_01112
OG0000092	Syag.g_00242	Syai.g_01358
OG0000093	Syag.g_00649	Syai.g_01306
OG0000094	Syag.g_00881	Syai.g_01424
OG0000095	Syag.g_00974	Syai.g_02007
OG0000097	Syag.g_01065	Syai.g_01787
OG0000098	Syag.g_00578, Syag.g_01445	Syai.g_01718
OG0000099	Syag.g_02536	Syai.g_00199
OG0000100	Syag.g_00704	Syai.g_01372
OG0000101	Syag.g_02773	Syai.g_00404
OG0000102	Syag.g_02387	Syai.g_00106
OG0000103	Syag.g_02253	Syai.g_02912
OG0000104	Syag.g_02268	Syai.g_02929
OG0000105	Syag.g_02606	Syai.g_00267
OG0000106	Syag.g_00462	Syai.g_01601
OG0000107	Syag.g_02689	Syai.g_00319
OG0000108	Syag.g_01528	Syai.g_00638
OG0000109	Syag.g_01512	Syai.g_00653
OG0000110	Syag.g_00303	Syai.g_00766
OG0000111	Syag.g_00984	Syai.g_01998
OG0000112	Syag.g_00801	Syai.g_01512
OG0000113	Syag.g_00699	Syai.g_01367
OG0000114	Syag.g_00609	Syai.g_01261
OG0000115	Syag.g_01397	Syai.g_00932
OG0000116	Syag.g_01156	Syai.g_02156
OG0000117	Syag.g_01097	Syai.g_01756
OG0000118	Syag.g_01232	Syai.g_00818
OG0000120	Syag.g_02535	Syai.g_00198
OG0000121	Syag.g_01414	Syai.g_00951
OG0000122	Syag.g_00446	Syai.g_01143
OG0000123	Syag.g_02781	Syai.g_00411
OG0000124	Syag.g_02367	Syai.g_00089
OG0000125	Syag.g_02136, Syag.g_02134	Syai.g_02782
OG0000126	Syag.g_02266	Syai.g_02927
OG0000128	Syag.g_02284	Syai.g_00012
OG0000129	Syag.g_02121	Syai.g_02771
OG0000130	Syag.g_01819	Syai.g_02474
OG0000131	Syag.g_01951	Syai.g_02608
OG0000132	Syag.g_01972	Syai.g_02628
OG0000133	Syag.g_00806	Syai.g_01507
OG0000134	Syag.g_00008	Syai.g_00520
OG0000135	Syag.g_02171	Syai.g_02826
OG0000136	Syag.g_00038	Syai.g_02217
OG0000137	Syag.g_01356	Syai.g_00865
OG0000138	Syag.g_01511	Syai.g_00654
OG0000139	Syag.g_01448	Syai.g_00714
OG0000140	Syag.g_01446	Syai.g_00716
OG0000141	Syag.g_00351	Syai.g_01041
OG0000142	Syag.g_00410	Syai.g_01104
OG0000143	Syag.g_00414	Syai.g_01108
OG0000144	Syag.g_00493	Syai.g_01608
OG0000145	Syag.g_01504	Syai.g_00660
OG0000146	Syag.g_00800	Syai.g_01513
OG0000147	Syag.g_00799	Syai.g_01514
OG0000148	Syag.g_00693	Syai.g_01361
OG0000149	Syag.g_00731	Syai.g_02059
OG0000150	Syag.g_00352	Syai.g_00717
OG0000151	Syag.g_00623	Syai.g_01280
OG0000152	Syag.g_00810	Syai.g_01503
OG0000153	Syag.g_00845	Syai.g_01461
OG0000154	Syag.g_00870	Syai.g_01434
OG0000155	Syag.g_01107	Syai.g_02109
OG0000156	Syag.g_01166	Syai.g_02162
OG0000157	Syag.g_01167	Syai.g_02163
OG0000158	Syag.g_02422	Syai.g_00135
OG0000160	Syag.g_01415	Syai.g_00952
OG0000161	Syag.g_01409	Syai.g_00946
OG0000162	Syag.g_01402	Syai.g_00939
OG0000163	Syag.g_01618	Syai.g_02300
OG0000164	Syag.g_01725	Syai.g_02411
OG0000165	Syag.g_01733	Syai.g_02244
OG0000166	Syag.g_02733	Syai.g_00364
OG0000167	Syag.g_02437	Syai.g_00164
OG0000168	Syag.g_02417	Syai.g_00134
OG0000169	Syag.g_02405	Syai.g_00123
OG0000170	Syag.g_02398	Syai.g_00116
OG0000171	Syag.g_02368	Syai.g_00090
OG0000172	Syag.g_02360	Syai.g_00083
OG0000173	Syag.g_02337	Syai.g_00064
OG0000174	Syag.g_02175	Syai.g_02828
OG0000175	Syag.g_02240	Syai.g_02901
OG0000176	Syag.g_02276	Syai.g_00004
OG0000177	Syag.g_02277	Syai.g_00005
OG0000178	Syag.g_02278	Syai.g_00006
OG0000179	Syag.g_02293	Syai.g_00023
OG0000180	Syag.g_02294	Syai.g_00024
OG0000181	Syag.g_02295	Syai.g_00025
OG0000182	Syag.g_02296	Syai.g_00026
OG0000183	Syag.g_02300	Syai.g_00030
OG0000184	Syag.g_02110	Syai.g_02756
