Orthogroup	Syag	Prav
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prav.g_01458
OG0000004	Syag.g_00988	Prav.g_01293
OG0000004	Syag.g_00370, Syag.g_01790	Prav.g_00806
OG0000005	Syag.g_01708	Prav.g_01774
OG0000005	Syag.g_01667	Prav.g_01654
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prav.g_02001
OG0000007	Syag.g_01507	Prav.g_01095
OG0000007	Syag.g_01687	Prav.g_01761
OG0000008	Syag.g_00496	Prav.g_01749
OG0000008	Syag.g_01017	Prav.g_01750
OG0000009	Syag.g_00220, Syag.g_00231	Prav.g_01688
OG0000009	Syag.g_01883	Prav.g_00170
OG0000010	Syag.g_01355	Prav.g_00218
OG0000011	Syag.g_01299	Prav.g_01334
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prav.g_01221
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prav.g_01973
OG0000014	Syag.g_02559	Prav.g_01952
OG0000015	Syag.g_02252, Syag.g_00596	Prav.g_00363, Prav.g_00961
OG0000016	Syag.g_02286	Prav.g_00081
OG0000017	Syag.g_00336, Syag.g_00344	Prav.g_01194
OG0000018	Syag.g_01387	Prav.g_00046
OG0000019	Syag.g_02663	Prav.g_01896, Prav.g_00375
OG0000020	Syag.g_00085	Prav.g_00014, Prav.g_01386
OG0000021	Syag.g_00229	Prav.g_00984
OG0000022	Syag.g_00458	Prav.g_00029
OG0000023	Syag.g_00261, Syag.g_00234	Prav.g_00979
OG0000024	Syag.g_00455	Prav.g_00343, Prav.g_01273
OG0000025	Syag.g_00718	Prav.g_01977, Prav.g_00431
OG0000026	Syag.g_02309	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syag.g_00950, Syag.g_00165	Prav.g_01068, Prav.g_01416
OG0000028	Syag.g_02540	Prav.g_01885, Prav.g_01966
OG0000029	Syag.g_00195	Prav.g_00350
OG0000030	Syag.g_02375, Syag.g_02374	Prav.g_00699
OG0000032	Syag.g_02480	Prav.g_01499
OG0000034	Syag.g_01225, Syag.g_01947	Prav.g_01448
OG0000035	Syag.g_01420, Syag.g_01421	Prav.g_01578
OG0000037	Syag.g_00173	Prav.g_00174
OG0000038	Syag.g_02130, Syag.g_02132	Prav.g_00739
OG0000039	Syag.g_01325, Syag.g_02155	Prav.g_01284
OG0000040	Syag.g_02215	Prav.g_00045
OG0000041	Syag.g_01750, Syag.g_00962	Prav.g_01808
OG0000042	Syag.g_01094, Syag.g_02378	Prav.g_00696
OG0000045	Syag.g_00223	Prav.g_00990
OG0000047	Syag.g_00768	Prav.g_01976
OG0000048	Syag.g_02611	Prav.g_00993
OG0000051	Syag.g_01026	Prav.g_01410
OG0000052	Syag.g_02491	Prav.g_01533
OG0000053	Syag.g_01391	Prav.g_01598
OG0000054	Syag.g_00350	Prav.g_01202
OG0000055	Syag.g_01799, Syag.g_00946	Prav.g_00376
OG0000057	Syag.g_00985	Prav.g_01296
OG0000059	Syag.g_02721	Prav.g_00292
OG0000060	Syag.g_01338, Syag.g_01530, Syag.g_02045, Syag.g_01095	Prav.g_00964
OG0000061	Syag.g_01141	Prav.g_00065
OG0000062	Syag.g_01669	Prav.g_01656
OG0000063	Syag.g_02313	Prav.g_00101
OG0000065	Syag.g_01885, Syag.g_00182	Prav.g_00172
OG0000066	Syag.g_01443	Prav.g_01137
OG0000067	Syag.g_00667	Prav.g_00397
OG0000068	Syag.g_01537	Prav.g_01473
OG0000070	Syag.g_00049	Prav.g_01049
OG0000071	Syag.g_01192	Prav.g_01438
OG0000072	Syag.g_01980, Syag.g_02859	Prav.g_00867
OG0000073	Syag.g_01505	Prav.g_01097
OG0000075	Syag.g_02434	Prav.g_00665
OG0000076	Syag.g_02393	Prav.g_00689
OG0000077	Syag.g_01831	Prav.g_00143
OG0000078	Syag.g_01778	Prav.g_00799
OG0000079	Syag.g_02659, Syag.g_02652	Prav.g_01899
OG0000081	Syag.g_00167	Prav.g_01129
OG0000082	Syag.g_00318	Prav.g_01182
OG0000084	Syag.g_00212, Syag.g_01425	Prav.g_01574
OG0000085	Syag.g_01676	Prav.g_01754
OG0000086	Syag.g_01853	Prav.g_00153
OG0000087	Syag.g_01939	Prav.g_00204
OG0000088	Syag.g_01974	Prav.g_00872
OG0000089	Syag.g_00005	Prav.g_00975
OG0000090	Syag.g_01454	Prav.g_01131
OG0000091	Syag.g_00418	Prav.g_01240
OG0000092	Syag.g_00242	Prav.g_01735
OG0000093	Syag.g_00649	Prav.g_00525
OG0000094	Syag.g_00881	Prav.g_00914
OG0000095	Syag.g_00974	Prav.g_00933
OG0000097	Syag.g_01065	Prav.g_01840
OG0000098	Syag.g_00578, Syag.g_01445	Prav.g_01455
OG0000099	Syag.g_02536	Prav.g_01514
OG0000100	Syag.g_00704	Prav.g_01652
OG0000101	Syag.g_02773	Prav.g_00632
OG0000102	Syag.g_02387	Prav.g_00694
OG0000103	Syag.g_02253	Prav.g_00773
OG0000104	Syag.g_02268	Prav.g_00782
OG0000105	Syag.g_02606	Prav.g_01920
OG0000106	Syag.g_00462	Prav.g_00989
OG0000107	Syag.g_02689	Prav.g_01001
OG0000108	Syag.g_01528	Prav.g_01078
OG0000109	Syag.g_01512	Prav.g_01092
OG0000110	Syag.g_00303	Prav.g_01172
OG0000111	Syag.g_00984	Prav.g_01297
OG0000112	Syag.g_00801	Prav.g_00364
OG0000113	Syag.g_00699	Prav.g_00419
OG0000114	Syag.g_00609	Prav.g_00499
OG0000115	Syag.g_01397	Prav.g_00010
OG0000116	Syag.g_01156	Prav.g_00055
OG0000117	Syag.g_01097	Prav.g_01390
OG0000118	Syag.g_01232	Prav.g_01450
OG0000120	Syag.g_02535	Prav.g_01513
OG0000121	Syag.g_01414	Prav.g_01580
OG0000122	Syag.g_00446	Prav.g_01618
OG0000123	Syag.g_02781	Prav.g_00639
OG0000124	Syag.g_02367, Syag.g_02485	Prav.g_00705
OG0000125	Syag.g_02136, Syag.g_02134	Prav.g_00741
OG0000126	Syag.g_02266	Prav.g_00781
OG0000128	Syag.g_02284	Prav.g_00079
OG0000129	Syag.g_02121	Prav.g_00115
OG0000130	Syag.g_01819	Prav.g_00134
OG0000131	Syag.g_01951	Prav.g_00212
OG0000132	Syag.g_01972	Prav.g_00874
OG0000133	Syag.g_00806	Prav.g_01968
OG0000134	Syag.g_00008	Prav.g_00976
OG0000135	Syag.g_02171	Prav.g_00999
OG0000136	Syag.g_00038	Prav.g_01040
OG0000137	Syag.g_01356	Prav.g_01073
OG0000138	Syag.g_01511	Prav.g_01093
OG0000139	Syag.g_01448	Prav.g_01135
OG0000140	Syag.g_01446	Prav.g_01136
OG0000141	Syag.g_00351	Prav.g_01203
OG0000142	Syag.g_00410	Prav.g_01233
OG0000143	Syag.g_00414	Prav.g_01237
OG0000144	Syag.g_00493	Prav.g_01250
OG0000145	Syag.g_01504	Prav.g_00362
OG0000146	Syag.g_00800	Prav.g_00365
OG0000147	Syag.g_00799	Prav.g_00366
OG0000148	Syag.g_00693	Prav.g_00413
OG0000149	Syag.g_00731	Prav.g_00443
OG0000150	Syag.g_00352	Prav.g_00451
OG0000151	Syag.g_00623	Prav.g_00509
OG0000152	Syag.g_00810	Prav.g_00556
OG0000153	Syag.g_00845	Prav.g_00575
OG0000154	Syag.g_00870	Prav.g_00907
OG0000155	Syag.g_01107	Prav.g_01861
OG0000156	Syag.g_01166	Prav.g_01427
OG0000157	Syag.g_01167	Prav.g_01428
OG0000158	Syag.g_02422	Prav.g_01505
OG0000160	Syag.g_01415	Prav.g_01579
OG0000161	Syag.g_01409	Prav.g_01585
OG0000162	Syag.g_01402	Prav.g_01591
OG0000163	Syag.g_00706, Syag.g_01618	Prav.g_01625
OG0000164	Syag.g_01725	Prav.g_01785
OG0000165	Syag.g_01733	Prav.g_01792
OG0000166	Syag.g_02733	Prav.g_00596
OG0000167	Syag.g_02437	Prav.g_00663
OG0000168	Syag.g_02417	Prav.g_00673
OG0000169	Syag.g_02405	Prav.g_00683
OG0000170	Syag.g_02398	Prav.g_00685
OG0000171	Syag.g_02368	Prav.g_00704
OG0000172	Syag.g_02360	Prav.g_00712
OG0000173	Syag.g_02337	Prav.g_00727
OG0000174	Syag.g_02175	Prav.g_00755
OG0000175	Syag.g_02240	Prav.g_00765
OG0000176	Syag.g_02276	Prav.g_00790
OG0000177	Syag.g_02277	Prav.g_00791
OG0000178	Syag.g_02278	Prav.g_00792
OG0000179	Syag.g_02293	Prav.g_00084
OG0000180	Syag.g_02294	Prav.g_00085
OG0000181	Syag.g_02295	Prav.g_00086
OG0000182	Syag.g_02296	Prav.g_00087
OG0000183	Syag.g_02300	Prav.g_00091
OG0000184	Syag.g_02110	Prav.g_00117
OG0000185	Syag.g_02092	Prav.g_00120
OG0000186	Syag.g_01815	Prav.g_00129
OG0000187	Syag.g_01816	Prav.g_00130
OG0000188	Syag.g_01839	Prav.g_00147
OG0000189	Syag.g_01872	Prav.g_00161
OG0000190	Syag.g_01874	Prav.g_00162
OG0000191	Syag.g_01909	Prav.g_00182
OG0000192	Syag.g_01915	Prav.g_00186
OG0000193	Syag.g_01952	Prav.g_00213
OG0000194	Syag.g_01955	Prav.g_00216
OG0000195	Syag.g_01957	Prav.g_00887
OG0000196	Syag.g_01968	Prav.g_00877
OG0000197	Syag.g_01969	Prav.g_00876
OG0000198	Syag.g_00108, Syag.g_01971	Prav.g_00875
OG0000199	Syag.g_01979	Prav.g_00868
OG0000200	Syag.g_01996	Prav.g_00854
OG0000201	Syag.g_02019, Syag.g_02023	Prav.g_00846
OG0000202	Syag.g_02024	Prav.g_00845
OG0000203	Syag.g_02025	Prav.g_00844
OG0000204	Syag.g_02020, Syag.g_02026	Prav.g_00843
OG0000205	Syag.g_02035	Prav.g_00836
OG0000206	Syag.g_02047	Prav.g_00831
OG0000207	Syag.g_02051	Prav.g_00829
OG0000208	Syag.g_02052	Prav.g_00828
OG0000209	Syag.g_02069	Prav.g_00819
OG0000210	Syag.g_02070	Prav.g_00818
OG0000211	Syag.g_01788	Prav.g_00805
OG0000212	Syag.g_01777	Prav.g_00798
OG0000213	Syag.g_02632	Prav.g_01904
OG0000214	Syag.g_02615	Prav.g_01914
OG0000215	Syag.g_02584	Prav.g_01938
OG0000216	Syag.g_02580	Prav.g_01940
OG0000217	Syag.g_02576	Prav.g_01943
OG0000218	Syag.g_02574	Prav.g_01945
OG0000219	Syag.g_02573	Prav.g_01946
OG0000220	Syag.g_02572	Prav.g_01947
OG0000221	Syag.g_02566	Prav.g_01948
OG0000222	Syag.g_02550	Prav.g_01956
OG0000223	Syag.g_02475	Prav.g_01969
OG0000224	Syag.g_02471	Prav.g_01971
OG0000225	Syag.g_02861	Prav.g_01992
OG0000226	Syag.g_02865	Prav.g_01996
OG0000227	Syag.g_02867	Prav.g_01998
OG0000228	Syag.g_00004	Prav.g_00974
OG0000229	Syag.g_00033	Prav.g_01035
OG0000230	Syag.g_00035	Prav.g_01037
OG0000231	Syag.g_00048	Prav.g_01048
OG0000232	Syag.g_00059	Prav.g_01056
OG0000233	Syag.g_01330	Prav.g_01061
OG0000234	Syag.g_01358	Prav.g_01074
OG0000235	Syag.g_01529	Prav.g_01077
OG0000236	Syag.g_01513	Prav.g_01091
OG0000237	Syag.g_01495	Prav.g_01104
OG0000238	Syag.g_01490	Prav.g_01110
OG0000239	Syag.g_01472	Prav.g_01123
OG0000240	Syag.g_01471	Prav.g_01124
OG0000241	Syag.g_00396	Prav.g_01128
OG0000242	Syag.g_01456	Prav.g_01130
OG0000243	Syag.g_00255	Prav.g_01141, Prav.g_00954
OG0000244	Syag.g_00268	Prav.g_01144
OG0000245	Syag.g_00270	Prav.g_01146
OG0000246	Syag.g_00274	Prav.g_01150
OG0000247	Syag.g_00286	Prav.g_01160
OG0000248	Syag.g_00289	Prav.g_01162
OG0000249	Syag.g_00291	Prav.g_01164
OG0000250	Syag.g_00299	Prav.g_01169
OG0000251	Syag.g_00328	Prav.g_01187
OG0000252	Syag.g_00331	Prav.g_01190
OG0000253	Syag.g_00333	Prav.g_01191
OG0000254	Syag.g_00356	Prav.g_01207
OG0000255	Syag.g_00369	Prav.g_01213
OG0000256	Syag.g_00385	Prav.g_01225
OG0000257	Syag.g_00395	Prav.g_01228
OG0000258	Syag.g_00423	Prav.g_01241
OG0000259	Syag.g_00560	Prav.g_01258
OG0000260	Syag.g_00570	Prav.g_01261
OG0000261	Syag.g_00581	Prav.g_01263
OG0000262	Syag.g_00586	Prav.g_01267
OG0000263	Syag.g_01079	Prav.g_01279
OG0000264	Syag.g_01011	Prav.g_01289
OG0000265	Syag.g_01021	Prav.g_00306
OG0000266	Syag.g_00907	Prav.g_00316
OG0000267	Syag.g_00762	Prav.g_00327
OG0000268	Syag.g_00763	Prav.g_00328
OG0000269	Syag.g_00662	Prav.g_00392
OG0000270	Syag.g_00665	Prav.g_00395
OG0000271	Syag.g_00673	Prav.g_00403
OG0000273	Syag.g_00713	Prav.g_00427
OG0000274	Syag.g_00714	Prav.g_00428
OG0000275	Syag.g_00717	Prav.g_00430
OG0000276	Syag.g_00723	Prav.g_00435
OG0000277	Syag.g_00724	Prav.g_00436
OG0000278	Syag.g_00727	Prav.g_00439
OG0000279	Syag.g_00735	Prav.g_00446
OG0000280	Syag.g_00741	Prav.g_00447
OG0000281	Syag.g_00572	Prav.g_00452
OG0000282	Syag.g_00611	Prav.g_00501
OG0000283	Syag.g_00775	Prav.g_00533
OG0000284	Syag.g_00780	Prav.g_00538
OG0000285	Syag.g_00791	Prav.g_00543
OG0000286	Syag.g_00809	Prav.g_00555
