Orthogroup	Syag	Prah
OG0000001	Syag.g_01942	Prah.g_01159
OG0000001	Syag.g_01943	Prah.g_02270
OG0000003	Syag.g_01565	Prah.g_02448
OG0000003	Syag.g_01261, Syag.g_00931, Syag.g_01260	Prah.g_02447, Prah.g_00270, Prah.g_01119, Prah.g_02431, Prah.g_01063, Prah.g_00269, Prah.g_00926, Prah.g_00927, Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169, Prah.g_00935, Prah.g_02436, Prah.g_00271, Prah.g_00273, Prah.g_00930, Prah.g_02446, Prah.g_00226, Prah.g_00272, Prah.g_02434, Prah.g_02451, Prah.g_02432, Prah.g_01064
OG0000003	Syag.g_02658	Prah.g_00936, Prah.g_01869, Prah.g_01005, Prah.g_01056
OG0000004	Syag.g_00988	Prah.g_01022
OG0000004	Syag.g_00370, Syag.g_01790	Prah.g_01413
OG0000005	Syag.g_01667	Prah.g_01652
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prah.g_00475, Prah.g_01767
OG0000007	Syag.g_01507	Prah.g_01546
OG0000007	Syag.g_01687	Prah.g_01676
OG0000008	Syag.g_00496	Prah.g_00970
OG0000008	Syag.g_01017	Prah.g_00969
OG0000009	Syag.g_01883	Prah.g_00432, Prah.g_01895
OG0000010	Syag.g_01355	Prah.g_00311
OG0000012	Syag.g_00377	Prah.g_00524
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prah.g_01956
OG0000014	Syag.g_02559	Prah.g_02171
OG0000015	Syag.g_02252, Syag.g_00596	Prah.g_01155, Prah.g_00576
OG0000016	Syag.g_02286	Prah.g_00015
OG0000016	Syag.g_01066	Prah.g_01270
OG0000017	Syag.g_00344	Prah.g_01397
OG0000018	Syag.g_01387	Prah.g_00378
OG0000019	Syag.g_02663	Prah.g_02086
OG0000020	Syag.g_00085	Prah.g_01100
OG0000021	Syag.g_00229	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syag.g_00458	Prah.g_01209
OG0000023	Syag.g_00261, Syag.g_00234	Prah.g_00688
OG0000024	Syag.g_00455	Prah.g_01043
OG0000025	Syag.g_00718	Prah.g_00604
OG0000026	Syag.g_02309	Prah.g_00038
OG0000028	Syag.g_02540	Prah.g_02184
OG0000029	Syag.g_00195	Prah.g_01972
OG0000030	Syag.g_02375	Prah.g_00132
OG0000030	Syag.g_02374	Prah.g_00131
OG0000031	Syag.g_02510	Prah.g_02248
OG0000032	Syag.g_01366	Prah.g_00358
OG0000032	Syag.g_02480	Prah.g_02196
OG0000033	Syag.g_01978, Syag.g_02481	Prah.g_02307
OG0000034	Syag.g_01225, Syag.g_01947	Prah.g_01376
OG0000035	Syag.g_01421	Prah.g_00408
OG0000037	Syag.g_00173	Prah.g_01901
OG0000038	Syag.g_02130	Prah.g_02494
OG0000038	Syag.g_02132	Prah.g_02496
OG0000039	Syag.g_01325	Prah.g_01758
OG0000039	Syag.g_02155	Prah.g_02382
OG0000041	Syag.g_00962	Prah.g_01737
OG0000042	Syag.g_01094, Syag.g_02378	Prah.g_00135, Prah.g_01256
OG0000043	Syag.g_00564	Prah.g_01190
OG0000045	Syag.g_00225	Prah.g_01837
OG0000046	Syag.g_02812, Syag.g_02819, Syag.g_02805	Prah.g_01955
OG0000047	Syag.g_00768	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syag.g_02611	Prah.g_02122
OG0000051	Syag.g_00214	Prah.g_00717
OG0000052	Syag.g_02451	Prah.g_02219
OG0000053	Syag.g_01391	Prah.g_00381
OG0000054	Syag.g_00350	Prah.g_01394
OG0000055	Syag.g_01799, Syag.g_00946	Prah.g_00942
OG0000057	Syag.g_00985	Prah.g_01027
OG0000058	Syag.g_02477	Prah.g_02195
OG0000059	Syag.g_02721	Prah.g_02043
OG0000060	Syag.g_01530	Prah.g_01569
OG0000060	Syag.g_01095	Prah.g_01156
OG0000061	Syag.g_01141	Prah.g_01322
OG0000062	Syag.g_01669	Prah.g_01654
OG0000063	Syag.g_02313	Prah.g_00042
OG0000065	Syag.g_01885	Prah.g_01897
OG0000066	Syag.g_01443	Prah.g_01485
OG0000067	Syag.g_00667	Prah.g_00667
OG0000068	Syag.g_01537	Prah.g_01576
OG0000070	Syag.g_00049	Prah.g_00252
OG0000071	Syag.g_01192	Prah.g_01364
OG0000072	Syag.g_01980, Syag.g_02859	Prah.g_02309
OG0000073	Syag.g_01505	Prah.g_01544
OG0000075	Syag.g_02434	Prah.g_02232
OG0000076	Syag.g_02393	Prah.g_00150
OG0000078	Syag.g_01778	Prah.g_01773
OG0000079	Syag.g_02659	Prah.g_02090
OG0000079	Syag.g_02652	Prah.g_01868
OG0000082	Syag.g_00318	Prah.g_01427
OG0000084	Syag.g_00212, Syag.g_01425	Prah.g_00412
OG0000085	Syag.g_01676	Prah.g_01666
OG0000086	Syag.g_01853	Prah.g_01866
OG0000087	Syag.g_01939	Prah.g_02268
OG0000088	Syag.g_01974	Prah.g_02304, Prah.g_00957
OG0000089	Syag.g_00005	Prah.g_00205
OG0000090	Syag.g_01454	Prah.g_01501
OG0000091	Syag.g_00418	Prah.g_00493
OG0000093	Syag.g_00649	Prah.g_00692
OG0000094	Syag.g_00881	Prah.g_02518
OG0000095	Syag.g_00974	Prah.g_00915
OG0000097	Syag.g_01065	Prah.g_01272
OG0000098	Syag.g_00578, Syag.g_01445	Prah.g_00327
OG0000099	Syag.g_02536	Prah.g_02191
OG0000100	Syag.g_00704	Prah.g_01791, Prah.g_00636
OG0000101	Syag.g_02773	Prah.g_01995
OG0000102	Syag.g_02387	Prah.g_00144
OG0000103	Syag.g_02253	Prah.g_02586
OG0000104	Syag.g_02268	Prah.g_02600
OG0000105	Syag.g_02606	Prah.g_02126
OG0000106	Syag.g_00462	Prah.g_01660
OG0000107	Syag.g_02689	Prah.g_02072
OG0000108	Syag.g_01528	Prah.g_01566
OG0000109	Syag.g_01512	Prah.g_01550
OG0000110	Syag.g_00303	Prah.g_01439
OG0000111	Syag.g_00984	Prah.g_01028
OG0000112	Syag.g_00801	Prah.g_00788
OG0000113	Syag.g_00699	Prah.g_00641
OG0000114	Syag.g_00609	Prah.g_00733
OG0000115	Syag.g_01397	Prah.g_00383
OG0000116	Syag.g_01156	Prah.g_01337
OG0000117	Syag.g_01097	Prah.g_01257
OG0000118	Syag.g_01232	Prah.g_01378
OG0000120	Syag.g_02535	Prah.g_02192
OG0000121	Syag.g_01414	Prah.g_00406
OG0000122	Syag.g_00446	Prah.g_01203
OG0000123	Syag.g_02781	Prah.g_01987
OG0000124	Syag.g_02367	Prah.g_00125
OG0000125	Syag.g_02136, Syag.g_02134	Prah.g_02498
OG0000126	Syag.g_02266	Prah.g_02598
OG0000128	Syag.g_02284	Prah.g_00013
OG0000129	Syag.g_02121	Prah.g_02486
OG0000130	Syag.g_01819	Prah.g_01838
OG0000131	Syag.g_01951	Prah.g_02282
OG0000132	Syag.g_01972	Prah.g_02302
OG0000133	Syag.g_00806	Prah.g_02187
OG0000134	Syag.g_00008	Prah.g_00208
OG0000135	Syag.g_02171	Prah.g_02538
OG0000136	Syag.g_00038	Prah.g_00235
OG0000137	Syag.g_01356	Prah.g_00312
OG0000138	Syag.g_01511	Prah.g_01549
OG0000139	Syag.g_01448	Prah.g_01495
OG0000140	Syag.g_01446	Prah.g_01489
OG0000141	Syag.g_00351	Prah.g_01393
OG0000142	Syag.g_00410	Prah.g_00501
OG0000143	Syag.g_00414	Prah.g_00497
OG0000144	Syag.g_00493	Prah.g_00473
OG0000145	Syag.g_01504	Prah.g_01543
OG0000146	Syag.g_00800	Prah.g_00787
OG0000147	Syag.g_00799	Prah.g_00786
OG0000148	Syag.g_00693	Prah.g_00649
OG0000149	Syag.g_00731	Prah.g_00591
OG0000150	Syag.g_00352	Prah.g_00568
OG0000151	Syag.g_00623	Prah.g_00718
OG0000152	Syag.g_00810	Prah.g_00796
OG0000153	Syag.g_00845	Prah.g_00826
