Orthogroup	Syag	Prai
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prai.g_01235, Prai.g_01356
OG0000004	Syag.g_00988	Prai.g_00724
OG0000004	Syag.g_00370, Syag.g_01790	Prai.g_00243
OG0000005	Syag.g_01708	Prai.g_01651
OG0000005	Syag.g_01667	Prai.g_01538
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prai.g_00252, Prai.g_00254
OG0000007	Syag.g_01507	Prai.g_00527
OG0000007	Syag.g_01687	Prai.g_01638
OG0000008	Syag.g_00496, Syag.g_01017	Prai.g_00701
OG0000009	Syag.g_00220, Syag.g_00231	Prai.g_01578
OG0000009	Syag.g_01883	Prai.g_00105
OG0000010	Syag.g_01355	Prai.g_01292, Prai.g_01067
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prai.g_00652
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prai.g_00340
OG0000014	Syag.g_02559	Prai.g_00319
OG0000015	Syag.g_02252, Syag.g_00596	Prai.g_01243
OG0000016	Syag.g_02286	Prai.g_00013
OG0000017	Syag.g_00336, Syag.g_00344	Prai.g_00626
OG0000018	Syag.g_01387	Prai.g_01153
OG0000019	Syag.g_02663	Prai.g_00262, Prai.g_00867
OG0000020	Syag.g_00085	Prai.g_01125, Prai.g_01248, Prai.g_00400
OG0000021	Syag.g_00229	Prai.g_00378
OG0000022	Syag.g_00458	Prai.g_01139
OG0000023	Syag.g_00261, Syag.g_00234	Prai.g_00373
OG0000024	Syag.g_00455	Prai.g_00899, Prai.g_00704
OG0000025	Syag.g_00718	Prai.g_00344, Prai.g_00812
OG0000026	Syag.g_02309	Prai.g_00031, Prai.g_01074
OG0000027	Syag.g_00950, Syag.g_00165	Prai.g_00904
OG0000028	Syag.g_02540	Prai.g_01297, Prai.g_00333
OG0000029	Syag.g_00195	Prai.g_00890
OG0000030	Syag.g_02375, Syag.g_02374	Prai.g_01848
OG0000031	Syag.g_02486	Prai.g_01444
OG0000034	Syag.g_01225, Syag.g_01947	Prai.g_01345
OG0000035	Syag.g_01420, Syag.g_01421	Prai.g_01463
OG0000037	Syag.g_00173	Prai.g_00109
OG0000038	Syag.g_02130, Syag.g_02132	Prai.g_01890
OG0000039	Syag.g_01325, Syag.g_02155	Prai.g_00715
OG0000041	Syag.g_01750, Syag.g_00962	Prai.g_01684
OG0000042	Syag.g_01094, Syag.g_02378	Prai.g_01845
OG0000043	Syag.g_00564	Prai.g_00910
OG0000045	Syag.g_00223	Prai.g_00384
OG0000045	Syag.g_00225	Prai.g_01274
OG0000047	Syag.g_00768	Prai.g_00343, Prai.g_00424
OG0000048	Syag.g_02611	Prai.g_00387
OG0000051	Syag.g_01026	Prai.g_00434
OG0000052	Syag.g_02491	Prai.g_00154
OG0000053	Syag.g_01391	Prai.g_01483
OG0000054	Syag.g_00350	Prai.g_00634
OG0000055	Syag.g_01799, Syag.g_00946	Prai.g_00866
OG0000057	Syag.g_00985	Prai.g_00727
OG0000059	Syag.g_02721	Prai.g_01725
OG0000061	Syag.g_01141	Prai.g_01171
OG0000062	Syag.g_01669	Prai.g_01540
OG0000063	Syag.g_02313	Prai.g_00033, Prai.g_01261
OG0000065	Syag.g_01885, Syag.g_00182	Prai.g_00107
OG0000066	Syag.g_01443	Prai.g_00567
OG0000067	Syag.g_00667	Prai.g_00848
OG0000068	Syag.g_01537	Prai.g_01370
OG0000070	Syag.g_00049	Prai.g_00481
OG0000071	Syag.g_01192	Prai.g_01335
OG0000072	Syag.g_01980, Syag.g_02859	Prai.g_00182
OG0000073	Syag.g_01505	Prai.g_00529
OG0000075	Syag.g_02434	Prai.g_01814
OG0000076	Syag.g_02393	Prai.g_01838
OG0000077	Syag.g_01831	Prai.g_00078
OG0000078	Syag.g_01778	Prai.g_00250
OG0000079	Syag.g_02659, Syag.g_02652	Prai.g_00265
OG0000080	Syag.g_02500	Prai.g_01411
OG0000081	Syag.g_00167	Prai.g_00559
OG0000082	Syag.g_00318	Prai.g_00613
OG0000084	Syag.g_00212, Syag.g_01425	Prai.g_01459
OG0000085	Syag.g_01676	Prai.g_01631
OG0000086	Syag.g_01853	Prai.g_00088
OG0000087	Syag.g_01939	Prai.g_00139
OG0000088	Syag.g_01974	Prai.g_00177
OG0000089	Syag.g_00005	Prai.g_00368
OG0000090	Syag.g_01454	Prai.g_00561
OG0000091	Syag.g_00418	Prai.g_00671
OG0000093	Syag.g_00649	Prai.g_01021
OG0000094	Syag.g_00881	Prai.g_00937
OG0000095	Syag.g_00974	Prai.g_00918
