Orthogroup	Syag	Syae
OG0000001	Syag.g_01942	Syae.g_01416
OG0000001	Syag.g_01943	Syae.g_01417
OG0000001	Syag.g_00520	Syae.g_02055
OG0000004	Syag.g_00988	Syae.g_00779
OG0000004	Syag.g_00370	Syae.g_00042
OG0000004	Syag.g_01790	Syae.g_02231
OG0000005	Syag.g_01708	Syae.g_01179
OG0000005	Syag.g_01667	Syae.g_01143
OG0000006	Syag.g_00435	Syae.g_00096
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syae.g_02030, Syae.g_02248
OG0000007	Syag.g_01507	Syae.g_02328
OG0000007	Syag.g_01687	Syae.g_01163
OG0000008	Syag.g_00496	Syae.g_00753
OG0000008	Syag.g_01017	Syae.g_00752
OG0000009	Syag.g_00220, Syag.g_00231	Syae.g_00561, Syae.g_00171
OG0000009	Syag.g_01883	Syae.g_00100, Syae.g_01361
OG0000010	Syag.g_01355	Syae.g_02529
OG0000011	Syag.g_01299	Syae.g_00750
OG0000012	Syag.g_00377	Syae.g_00049
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syae.g_02397
OG0000013	Syag.g_02811	Syae.g_02160
OG0000013	Syag.g_02820	Syae.g_02169
OG0000013	Syag.g_02806	Syae.g_02155
OG0000014	Syag.g_02559	Syae.g_01930
OG0000014	Syag.g_02487	Syae.g_01850
OG0000015	Syag.g_02252	Syae.g_01693
OG0000015	Syag.g_00596	Syae.g_00590
OG0000016	Syag.g_02286	Syae.g_01726
OG0000016	Syag.g_01066	Syae.g_00681
OG0000017	Syag.g_00336	Syae.g_02462
OG0000017	Syag.g_00344	Syae.g_02469
OG0000018	Syag.g_01387	Syae.g_02625
OG0000019	Syag.g_02663	Syae.g_02015
OG0000021	Syag.g_00229	Syae.g_00481
OG0000022	Syag.g_00458	Syae.g_00144
OG0000023	Syag.g_00261, Syag.g_00234	Syae.g_00930
OG0000025	Syag.g_00718	Syae.g_00833
OG0000026	Syag.g_02309	Syae.g_01748
OG0000027	Syag.g_00950	Syae.g_00103
OG0000027	Syag.g_00165	Syae.g_00814
OG0000028	Syag.g_02540	Syae.g_01916
OG0000029	Syag.g_00195	Syae.g_00136
OG0000030	Syag.g_02375	Syae.g_01817
OG0000030	Syag.g_02374	Syae.g_01816
OG0000031	Syag.g_02510	Syae.g_01911
OG0000032	Syag.g_01366	Syae.g_02607
OG0000033	Syag.g_01978	Syae.g_01453
OG0000034	Syag.g_01225, Syag.g_01947	Syae.g_00975, Syae.g_01424
OG0000035	Syag.g_01420, Syag.g_01421	Syae.g_02653
