Orthogroup	Syag	Syaj
OG0000001	Syag.g_01942	Syaj.g_01949, Syaj.g_01952
OG0000001	Syag.g_01943	Syaj.g_01950
OG0000001	Syag.g_00520	Syaj.g_02660
OG0000004	Syag.g_00988	Syaj.g_00441
OG0000004	Syag.g_00370	Syaj.g_01314
OG0000004	Syag.g_01790	Syaj.g_02853
OG0000005	Syag.g_01708	Syaj.g_01736
OG0000005	Syag.g_01667	Syaj.g_01698
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syaj.g_02635
OG0000007	Syag.g_01507	Syaj.g_00091
OG0000007	Syag.g_01687	Syaj.g_01721
OG0000008	Syag.g_00496	Syaj.g_00496
OG0000008	Syag.g_01017	Syaj.g_00497
OG0000009	Syag.g_00220, Syag.g_00231	Syaj.g_01069
OG0000009	Syag.g_01883	Syaj.g_01885
OG0000010	Syag.g_01355	Syaj.g_01445
OG0000012	Syag.g_00377	Syaj.g_01306
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syaj.g_00172
OG0000013	Syag.g_02811	Syaj.g_02774
OG0000013	Syag.g_02820	Syaj.g_02782
OG0000013	Syag.g_02806	Syaj.g_02769
OG0000014	Syag.g_02559	Syaj.g_02522
OG0000014	Syag.g_02487	Syaj.g_02344
OG0000015	Syag.g_02252	Syaj.g_02242
OG0000015	Syag.g_00596	Syaj.g_00725, Syaj.g_02659
OG0000016	Syag.g_02286	Syaj.g_02276
OG0000016	Syag.g_01066	Syaj.g_00590
OG0000017	Syag.g_00336	Syaj.g_00248
OG0000017	Syag.g_00344	Syaj.g_00255
OG0000018	Syag.g_01387	Syaj.g_01413
OG0000019	Syag.g_02663	Syaj.g_02613
OG0000021	Syag.g_00229	Syaj.g_00042
OG0000022	Syag.g_00458	Syaj.g_01220
OG0000023	Syag.g_00261, Syag.g_00234	Syaj.g_01791
OG0000024	Syag.g_00455	Syaj.g_00500
OG0000025	Syag.g_00718	Syaj.g_00383
OG0000026	Syag.g_02309	Syaj.g_02298
OG0000027	Syag.g_00165	Syaj.g_00396
OG0000028	Syag.g_02540	Syaj.g_02506
OG0000029	Syag.g_00195	Syaj.g_01229
OG0000030	Syag.g_02375	Syaj.g_02396
OG0000030	Syag.g_02374	Syaj.g_02395
OG0000031	Syag.g_02510	Syaj.g_02501
OG0000032	Syag.g_01366	Syaj.g_01432
OG0000033	Syag.g_01978	Syaj.g_01990
OG0000034	Syag.g_01225, Syag.g_01947	Syaj.g_01959
OG0000035	Syag.g_01420, Syag.g_01421	Syaj.g_01378
OG0000037	Syag.g_00173	Syaj.g_01891
