Orthogroup	Prah	Praz
OG0000000	Prah.g_01348	Praz.g_00921
OG0000000	Prah.g_01346, Prah.g_01347	Praz.g_01200, Praz.g_00920
OG0000001	Prah.g_00324, Prah.g_01343	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000002	Prah.g_00562	Praz.g_01146
OG0000002	Prah.g_01226	Praz.g_01652
OG0000004	Prah.g_01022	Praz.g_01635
OG0000004	Prah.g_01413	Praz.g_00592
OG0000005	Prah.g_01652	Praz.g_00965
OG0000006	Prah.g_00475, Prah.g_01767	Praz.g_00601
OG0000007	Prah.g_01546	Praz.g_01831
OG0000007	Prah.g_01676	Praz.g_00877
OG0000008	Prah.g_00970	Praz.g_01241
OG0000009	Prah.g_00432, Prah.g_01895	Praz.g_00465
OG0000010	Prah.g_00311	Praz.g_01854
OG0000011	Prah.g_01084	Praz.g_00768, Praz.g_01207
OG0000012	Prah.g_00524	Praz.g_01707
OG0000013	Prah.g_01956	Praz.g_00684
OG0000014	Prah.g_02171	Praz.g_00663
OG0000015	Prah.g_01155, Prah.g_00576	Praz.g_01551
OG0000016	Prah.g_00015	Praz.g_00378
OG0000017	Prah.g_01405	Praz.g_01732
OG0000018	Prah.g_00378	Praz.g_00011, Praz.g_01485
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Praz.g_00896, Praz.g_00810
OG0000022	Prah.g_00170	Praz.g_01556
OG0000022	Prah.g_01209	Praz.g_00029
OG0000023	Prah.g_00688	Praz.g_00814
OG0000024	Prah.g_01043	Praz.g_01571, Praz.g_01655
OG0000025	Prah.g_00604	Praz.g_01477, Praz.g_00688
OG0000026	Prah.g_00038	Praz.g_00396, Praz.g_00081
OG0000028	Prah.g_02184	Praz.g_00677
OG0000029	Prah.g_01972	Praz.g_01564
OG0000030	Prah.g_00132, Prah.g_00131	Praz.g_00195
OG0000031	Prah.g_02248, Prah.g_00091	Praz.g_01116
OG0000033	Prah.g_02307	Praz.g_00529
OG0000034	Prah.g_01376	Praz.g_01170
OG0000035	Prah.g_00408	Praz.g_01041
OG0000037	Prah.g_01901	Praz.g_00469
OG0000038	Prah.g_02494, Prah.g_02496	Praz.g_00154
OG0000039	Prah.g_01758, Prah.g_02382	Praz.g_01644
OG0000042	Prah.g_00135, Prah.g_01256	Praz.g_00198
OG0000043	Prah.g_01190	Praz.g_01234
OG0000045	Prah.g_01837	Praz.g_00803
OG0000047	Prah.g_00321, Prah.g_00322	Praz.g_01921
OG0000047	Prah.g_00353	Praz.g_00687
OG0000048	Prah.g_02122	Praz.g_00800
OG0000051	Prah.g_01166	Praz.g_01204
OG0000052	Prah.g_02219	Praz.g_01103
OG0000053	Prah.g_00381	Praz.g_01021
OG0000054	Prah.g_01394	Praz.g_01724
OG0000055	Prah.g_00942	Praz.g_01531
OG0000056	Prah.g_00543, Prah.g_01082, Prah.g_00342	Praz.g_01253
OG0000057	Prah.g_01027	Praz.g_01632
OG0000061	Prah.g_00104	Praz.g_00755
OG0000062	Prah.g_01654	Praz.g_00963
OG0000063	Prah.g_00042	Praz.g_00398
OG0000065	Prah.g_01897	Praz.g_00467
OG0000066	Prah.g_01485	Praz.g_01789
OG0000067	Prah.g_00667	Praz.g_01512
OG0000068	Prah.g_01576	Praz.g_01139
OG0000070	Prah.g_00252	Praz.g_01878
OG0000071	Prah.g_01364	Praz.g_01180
OG0000072	Prah.g_02309	Praz.g_00531
OG0000073	Prah.g_01544	Praz.g_01829
OG0000075	Prah.g_02232	Praz.g_00230
OG0000076	Prah.g_00150	Praz.g_00205
OG0000077	Prah.g_01850	Praz.g_00438
OG0000078	Prah.g_01773	Praz.g_00599
OG0000079	Prah.g_02090, Prah.g_01868	Praz.g_00612
OG0000081	Prah.g_01035	Praz.g_01797
OG0000082	Prah.g_01427	Praz.g_01744
OG0000084	Prah.g_00412	Praz.g_01045
OG0000085	Prah.g_01666	Praz.g_00884
OG0000086	Prah.g_01866	Praz.g_00448
OG0000087	Prah.g_02268	Praz.g_00499
OG0000088	Prah.g_02304	Praz.g_00526
OG0000089	Prah.g_00205	Praz.g_00818
OG0000090	Prah.g_01501	Praz.g_01795
OG0000091	Prah.g_00493	Praz.g_01688
OG0000093	Prah.g_00692	Praz.g_01382
OG0000094	Prah.g_02518	Praz.g_01296
OG0000097	Prah.g_01272	Praz.g_00713
OG0000098	Prah.g_00327	Praz.g_01157
OG0000099	Prah.g_02191	Praz.g_01098
OG0000100	Prah.g_01791, Prah.g_00636	Praz.g_00967
OG0000101	Prah.g_01995	Praz.g_00263
OG0000102	Prah.g_00144	Praz.g_00200
OG0000103	Prah.g_02586	Praz.g_00120
OG0000104	Prah.g_02600	Praz.g_00361
OG0000105	Prah.g_02126	Praz.g_00632
OG0000106	Prah.g_01660	Praz.g_00804
OG0000108	Prah.g_01566	Praz.g_01848
OG0000109	Prah.g_01550	Praz.g_01834
OG0000110	Prah.g_01439	Praz.g_01754
OG0000111	Prah.g_01028	Praz.g_01631
OG0000112	Prah.g_00788	Praz.g_01547
OG0000113	Prah.g_00641	Praz.g_01490
OG0000114	Prah.g_00733	Praz.g_01408
OG0000115	Prah.g_00383	Praz.g_00054
OG0000116	Prah.g_01337	Praz.g_00002
OG0000117	Prah.g_01257	Praz.g_01237
OG0000118	Prah.g_01378	Praz.g_01168
OG0000119	Prah.g_01007, Prah.g_01048	Praz.g_01143
OG0000120	Prah.g_02192	Praz.g_01118
OG0000121	Prah.g_00406	Praz.g_01039
OG0000122	Prah.g_01203	Praz.g_01001
OG0000123	Prah.g_01987	Praz.g_00256
OG0000124	Prah.g_00125	Praz.g_00189
OG0000125	Prah.g_02498	Praz.g_00152
OG0000126	Prah.g_02598	Praz.g_00360
OG0000128	Prah.g_00013	Praz.g_00376
OG0000129	Prah.g_02486	Praz.g_00410
OG0000130	Prah.g_01838	Praz.g_00429
OG0000131	Prah.g_02282	Praz.g_00505
OG0000132	Prah.g_02302	Praz.g_00524
OG0000133	Prah.g_02187	Praz.g_00679
OG0000134	Prah.g_00208	Praz.g_00817
OG0000135	Prah.g_02538	Praz.g_00791
OG0000136	Prah.g_00235	Praz.g_01887
OG0000137	Prah.g_00312	Praz.g_01853
OG0000138	Prah.g_01549	Praz.g_01833
OG0000139	Prah.g_01495	Praz.g_01791
OG0000140	Prah.g_01489	Praz.g_01790
OG0000141	Prah.g_01393	Praz.g_01723
OG0000142	Prah.g_00501	Praz.g_01695
OG0000143	Prah.g_00497	Praz.g_01691
OG0000144	Prah.g_00473	Praz.g_01678
OG0000145	Prah.g_01543	Praz.g_01554
OG0000146	Prah.g_00787	Praz.g_01546
OG0000147	Prah.g_00786	Praz.g_01545
OG0000148	Prah.g_00649	Praz.g_01496
OG0000149	Prah.g_00591	Praz.g_01465
OG0000150	Prah.g_00568	Praz.g_01457
OG0000151	Prah.g_00718	Praz.g_01398
OG0000152	Prah.g_00796	Praz.g_01350
OG0000153	Prah.g_00826	Praz.g_01331
OG0000154	Prah.g_00852	Praz.g_01303
OG0000155	Prah.g_01291	Praz.g_00734
OG0000156	Prah.g_01349	Praz.g_01191
OG0000157	Prah.g_01350	Praz.g_01190
OG0000158	Prah.g_02242	Praz.g_01097
OG0000160	Prah.g_00407	Praz.g_01040
OG0000161	Prah.g_00399	Praz.g_01034
OG0000162	Prah.g_00391	Praz.g_01028
OG0000163	Prah.g_01619	Praz.g_00994
OG0000164	Prah.g_01705	Praz.g_00853
OG0000165	Prah.g_01716	Praz.g_00846
OG0000166	Prah.g_02033	Praz.g_00299
OG0000167	Prah.g_02230	Praz.g_00232
OG0000168	Prah.g_02243	Praz.g_00222
OG0000169	Prah.g_00163	Praz.g_00212
OG0000170	Prah.g_00155	Praz.g_00210
OG0000171	Prah.g_00126	Praz.g_00190
OG0000172	Prah.g_00084	Praz.g_00181
OG0000173	Prah.g_00061	Praz.g_00166
OG0000174	Prah.g_02541	Praz.g_00138
OG0000175	Prah.g_02575	Praz.g_00128
OG0000176	Prah.g_00005	Praz.g_00369
OG0000177	Prah.g_00006	Praz.g_00370
OG0000178	Prah.g_00007	Praz.g_00371
OG0000179	Prah.g_00022	Praz.g_00381
OG0000180	Prah.g_00023	Praz.g_00382
OG0000181	Prah.g_00024	Praz.g_00383
OG0000182	Prah.g_00025	Praz.g_00384
OG0000183	Prah.g_00029	Praz.g_00388
OG0000184	Prah.g_02478	Praz.g_00412
OG0000185	Prah.g_02458	Praz.g_00415
OG0000186	Prah.g_01830	Praz.g_00424
OG0000187	Prah.g_01833	Praz.g_00425
OG0000188	Prah.g_01860	Praz.g_00442
OG0000189	Prah.g_01884	Praz.g_00456
OG0000190	Prah.g_01886	Praz.g_00457
OG0000191	Prah.g_00188	Praz.g_00477
OG0000192	Prah.g_00176, Prah.g_00180	Praz.g_00481
OG0000193	Prah.g_02283	Praz.g_00506
