Orthogroup	Prah	Pran
OG0000000	Prah.g_01348	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prah.g_01154, Prah.g_01152	Pran.g_00593
OG0000000	Prah.g_01346, Prah.g_01347	Pran.g_00580, Pran.g_00894
OG0000001	Prah.g_00324, Prah.g_01343	Pran.g_01395
OG0000002	Prah.g_01226	Pran.g_01500
OG0000004	Prah.g_01022	Pran.g_01483
OG0000004	Prah.g_01413	Pran.g_00200
OG0000005	Prah.g_01652	Pran.g_00657
OG0000006	Prah.g_00475, Prah.g_01767	Pran.g_01951
OG0000007	Prah.g_01546	Pran.g_01681
OG0000007	Prah.g_01676	Pran.g_00970
OG0000009	Prah.g_00432, Prah.g_01895	Pran.g_00328
OG0000010	Prah.g_00311	Pran.g_01704
OG0000011	Prah.g_01084	Pran.g_00925
OG0000012	Prah.g_00524	Pran.g_01555
OG0000013	Prah.g_01956	Pran.g_01867
OG0000014	Prah.g_02171	Pran.g_01888
OG0000014	Prah.g_00101	Pran.g_00755, Pran.g_00754
OG0000015	Prah.g_01155, Prah.g_00576	Pran.g_01394
OG0000017	Prah.g_01405	Pran.g_01580
OG0000018	Prah.g_00378	Pran.g_00078, Pran.g_01316
OG0000020	Prah.g_01100	Pran.g_01804
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Pran.g_01829
OG0000022	Prah.g_00170	Pran.g_01401
OG0000022	Prah.g_01209	Pran.g_00097
OG0000023	Prah.g_00688	Pran.g_01834
OG0000024	Prah.g_01043	Pran.g_01420, Pran.g_01503
OG0000025	Prah.g_00604	Pran.g_01309, Pran.g_01863
OG0000026	Prah.g_00038	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000028	Prah.g_02184	Pran.g_01874
OG0000029	Prah.g_01972	Pran.g_01410
OG0000030	Prah.g_00132, Prah.g_00131	Pran.g_01170
OG0000031	Prah.g_02248, Prah.g_00091	Pran.g_00753
OG0000033	Prah.g_02307	Pran.g_00263
OG0000034	Prah.g_01376	Pran.g_00866
OG0000035	Prah.g_00408	Pran.g_00733
OG0000037	Prah.g_01901	Pran.g_00324
OG0000038	Prah.g_02494, Prah.g_02496	Pran.g_01210
OG0000039	Prah.g_01758, Prah.g_02382	Pran.g_01492
OG0000041	Prah.g_01737	Pran.g_01016
OG0000042	Prah.g_00135, Prah.g_01256	Pran.g_01167
OG0000045	Prah.g_01837	Pran.g_01823
OG0000047	Prah.g_00353	Pran.g_01864
OG0000048	Prah.g_02122	Pran.g_01772, Pran.g_01820
OG0000051	Prah.g_01166	Pran.g_00898, Pran.g_00944
OG0000052	Prah.g_02219	Pran.g_00777
OG0000053	Prah.g_00381	Pran.g_00713
OG0000054	Prah.g_01394	Pran.g_01572
OG0000055	Prah.g_00942	Pran.g_01362
OG0000057	Prah.g_01027	Pran.g_01480
OG0000060	Prah.g_01156	Pran.g_01399
OG0000061	Prah.g_01322, Prah.g_00104	Pran.g_00060
OG0000062	Prah.g_01654	Pran.g_00655
OG0000063	Prah.g_00042	Pran.g_00391
OG0000065	Prah.g_01897	Pran.g_00326
OG0000066	Prah.g_01485	Pran.g_01639
