Orthogroup	Prah	Prbn
OG0000000	Prah.g_01348	Prbn.g_01662
OG0000001	Prah.g_00324, Prah.g_01343	Prbn.g_01213, Prbn.g_01923
OG0000002	Prah.g_00562	Prbn.g_01483, Prbn.g_01478
OG0000002	Prah.g_01226	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prah.g_01022	Prbn.g_01565
OG0000004	Prah.g_01413	Prbn.g_00318
OG0000005	Prah.g_01652	Prbn.g_00899
OG0000006	Prah.g_00475, Prah.g_01767	Prbn.g_00308
OG0000007	Prah.g_01546	Prbn.g_00617
OG0000007	Prah.g_01676	Prbn.g_01745
OG0000008	Prah.g_00970	Prbn.g_01645
OG0000008	Prah.g_00969	Prbn.g_01646
OG0000010	Prah.g_00311	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Prah.g_00524	Prbn.g_00492
OG0000013	Prah.g_01956	Prbn.g_00092
OG0000014	Prah.g_02171	Prbn.g_00074
OG0000015	Prah.g_01155, Prah.g_00576	Prbn.g_01684, Prbn.g_01730
OG0000016	Prah.g_01270	Prbn.g_01131
OG0000017	Prah.g_01397	Prbn.g_00510
OG0000017	Prah.g_01405	Prbn.g_00517
OG0000018	Prah.g_00378	Prbn.g_01167, Prbn.g_01518
OG0000020	Prah.g_01100	Prbn.g_00133
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prbn.g_00874
OG0000021	Prah.g_01410	Prbn.g_01560
OG0000022	Prah.g_00170	Prbn.g_00891
OG0000023	Prah.g_00688	Prbn.g_01030
OG0000024	Prah.g_01043	Prbn.g_01353, Prbn.g_01589
OG0000025	Prah.g_00604	Prbn.g_01510
OG0000026	Prah.g_00038	Prbn.g_00750
OG0000029	Prah.g_01972	Prbn.g_00126, Prbn.g_01676
OG0000030	Prah.g_00132, Prah.g_00131	Prbn.g_00985
OG0000031	Prah.g_02248, Prah.g_00091	Prbn.g_00171
OG0000032	Prah.g_00358	Prbn.g_00251
OG0000033	Prah.g_02307	Prbn.g_01244
OG0000034	Prah.g_01376	Prbn.g_01073
OG0000035	Prah.g_00408	Prbn.g_00212
OG0000037	Prah.g_01901	Prbn.g_01310
OG0000038	Prah.g_02494, Prah.g_02496	Prbn.g_00946
OG0000039	Prah.g_01758, Prah.g_02382	Prbn.g_01577
OG0000041	Prah.g_01737	Prbn.g_01793
OG0000042	Prah.g_00135, Prah.g_01256	Prbn.g_00988
OG0000045	Prah.g_01837	Prbn.g_01145
OG0000046	Prah.g_01955	Prbn.g_00093
OG0000047	Prah.g_00321, Prah.g_00322	Prbn.g_00690
OG0000048	Prah.g_02122	Prbn.g_01097, Prbn.g_00038
OG0000051	Prah.g_01166	Prbn.g_00809
OG0000052	Prah.g_02219	Prbn.g_00190
OG0000053	Prah.g_00381	Prbn.g_01690, Prbn.g_00233
OG0000054	Prah.g_01394	Prbn.g_00508
OG0000055	Prah.g_00942	Prbn.g_01140
OG0000057	Prah.g_01027	Prbn.g_01562
OG0000061	Prah.g_00104	Prbn.g_01189
OG0000062	Prah.g_01654	Prbn.g_00897
OG0000063	Prah.g_00042	Prbn.g_00130
OG0000065	Prah.g_01897	Prbn.g_01312
OG0000066	Prah.g_01485	Prbn.g_00577, Prbn.g_01657
OG0000067	Prah.g_00667	Prbn.g_01546
OG0000068	Prah.g_01576	Prbn.g_01240
OG0000070	Prah.g_00252	Prbn.g_00663
OG0000071	Prah.g_01364	Prbn.g_01084
OG0000072	Prah.g_02309	Prbn.g_00383
OG0000073	Prah.g_01544	Prbn.g_00614
OG0000075	Prah.g_02232	Prbn.g_01917
OG0000076	Prah.g_00150	Prbn.g_00996
OG0000077	Prah.g_01850	Prbn.g_01342
OG0000078	Prah.g_01773	Prbn.g_00310
OG0000079	Prah.g_02090, Prah.g_01868	Prbn.g_00018
OG0000081	Prah.g_01035	Prbn.g_00585
OG0000082	Prah.g_01427	Prbn.g_00530, Prbn.g_01734
OG0000084	Prah.g_00412	Prbn.g_00209
OG0000085	Prah.g_01666	Prbn.g_01737, Prbn.g_00144
OG0000086	Prah.g_01866	Prbn.g_01333
OG0000087	Prah.g_02268	Prbn.g_01278
OG0000088	Prah.g_02304	Prbn.g_01247
OG0000089	Prah.g_00205	Prbn.g_00696
OG0000090	Prah.g_01501	Prbn.g_00583
OG0000091	Prah.g_00493	Prbn.g_00434
OG0000093	Prah.g_00692	Prbn.g_00846
OG0000094	Prah.g_02518	Prbn.g_01369
OG0000097	Prah.g_01272	Prbn.g_00408
OG0000098	Prah.g_00327	Prbn.g_01216
OG0000099	Prah.g_02191	Prbn.g_00173
OG0000100	Prah.g_01791, Prah.g_00636	Prbn.g_00903
OG0000101	Prah.g_01995	Prbn.g_01881
OG0000102	Prah.g_00144	Prbn.g_00991
OG0000103	Prah.g_02586	Prbn.g_00907
OG0000104	Prah.g_02600	Prbn.g_00296
OG0000105	Prah.g_02126	Prbn.g_00041
OG0000106	Prah.g_01660	Prbn.g_00829
OG0000108	Prah.g_01566	Prbn.g_00634
OG0000109	Prah.g_01550	Prbn.g_00620
OG0000110	Prah.g_01439	Prbn.g_00541
OG0000111	Prah.g_01028	Prbn.g_01561
OG0000112	Prah.g_00788	Prbn.g_00468
OG0000113	Prah.g_00641	Prbn.g_01523
OG0000114	Prah.g_00733	Prbn.g_01621
OG0000115	Prah.g_00383	Prbn.g_01120
OG0000116	Prah.g_01337	Prbn.g_01178
OG0000117	Prah.g_01257	Prbn.g_00389
OG0000118	Prah.g_01378	Prbn.g_01071
OG0000119	Prah.g_01007	Prbn.g_01135
OG0000119	Prah.g_01048	Prbn.g_00885
OG0000120	Prah.g_02192	Prbn.g_00170
OG0000121	Prah.g_00406	Prbn.g_00214
OG0000122	Prah.g_01203	Prbn.g_00255
OG0000123	Prah.g_01987	Prbn.g_01888
OG0000124	Prah.g_00125	Prbn.g_00979
OG0000125	Prah.g_02498	Prbn.g_00944
OG0000126	Prah.g_02598	Prbn.g_00295
OG0000128	Prah.g_00013	Prbn.g_00002, Prbn.g_00003
OG0000129	Prah.g_02486	Prbn.g_00737
OG0000130	Prah.g_01838	Prbn.g_00708
OG0000131	Prah.g_02282	Prbn.g_01269
OG0000132	Prah.g_02302	Prbn.g_01249
OG0000133	Prah.g_02187	Prbn.g_00088
OG0000134	Prah.g_00208	Prbn.g_00694
OG0000135	Prah.g_02538	Prbn.g_01102
OG0000136	Prah.g_00235	Prbn.g_00672
OG0000137	Prah.g_00105, Prah.g_00312	Prbn.g_00639
OG0000138	Prah.g_01549	Prbn.g_00619
OG0000139	Prah.g_01495	Prbn.g_00579
OG0000140	Prah.g_01489	Prbn.g_00578
OG0000141	Prah.g_01393	Prbn.g_00507
OG0000142	Prah.g_00501	Prbn.g_00426
OG0000143	Prah.g_00497	Prbn.g_00430
OG0000144	Prah.g_00473	Prbn.g_00444
OG0000145	Prah.g_01543	Prbn.g_01100
OG0000146	Prah.g_00787	Prbn.g_00469
OG0000147	Prah.g_00786	Prbn.g_00470
OG0000148	Prah.g_00649	Prbn.g_01529
OG0000149	Prah.g_00591	Prbn.g_01497
OG0000150	Prah.g_00568	Prbn.g_01487
OG0000151	Prah.g_00718	Prbn.g_01611
OG0000152	Prah.g_00796	Prbn.g_01418
OG0000153	Prah.g_00826	Prbn.g_01399
OG0000154	Prah.g_00852	Prbn.g_01379
OG0000155	Prah.g_01291	Prbn.g_01210
OG0000156	Prah.g_01349	Prbn.g_01095
OG0000157	Prah.g_01350	Prbn.g_01094
OG0000158	Prah.g_02242	Prbn.g_01014
OG0000160	Prah.g_00407	Prbn.g_00213
OG0000161	Prah.g_00399	Prbn.g_00219
OG0000162	Prah.g_00391	Prbn.g_00225
OG0000163	Prah.g_01619	Prbn.g_00264
OG0000164	Prah.g_01705	Prbn.g_01770
OG0000165	Prah.g_01716	Prbn.g_01777
OG0000166	Prah.g_02033	Prbn.g_01844
OG0000167	Prah.g_02230	Prbn.g_01915
OG0000168	Prah.g_02243	Prbn.g_01013
OG0000169	Prah.g_00163	Prbn.g_01003
OG0000170	Prah.g_00155	Prbn.g_01000
OG0000171	Prah.g_00126	Prbn.g_00980
OG0000172	Prah.g_00084	Prbn.g_00973
OG0000173	Prah.g_00061	Prbn.g_00958
OG0000174	Prah.g_02541	Prbn.g_00929
OG0000175	Prah.g_02575	Prbn.g_00916
OG0000176	Prah.g_00005	Prbn.g_00010
OG0000177	Prah.g_00006	Prbn.g_00009
OG0000178	Prah.g_00007	Prbn.g_00008
OG0000179	Prah.g_00022	Prbn.g_00766
OG0000180	Prah.g_00023	Prbn.g_00765
OG0000181	Prah.g_00024	Prbn.g_00764
OG0000182	Prah.g_00025	Prbn.g_00763
OG0000183	Prah.g_00029	Prbn.g_00759
OG0000184	Prah.g_02478	Prbn.g_00733
OG0000185	Prah.g_02458	Prbn.g_00730
OG0000186	Prah.g_01830	Prbn.g_00714
OG0000187	Prah.g_01833	Prbn.g_00713
OG0000188	Prah.g_01860	Prbn.g_01339
OG0000189	Prah.g_01884	Prbn.g_01325
OG0000190	Prah.g_01886	Prbn.g_01323
OG0000191	Prah.g_00188	Prbn.g_01300
OG0000192	Prah.g_00176, Prah.g_00180	Prbn.g_01295
OG0000193	Prah.g_02283	Prbn.g_01268
OG0000194	Prah.g_02286	Prbn.g_01265
OG0000195	Prah.g_02288	Prbn.g_01263
OG0000196	Prah.g_02299	Prbn.g_01252
OG0000197	Prah.g_02300	Prbn.g_01251
OG0000198	Prah.g_02301	Prbn.g_01250
OG0000199	Prah.g_02308	Prbn.g_01243, Prbn.g_00384
OG0000200	Prah.g_02324	Prbn.g_00370
OG0000201	Prah.g_02352	Prbn.g_00361
OG0000202	Prah.g_02353	Prbn.g_00360
OG0000203	Prah.g_02354	Prbn.g_00359
OG0000204	Prah.g_02355	Prbn.g_00358
OG0000205	Prah.g_02362	Prbn.g_00351
OG0000206	Prah.g_02371	Prbn.g_00346
OG0000207	Prah.g_02420	Prbn.g_00343
OG0000208	Prah.g_02419	Prbn.g_00342
OG0000209	Prah.g_02400	Prbn.g_00333
OG0000210	Prah.g_02399	Prbn.g_00332
OG0000211	Prah.g_01782	Prbn.g_00317
OG0000212	Prah.g_01772	Prbn.g_00309
OG0000213	Prah.g_02101	Prbn.g_00024
OG0000214	Prah.g_02118	Prbn.g_00034
OG0000215	Prah.g_02148	Prbn.g_00061
OG0000216	Prah.g_02151	Prbn.g_00062
OG0000217	Prah.g_02155	Prbn.g_00065
OG0000218	Prah.g_02157	Prbn.g_00067
OG0000219	Prah.g_02158	Prbn.g_00068
OG0000220	Prah.g_02159	Prbn.g_00069
OG0000221	Prah.g_02166	Prbn.g_00070
OG0000222	Prah.g_02174	Prbn.g_00077
OG0000223	Prah.g_02197	Prbn.g_00089
OG0000224	Prah.g_02207	Prbn.g_00091
OG0000225	Prah.g_01921	Prbn.g_00117
OG0000226	Prah.g_01917	Prbn.g_00121
OG0000227	Prah.g_01915	Prbn.g_00123
OG0000228	Prah.g_00204	Prbn.g_00697
OG0000229	Prah.g_00230	Prbn.g_00677
OG0000230	Prah.g_00232	Prbn.g_00675
OG0000231	Prah.g_00251	Prbn.g_00664
OG0000232	Prah.g_00261	Prbn.g_00653
OG0000233	Prah.g_00294	Prbn.g_00647
OG0000234	Prah.g_00313, Prah.g_00314	Prbn.g_00638
OG0000235	Prah.g_01567	Prbn.g_00635
OG0000236	Prah.g_01551	Prbn.g_00621
OG0000237	Prah.g_01534	Prbn.g_00608
OG0000238	Prah.g_01529	Prbn.g_00602
OG0000239	Prah.g_01513	Prbn.g_00591
OG0000240	Prah.g_01512	Prbn.g_00590
OG0000241	Prah.g_01094	Prbn.g_00586
OG0000242	Prah.g_00108, Prah.g_01503	Prbn.g_00584
OG0000243	Prah.g_01476	Prbn.g_00573
OG0000244	Prah.g_01472	Prbn.g_00570
OG0000245	Prah.g_01469	Prbn.g_00568
OG0000246	Prah.g_01465	Prbn.g_00564
OG0000247	Prah.g_01454	Prbn.g_00554
OG0000248	Prah.g_01451	Prbn.g_00551
OG0000249	Prah.g_01449	Prbn.g_00549
OG0000250	Prah.g_01443	Prbn.g_00544
OG0000251	Prah.g_01417	Prbn.g_00524
OG0000252	Prah.g_01414	Prbn.g_00521
OG0000253	Prah.g_01408	Prbn.g_00520
OG0000254	Prah.g_01389	Prbn.g_00503
OG0000255	Prah.g_00530	Prbn.g_00497
OG0000256	Prah.g_00516	Prbn.g_00487
OG0000257	Prah.g_00509	Prbn.g_00421
OG0000258	Prah.g_00486	Prbn.g_00435
OG0000259	Prah.g_00457	Prbn.g_00835
OG0000260	Prah.g_00454	Prbn.g_00838
OG0000261	Prah.g_00451	Prbn.g_00841
OG0000262	Prah.g_00445	Prbn.g_00845
OG0000263	Prah.g_02413	Prbn.g_01583
OG0000264	Prah.g_00974	Prbn.g_01572
OG0000265	Prah.g_00887, Prah.g_00958	Prbn.g_01554
OG0000266	Prah.g_00876	Prbn.g_00864
OG0000267	Prah.g_00751	Prbn.g_01350
OG0000268	Prah.g_00752	Prbn.g_01351
OG0000269	Prah.g_00672	Prbn.g_01551
OG0000270	Prah.g_00669	Prbn.g_01548
OG0000271	Prah.g_00661	Prbn.g_01540
OG0000272	Prah.g_00660	Prbn.g_01539
OG0000273	Prah.g_00609	Prbn.g_01515
OG0000274	Prah.g_00608	Prbn.g_01514
OG0000275	Prah.g_00605	Prbn.g_01511
OG0000276	Prah.g_00599	Prbn.g_01505
OG0000277	Prah.g_00598	Prbn.g_01504
OG0000278	Prah.g_00595	Prbn.g_01501
OG0000279	Prah.g_00587	Prbn.g_01494
OG0000280	Prah.g_00581	Prbn.g_01493
OG0000281	Prah.g_00566	Prbn.g_01486
OG0000282	Prah.g_00731	Prbn.g_01619
OG0000283	Prah.g_00761	Prbn.g_01442
OG0000284	Prah.g_00767	Prbn.g_01437
OG0000285	Prah.g_01178	Prbn.g_01432
OG0000286	Prah.g_00795	Prbn.g_01419
OG0000287	Prah.g_01131	Prbn.g_01123
OG0000288	Prah.g_00851	Prbn.g_01380
OG0000289	Prah.g_00864	Prbn.g_01364
OG0000290	Prah.g_00912	Prbn.g_01468
OG0000291	Prah.g_00914	Prbn.g_01470
OG0000292	Prah.g_02597	Prbn.g_01144
