Orthogroup	Prah	Prau
OG0000000	Prah.g_01348	Prau.g_01648
OG0000000	Prah.g_01346, Prah.g_01347	Prau.g_01350, Prau.g_01650
OG0000001	Prah.g_00324, Prah.g_01343	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000002	Prah.g_00562	Prau.g_01402
OG0000002	Prah.g_01226	Prau.g_00718
OG0000004	Prah.g_01022	Prau.g_00735
OG0000004	Prah.g_01413	Prau.g_00233
OG0000005	Prah.g_01652	Prau.g_01607
OG0000006	Prah.g_00475, Prah.g_01767	Prau.g_01316
OG0000007	Prah.g_01546	Prau.g_00538
OG0000007	Prah.g_01676	Prau.g_01732
OG0000008	Prah.g_00970	Prau.g_00781
OG0000009	Prah.g_00432, Prah.g_01895	Prau.g_00106
OG0000010	Prah.g_00311	Prau.g_00515
OG0000011	Prah.g_01084	Prau.g_00441
OG0000012	Prah.g_00524	Prau.g_00663
OG0000013	Prah.g_01956	Prau.g_00329
OG0000014	Prah.g_02171	Prau.g_00308
OG0000015	Prah.g_01155, Prah.g_00576	Prau.g_00817
OG0000016	Prah.g_00015	Prau.g_00013
OG0000017	Prah.g_01405	Prau.g_00636
OG0000018	Prah.g_00378	Prau.g_01188, Prau.g_00881
OG0000020	Prah.g_01100	Prau.g_01704
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prau.g_01680, Prau.g_00367
OG0000022	Prah.g_00170	Prau.g_00814
OG0000022	Prah.g_01209	Prau.g_01170
OG0000023	Prah.g_00688	Prau.g_00362
OG0000024	Prah.g_01043	Prau.g_00796, Prau.g_00715
OG0000025	Prah.g_00604	Prau.g_00888, Prau.g_00333
OG0000026	Prah.g_00038	Prau.g_00030, Prau.g_01103
OG0000028	Prah.g_02184	Prau.g_00322
OG0000029	Prah.g_01972	Prau.g_00804
OG0000030	Prah.g_00132, Prah.g_00131	Prau.g_01935
OG0000032	Prah.g_02196	Prau.g_01475, Prau.g_01446
OG0000033	Prah.g_02307	Prau.g_00170
OG0000034	Prah.g_01376	Prau.g_01381
OG0000035	Prah.g_00408	Prau.g_01531, Prau.g_01528
OG0000037	Prah.g_01901	Prau.g_00110
OG0000038	Prah.g_02494, Prah.g_02496	Prau.g_01976
OG0000039	Prah.g_01758, Prah.g_02382	Prau.g_00726
OG0000041	Prah.g_01737	Prau.g_01778
OG0000042	Prah.g_00135, Prah.g_01256	Prau.g_01932
OG0000043	Prah.g_01190	Prau.g_01321
OG0000045	Prah.g_01837	Prau.g_01682, Prau.g_00374
OG0000047	Prah.g_00321, Prah.g_00322	Prau.g_00414
