Orthogroup	Prah	Prba
OG0000000	Prah.g_01348	Prba.g_00269
OG0000000	Prah.g_01346, Prah.g_01347	Prba.g_01172, Prba.g_00268
OG0000001	Prah.g_00324, Prah.g_01343	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000002	Prah.g_00562	Prba.g_00203
OG0000002	Prah.g_01226	Prba.g_01639
OG0000004	Prah.g_01022	Prba.g_01622
OG0000004	Prah.g_01413	Prba.g_00451
OG0000005	Prah.g_01652	Prba.g_00312
OG0000006	Prah.g_00475, Prah.g_01767	Prba.g_00460
OG0000007	Prah.g_01546	Prba.g_00964
OG0000007	Prah.g_01676	Prba.g_00226
OG0000008	Prah.g_00970	Prba.g_01131
OG0000009	Prah.g_00432, Prah.g_01895	Prba.g_01893
OG0000010	Prah.g_00311	Prba.g_00987
OG0000011	Prah.g_01084	Prba.g_00900, Prba.g_01165
OG0000012	Prah.g_00524	Prba.g_01694
OG0000013	Prah.g_01956	Prba.g_00543
OG0000014	Prah.g_02171	Prba.g_00522
OG0000015	Prah.g_01155, Prah.g_00576	Prba.g_01538
OG0000016	Prah.g_00015	Prba.g_01806
OG0000017	Prah.g_01405	Prba.g_01719
OG0000018	Prah.g_00378	Prba.g_00083, Prba.g_01472
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prba.g_00245, Prba.g_00858
OG0000022	Prah.g_00170	Prba.g_01543
OG0000022	Prah.g_01209	Prba.g_00101
OG0000023	Prah.g_00688	Prba.g_00854
OG0000024	Prah.g_01043	Prba.g_01558, Prba.g_01642
OG0000025	Prah.g_00604	Prba.g_01464, Prba.g_00547
OG0000026	Prah.g_00038	Prba.g_01824, Prba.g_01249
OG0000028	Prah.g_02184	Prba.g_00536
OG0000029	Prah.g_01972	Prba.g_01551
OG0000030	Prah.g_00132, Prah.g_00131	Prba.g_00778
OG0000031	Prah.g_02248, Prah.g_00091	Prba.g_00173
OG0000033	Prah.g_02307	Prba.g_00625
OG0000034	Prah.g_01376	Prba.g_01202
OG0000035	Prah.g_00408	Prba.g_00713
OG0000037	Prah.g_01901	Prba.g_01897
OG0000038	Prah.g_02494, Prah.g_02496	Prba.g_00819
OG0000039	Prah.g_01758, Prah.g_02382	Prba.g_01631
OG0000042	Prah.g_00135, Prah.g_01256	Prba.g_00775
OG0000043	Prah.g_01190	Prba.g_01138
OG0000045	Prah.g_01837	Prba.g_00865
OG0000047	Prah.g_00321, Prah.g_00322	Prba.g_00913
OG0000047	Prah.g_00353	Prba.g_00546
OG0000048	Prah.g_02122	Prba.g_00868
OG0000051	Prah.g_01166	Prba.g_01168
OG0000052	Prah.g_02219	Prba.g_00160
