Orthogroup	Prah	Prbl
OG0000000	Prah.g_01348	Prbl.g_00116
OG0000000	Prah.g_01346	Prbl.g_00118
OG0000000	Prah.g_01347	Prbl.g_00117
OG0000001	Prah.g_00324	Prbl.g_00725
OG0000001	Prah.g_01343	Prbl.g_00121, Prbl.g_02599
OG0000001	Prah.g_02270	Prbl.g_00808, Prbl.g_02598
OG0000001	Prah.g_00896	Prbl.g_02578
OG0000002	Prah.g_00562	Prbl.g_01582
OG0000002	Prah.g_01226	Prbl.g_01092
OG0000003	Prah.g_00169	Prbl.g_01308
OG0000003	Prah.g_02446	Prbl.g_02640, Prbl.g_02639
OG0000003	Prah.g_00226	Prbl.g_00656
OG0000003	Prah.g_00272, Prah.g_02434	Prbl.g_01064
OG0000003	Prah.g_02451, Prah.g_02432	Prbl.g_00673
OG0000003	Prah.g_00936, Prah.g_01869	Prbl.g_01502
OG0000003	Prah.g_01005, Prah.g_01056	Prbl.g_02278, Prbl.g_00920
OG0000004	Prah.g_01022	Prbl.g_00021
OG0000004	Prah.g_01413	Prbl.g_01771
OG0000005	Prah.g_01652	Prbl.g_00419
OG0000006	Prah.g_00475, Prah.g_01767	Prbl.g_02601
OG0000007	Prah.g_01546	Prbl.g_00531
OG0000007	Prah.g_01676	Prbl.g_00394
OG0000008	Prah.g_00970	Prbl.g_01855
OG0000008	Prah.g_00969	Prbl.g_01854
OG0000009	Prah.g_00432	Prbl.g_00155
OG0000009	Prah.g_01895	Prbl.g_00554
OG0000010	Prah.g_00311	Prbl.g_01341
OG0000011	Prah.g_01084	Prbl.g_01822
OG0000012	Prah.g_00524	Prbl.g_01618
OG0000013	Prah.g_01956	Prbl.g_01183
OG0000014	Prah.g_02171	Prbl.g_01416
OG0000015	Prah.g_01155, Prah.g_00576	Prbl.g_01566
OG0000017	Prah.g_01397	Prbl.g_01755
OG0000017	Prah.g_01405	Prbl.g_01763
OG0000018	Prah.g_00378	Prbl.g_00694
OG0000019	Prah.g_02086	Prbl.g_01509
OG0000020	Prah.g_01100	Prbl.g_01026, Prbl.g_01386
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prbl.g_01531
OG0000021	Prah.g_01410	Prbl.g_01768
OG0000022	Prah.g_00170	Prbl.g_01310
OG0000022	Prah.g_01209	Prbl.g_01072
OG0000023	Prah.g_00688	Prbl.g_02355
OG0000024	Prah.g_01043	Prbl.g_00040
OG0000025	Prah.g_00604	Prbl.g_01539
OG0000026	Prah.g_00038	Prbl.g_01977
OG0000028	Prah.g_02184	Prbl.g_00900
OG0000029	Prah.g_01972	Prbl.g_01163
OG0000030	Prah.g_00132	Prbl.g_02061
