Orthogroup	Prah	Syat
OG0000001	Prah.g_00324, Prah.g_01343, Prah.g_01159	Syat.g_02910, Syat.g_02911
OG0000001	Prah.g_02270	Syat.g_02908, Syat.g_02909
OG0000001	Prah.g_00896	Syat.g_00878
OG0000005	Prah.g_01652	Syat.g_03105
OG0000006	Prah.g_00475, Prah.g_01767	Syat.g_01439, Syat.g_01865
OG0000007	Prah.g_01546	Syat.g_03191
OG0000007	Prah.g_01676	Syat.g_03124
OG0000008	Prah.g_00970	Syat.g_02626
OG0000008	Prah.g_00969	Syat.g_02627
OG0000009	Prah.g_00432, Prah.g_01895	Syat.g_01567
OG0000010	Prah.g_00311	Syat.g_01372
OG0000013	Prah.g_01956	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prah.g_02171	Syat.g_02104
OG0000016	Prah.g_00015	Syat.g_02329
OG0000016	Prah.g_01270	Syat.g_00909
OG0000017	Prah.g_01405	Syat.g_00015
OG0000018	Prah.g_00378	Syat.g_01334
OG0000019	Prah.g_02086	Syat.g_01876
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Syat.g_00964
OG0000022	Prah.g_00170, Prah.g_01209	Syat.g_00210
OG0000024	Prah.g_01043	Syat.g_03394
OG0000025	Prah.g_00604	Syat.g_00719
OG0000026	Prah.g_00038	Syat.g_02306
OG0000028	Prah.g_02184	Syat.g_02126
OG0000030	Prah.g_00132	Syat.g_00307
OG0000030	Prah.g_00131	Syat.g_00308
OG0000031	Prah.g_00091	Syat.g_02243
OG0000032	Prah.g_00358	Syat.g_01354
OG0000032	Prah.g_02196	Syat.g_02237
OG0000033	Prah.g_02307	Syat.g_02858
OG0000034	Prah.g_01376	Syat.g_01165, Syat.g_02902
OG0000035	Prah.g_00408	Syat.g_01227, Syat.g_01226
OG0000037	Prah.g_01901	Syat.g_00849, Syat.g_00187
OG0000038	Prah.g_02494	Syat.g_02688
OG0000038	Prah.g_02496	Syat.g_02686
OG0000039	Prah.g_01758, Prah.g_02382	Syat.g_01278
OG0000042	Prah.g_00135, Prah.g_01256	Syat.g_00223, Syat.g_02222
OG0000044	Prah.g_00994, Prah.g_00343	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prah.g_01837	Syat.g_00935
OG0000046	Prah.g_01955	Syat.g_01626, Syat.g_01026
OG0000048	Prah.g_02122	Syat.g_02046
OG0000053	Prah.g_00381	Syat.g_01330
OG0000057	Prah.g_01027	Syat.g_00817
OG0000058	Prah.g_02195	Syat.g_02133, Syat.g_02238
OG0000059	Prah.g_02043	Syat.g_01832
OG0000060	Prah.g_01569	Syat.g_01384
OG0000060	Prah.g_01156	Syat.g_01047
OG0000061	Prah.g_01322, Prah.g_00104	Syat.g_03260
OG0000063	Prah.g_00042	Syat.g_02303
OG0000065	Prah.g_01897	Syat.g_01571
OG0000066	Prah.g_01485	Syat.g_03283
OG0000067	Prah.g_01826	Syat.g_02874, Syat.g_01324, Syat.g_02018
OG0000067	Prah.g_00667	Syat.g_00479
OG0000068	Prah.g_01576	Syat.g_00085, Syat.g_01295
OG0000070	Prah.g_00252	Syat.g_01032, Syat.g_01040
OG0000072	Prah.g_02309	Syat.g_02856, Syat.g_01597
OG0000073	Prah.g_01544	Syat.g_03201
OG0000075	Prah.g_02232	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prah.g_00150	Syat.g_02206
OG0000078	Prah.g_01773	Syat.g_00184
OG0000079	Prah.g_02090, Prah.g_01868	Syat.g_01879
OG0000081	Prah.g_01035	Syat.g_00980
OG0000082	Prah.g_01427	Syat.g_00035
OG0000085	Prah.g_01666	Syat.g_03113
OG0000086	Prah.g_01866	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prah.g_02268	Syat.g_02912
OG0000088	Prah.g_00957, Prah.g_02304	Syat.g_02862
OG0000089	Prah.g_00205	Syat.g_02953
OG0000090	Prah.g_01501	Syat.g_03270
OG0000091	Prah.g_00493	Syat.g_00939, Syat.g_00862
OG0000094	Prah.g_02518	Syat.g_01034
OG0000095	Prah.g_00915	Syat.g_00808
OG0000098	Prah.g_00327	Syat.g_03281
OG0000099	Prah.g_02191	Syat.g_02130
OG0000100	Prah.g_01791, Prah.g_00636	Syat.g_00517
OG0000102	Prah.g_00144	Syat.g_00974
OG0000103	Prah.g_02586	Syat.g_02399
OG0000104	Prah.g_02600	Syat.g_02385
OG0000105	Prah.g_02126	Syat.g_02052
OG0000106	Prah.g_01660	Syat.g_00957
OG0000107	Prah.g_02072	Syat.g_01862
OG0000108	Prah.g_01566	Syat.g_03170
OG0000109	Prah.g_01550	Syat.g_03187
OG0000110	Prah.g_01439	Syat.g_00049
OG0000111	Prah.g_01028	Syat.g_00816
OG0000112	Prah.g_00788	Syat.g_00593
OG0000113	Prah.g_00641	Syat.g_00509
OG0000114	Prah.g_00733	Syat.g_00426
OG0000115	Prah.g_00383	Syat.g_01328
OG0000116	Prah.g_01337	Syat.g_02641
OG0000117	Prah.g_01257	Syat.g_00224
OG0000118	Prah.g_01378	Syat.g_01168
OG0000119	Prah.g_01007, Prah.g_01048	Syat.g_00309
OG0000120	Prah.g_02192	Syat.g_02132
OG0000121	Prah.g_00406	Syat.g_01223
OG0000123	Prah.g_01987	Syat.g_01653
OG0000124	Prah.g_00125	Syat.g_02231
OG0000125	Prah.g_02498	Syat.g_02684
OG0000126	Prah.g_02598	Syat.g_00976
OG0000128	Prah.g_00013	Syat.g_02331
OG0000129	Prah.g_02486	Syat.g_02693, Syat.g_02694
OG0000130	Prah.g_01838	Syat.g_01469
OG0000131	Prah.g_02282	Syat.g_02898
OG0000132	Prah.g_02302	Syat.g_02864
OG0000133	Prah.g_02187	Syat.g_00588
OG0000134	Prah.g_00208	Syat.g_02956
OG0000135	Prah.g_02538	Syat.g_02501
OG0000136	Prah.g_00235	Syat.g_01292
OG0000137	Prah.g_00105, Prah.g_00312	Syat.g_01371
OG0000138	Prah.g_01549	Syat.g_03188
OG0000140	Prah.g_01489	Syat.g_03280
OG0000141	Prah.g_01393	Syat.g_03398
OG0000142	Prah.g_00501	Syat.g_00117
OG0000143	Prah.g_00497	Syat.g_00130
OG0000144	Prah.g_00473	Syat.g_00369
OG0000145	Prah.g_01543	Syat.g_03202
OG0000146	Prah.g_00787	Syat.g_00594
OG0000147	Prah.g_00786	Syat.g_00595
OG0000148	Prah.g_00649	Syat.g_00503
OG0000149	Prah.g_00591	Syat.g_00747
OG0000150	Prah.g_00568	Syat.g_03399
OG0000151	Prah.g_00718	Syat.g_00801, Syat.g_00440
OG0000152	Prah.g_00796	Syat.g_00578
OG0000153	Prah.g_00826	Syat.g_00542
OG0000154	Prah.g_00852	Syat.g_00708
OG0000155	Prah.g_01291	Syat.g_00287
OG0000156	Prah.g_01349	Syat.g_03228
OG0000157	Prah.g_01350	Syat.g_02012, Syat.g_03227
OG0000158	Prah.g_02242	Syat.g_02163
OG0000160	Prah.g_00407	Syat.g_01224
OG0000161	Prah.g_00399	Syat.g_01180
OG0000162	Prah.g_00391	Syat.g_01281
OG0000163	Prah.g_01619	Syat.g_02979
OG0000164	Prah.g_01705	Syat.g_03040
OG0000165	Prah.g_01716	Syat.g_03033
OG0000166	Prah.g_02033	Syat.g_01822
OG0000167	Prah.g_02230	Syat.g_02148
OG0000168	Prah.g_02243	Syat.g_02164
OG0000169	Prah.g_00163	Syat.g_02192
OG0000170	Prah.g_00155	Syat.g_02201
OG0000171	Prah.g_00126	Syat.g_02230
OG0000172	Prah.g_00084	Syat.g_02260
OG0000173	Prah.g_00061	Syat.g_02284
OG0000174	Prah.g_02541	Syat.g_02504
OG0000175	Prah.g_02575	Syat.g_02416
OG0000176	Prah.g_00005	Syat.g_02372
OG0000177	Prah.g_00006	Syat.g_02338
OG0000178	Prah.g_00007	Syat.g_02337
OG0000179	Prah.g_00022	Syat.g_02322
OG0000180	Prah.g_00023	Syat.g_02321
OG0000181	Prah.g_00024	Syat.g_02320
OG0000182	Prah.g_00025	Syat.g_02319
OG0000183	Prah.g_00029	Syat.g_02315
OG0000184	Prah.g_02478	Syat.g_02704
OG0000185	Prah.g_02458	Syat.g_02719
OG0000186	Prah.g_01830	Syat.g_01463
OG0000187	Prah.g_01833	Syat.g_01467
OG0000188	Prah.g_01860	Syat.g_01489
OG0000189	Prah.g_01884	Syat.g_01557
OG0000190	Prah.g_01886	Syat.g_00330
OG0000191	Prah.g_00188	Syat.g_03344, Syat.g_02939
OG0000192	Prah.g_00176, Prah.g_00180	Syat.g_02933
OG0000193	Prah.g_02283	Syat.g_02897
OG0000194	Prah.g_02286	Syat.g_02894
OG0000196	Prah.g_02299	Syat.g_02867
OG0000197	Prah.g_02300	Syat.g_02866
OG0000198	Prah.g_02301	Syat.g_02865
OG0000199	Prah.g_02308	Syat.g_02857
OG0000200	Prah.g_02324	Syat.g_02840
OG0000201	Prah.g_02352	Syat.g_02821
OG0000202	Prah.g_02353	Syat.g_02820
OG0000203	Prah.g_02354	Syat.g_02819
OG0000204	Prah.g_02355	Syat.g_02818
OG0000205	Prah.g_02362	Syat.g_02809
OG0000206	Prah.g_02371	Syat.g_02785
OG0000207	Prah.g_02420	Syat.g_02778
OG0000208	Prah.g_02419	Syat.g_02777
OG0000209	Prah.g_02400	Syat.g_02735
OG0000210	Prah.g_02399	Syat.g_02734
OG0000211	Prah.g_01782	Syat.g_01452
OG0000212	Prah.g_01772	Syat.g_01442
OG0000213	Prah.g_02101	Syat.g_01889
OG0000214	Prah.g_02118	Syat.g_02042
OG0000215	Prah.g_02148	Syat.g_02075
OG0000216	Prah.g_02151	Syat.g_02079
OG0000217	Prah.g_02155	Syat.g_02085
OG0000218	Prah.g_02157	Syat.g_02087
OG0000219	Prah.g_02158	Syat.g_02088
OG0000220	Prah.g_02159	Syat.g_02089
OG0000221	Prah.g_02166	Syat.g_02095
OG0000222	Prah.g_02174	Syat.g_02109
OG0000223	Prah.g_02197	Syat.g_02570
OG0000224	Prah.g_02207	Syat.g_02139
OG0000225	Prah.g_01921	Syat.g_01595
OG0000226	Prah.g_01917	Syat.g_01588
OG0000228	Prah.g_00204	Syat.g_02952
OG0000229	Prah.g_00230	Syat.g_02970
OG0000230	Prah.g_00232	Syat.g_02972
OG0000231	Prah.g_00251	Syat.g_01283
OG0000232	Prah.g_00261	Syat.g_01313
OG0000233	Prah.g_00294	Syat.g_01407
OG0000234	Prah.g_00313, Prah.g_00314	Syat.g_01369
OG0000235	Prah.g_01567	Syat.g_03169
OG0000236	Prah.g_01551	Syat.g_03186
OG0000237	Prah.g_01534	Syat.g_03214
OG0000238	Prah.g_01529	Syat.g_03219
OG0000239	Prah.g_01513	Syat.g_01105
OG0000240	Prah.g_01512	Syat.g_01104
OG0000241	Prah.g_01094	Syat.g_00111
OG0000242	Prah.g_00108, Prah.g_01503	Syat.g_01077
OG0000243	Prah.g_01476	Syat.g_00092
OG0000244	Prah.g_01472	Syat.g_00082
OG0000245	Prah.g_01469	Syat.g_00080
OG0000246	Prah.g_01465	Syat.g_00076
OG0000247	Prah.g_01454	Syat.g_00065
OG0000248	Prah.g_01451	Syat.g_00062
OG0000249	Prah.g_01449	Syat.g_00060
OG0000250	Prah.g_01443	Syat.g_00053
OG0000251	Prah.g_01417	Syat.g_00027
OG0000252	Prah.g_01414	Syat.g_00022
OG0000253	Prah.g_01408	Syat.g_00021
OG0000254	Prah.g_01389	Syat.g_03407
OG0000255	Prah.g_00530	Syat.g_02405
OG0000256	Prah.g_00516	Syat.g_03306
OG0000257	Prah.g_00509	Syat.g_00109
OG0000258	Prah.g_00486	Syat.g_00382
OG0000259	Prah.g_00457	Syat.g_00342
OG0000260	Prah.g_00454	Syat.g_00392
OG0000261	Prah.g_00451	Syat.g_00400
OG0000262	Prah.g_00445	Syat.g_00407
OG0000263	Prah.g_02413	Syat.g_00200
OG0000266	Prah.g_00876	Syat.g_00671
OG0000267	Prah.g_00751	Syat.g_00636
OG0000268	Prah.g_00752	Syat.g_00634
OG0000269	Prah.g_00672	Syat.g_00474, Syat.g_00126
OG0000270	Prah.g_00669	Syat.g_00477
OG0000271	Prah.g_00661	Syat.g_00485
OG0000272	Prah.g_00660	Syat.g_00486
OG0000273	Prah.g_00609	Syat.g_00520
OG0000274	Prah.g_00608	Syat.g_00521
OG0000275	Prah.g_00605	Syat.g_00718
OG0000276	Prah.g_00599	Syat.g_00725
OG0000277	Prah.g_00598	Syat.g_00738
OG0000278	Prah.g_00595	Syat.g_00741
OG0000279	Prah.g_00587	Syat.g_00755
OG0000280	Prah.g_00581	Syat.g_01669
OG0000281	Prah.g_00566	Syat.g_00960
OG0000282	Prah.g_00731	Syat.g_00431
OG0000283	Prah.g_00761	Syat.g_00620
OG0000284	Prah.g_00767	Syat.g_00614
OG0000285	Prah.g_01178	Syat.g_00607
OG0000286	Prah.g_00795	Syat.g_00579
OG0000287	Prah.g_01131	Syat.g_00550
OG0000288	Prah.g_00851	Syat.g_00709
OG0000289	Prah.g_00864	Syat.g_00695
OG0000290	Prah.g_00912	Syat.g_00805
OG0000292	Prah.g_02597	Syat.g_02388
OG0000293	Prah.g_01336	Syat.g_03241
OG0000294	Prah.g_01335	Syat.g_03248
OG0000295	Prah.g_01298	Syat.g_00297
OG0000296	Prah.g_01296	Syat.g_00295
OG0000298	Prah.g_01258	Syat.g_00225
OG0000299	Prah.g_01268	Syat.g_00910
OG0000300	Prah.g_01275	Syat.g_00904
OG0000301	Prah.g_01276	Syat.g_00903
OG0000302	Prah.g_01279	Syat.g_00901
OG0000303	Prah.g_01289	Syat.g_00892
OG0000304	Prah.g_01237, Prah.g_01238	Syat.g_00885
OG0000305	Prah.g_00918	Syat.g_00809
OG0000306	Prah.g_00560	Syat.g_01704
OG0000307	Prah.g_01584	Syat.g_01304
OG0000308	Prah.g_01586	Syat.g_01306
OG0000309	Prah.g_01590	Syat.g_01417
OG0000310	Prah.g_00428	Syat.g_01246
OG0000311	Prah.g_00424	Syat.g_01242
OG0000312	Prah.g_00420	Syat.g_01237
OG0000313	Prah.g_00402	Syat.g_01183
OG0000314	Prah.g_00371	Syat.g_01341
OG0000315	Prah.g_00361	Syat.g_01351
OG0000316	Prah.g_01631	Syat.g_03082
OG0000317	Prah.g_01672	Syat.g_03120
OG0000318	Prah.g_01677	Syat.g_03125
OG0000319	Prah.g_01694	Syat.g_03055
OG0000320	Prah.g_01696	Syat.g_03053
OG0000321	Prah.g_01697	Syat.g_03052
OG0000322	Prah.g_01698	Syat.g_03051
OG0000323	Prah.g_01710	Syat.g_03038
OG0000324	Prah.g_01744	Syat.g_02998
OG0000325	Prah.g_02071	Syat.g_01861
OG0000326	Prah.g_02064	Syat.g_01854
OG0000327	Prah.g_02038	Syat.g_01827
OG0000328	Prah.g_02037	Syat.g_01826
OG0000329	Prah.g_02020	Syat.g_01808
OG0000330	Prah.g_02019	Syat.g_01807
OG0000331	Prah.g_02018	Syat.g_01806
OG0000332	Prah.g_02003	Syat.g_01790
OG0000333	Prah.g_02001	Syat.g_01787
OG0000334	Prah.g_01991	Syat.g_01657
OG0000335	Prah.g_01986	Syat.g_01652
OG0000336	Prah.g_01982	Syat.g_01648
OG0000337	Prah.g_02224	Syat.g_02144
OG0000338	Prah.g_02227	Syat.g_02146
OG0000339	Prah.g_02234	Syat.g_02155, Syat.g_01055
OG0000340	Prah.g_02244	Syat.g_02165
OG0000341	Prah.g_02246	Syat.g_02167
OG0000342	Prah.g_02247	Syat.g_02168
OG0000343	Prah.g_00168	Syat.g_02185
OG0000344	Prah.g_00165	Syat.g_02189
OG0000345	Prah.g_00154	Syat.g_02202
OG0000346	Prah.g_00149	Syat.g_02207
OG0000347	Prah.g_00089	Syat.g_02234
OG0000348	Prah.g_00078	Syat.g_02264
OG0000349	Prah.g_00053	Syat.g_02291
OG0000350	Prah.g_02533	Syat.g_01847
OG0000351	Prah.g_02578	Syat.g_02411
OG0000352	Prah.g_02579	Syat.g_02410
OG0000353	Prah.g_02603	Syat.g_00955, Syat.g_02377
OG0000354	Prah.g_01523	Syat.g_03225
OG0000354	Prah.g_00020	Syat.g_02325
OG0000355	Prah.g_00002	Syat.g_02375
OG0000356	Prah.g_00003	Syat.g_02374
OG0000357	Prah.g_00004	Syat.g_02373
OG0000358	Prah.g_00008	Syat.g_02336
OG0000359	Prah.g_00010	Syat.g_02334
OG0000360	Prah.g_00011	Syat.g_02333
OG0000361	Prah.g_00012	Syat.g_02332
OG0000362	Prah.g_00014	Syat.g_02330
OG0000363	Prah.g_00016	Syat.g_02328
OG0000364	Prah.g_00017	Syat.g_03122
OG0000365	Prah.g_00026	Syat.g_02318
OG0000366	Prah.g_00027	Syat.g_02317
OG0000367	Prah.g_00028	Syat.g_02316
OG0000368	Prah.g_00030	Syat.g_02314
OG0000369	Prah.g_00031	Syat.g_02313
OG0000370	Prah.g_00032	Syat.g_02312
OG0000371	Prah.g_00041	Syat.g_02304
