Orthogroup	Prah	Prbm
OG0000000	Prah.g_01348	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prah.g_00324, Prah.g_01343	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000002	Prah.g_00562	Prbm.g_00874
OG0000002	Prah.g_01226	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prah.g_01022	Prbm.g_01483
OG0000004	Prah.g_01413	Prbm.g_00291
OG0000005	Prah.g_01652	Prbm.g_01790
OG0000006	Prah.g_00475, Prah.g_01767	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prah.g_01546	Prbm.g_00522
OG0000007	Prah.g_01676	Prbm.g_01841
OG0000008	Prah.g_00970	Prbm.g_01907
OG0000008	Prah.g_00969	Prbm.g_01908
OG0000010	Prah.g_00311	Prbm.g_01066, Prbm.g_00499
OG0000011	Prah.g_01084	Prbm.g_01202
OG0000013	Prah.g_01956	Prbm.g_00382
OG0000014	Prah.g_02171	Prbm.g_00362
OG0000015	Prah.g_01155, Prah.g_00576	Prbm.g_01427, Prbm.g_01149
OG0000016	Prah.g_00015	Prbm.g_00013
OG0000016	Prah.g_01270	Prbm.g_01944
OG0000017	Prah.g_01405	Prbm.g_00635
OG0000018	Prah.g_00378	Prbm.g_01571, Prbm.g_00843
OG0000020	Prah.g_01100	Prbm.g_01156
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prbm.g_01939
OG0000022	Prah.g_00170	Prbm.g_01204
OG0000022	Prah.g_01209	Prbm.g_01324
OG0000023	Prah.g_00688	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prah.g_01043	Prbm.g_01151, Prbm.g_00709
OG0000025	Prah.g_00604	Prbm.g_00849
OG0000026	Prah.g_00038	Prbm.g_00031
OG0000029	Prah.g_01972	Prbm.g_01823
OG0000030	Prah.g_00132, Prah.g_00131	Prbm.g_02105
OG0000031	Prah.g_02248, Prah.g_00091	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Prah.g_00358	Prbm.g_01747
OG0000033	Prah.g_02307	Prbm.g_00228
OG0000034	Prah.g_01376	Prbm.g_01620
OG0000035	Prah.g_00408	Prbm.g_01710
OG0000037	Prah.g_01901	Prbm.g_00166
OG0000038	Prah.g_02494, Prah.g_02496	Prbm.g_02174
OG0000039	Prah.g_01758, Prah.g_02382	Prbm.g_00723
OG0000041	Prah.g_01737	Prbm.g_01886
OG0000042	Prah.g_00135, Prah.g_01256	Prbm.g_02102
OG0000043	Prah.g_01190	Prbm.g_01173
OG0000045	Prah.g_01837	Prbm.g_01088
OG0000046	Prah.g_01955	Prbm.g_00383
OG0000047	Prah.g_00321, Prah.g_00322	Prbm.g_00428
OG0000047	Prah.g_00353	Prbm.g_00390
OG0000048	Prah.g_02122	Prbm.g_00329
OG0000051	Prah.g_01166	Prbm.g_01267, Prbm.g_01276
OG0000053	Prah.g_00381	Prbm.g_01729
OG0000054	Prah.g_01394	Prbm.g_00637
OG0000055	Prah.g_00942	Prbm.g_00778
OG0000056	Prah.g_00543, Prah.g_01082, Prah.g_00342	Prbm.g_00477
OG0000057	Prah.g_01027	Prbm.g_00735
OG0000060	Prah.g_01156	Prbm.g_01422
OG0000061	Prah.g_00104	Prbm.g_01549
OG0000062	Prah.g_01654	Prbm.g_01792
OG0000063	Prah.g_00042	Prbm.g_01947
OG0000065	Prah.g_01897	Prbm.g_00164
OG0000066	Prah.g_01485	Prbm.g_00572
OG0000067	Prah.g_00667	Prbm.g_00814
OG0000068	Prah.g_01576	Prbm.g_01660
OG0000070	Prah.g_00252	Prbm.g_00460
OG0000071	Prah.g_01364	Prbm.g_00468, Prbm.g_01611
OG0000072	Prah.g_02309	Prbm.g_00230
OG0000073	Prah.g_01544	Prbm.g_00533
OG0000075	Prah.g_02232	Prbm.g_02069
OG0000076	Prah.g_00150	Prbm.g_02094
OG0000077	Prah.g_01850	Prbm.g_00135
OG0000078	Prah.g_01773	Prbm.g_00300
OG0000079	Prah.g_02090, Prah.g_01868	Prbm.g_00311
OG0000081	Prah.g_01035	Prbm.g_00564
OG0000082	Prah.g_01427	Prbm.g_01900
OG0000084	Prah.g_00412	Prbm.g_01706
OG0000085	Prah.g_01666	Prbm.g_01834
OG0000086	Prah.g_01866	Prbm.g_00145
OG0000087	Prah.g_02268	Prbm.g_00198
OG0000088	Prah.g_02304	Prbm.g_00225
OG0000089	Prah.g_00205	Prbm.g_00423
OG0000090	Prah.g_01501	Prbm.g_00566
OG0000091	Prah.g_00493	Prbm.g_00673
OG0000093	Prah.g_00692	Prbm.g_00799
OG0000094	Prah.g_02518	Prbm.g_00888
OG0000097	Prah.g_01272	Prbm.g_01502
OG0000098	Prah.g_00327	Prbm.g_01630
OG0000099	Prah.g_02191	Prbm.g_00394
OG0000100	Prah.g_01791, Prah.g_00636	Prbm.g_01787
OG0000101	Prah.g_01995	Prbm.g_02033
OG0000102	Prah.g_00144	Prbm.g_02099
OG0000103	Prah.g_02586	Prbm.g_02218
OG0000104	Prah.g_02600	Prbm.g_02229
OG0000105	Prah.g_02126	Prbm.g_00331
OG0000106	Prah.g_01660	Prbm.g_01172, Prbm.g_01237
OG0000108	Prah.g_01566	Prbm.g_00506
OG0000109	Prah.g_01550	Prbm.g_00519
OG0000110	Prah.g_01439	Prbm.g_00607
OG0000111	Prah.g_01028	Prbm.g_00736
OG0000112	Prah.g_00788	Prbm.g_00980
OG0000113	Prah.g_00641	Prbm.g_00838, Prbm.g_01191
OG0000114	Prah.g_00733	Prbm.g_00929
OG0000115	Prah.g_00383	Prbm.g_01803
OG0000116	Prah.g_01337	Prbm.g_01560
OG0000117	Prah.g_01257	Prbm.g_01522
OG0000118	Prah.g_01378	Prbm.g_01622
OG0000119	Prah.g_01007, Prah.g_01048	Prbm.g_01653
OG0000120	Prah.g_02192	Prbm.g_00707
OG0000121	Prah.g_00406	Prbm.g_01712
OG0000122	Prah.g_01203	Prbm.g_01751
OG0000123	Prah.g_01987	Prbm.g_02040
OG0000124	Prah.g_00125	Prbm.g_02111
OG0000125	Prah.g_02498	Prbm.g_02176
OG0000126	Prah.g_02598	Prbm.g_02228
OG0000127	Prah.g_01085	Prbm.g_01460
OG0000127	Prah.g_01083	Prbm.g_01293, Prbm.g_01292
OG0000128	Prah.g_00013	Prbm.g_00011
OG0000129	Prah.g_02486	Prbm.g_00053
OG0000130	Prah.g_01838	Prbm.g_00126
OG0000131	Prah.g_02282	Prbm.g_00204
OG0000132	Prah.g_02302	Prbm.g_00223
OG0000133	Prah.g_02187	Prbm.g_00377
OG0000134	Prah.g_00208	Prbm.g_00425
OG0000135	Prah.g_02538	Prbm.g_01389
OG0000136	Prah.g_00235	Prbm.g_00451
OG0000137	Prah.g_00312	Prbm.g_00500
OG0000138	Prah.g_01549	Prbm.g_00520
OG0000139	Prah.g_01495	Prbm.g_00570
OG0000140	Prah.g_01489	Prbm.g_00571
OG0000141	Prah.g_01393	Prbm.g_00638
OG0000142	Prah.g_00501	Prbm.g_00666
OG0000143	Prah.g_00497	Prbm.g_00670
OG0000144	Prah.g_00473	Prbm.g_00683
OG0000145	Prah.g_01543	Prbm.g_01094
OG0000146	Prah.g_00787	Prbm.g_00979
