Orthogroup	Prah	Prae
OG0000000	Prah.g_01348	Prae.g_01580
OG0000000	Prah.g_01154, Prah.g_01152	Prae.g_01300
OG0000000	Prah.g_01346, Prah.g_01347	Prae.g_01308, Prae.g_01581
OG0000001	Prah.g_00324, Prah.g_01343	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Prah.g_00562	Prae.g_01361
OG0000002	Prah.g_01226	Prae.g_00652
OG0000004	Prah.g_01022	Prae.g_00669
OG0000004	Prah.g_01413	Prae.g_00235
OG0000005	Prah.g_01652	Prae.g_01535
OG0000006	Prah.g_00475, Prah.g_01767	Prae.g_00244
OG0000007	Prah.g_01546	Prae.g_00471
OG0000007	Prah.g_01676	Prae.g_01623
OG0000010	Prah.g_00311	Prae.g_00448
OG0000011	Prah.g_01084	Prae.g_01291
OG0000012	Prah.g_00524	Prae.g_00597
OG0000013	Prah.g_01956	Prae.g_00328
OG0000014	Prah.g_02171	Prae.g_00307
OG0000015	Prah.g_01155, Prah.g_00576	Prae.g_00769, Prae.g_01235
OG0000016	Prah.g_00015	Prae.g_00013
OG0000017	Prah.g_01405	Prae.g_00572
OG0000018	Prah.g_00378	Prae.g_01144, Prae.g_00833
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prae.g_01600, Prae.g_00364
OG0000022	Prah.g_00170	Prae.g_00764
OG0000022	Prah.g_01209	Prae.g_01125
OG0000023	Prah.g_00688	Prae.g_00359
OG0000024	Prah.g_01043	Prae.g_00748, Prae.g_00649
OG0000025	Prah.g_00604	Prae.g_00840, Prae.g_00332
OG0000026	Prah.g_00038	Prae.g_00031, Prae.g_01056
OG0000028	Prah.g_02184	Prae.g_00321
OG0000029	Prah.g_01972	Prae.g_00755
OG0000030	Prah.g_00132, Prah.g_00131	Prae.g_01825
OG0000033	Prah.g_02307	Prae.g_00172
OG0000034	Prah.g_01376	Prae.g_01339
OG0000035	Prah.g_00408	Prae.g_01459
OG0000037	Prah.g_01901	Prae.g_00108
OG0000038	Prah.g_02494, Prah.g_02496	Prae.g_01865
OG0000039	Prah.g_01758, Prah.g_02382	Prae.g_00660
OG0000041	Prah.g_01737	Prae.g_01669
OG0000042	Prah.g_00135, Prah.g_01256	Prae.g_01822
OG0000045	Prah.g_01837	Prae.g_00371
OG0000047	Prah.g_00353	Prae.g_00331
OG0000048	Prah.g_02122	Prae.g_00374
OG0000051	Prah.g_01166	Prae.g_01294, Prae.g_01602
OG0000052	Prah.g_02219	Prae.g_01416
OG0000053	Prah.g_00381	Prae.g_01479
OG0000054	Prah.g_01394	Prae.g_00580
OG0000055	Prah.g_00942	Prae.g_00787
OG0000057	Prah.g_01027	Prae.g_00672
OG0000060	Prah.g_01156	Prae.g_01238
OG0000061	Prah.g_00104	Prae.g_01163
OG0000062	Prah.g_01654	Prae.g_01537
OG0000063	Prah.g_00042	Prae.g_00033
OG0000065	Prah.g_01897	Prae.g_00106
OG0000066	Prah.g_01485	Prae.g_00514
OG0000067	Prah.g_00667	Prae.g_00806
OG0000068	Prah.g_01576	Prae.g_01368
OG0000070	Prah.g_00252	Prae.g_00424
OG0000071	Prah.g_01364	Prae.g_01329
OG0000072	Prah.g_02309	Prae.g_00174
OG0000073	Prah.g_01544	Prae.g_00473
OG0000075	Prah.g_02232	Prae.g_01791
OG0000076	Prah.g_00150	Prae.g_01815
OG0000077	Prah.g_01850	Prae.g_00078
OG0000078	Prah.g_01773	Prae.g_00242
OG0000079	Prah.g_02090, Prah.g_01868	Prae.g_00255
OG0000081	Prah.g_01035	Prae.g_00505
OG0000082	Prah.g_01427	Prae.g_00559
OG0000084	Prah.g_00412	Prae.g_01455
OG0000085	Prah.g_01666	Prae.g_01616
OG0000086	Prah.g_01866	Prae.g_00088
OG0000087	Prah.g_02268	Prae.g_00139
OG0000088	Prah.g_02304	Prae.g_00169
OG0000089	Prah.g_00205	Prae.g_00355
OG0000090	Prah.g_01501	Prae.g_00508
OG0000091	Prah.g_00493	Prae.g_00616
OG0000093	Prah.g_00692	Prae.g_00933
OG0000094	Prah.g_02518	Prae.g_01021
OG0000097	Prah.g_01272	Prae.g_01204
OG0000098	Prah.g_00327	Prae.g_01350
OG0000099	Prah.g_02191	Prae.g_01390
OG0000100	Prah.g_01791, Prah.g_00636	Prae.g_01533
OG0000101	Prah.g_01995	Prae.g_01758
OG0000102	Prah.g_00144	Prae.g_01820
OG0000103	Prah.g_02586	Prae.g_01899
OG0000104	Prah.g_02600	Prae.g_01907
OG0000105	Prah.g_02126	Prae.g_01440
OG0000106	Prah.g_01660	Prae.g_00370
OG0000108	Prah.g_01566	Prae.g_00454
OG0000109	Prah.g_01550	Prae.g_00468
OG0000110	Prah.g_01439	Prae.g_00549
OG0000111	Prah.g_01028	Prae.g_00673
OG0000112	Prah.g_00788	Prae.g_00770
OG0000113	Prah.g_00641	Prae.g_00828
OG0000114	Prah.g_00733	Prae.g_00908
