Orthogroup	Prah	Prai
OG0000000	Prah.g_01348	Prai.g_01592
OG0000000	Prah.g_01346, Prah.g_01347	Prai.g_00907, Prai.g_01774, Prai.g_01314, Prai.g_01596
OG0000001	Prah.g_00324, Prah.g_01343	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Prah.g_00562	Prai.g_01363
OG0000002	Prah.g_01226	Prai.g_00707
OG0000004	Prah.g_01022	Prai.g_00724
OG0000004	Prah.g_01413	Prai.g_00243
OG0000005	Prah.g_01652	Prai.g_01538
OG0000006	Prah.g_00475, Prah.g_01767	Prai.g_00252, Prai.g_00254
OG0000007	Prah.g_01546	Prai.g_00527
OG0000007	Prah.g_01676	Prai.g_01638
OG0000008	Prah.g_00970, Prah.g_00969	Prai.g_00701
OG0000009	Prah.g_00432, Prah.g_01895	Prai.g_00105
OG0000010	Prah.g_00311	Prai.g_00504
OG0000012	Prah.g_00524	Prai.g_00652
OG0000013	Prah.g_01956	Prai.g_00340
OG0000014	Prah.g_02171	Prai.g_00319
OG0000015	Prah.g_01155, Prah.g_00576	Prai.g_01243
OG0000016	Prah.g_00015	Prai.g_00013
OG0000017	Prah.g_01405	Prai.g_00626
OG0000018	Prah.g_00378	Prai.g_01153, Prai.g_00820
OG0000020	Prah.g_01100	Prai.g_00400
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prai.g_00378
OG0000022	Prah.g_00170	Prai.g_00885
OG0000022	Prah.g_01209	Prai.g_01139
OG0000023	Prah.g_00688	Prai.g_00373
OG0000024	Prah.g_01043	Prai.g_00899, Prai.g_00704
OG0000025	Prah.g_00604	Prai.g_00812, Prai.g_00344
OG0000026	Prah.g_00038	Prai.g_00031, Prai.g_01074
OG0000028	Prah.g_02184	Prai.g_00333
OG0000029	Prah.g_01972	Prai.g_00890
OG0000030	Prah.g_00132, Prah.g_00131	Prai.g_01848
OG0000031	Prah.g_00091	Prai.g_01444
OG0000033	Prah.g_02307	Prai.g_00180
OG0000034	Prah.g_01376	Prai.g_01345
OG0000035	Prah.g_00408	Prai.g_01463
OG0000037	Prah.g_01901	Prai.g_00109
OG0000038	Prah.g_02494, Prah.g_02496	Prai.g_01890
OG0000039	Prah.g_01758, Prah.g_02382	Prai.g_00715
OG0000041	Prah.g_01737	Prai.g_01684
OG0000042	Prah.g_00135, Prah.g_01256	Prai.g_01845
OG0000043	Prah.g_01190	Prai.g_00910
OG0000045	Prah.g_01837	Prai.g_01274, Prai.g_00384
OG0000047	Prah.g_00321, Prah.g_00322	Prai.g_00424
OG0000047	Prah.g_00353	Prai.g_00343
OG0000048	Prah.g_02122	Prai.g_00387
OG0000051	Prah.g_01166	Prai.g_00434, Prai.g_01263
OG0000052	Prah.g_02219	Prai.g_00154
OG0000053	Prah.g_00381	Prai.g_01483
OG0000054	Prah.g_01394	Prai.g_00634
OG0000055	Prah.g_00942	Prai.g_00866
OG0000057	Prah.g_01027	Prai.g_00727
OG0000061	Prah.g_01322, Prah.g_00104	Prai.g_01171
OG0000062	Prah.g_01654	Prai.g_01540
OG0000063	Prah.g_00042	Prai.g_00033, Prai.g_01261
OG0000065	Prah.g_01897	Prai.g_00107
OG0000066	Prah.g_01485	Prai.g_00567
OG0000067	Prah.g_00667	Prai.g_00848
OG0000068	Prah.g_01576	Prai.g_01370
OG0000070	Prah.g_00252	Prai.g_00481
OG0000071	Prah.g_01364	Prai.g_01335
OG0000072	Prah.g_02309	Prai.g_00182
OG0000073	Prah.g_01544	Prai.g_00529
OG0000075	Prah.g_02232	Prai.g_01814
OG0000076	Prah.g_00150	Prai.g_01838
OG0000077	Prah.g_01850	Prai.g_00078
OG0000078	Prah.g_01773	Prai.g_00250
OG0000079	Prah.g_02090, Prah.g_01868	Prai.g_00265
OG0000081	Prah.g_01035	Prai.g_00559
OG0000082	Prah.g_01427	Prai.g_00613
OG0000084	Prah.g_00412	Prai.g_01459
OG0000085	Prah.g_01666	Prai.g_01631
OG0000086	Prah.g_01866	Prai.g_00088
OG0000087	Prah.g_02268	Prai.g_00139
OG0000088	Prah.g_02304	Prai.g_00177
OG0000089	Prah.g_00205	Prai.g_00368
OG0000090	Prah.g_01501	Prai.g_00561
OG0000091	Prah.g_00493	Prai.g_00671
OG0000093	Prah.g_00692	Prai.g_01021
OG0000094	Prah.g_02518	Prai.g_00937
OG0000097	Prah.g_01272	Prai.g_01214
OG0000098	Prah.g_00327	Prai.g_01353
OG0000099	Prah.g_02191	Prai.g_01393
OG0000100	Prah.g_01791, Prah.g_00636	Prai.g_01536
OG0000101	Prah.g_01995	Prai.g_01782
OG0000102	Prah.g_00144	Prai.g_01843
OG0000103	Prah.g_02586	Prai.g_01923
OG0000104	Prah.g_02600	Prai.g_01932
OG0000105	Prah.g_02126	Prai.g_00286, Prai.g_00287
OG0000106	Prah.g_01660	Prai.g_00383
OG0000108	Prah.g_01566	Prai.g_00510
OG0000109	Prah.g_01550	Prai.g_00524
OG0000110	Prah.g_01439	Prai.g_00603
OG0000111	Prah.g_01028	Prai.g_00728
OG0000112	Prah.g_00788	Prai.g_00882
OG0000113	Prah.g_00641	Prai.g_00825
OG0000114	Prah.g_00733	Prai.g_01046
OG0000115	Prah.g_00383	Prai.g_01119
OG0000116	Prah.g_01337	Prai.g_01162
OG0000117	Prah.g_01257	Prai.g_01273
OG0000118	Prah.g_01378	Prai.g_01347
OG0000119	Prah.g_01007, Prah.g_01048	Prai.g_01366
OG0000120	Prah.g_02192	Prai.g_01443
OG0000121	Prah.g_00406	Prai.g_01465
OG0000123	Prah.g_01987	Prai.g_01789
OG0000124	Prah.g_00125	Prai.g_01854
OG0000125	Prah.g_02498	Prai.g_01892
OG0000126	Prah.g_02598	Prai.g_01931
OG0000128	Prah.g_00013	Prai.g_00011
OG0000129	Prah.g_02486	Prai.g_00051
OG0000130	Prah.g_01838	Prai.g_00069
OG0000131	Prah.g_02282	Prai.g_00156
OG0000132	Prah.g_02302	Prai.g_00175
