Orthogroup	Prah	Prav
OG0000000	Prah.g_01348	Prav.g_01695, Prav.g_00973
OG0000000	Prah.g_01154, Prah.g_01152	Prav.g_01730, Prav.g_01715
OG0000000	Prah.g_01346, Prah.g_01347	Prav.g_01413, Prav.g_01698
OG0000001	Prah.g_00324, Prah.g_01343	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000002	Prah.g_00562	Prav.g_01466
OG0000002	Prah.g_01226	Prav.g_01276
OG0000004	Prah.g_01022	Prav.g_01293
OG0000004	Prah.g_01413	Prav.g_00806
OG0000005	Prah.g_01652	Prav.g_01654
OG0000006	Prah.g_00475, Prah.g_01767	Prav.g_02001
OG0000007	Prah.g_01546	Prav.g_01095
OG0000007	Prah.g_01676	Prav.g_01761
OG0000008	Prah.g_00970	Prav.g_01749
OG0000008	Prah.g_00969	Prav.g_01750
OG0000009	Prah.g_00432, Prah.g_01895	Prav.g_00170
OG0000010	Prah.g_00311	Prav.g_01072
OG0000011	Prah.g_01084	Prav.g_01014, Prav.g_01407
OG0000012	Prah.g_00524	Prav.g_01221
OG0000013	Prah.g_01956	Prav.g_01973
OG0000014	Prah.g_02171	Prav.g_01952
OG0000015	Prah.g_01155, Prah.g_00576	Prav.g_00363, Prav.g_00961
OG0000016	Prah.g_00015	Prav.g_00081
OG0000017	Prah.g_01405	Prav.g_01194
OG0000018	Prah.g_00378	Prav.g_00046, Prav.g_00424
OG0000020	Prah.g_01100	Prav.g_01386
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prav.g_00984
OG0000022	Prah.g_00170	Prav.g_00360
OG0000022	Prah.g_01209	Prav.g_00029
OG0000023	Prah.g_00688	Prav.g_00979
OG0000024	Prah.g_01043	Prav.g_00343, Prav.g_01273
OG0000025	Prah.g_00604	Prav.g_00431, Prav.g_01977
OG0000026	Prah.g_00038	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000028	Prah.g_02184	Prav.g_01966
OG0000029	Prah.g_01972	Prav.g_00350
OG0000030	Prah.g_00132, Prah.g_00131	Prav.g_00699
OG0000032	Prah.g_02196	Prav.g_01499
OG0000033	Prah.g_02307	Prav.g_00869
OG0000034	Prah.g_01376	Prav.g_01448
OG0000035	Prah.g_00408	Prav.g_01578
OG0000037	Prah.g_01901	Prav.g_00174
OG0000038	Prah.g_02494, Prah.g_02496	Prav.g_00739
OG0000039	Prah.g_01758, Prah.g_02382	Prav.g_01284
OG0000041	Prah.g_01737	Prav.g_01808
OG0000042	Prah.g_00135, Prah.g_01256	Prav.g_00696
OG0000045	Prah.g_01837	Prav.g_00990
OG0000047	Prah.g_00353	Prav.g_01976
OG0000048	Prah.g_02122	Prav.g_00993
OG0000051	Prah.g_01166	Prav.g_01410
OG0000052	Prah.g_02219	Prav.g_01533
OG0000053	Prah.g_00381	Prav.g_01598
OG0000054	Prah.g_01394	Prav.g_01202
OG0000055	Prah.g_00942	Prav.g_00376
OG0000056	Prah.g_00543, Prah.g_01082, Prah.g_00342	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Prah.g_01027	Prav.g_01296
OG0000060	Prah.g_01156	Prav.g_00964
OG0000061	Prah.g_00104	Prav.g_00065
OG0000062	Prah.g_01654	Prav.g_01551, Prav.g_01338, Prav.g_01656
OG0000063	Prah.g_00042	Prav.g_00101
OG0000065	Prah.g_01897	Prav.g_00172
OG0000066	Prah.g_01485	Prav.g_01137
OG0000067	Prah.g_00667	Prav.g_00397
OG0000068	Prah.g_01576	Prav.g_01473
OG0000070	Prah.g_00252	Prav.g_01049
OG0000071	Prah.g_01364	Prav.g_01438
OG0000072	Prah.g_02309	Prav.g_00867
OG0000073	Prah.g_01544	Prav.g_01097
OG0000075	Prah.g_02232	Prav.g_00665
OG0000076	Prah.g_00150	Prav.g_00689
OG0000077	Prah.g_01850	Prav.g_00143
OG0000078	Prah.g_01773	Prav.g_00799
OG0000079	Prah.g_02090, Prah.g_01868	Prav.g_01899
OG0000081	Prah.g_01035	Prav.g_01129
OG0000082	Prah.g_01427	Prav.g_01182
OG0000084	Prah.g_00412	Prav.g_01574
OG0000085	Prah.g_01666	Prav.g_01754
OG0000086	Prah.g_01866	Prav.g_00153
OG0000087	Prah.g_02268	Prav.g_00204
OG0000088	Prah.g_02304	Prav.g_00872
OG0000089	Prah.g_00205	Prav.g_00975
OG0000090	Prah.g_01501	Prav.g_01131
OG0000091	Prah.g_00493	Prav.g_01240
OG0000093	Prah.g_00692	Prav.g_01497, Prav.g_00525
OG0000094	Prah.g_02518	Prav.g_00914
OG0000097	Prah.g_01272	Prav.g_01840
OG0000098	Prah.g_00327	Prav.g_01455
OG0000099	Prah.g_02191	Prav.g_01514
OG0000100	Prah.g_01791, Prah.g_00636	Prav.g_01652
OG0000101	Prah.g_01995	Prav.g_00632
OG0000102	Prah.g_00144	Prav.g_00694
OG0000103	Prah.g_02586	Prav.g_00773
OG0000104	Prah.g_02600	Prav.g_00782
OG0000105	Prah.g_02126	Prav.g_01920
OG0000106	Prah.g_01660	Prav.g_00989
OG0000108	Prah.g_01566	Prav.g_01078
OG0000109	Prah.g_01550	Prav.g_01092
OG0000110	Prah.g_01439	Prav.g_01172
OG0000111	Prah.g_01028	Prav.g_01297
OG0000112	Prah.g_00788	Prav.g_00364
OG0000113	Prah.g_00641	Prav.g_00419
OG0000114	Prah.g_00733	Prav.g_00499
OG0000115	Prah.g_00383	Prav.g_00010
OG0000116	Prah.g_01337	Prav.g_00055
OG0000117	Prah.g_01257	Prav.g_01390
OG0000118	Prah.g_01378	Prav.g_01450
OG0000119	Prah.g_01007, Prah.g_01048	Prav.g_01469
OG0000120	Prah.g_02192	Prav.g_01513
OG0000121	Prah.g_00406	Prav.g_01580
OG0000122	Prah.g_01203	Prav.g_01618
OG0000123	Prah.g_01987	Prav.g_00639
OG0000124	Prah.g_00125	Prav.g_00705
OG0000125	Prah.g_02498	Prav.g_00741
OG0000126	Prah.g_02598	Prav.g_00781
OG0000127	Prah.g_01083	Prav.g_00965
OG0000128	Prah.g_00013	Prav.g_00079
OG0000129	Prah.g_02486	Prav.g_00115
OG0000130	Prah.g_01838	Prav.g_00134
OG0000131	Prah.g_02282	Prav.g_00212
OG0000132	Prah.g_02302	Prav.g_00874
OG0000133	Prah.g_02187	Prav.g_01968
OG0000134	Prah.g_00208	Prav.g_00976
OG0000135	Prah.g_02538	Prav.g_00999
OG0000136	Prah.g_00235	Prav.g_01040
OG0000137	Prah.g_00312	Prav.g_01073
OG0000138	Prah.g_01549	Prav.g_01093
OG0000139	Prah.g_01495	Prav.g_01135
OG0000140	Prah.g_01489	Prav.g_01136
OG0000141	Prah.g_01393	Prav.g_01203
OG0000142	Prah.g_00501	Prav.g_01233
OG0000143	Prah.g_00497	Prav.g_01237
OG0000144	Prah.g_00473	Prav.g_01250
OG0000145	Prah.g_01543	Prav.g_00362
OG0000146	Prah.g_00787	Prav.g_00365
OG0000147	Prah.g_00786	Prav.g_00366
OG0000148	Prah.g_00649	Prav.g_00413
OG0000149	Prah.g_00591	Prav.g_00443
OG0000150	Prah.g_00568	Prav.g_00451
OG0000151	Prah.g_00718	Prav.g_00509
OG0000152	Prah.g_00796	Prav.g_00556
OG0000153	Prah.g_00826	Prav.g_00575
OG0000154	Prah.g_00852	Prav.g_00907
OG0000155	Prah.g_01291	Prav.g_01861
OG0000156	Prah.g_01349	Prav.g_01427
OG0000157	Prah.g_01350	Prav.g_01428
OG0000158	Prah.g_02242	Prav.g_01505
OG0000160	Prah.g_00407	Prav.g_01579
OG0000161	Prah.g_00399	Prav.g_01585
OG0000162	Prah.g_00391	Prav.g_01591
OG0000163	Prah.g_01619	Prav.g_01625
OG0000164	Prah.g_01705	Prav.g_01785
OG0000165	Prah.g_01716	Prav.g_01792
OG0000166	Prah.g_02033	Prav.g_00596
OG0000167	Prah.g_02230	Prav.g_00663
OG0000168	Prah.g_02243	Prav.g_00673
OG0000169	Prah.g_00163	Prav.g_00683
OG0000170	Prah.g_00155	Prav.g_00685
OG0000171	Prah.g_00126	Prav.g_00704
OG0000172	Prah.g_00084	Prav.g_00712
OG0000173	Prah.g_00061	Prav.g_00727
OG0000174	Prah.g_02541	Prav.g_00755
OG0000175	Prah.g_02575	Prav.g_00765
OG0000176	Prah.g_00005	Prav.g_00790
OG0000177	Prah.g_00006	Prav.g_00791
OG0000178	Prah.g_00007	Prav.g_00792
OG0000179	Prah.g_00022	Prav.g_00084
OG0000180	Prah.g_00023	Prav.g_00085
OG0000181	Prah.g_00024	Prav.g_00086
OG0000182	Prah.g_00025	Prav.g_00087
OG0000183	Prah.g_00029	Prav.g_00091
OG0000184	Prah.g_02478	Prav.g_00117
OG0000185	Prah.g_02458	Prav.g_00120
OG0000186	Prah.g_01830	Prav.g_00129
OG0000187	Prah.g_01833	Prav.g_00130
OG0000188	Prah.g_01860	Prav.g_00147
OG0000189	Prah.g_01884	Prav.g_00161
OG0000190	Prah.g_01886	Prav.g_00162
OG0000191	Prah.g_00188	Prav.g_00182
OG0000192	Prah.g_00176, Prah.g_00180	Prav.g_00186
OG0000193	Prah.g_02283	Prav.g_00213
OG0000194	Prah.g_02286	Prav.g_00216
OG0000195	Prah.g_02288	Prav.g_00887
OG0000196	Prah.g_02299	Prav.g_00877
OG0000197	Prah.g_02300	Prav.g_00876
OG0000198	Prah.g_02301	Prav.g_00875
OG0000199	Prah.g_02308	Prav.g_00868
OG0000200	Prah.g_02324	Prav.g_00854
OG0000201	Prah.g_02352	Prav.g_00846
OG0000202	Prah.g_02353	Prav.g_00845
OG0000203	Prah.g_02354	Prav.g_00844
OG0000204	Prah.g_02355	Prav.g_00843
OG0000205	Prah.g_02362	Prav.g_00836
OG0000206	Prah.g_02371	Prav.g_00831
OG0000207	Prah.g_02420	Prav.g_00829
OG0000208	Prah.g_02419	Prav.g_00828
OG0000209	Prah.g_02400	Prav.g_00819
OG0000210	Prah.g_02399	Prav.g_00818
OG0000211	Prah.g_01782	Prav.g_00805
OG0000212	Prah.g_01772	Prav.g_00798
OG0000213	Prah.g_02101	Prav.g_01904
OG0000214	Prah.g_02118	Prav.g_01914
OG0000215	Prah.g_02148	Prav.g_01938
OG0000216	Prah.g_02151	Prav.g_01940
OG0000217	Prah.g_02155	Prav.g_01943
OG0000218	Prah.g_02157	Prav.g_01945
OG0000219	Prah.g_02158	Prav.g_01946
OG0000220	Prah.g_02159	Prav.g_01947
OG0000221	Prah.g_02166	Prav.g_01948
OG0000222	Prah.g_02174	Prav.g_01956
OG0000223	Prah.g_02197	Prav.g_01969
