Orthogroup	Prah	Syaf
OG0000001	Prah.g_00324, Prah.g_01343	Syaf.g_01640
OG0000001	Prah.g_01159	Syaf.g_00846
OG0000001	Prah.g_02270	Syaf.g_00845
OG0000004	Prah.g_01022	Syaf.g_01455
OG0000004	Prah.g_01413	Syaf.g_02351, Syaf.g_02794
OG0000005	Prah.g_01652	Syaf.g_01057
OG0000006	Prah.g_00475, Prah.g_01767	Syaf.g_00179, Syaf.g_02778
OG0000007	Prah.g_01546	Syaf.g_02702
OG0000007	Prah.g_01676	Syaf.g_01033
OG0000008	Prah.g_00970	Syaf.g_01479
OG0000008	Prah.g_00969	Syaf.g_01480
OG0000009	Prah.g_00432, Prah.g_01895	Syaf.g_00905
OG0000010	Prah.g_00311	Syaf.g_02499
OG0000011	Prah.g_01084	Syaf.g_01532
OG0000013	Prah.g_01956	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prah.g_02171	Syaf.g_00280
OG0000015	Prah.g_01155, Prah.g_00576	Syaf.g_02120, Syaf.g_02121
OG0000016	Prah.g_00015	Syaf.g_00484
OG0000016	Prah.g_01270	Syaf.g_01576
OG0000017	Prah.g_01397	Syaf.g_02554
OG0000017	Prah.g_01405	Syaf.g_02561
OG0000018	Prah.g_00378	Syaf.g_02451
OG0000020	Prah.g_01100	Syaf.g_02187
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Syaf.g_01726
OG0000021	Prah.g_01410	Syaf.g_02773
OG0000022	Prah.g_00170, Prah.g_01209	Syaf.g_02256
OG0000023	Prah.g_00688	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prah.g_01043	Syaf.g_01484
OG0000025	Prah.g_00604	Syaf.g_01385
OG0000026	Prah.g_00038	Syaf.g_00461
OG0000028	Prah.g_02184	Syaf.g_00297
OG0000029	Prah.g_01972	Syaf.g_01761
OG0000030	Prah.g_00132	Syaf.g_00406
OG0000030	Prah.g_00131	Syaf.g_00407
OG0000031	Prah.g_00091	Syaf.g_01143
OG0000032	Prah.g_00358	Syaf.g_02471
OG0000033	Prah.g_02307	Syaf.g_00807
OG0000034	Prah.g_01376	Syaf.g_01241, Syaf.g_00837
OG0000035	Prah.g_00408	Syaf.g_02412
OG0000036	Prah.g_01133, Prah.g_01478, Prah.g_00393, Prah.g_01061, Prah.g_01606	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127
OG0000037	Prah.g_01901	Syaf.g_00899
OG0000038	Prah.g_02494	Syaf.g_00642
OG0000041	Prah.g_01737	Syaf.g_01171
OG0000042	Prah.g_00135, Prah.g_01256	Syaf.g_00403
OG0000043	Prah.g_01190	Syaf.g_01747
OG0000045	Prah.g_01837	Syaf.g_00979
OG0000046	Prah.g_01955	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045
OG0000047	Prah.g_00321, Prah.g_00322, Prah.g_00353	Syaf.g_00030
OG0000048	Prah.g_02122	Syaf.g_00230
OG0000051	Prah.g_01166	Syaf.g_00972
OG0000052	Prah.g_02219	Syaf.g_00335
OG0000053	Prah.g_00381	Syaf.g_02447
OG0000054	Prah.g_01394	Syaf.g_02376
OG0000055	Prah.g_00942	Syaf.g_01402
OG0000057	Prah.g_01027	Syaf.g_01452
OG0000060	Prah.g_01569	Syaf.g_02726
OG0000060	Prah.g_01156	Syaf.g_01603
OG0000061	Prah.g_01322, Prah.g_00104	Syaf.g_01288
OG0000062	Prah.g_01654	Syaf.g_02167
OG0000063	Prah.g_00042	Syaf.g_00457
OG0000065	Prah.g_01897	Syaf.g_00903
OG0000066	Prah.g_01485	Syaf.g_02643
OG0000067	Prah.g_00667	Syaf.g_02049
OG0000068	Prah.g_01576	Syaf.g_02733
OG0000070	Prah.g_00252	Syaf.g_01237
OG0000071	Prah.g_01364	Syaf.g_01254
OG0000072	Prah.g_02309	Syaf.g_00805
OG0000073	Prah.g_01544	Syaf.g_02700
OG0000075	Prah.g_02232	Syaf.g_00353
OG0000076	Prah.g_00150	Syaf.g_00388
OG0000077	Prah.g_01850	Syaf.g_00951
OG0000078	Prah.g_01773	Syaf.g_02782
OG0000079	Prah.g_02090	Syaf.g_00197
OG0000081	Prah.g_01035	Syaf.g_02776
OG0000082	Prah.g_01427	Syaf.g_02576
OG0000084	Prah.g_00412	Syaf.g_02409
OG0000085	Prah.g_01666	Syaf.g_01048
OG0000086	Prah.g_01866	Syaf.g_00932
OG0000087	Prah.g_02268	Syaf.g_00848
OG0000088	Prah.g_00957, Prah.g_02304	Syaf.g_00811
OG0000089	Prah.g_00205	Syaf.g_02807
OG0000090	Prah.g_01501	Syaf.g_02654
OG0000091	Prah.g_00493	Syaf.g_02302
OG0000093	Prah.g_00692	Syaf.g_02065, Syaf.g_01775
OG0000095	Prah.g_00915	Syaf.g_01442
OG0000097	Prah.g_01272	Syaf.g_01574
OG0000098	Prah.g_00327	Syaf.g_01637
OG0000099	Prah.g_02191	Syaf.g_00312
OG0000100	Prah.g_01791, Prah.g_00636	Syaf.g_02017
OG0000101	Prah.g_01995	Syaf.g_00093
OG0000102	Prah.g_00144	Syaf.g_00393
OG0000103	Prah.g_02586	Syaf.g_00520
OG0000104	Prah.g_02600	Syaf.g_00502
OG0000105	Prah.g_02126	Syaf.g_00235
OG0000106	Prah.g_01660	Syaf.g_01745
OG0000107	Prah.g_02072	Syaf.g_00758
OG0000108	Prah.g_01566	Syaf.g_02721
OG0000109	Prah.g_01550	Syaf.g_02706
OG0000110	Prah.g_01439	Syaf.g_02589
OG0000112	Prah.g_00788	Syaf.g_01852
OG0000113	Prah.g_00641	Syaf.g_02022
OG0000114	Prah.g_00733	Syaf.g_02103
OG0000115	Prah.g_00383	Syaf.g_02445
OG0000116	Prah.g_01337	Syaf.g_01276
OG0000117	Prah.g_01257	Syaf.g_01605
OG0000118	Prah.g_01378	Syaf.g_02544
OG0000120	Prah.g_02192	Syaf.g_00313
OG0000121	Prah.g_00406	Syaf.g_02419
OG0000123	Prah.g_01987	Syaf.g_00086
OG0000124	Prah.g_00125	Syaf.g_00414
OG0000125	Prah.g_02498	Syaf.g_00640
OG0000126	Prah.g_02598	Syaf.g_00504
OG0000127	Prah.g_01085	Syaf.g_01541
OG0000128	Prah.g_00013	Syaf.g_00486
OG0000129	Prah.g_02486	Syaf.g_00651
OG0000130	Prah.g_01838	Syaf.g_00963
OG0000131	Prah.g_02282	Syaf.g_00833
OG0000132	Prah.g_02302	Syaf.g_00813
OG0000133	Prah.g_02187	Syaf.g_01857
OG0000134	Prah.g_00208	Syaf.g_02804
OG0000135	Prah.g_02538	Syaf.g_00605
OG0000136	Prah.g_00235	Syaf.g_01224
OG0000137	Prah.g_00105, Prah.g_00312	Syaf.g_02498
OG0000138	Prah.g_01549	Syaf.g_02705
OG0000139	Prah.g_01495	Syaf.g_02648
OG0000140	Prah.g_01489	Syaf.g_02646
OG0000141	Prah.g_01393	Syaf.g_02375
OG0000142	Prah.g_00501	Syaf.g_02310
OG0000143	Prah.g_00497	Syaf.g_02306
OG0000144	Prah.g_00473	Syaf.g_01735
OG0000145	Prah.g_01543	Syaf.g_02699
OG0000146	Prah.g_00787	Syaf.g_01851
OG0000147	Prah.g_00786	Syaf.g_01850
OG0000148	Prah.g_00649	Syaf.g_02028
OG0000149	Prah.g_00591	Syaf.g_01371
OG0000150	Prah.g_00568	Syaf.g_02645
OG0000151	Prah.g_00718	Syaf.g_02091
OG0000152	Prah.g_00796	Syaf.g_01861
OG0000153	Prah.g_00826	Syaf.g_01904
OG0000154	Prah.g_00852	Syaf.g_01930
OG0000155	Prah.g_01291	Syaf.g_01324
OG0000156	Prah.g_01349	Syaf.g_01270
OG0000157	Prah.g_01350	Syaf.g_01269
OG0000158	Prah.g_02242	Syaf.g_00364
