Orthogroup	Prah	Syaa
OG0000001	Prah.g_01159	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000004	Prah.g_01022	Syaa.g_00892
OG0000004	Prah.g_01413	Syaa.g_01667, Syaa.g_02116
OG0000005	Prah.g_01652	Syaa.g_00573
OG0000006	Prah.g_00475, Prah.g_01767	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prah.g_01546	Syaa.g_02032
OG0000007	Prah.g_01676	Syaa.g_00551
OG0000008	Prah.g_00970	Syaa.g_00918
OG0000008	Prah.g_00969	Syaa.g_00919
OG0000009	Prah.g_00432, Prah.g_01895	Syaa.g_02378
OG0000010	Prah.g_00311	Syaa.g_01843
OG0000012	Prah.g_00524	Syaa.g_01660
OG0000013	Prah.g_01956	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prah.g_02171	Syaa.g_00222
OG0000015	Prah.g_01155, Prah.g_00576	Syaa.g_01079, Syaa.g_01989
OG0000016	Prah.g_00015	Syaa.g_00014
OG0000016	Prah.g_01270	Syaa.g_00981
OG0000017	Prah.g_01397	Syaa.g_01883
OG0000017	Prah.g_01405	Syaa.g_01890
OG0000018	Prah.g_00378	Syaa.g_01801
OG0000021	Prah.g_01410	Syaa.g_02627
OG0000022	Prah.g_00170, Prah.g_01209	Syaa.g_01571
OG0000023	Prah.g_00688	Syaa.g_01529, Syaa.g_01216
OG0000024	Prah.g_01043	Syaa.g_00922
OG0000025	Prah.g_00604	Syaa.g_00839
OG0000026	Prah.g_00038	Syaa.g_00038
OG0000028	Prah.g_02184	Syaa.g_00205
OG0000029	Prah.g_01972	Syaa.g_01578
OG0000030	Prah.g_00132	Syaa.g_00099
OG0000030	Prah.g_00131	Syaa.g_00098
OG0000032	Prah.g_00358	Syaa.g_01818
OG0000033	Prah.g_02307	Syaa.g_02478
OG0000034	Prah.g_01376	Syaa.g_00722, Syaa.g_02444
OG0000035	Prah.g_00408	Syaa.g_01773
OG0000037	Prah.g_01901	Syaa.g_02384
OG0000038	Prah.g_02494	Syaa.g_02596
OG0000041	Prah.g_01737	Syaa.g_00660
OG0000042	Prah.g_00135, Prah.g_01256	Syaa.g_00103
OG0000043	Prah.g_01190	Syaa.g_01437
OG0000044	Prah.g_00994, Prah.g_00343	Syaa.g_00363
OG0000045	Prah.g_01837	Syaa.g_01518, Syaa.g_01560
OG0000046	Prah.g_01955	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prah.g_00321, Prah.g_00322, Prah.g_00353	Syaa.g_02189
OG0000048	Prah.g_02122	Syaa.g_00275
OG0000050	Prah.g_01120	Syaa.g_01213, Syaa.g_01712
OG0000051	Prah.g_01166	Syaa.g_01531
OG0000052	Prah.g_02219	Syaa.g_00174
OG0000053	Prah.g_00381	Syaa.g_01797
OG0000054	Prah.g_01394	Syaa.g_01691
OG0000055	Prah.g_00942	Syaa.g_00852
OG0000057	Prah.g_01027	Syaa.g_00889
OG0000058	Prah.g_02195	Syaa.g_00455
OG0000060	Prah.g_01569	Syaa.g_02053
OG0000060	Prah.g_01156	Syaa.g_01007
OG0000061	Prah.g_01322, Prah.g_00104	Syaa.g_00770
OG0000063	Prah.g_00042	Syaa.g_00042
OG0000065	Prah.g_01897	Syaa.g_02380
OG0000066	Prah.g_01485	Syaa.g_01968
OG0000067	Prah.g_00667	Syaa.g_01154
OG0000068	Prah.g_01576	Syaa.g_02059
OG0000070	Prah.g_00252	Syaa.g_00718
OG0000071	Prah.g_01364	Syaa.g_00735
OG0000072	Prah.g_02309	Syaa.g_02480
OG0000073	Prah.g_01544	Syaa.g_02030
OG0000075	Prah.g_02232	Syaa.g_00157
OG0000076	Prah.g_00150	Syaa.g_00123
OG0000077	Prah.g_01850	Syaa.g_00341
OG0000078	Prah.g_01773	Syaa.g_02103
OG0000079	Prah.g_02090	Syaa.g_00303
OG0000081	Prah.g_01035	Syaa.g_02089
OG0000082	Prah.g_01427	Syaa.g_01905
OG0000084	Prah.g_00412	Syaa.g_01770
OG0000085	Prah.g_01666	Syaa.g_00564
OG0000086	Prah.g_01866	Syaa.g_00324
OG0000087	Prah.g_02268	Syaa.g_02433
OG0000088	Prah.g_00957, Prah.g_02304	Syaa.g_02474
OG0000089	Prah.g_00205	Syaa.g_02149
OG0000090	Prah.g_01501	Syaa.g_01980
OG0000091	Prah.g_00493	Syaa.g_01625
OG0000093	Prah.g_00692	Syaa.g_01139
OG0000095	Prah.g_00915	Syaa.g_00879
OG0000097	Prah.g_01272	Syaa.g_00979
OG0000099	Prah.g_02191	Syaa.g_00202
OG0000100	Prah.g_01791, Prah.g_00636	Syaa.g_01201
OG0000101	Prah.g_01995	Syaa.g_02249
OG0000102	Prah.g_00144	Syaa.g_00118
OG0000103	Prah.g_02586	Syaa.g_02740
OG0000104	Prah.g_02600	Syaa.g_02754
OG0000105	Prah.g_02126	Syaa.g_00270
OG0000106	Prah.g_01660	Syaa.g_01439
