Orthogroup	Prah	Syaq
OG0000001	Prah.g_01159	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Prah.g_02270	Syaq.g_01434
OG0000003	Prah.g_02447, Prah.g_00270, Prah.g_01119, Prah.g_02431, Prah.g_01063, Prah.g_00269, Prah.g_00926, Prah.g_00927, Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169, Prah.g_00935, Prah.g_02436, Prah.g_00271, Prah.g_00273, Prah.g_00930, Prah.g_02446, Prah.g_00226, Prah.g_00272, Prah.g_02434, Prah.g_02451, Prah.g_02432, Prah.g_01064, Prah.g_00936, Prah.g_01869, Prah.g_01005, Prah.g_01056	Syaq.g_00887
OG0000004	Prah.g_01022	Syaq.g_02603
OG0000004	Prah.g_01413	Syaq.g_02042, Syaq.g_01567
OG0000005	Prah.g_01652	Syaq.g_01692
OG0000006	Prah.g_00475, Prah.g_01767	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prah.g_01546	Syaq.g_01793
OG0000007	Prah.g_01676	Syaq.g_01673
OG0000008	Prah.g_00970	Syaq.g_02162
OG0000008	Prah.g_00969	Syaq.g_02575
OG0000009	Prah.g_00432, Prah.g_01895	Syaq.g_01489
OG0000010	Prah.g_00311	Syaq.g_00443
OG0000011	Prah.g_01084	Syaq.g_01038
OG0000012	Prah.g_00524	Syaq.g_02059
OG0000013	Prah.g_01956	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prah.g_02171	Syaq.g_00862
OG0000014	Prah.g_00101	Syaq.g_00933
OG0000015	Prah.g_01155, Prah.g_00576	Syaq.g_02255
OG0000016	Prah.g_00015	Syaq.g_01136
OG0000016	Prah.g_01270	Syaq.g_00169
OG0000017	Prah.g_01397	Syaq.g_01999
OG0000017	Prah.g_01405	Syaq.g_01992
OG0000018	Prah.g_00378	Syaq.g_00401
OG0000022	Prah.g_00170, Prah.g_01209	Syaq.g_02126
OG0000023	Prah.g_00688	Syaq.g_02540
OG0000025	Prah.g_00604	Syaq.g_02381
OG0000026	Prah.g_00038	Syaq.g_01114
OG0000028	Prah.g_02184	Syaq.g_00878
OG0000030	Prah.g_00132	Syaq.g_01047
OG0000030	Prah.g_00131	Syaq.g_01048
OG0000031	Prah.g_02248, Prah.g_00091	Syaq.g_01009
OG0000032	Prah.g_00358	Syaq.g_00421
OG0000033	Prah.g_02307	Syaq.g_01399
OG0000034	Prah.g_01376	Syaq.g_00312, Syaq.g_01431
OG0000035	Prah.g_00408	Syaq.g_00371, Syaq.g_00372
OG0000037	Prah.g_01901	Syaq.g_01483
OG0000038	Prah.g_02494	Syaq.g_01260
OG0000038	Prah.g_02496	Syaq.g_01258
OG0000039	Prah.g_01758	Syaq.g_01601
OG0000039	Prah.g_02382	Syaq.g_01241
OG0000042	Prah.g_00135, Prah.g_01256	Syaq.g_00200, Syaq.g_01044
OG0000043	Prah.g_01190	Syaq.g_01920
OG0000044	Prah.g_00994, Prah.g_00343	Syaq.g_00107
OG0000045	Prah.g_01837	Syaq.g_02047
OG0000046	Prah.g_01955	Syaq.g_00570, Syaq.g_00573
OG0000048	Prah.g_02122	Syaq.g_00749
OG0000052	Prah.g_02219	Syaq.g_00969
OG0000053	Prah.g_00381	Syaq.g_00397
OG0000054	Prah.g_01394	Syaq.g_02005
OG0000055	Prah.g_00942	Syaq.g_02700
OG0000057	Prah.g_01027	Syaq.g_02605
OG0000059	Prah.g_02043	Syaq.g_00657
OG0000060	Prah.g_01569	Syaq.g_01770
OG0000060	Prah.g_01156	Syaq.g_00201
OG0000061	Prah.g_01322, Prah.g_00104	Syaq.g_00249
OG0000063	Prah.g_00042	Syaq.g_01110
OG0000065	Prah.g_01897	Syaq.g_01908, Syaq.g_01487
OG0000066	Prah.g_01485	Syaq.g_01851
OG0000067	Prah.g_01826	Syaq.g_02560
OG0000067	Prah.g_00667	Syaq.g_02340
OG0000068	Prah.g_01576	Syaq.g_01763
OG0000070	Prah.g_00252	Syaq.g_00484
OG0000071	Prah.g_01364	Syaq.g_00297
OG0000072	Prah.g_02309	Syaq.g_01397
OG0000073	Prah.g_01544	Syaq.g_01795
OG0000075	Prah.g_02232	Syaq.g_00986
OG0000076	Prah.g_00150	Syaq.g_01028
OG0000077	Prah.g_01850	Syaq.g_01547
OG0000078	Prah.g_01773	Syaq.g_01585
OG0000079	Prah.g_02090, Prah.g_01868	Syaq.g_00721
OG0000081	Prah.g_01035	Syaq.g_01893
OG0000082	Prah.g_01427	Syaq.g_01975
OG0000084	Prah.g_00412	Syaq.g_00367
OG0000085	Prah.g_01666	Syaq.g_01683
OG0000086	Prah.g_01866	Syaq.g_01525
OG0000087	Prah.g_02268	Syaq.g_01438
OG0000088	Prah.g_00957, Prah.g_02304	Syaq.g_01402
OG0000089	Prah.g_00205	Syaq.g_00529
OG0000090	Prah.g_01501	Syaq.g_01838
OG0000091	Prah.g_00493	Syaq.g_02090
OG0000093	Prah.g_00692	Syaq.g_02323
OG0000094	Prah.g_02518	Syaq.g_02554
OG0000095	Prah.g_00915	Syaq.g_02679
OG0000097	Prah.g_01272	Syaq.g_00167
OG0000098	Prah.g_00327	Syaq.g_02221
OG0000099	Prah.g_02191	Syaq.g_00882
OG0000100	Prah.g_01791, Prah.g_00636	Syaq.g_02371
OG0000101	Prah.g_01995	Syaq.g_00607
OG0000102	Prah.g_00144	Syaq.g_01033
OG0000103	Prah.g_02586	Syaq.g_01170
OG0000104	Prah.g_02600	Syaq.g_01154
OG0000105	Prah.g_02126	Syaq.g_00754
OG0000106	Prah.g_01660	Syaq.g_01863
OG0000107	Prah.g_02072	Syaq.g_00694
OG0000108	Prah.g_01566	Syaq.g_01772
OG0000109	Prah.g_01550	Syaq.g_01788
OG0000110	Prah.g_01439	Syaq.g_01962
OG0000111	Prah.g_01028	Syaq.g_02606
OG0000112	Prah.g_00788	Syaq.g_02476
OG0000114	Prah.g_00733	Syaq.g_02269
OG0000115	Prah.g_00383	Syaq.g_00395
OG0000116	Prah.g_01337	Syaq.g_00263
OG0000117	Prah.g_01257	Syaq.g_00203
OG0000118	Prah.g_01378	Syaq.g_00325, Syaq.g_00316
OG0000120	Prah.g_02192	Syaq.g_00883
OG0000121	Prah.g_00406	Syaq.g_00375
OG0000122	Prah.g_01203	Syaq.g_02118
OG0000123	Prah.g_01987	Syaq.g_00599
OG0000124	Prah.g_00125	Syaq.g_01055
OG0000125	Prah.g_02498	Syaq.g_01256
OG0000126	Prah.g_02598	Syaq.g_01156
OG0000128	Prah.g_00013	Syaq.g_01138
OG0000129	Prah.g_02486	Syaq.g_01269
OG0000130	Prah.g_01838	Syaq.g_01559
OG0000131	Prah.g_02282	Syaq.g_01427, Syaq.g_01424
OG0000132	Prah.g_02302	Syaq.g_01404
OG0000133	Prah.g_02187	Syaq.g_02481
OG0000134	Prah.g_00208	Syaq.g_00526
OG0000135	Prah.g_02538	Syaq.g_01227
OG0000136	Prah.g_00235	Syaq.g_00496
OG0000137	Prah.g_00105, Prah.g_00312	Syaq.g_00442
OG0000138	Prah.g_01549	Syaq.g_01789
OG0000139	Prah.g_01495	Syaq.g_01844
OG0000140	Prah.g_01489	Syaq.g_01848
OG0000141	Prah.g_01393	Syaq.g_02010
OG0000142	Prah.g_00501	Syaq.g_02082
OG0000143	Prah.g_00497	Syaq.g_02086
OG0000144	Prah.g_00473	Syaq.g_02152
OG0000145	Prah.g_01543	Syaq.g_01796
OG0000146	Prah.g_00787	Syaq.g_02475
OG0000147	Prah.g_00786	Syaq.g_02474
OG0000148	Prah.g_00649	Syaq.g_02359
OG0000149	Prah.g_00591	Syaq.g_02395
OG0000150	Prah.g_00568	Syaq.g_02011
OG0000151	Prah.g_00718	Syaq.g_02283
OG0000152	Prah.g_00796	Syaq.g_02485
OG0000153	Prah.g_00826	Syaq.g_02518
OG0000154	Prah.g_00852	Syaq.g_00066
OG0000155	Prah.g_01291	Syaq.g_00212
OG0000156	Prah.g_01349	Syaq.g_00281
OG0000157	Prah.g_01350	Syaq.g_00282
OG0000158	Prah.g_02242	Syaq.g_01003
OG0000160	Prah.g_00407	Syaq.g_00374
OG0000161	Prah.g_00399	Syaq.g_00382
OG0000162	Prah.g_00391	Syaq.g_00389
OG0000163	Prah.g_01619	Syaq.g_01730
OG0000164	Prah.g_01705	Syaq.g_01642
OG0000165	Prah.g_01716	Syaq.g_01630
OG0000166	Prah.g_02033	Syaq.g_00647
OG0000167	Prah.g_02230	Syaq.g_00983
OG0000168	Prah.g_02243	Syaq.g_01004
OG0000169	Prah.g_00163	Syaq.g_01016
OG0000170	Prah.g_00155	Syaq.g_01023
OG0000171	Prah.g_00126	Syaq.g_01052
OG0000172	Prah.g_00084	Syaq.g_01074
OG0000173	Prah.g_00061	Syaq.g_01092
OG0000174	Prah.g_02541	Syaq.g_01224
OG0000175	Prah.g_02575	Syaq.g_01183
OG0000176	Prah.g_00005	Syaq.g_01146
OG0000177	Prah.g_00006	Syaq.g_01145
OG0000178	Prah.g_00007	Syaq.g_01144
OG0000179	Prah.g_00022	Syaq.g_01129
OG0000180	Prah.g_00023	Syaq.g_01128
OG0000181	Prah.g_00024	Syaq.g_01127
OG0000182	Prah.g_00025	Syaq.g_01126
