Orthogroup	Prah	Praj
OG0000000	Prah.g_01348	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prah.g_01154, Prah.g_01152	Praj.g_01267
OG0000001	Prah.g_00324, Prah.g_01343	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000002	Prah.g_00562	Praj.g_00832
OG0000002	Prah.g_01226	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Prah.g_01022	Praj.g_01396
OG0000004	Prah.g_01413	Praj.g_00271
OG0000005	Prah.g_01652	Praj.g_01712
OG0000006	Prah.g_00475, Prah.g_01767	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prah.g_01546	Praj.g_00489
OG0000007	Prah.g_01676	Praj.g_01768
OG0000008	Prah.g_00970	Praj.g_01829
OG0000008	Prah.g_00969	Praj.g_01830
OG0000010	Prah.g_00311	Praj.g_01026, Praj.g_00466
OG0000011	Prah.g_01084	Praj.g_01187
OG0000013	Prah.g_01956	Praj.g_00362
OG0000014	Prah.g_02171	Praj.g_00341
OG0000015	Prah.g_01155, Prah.g_00576	Praj.g_01113
OG0000016	Prah.g_00015	Praj.g_00013
OG0000016	Prah.g_01270	Praj.g_01865
OG0000017	Prah.g_01405	Praj.g_00592
OG0000018	Prah.g_00378	Praj.g_01482, Praj.g_00798
OG0000020	Prah.g_01100	Praj.g_01139
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Praj.g_01859
OG0000021	Prah.g_01410	Praj.g_00084
OG0000022	Prah.g_00170	Praj.g_01189
OG0000022	Prah.g_01209	Praj.g_01216
OG0000023	Prah.g_00688	Praj.g_01365, Praj.g_01329
OG0000024	Prah.g_01043	Praj.g_01134, Praj.g_00666
OG0000025	Prah.g_00604	Praj.g_00805
OG0000026	Prah.g_00038	Praj.g_00031
OG0000029	Prah.g_01972	Praj.g_01745
OG0000030	Prah.g_00132, Prah.g_00131	Praj.g_02024
OG0000031	Prah.g_02248, Prah.g_00091	Praj.g_00371
OG0000032	Prah.g_00358	Praj.g_01669
OG0000033	Prah.g_02307	Praj.g_00209
OG0000034	Prah.g_01376	Praj.g_01538
OG0000035	Prah.g_00408	Praj.g_01632
OG0000037	Prah.g_01901	Praj.g_00147
OG0000038	Prah.g_02494, Prah.g_02496	Praj.g_02089
OG0000039	Prah.g_01758, Prah.g_02382	Praj.g_00679
OG0000041	Prah.g_01737	Praj.g_01813
OG0000042	Prah.g_00135, Prah.g_01256	Praj.g_02020
OG0000043	Prah.g_01190	Praj.g_01157
OG0000045	Prah.g_01837	Praj.g_01303, Praj.g_01049
OG0000046	Prah.g_01955	Praj.g_00363
OG0000047	Prah.g_00321, Prah.g_00322	Praj.g_00408
OG0000047	Prah.g_00353	Praj.g_00370
OG0000048	Prah.g_02122	Praj.g_00308
OG0000051	Prah.g_01166	Praj.g_01339, Praj.g_01347
OG0000053	Prah.g_00381	Praj.g_01651
OG0000054	Prah.g_01394	Praj.g_00594
OG0000055	Prah.g_00942	Praj.g_00733
OG0000057	Prah.g_01027	Praj.g_00691, Praj.g_01313
OG0000060	Prah.g_01156	Praj.g_01108
OG0000061	Prah.g_00104	Praj.g_01461
OG0000062	Prah.g_01654	Praj.g_01714
OG0000063	Prah.g_00042	Praj.g_01867
OG0000065	Prah.g_01897	Praj.g_00145
OG0000066	Prah.g_01485	Praj.g_00530
OG0000067	Prah.g_00667	Praj.g_00769
OG0000068	Prah.g_01576	Praj.g_01575
OG0000070	Prah.g_00252	Praj.g_00444
OG0000071	Prah.g_01364	Praj.g_01528
OG0000072	Prah.g_02309	Praj.g_00211
OG0000073	Prah.g_01544	Praj.g_00491
OG0000075	Prah.g_02232	Praj.g_01987
OG0000076	Prah.g_00150	Praj.g_02012
OG0000077	Prah.g_01850	Praj.g_00116
OG0000078	Prah.g_01773	Praj.g_00280
OG0000079	Prah.g_02090, Prah.g_01868	Praj.g_00291
OG0000081	Prah.g_01035	Praj.g_00522
OG0000082	Prah.g_01427	Praj.g_01827
OG0000084	Prah.g_00412	Praj.g_01628
OG0000085	Prah.g_01666	Praj.g_01762
OG0000086	Prah.g_01866	Praj.g_00126
OG0000087	Prah.g_02268	Praj.g_00179
OG0000088	Prah.g_02304	Praj.g_00206
OG0000089	Prah.g_00205	Praj.g_00403
OG0000090	Prah.g_01501	Praj.g_00524
OG0000091	Prah.g_00493	Praj.g_00630
OG0000093	Prah.g_00692	Praj.g_00754
OG0000094	Prah.g_02518	Praj.g_00846
OG0000097	Prah.g_01272	Praj.g_01416
OG0000098	Prah.g_00327	Praj.g_01546
OG0000099	Prah.g_02191	Praj.g_00372
OG0000100	Prah.g_01791, Prah.g_00636	Praj.g_01709
OG0000101	Prah.g_01995	Praj.g_01952
OG0000102	Prah.g_00144	Praj.g_02017
OG0000103	Prah.g_02586	Praj.g_02135
OG0000104	Prah.g_02600	Praj.g_02145
OG0000105	Prah.g_02126	Praj.g_00310
OG0000106	Prah.g_01660	Praj.g_01156, Praj.g_01282
OG0000108	Prah.g_01566	Praj.g_00473
OG0000109	Prah.g_01550	Praj.g_00486
OG0000110	Prah.g_01439	Praj.g_00565
OG0000111	Prah.g_01028	Praj.g_00692
OG0000112	Prah.g_00788	Praj.g_00938
OG0000113	Prah.g_00641	Praj.g_00793, Praj.g_01176
OG0000114	Prah.g_00733	Praj.g_00887
OG0000115	Prah.g_00383	Praj.g_01725
OG0000116	Prah.g_01337	Praj.g_01471
OG0000117	Prah.g_01257	Praj.g_01355
OG0000118	Prah.g_01378	Praj.g_01540
OG0000119	Prah.g_01007, Prah.g_01048	Praj.g_01568
OG0000120	Prah.g_02192	Praj.g_00664
OG0000121	Prah.g_00406	Praj.g_01634
OG0000122	Prah.g_01203	Praj.g_01673
OG0000123	Prah.g_01987	Praj.g_01959
OG0000124	Prah.g_00125	Praj.g_02031
OG0000125	Prah.g_02498	Praj.g_02091
OG0000126	Prah.g_02598	Praj.g_02144
OG0000128	Prah.g_00013	Praj.g_00011
OG0000129	Prah.g_02486	Praj.g_00048
OG0000130	Prah.g_01838	Praj.g_00107
OG0000131	Prah.g_02282	Praj.g_00185
OG0000132	Prah.g_02302	Praj.g_00204
OG0000133	Prah.g_02187	Praj.g_00357
OG0000134	Prah.g_00208	Praj.g_00405
OG0000135	Prah.g_02538	Praj.g_01279
OG0000136	Prah.g_00235	Praj.g_00435
OG0000137	Prah.g_00312	Praj.g_00467
OG0000138	Prah.g_01549	Praj.g_00487
OG0000139	Prah.g_01495	Praj.g_00528
OG0000140	Prah.g_01489	Praj.g_00529
OG0000141	Prah.g_01393	Praj.g_00595
OG0000142	Prah.g_00501	Praj.g_00623
OG0000143	Prah.g_00497	Praj.g_00627
OG0000144	Prah.g_00473	Praj.g_00640
OG0000145	Prah.g_01543	Praj.g_01054
OG0000146	Prah.g_00787	Praj.g_00937
OG0000147	Prah.g_00786	Praj.g_00936
OG0000148	Prah.g_00649	Praj.g_00787
OG0000149	Prah.g_00591	Praj.g_00819
OG0000150	Prah.g_00568	Praj.g_00828
OG0000151	Prah.g_00718	Praj.g_00898
OG0000152	Prah.g_00796	Praj.g_01601, Praj.g_00946
OG0000153	Prah.g_00826	Praj.g_00965
OG0000154	Prah.g_00852	Praj.g_00995
OG0000155	Prah.g_01291	Praj.g_01440
OG0000156	Prah.g_01349	Praj.g_01517
OG0000157	Prah.g_01350	Praj.g_01518
OG0000158	Prah.g_02242	Praj.g_01995
OG0000160	Prah.g_00407	Praj.g_01633
OG0000161	Prah.g_00399	Praj.g_01639
OG0000162	Prah.g_00391	Praj.g_01645
OG0000163	Prah.g_01619	Praj.g_01681
OG0000164	Prah.g_01705	Praj.g_01790
OG0000165	Prah.g_01716	Praj.g_01798
OG0000166	Prah.g_02033	Praj.g_01915
OG0000167	Prah.g_02230	Praj.g_01985
OG0000168	Prah.g_02243	Praj.g_01996
OG0000169	Prah.g_00163	Praj.g_02006
OG0000170	Prah.g_00155	Praj.g_02008
OG0000171	Prah.g_00126	Praj.g_02030
OG0000172	Prah.g_00084	Praj.g_02061
OG0000173	Prah.g_00061	Praj.g_02076
OG0000174	Prah.g_02541	Praj.g_02107
OG0000175	Prah.g_02575	Praj.g_02125
OG0000176	Prah.g_00005	Praj.g_00004
OG0000177	Prah.g_00006	Praj.g_00005
OG0000178	Prah.g_00007	Praj.g_00006
OG0000179	Prah.g_00022	Praj.g_00016
OG0000180	Prah.g_00023	Praj.g_00017
OG0000181	Prah.g_00024	Praj.g_00018
OG0000182	Prah.g_00025	Praj.g_00019
OG0000183	Prah.g_00029	Praj.g_00023
OG0000184	Prah.g_02478	Praj.g_00050
OG0000185	Prah.g_02458	Praj.g_00053
OG0000186	Prah.g_01830	Praj.g_00102
OG0000187	Prah.g_01833	Praj.g_00103
OG0000188	Prah.g_01860	Praj.g_00120
OG0000189	Prah.g_01884	Praj.g_00134
OG0000190	Prah.g_01886	Praj.g_00135
OG0000191	Prah.g_00188	Praj.g_00158
OG0000192	Prah.g_00176, Prah.g_00180	Praj.g_00162
OG0000193	Prah.g_02283	Praj.g_00186
OG0000194	Prah.g_02286	Praj.g_00189
OG0000195	Prah.g_02288	Praj.g_00191
OG0000196	Prah.g_02299	Praj.g_00201
OG0000197	Prah.g_02300	Praj.g_00202
OG0000198	Prah.g_02301	Praj.g_00203
OG0000199	Prah.g_02308	Praj.g_00210
OG0000200	Prah.g_02324	Praj.g_00223
OG0000201	Prah.g_02352	Praj.g_00232
OG0000202	Prah.g_02353	Praj.g_00233
OG0000203	Prah.g_02354	Praj.g_00234
OG0000204	Prah.g_02355	Praj.g_00235
OG0000205	Prah.g_02362	Praj.g_00242
OG0000206	Prah.g_02371	Praj.g_00246
OG0000207	Prah.g_02420	Praj.g_00248
OG0000208	Prah.g_02419	Praj.g_00249
OG0000209	Prah.g_02400	Praj.g_00258
OG0000210	Prah.g_02399	Praj.g_00259
OG0000211	Prah.g_01782	Praj.g_00273
OG0000212	Prah.g_01772	Praj.g_00281
OG0000213	Prah.g_02101	Praj.g_00296
OG0000214	Prah.g_02118	Praj.g_00304
OG0000215	Prah.g_02148	Praj.g_00328
OG0000216	Prah.g_02151	Praj.g_00329
OG0000217	Prah.g_02155	Praj.g_00332
OG0000218	Prah.g_02157	Praj.g_00334
OG0000219	Prah.g_02158	Praj.g_00335
OG0000220	Prah.g_02159	Praj.g_00336
OG0000221	Prah.g_02166	Praj.g_00337
OG0000222	Prah.g_02174	Praj.g_00345
OG0000223	Prah.g_02197	Praj.g_00358
OG0000224	Prah.g_02207	Praj.g_00360
OG0000225	Prah.g_01921	Praj.g_00391
OG0000226	Prah.g_01917	Praj.g_00395
OG0000227	Prah.g_01915	Praj.g_00397
OG0000228	Prah.g_00204	Praj.g_00402
OG0000229	Prah.g_00230	Praj.g_00430
OG0000230	Prah.g_00232	Praj.g_00432
OG0000231	Prah.g_00251	Praj.g_00443
OG0000232	Prah.g_00261	Praj.g_00451
OG0000233	Prah.g_00294	Praj.g_00459
OG0000234	Prah.g_00313, Prah.g_00314	Praj.g_00468
OG0000235	Prah.g_01567	Praj.g_00472
OG0000236	Prah.g_01551	Praj.g_00485
OG0000237	Prah.g_01534	Praj.g_00498
OG0000238	Prah.g_01529	Praj.g_00504
OG0000239	Prah.g_01513	Praj.g_00516
OG0000240	Prah.g_01512	Praj.g_00517
OG0000241	Prah.g_01094	Praj.g_00521
OG0000242	Prah.g_00108, Prah.g_01503	Praj.g_00523
OG0000243	Prah.g_01476	Praj.g_00534
OG0000244	Prah.g_01472	Praj.g_00537
OG0000245	Prah.g_01469	Praj.g_00539
OG0000246	Prah.g_01465	Praj.g_00543
OG0000247	Prah.g_01454	Praj.g_00553
OG0000248	Prah.g_01451	Praj.g_00555
OG0000249	Prah.g_01449	Praj.g_00557
OG0000250	Prah.g_01443	Praj.g_00562
OG0000251	Prah.g_01417	Praj.g_00578
OG0000252	Prah.g_01414	Praj.g_00580
OG0000253	Prah.g_01408	Praj.g_00582
OG0000254	Prah.g_01389	Praj.g_00599
OG0000255	Prah.g_00530	Praj.g_00605
OG0000256	Prah.g_00516	Praj.g_00615
OG0000257	Prah.g_00509	Praj.g_00618
OG0000258	Prah.g_00486	Praj.g_00631
OG0000259	Prah.g_00457	Praj.g_00648
OG0000260	Prah.g_00454	Praj.g_00651
OG0000261	Prah.g_00451	Praj.g_00654
OG0000262	Prah.g_00445	Praj.g_00659
OG0000263	Prah.g_02413	Praj.g_00673
OG0000264	Prah.g_00974	Praj.g_00684
OG0000265	Prah.g_00887, Prah.g_00958	Praj.g_00698
OG0000266	Prah.g_00876	Praj.g_00708
OG0000267	Prah.g_00751	Praj.g_00721
OG0000268	Prah.g_00752	Praj.g_00722
OG0000269	Prah.g_00672	Praj.g_00764
OG0000270	Prah.g_00669	Praj.g_00767
OG0000271	Prah.g_00661	Praj.g_00775
OG0000272	Prah.g_00660	Praj.g_00776
OG0000273	Prah.g_00609	Praj.g_00801
