Orthogroup	Prah	Syaj
OG0000001	Prah.g_00324, Prah.g_01343	Syaj.g_02674
OG0000001	Prah.g_01159	Syaj.g_01949, Syaj.g_01952
OG0000001	Prah.g_02270	Syaj.g_01950
OG0000002	Prah.g_00562, Prah.g_01226	Syaj.g_02667
OG0000004	Prah.g_01022	Syaj.g_00441
OG0000004	Prah.g_01413	Syaj.g_01314, Syaj.g_02853
OG0000005	Prah.g_01652	Syaj.g_01698
OG0000006	Prah.g_00475, Prah.g_01767	Syaj.g_02635
OG0000007	Prah.g_01546	Syaj.g_00091
OG0000007	Prah.g_01676	Syaj.g_01721
OG0000008	Prah.g_00970	Syaj.g_00496
OG0000008	Prah.g_00969	Syaj.g_00497
OG0000009	Prah.g_00432, Prah.g_01895	Syaj.g_01885
OG0000010	Prah.g_00311	Syaj.g_01445
OG0000011	Prah.g_01084	Syaj.g_01133
OG0000012	Prah.g_00524	Syaj.g_01306
OG0000013	Prah.g_01956	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prah.g_02171	Syaj.g_02522
OG0000015	Prah.g_01155, Prah.g_00576	Syaj.g_00725, Syaj.g_02659
OG0000016	Prah.g_00015	Syaj.g_02276
OG0000016	Prah.g_01270	Syaj.g_00590
OG0000017	Prah.g_01397	Syaj.g_00255
OG0000017	Prah.g_01405	Syaj.g_00248
OG0000018	Prah.g_00378	Syaj.g_01413
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Syaj.g_00982
OG0000021	Prah.g_01410	Syaj.g_00042
OG0000022	Prah.g_00170, Prah.g_01209	Syaj.g_01220
OG0000023	Prah.g_00688	Syaj.g_00829, Syaj.g_01791
OG0000024	Prah.g_01043	Syaj.g_00500
OG0000025	Prah.g_00604	Syaj.g_00383
OG0000026	Prah.g_00038	Syaj.g_02298
OG0000028	Prah.g_02184	Syaj.g_02506
OG0000029	Prah.g_01972	Syaj.g_01229
OG0000030	Prah.g_00132	Syaj.g_02396
OG0000030	Prah.g_00131	Syaj.g_02395
OG0000032	Prah.g_00358	Syaj.g_01432
OG0000033	Prah.g_02307	Syaj.g_01990
OG0000034	Prah.g_01376	Syaj.g_01959
OG0000035	Prah.g_00408	Syaj.g_01378
OG0000037	Prah.g_01901	Syaj.g_01891, Syaj.g_02902
OG0000038	Prah.g_02494	Syaj.g_02115
