Orthogroup	Prax	Syar
OG0000001	Prax.g_01878	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prax.g_00947	Syar.g_02051
OG0000004	Prax.g_00986	Syar.g_02225, Syar.g_00842
OG0000005	Prax.g_01546	Syar.g_02952
OG0000005	Prax.g_01652	Syar.g_02909
OG0000006	Prax.g_01972	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prax.g_00704	Syar.g_01491
OG0000007	Prax.g_01559	Syar.g_02929
OG0000008	Prax.g_00970	Syar.g_00419, Syar.g_02048
OG0000010	Prax.g_01212	Syar.g_01272
OG0000012	Prax.g_00082	Syar.g_00690, Syar.g_02860
OG0000013	Prax.g_00846	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prax.g_00869	Syar.g_00825
OG0000014	Prax.g_01763	Syar.g_02736
OG0000015	Prax.g_00523, Prax.g_00410	Syar.g_00451, Syar.g_00180
OG0000017	Prax.g_00057	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prax.g_00181	Syar.g_01409
OG0000019	Prax.g_00926, Prax.g_00393	Syar.g_00163
OG0000022	Prax.g_00157	Syar.g_00835
OG0000025	Prax.g_00842, Prax.g_00338	Syar.g_01811
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syar.g_00505
OG0000027	Prax.g_01916	Syar.g_02055, Syar.g_02835
OG0000028	Prax.g_00855	Syar.g_00718
OG0000031	Prax.g_01831	Syar.g_00714
OG0000032	Prax.g_01838	Syar.g_00543
OG0000034	Prax.g_01889	Syar.g_00074, Syar.g_02790
OG0000035	Prax.g_01728, Prax.g_01733	Syar.g_02809
OG0000037	Prax.g_01110	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prax.g_01445	Syar.g_00334, Syar.g_00336
OG0000039	Prax.g_00956	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prax.g_01591	Syar.g_02831
OG0000040	Prax.g_00180	Syar.g_00858
OG0000041	Prax.g_01512	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prax.g_01401	Syar.g_00595, Syar.g_01970
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syar.g_00213
OG0000051	Prax.g_01927	Syar.g_01597
OG0000053	Prax.g_01708	Syar.g_01413
OG0000054	Prax.g_00065	Syar.g_02265
OG0000055	Prax.g_00392	Syar.g_01386
OG0000057	Prax.g_00944	Syar.g_01941, Syar.g_00006
OG0000059	Prax.g_01286	Syar.g_01024
OG0000060	Prax.g_00517	Syar.g_01260, Syar.g_00178
OG0000061	Prax.g_00200	Syar.g_01539
OG0000062	Prax.g_01650	Syar.g_02911
OG0000063	Prax.g_00280	Syar.g_00509
OG0000065	Prax.g_01112	Syar.g_03119
OG0000066	Prax.g_00662	Syar.g_03187, Syar.g_02228
OG0000067	Prax.g_00373	Syar.g_02639
OG0000068	Prax.g_01863	Syar.g_02329, Syar.g_01461
OG0000069	Prax.g_01616	Syar.g_01716
OG0000070	Prax.g_00750	Syar.g_02223, Syar.g_03150
OG0000071	Prax.g_01899	Syar.g_02777
OG0000072	Prax.g_01047	Syar.g_00107, Syar.g_01140
OG0000073	Prax.g_00702	Syar.g_01364, Syar.g_01493
OG0000075	Prax.g_01370	Syar.g_03065, Syar.g_00659
OG0000076	Prax.g_01394	Syar.g_00608
OG0000077	Prax.g_00649	Syar.g_03051
OG0000078	Prax.g_00979	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Prax.g_00923	Syar.g_00166
OG0000081	Prax.g_00670	Syar.g_01898
OG0000082	Prax.g_00045	Syar.g_02202
OG0000085	Prax.g_01566	Syar.g_02919
OG0000086	Prax.g_00659	Syar.g_03085
OG0000087	Prax.g_01079	Syar.g_03192, Syar.g_00068
OG0000088	Prax.g_01052	Syar.g_00101
OG0000089	Prax.g_00817	Syar.g_01162
OG0000090	Prax.g_00668	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prax.g_00101	Syar.g_01891, Syar.g_02426
OG0000093	Prax.g_01769	Syar.g_00819
OG0000093	Prax.g_00588	Syar.g_02623
OG0000094	Prax.g_01185	Syar.g_01789
OG0000095	Prax.g_01204	Syar.g_01932
OG0000097	Prax.g_00241	Syar.g_01706, Syar.g_00364
OG0000098	Prax.g_01881	Syar.g_02343
OG0000099	Prax.g_01825	Syar.g_00715
OG0000100	Prax.g_01654	Syar.g_02477
OG0000101	Prax.g_01338	Syar.g_01073, Syar.g_03154
OG0000102	Prax.g_01399	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prax.g_01478	Syar.g_00014, Syar.g_00452
OG0000104	Prax.g_01486	Syar.g_00466
OG0000105	Prax.g_00901	Syar.g_00218
OG0000106	Prax.g_00803	Syar.g_01748
OG0000107	Prax.g_00790	Syar.g_03290, Syar.g_00149
OG0000108	Prax.g_00722	Syar.g_01469
OG0000109	Prax.g_00707	Syar.g_03310, Syar.g_01485
OG0000110	Prax.g_00035	Syar.g_02295
OG0000111	Prax.g_00943	Syar.g_01940, Syar.g_00005
OG0000112	Prax.g_00409	Syar.g_03195, Syar.g_02548
OG0000113	Prax.g_00351	Syar.g_02664
OG0000114	Prax.g_00561	Syar.g_01616
OG0000115	Prax.g_00132	Syar.g_02854, Syar.g_01415
OG0000116	Prax.g_00190	Syar.g_01525, Syar.g_02255
OG0000117	Prax.g_01959	Syar.g_01969
OG0000118	Prax.g_01887	Syar.g_02793
OG0000120	Prax.g_01832	Syar.g_00713
OG0000121	Prax.g_01726	Syar.g_02806
OG0000123	Prax.g_01345	Syar.g_01079
OG0000124	Prax.g_01410	Syar.g_00586
OG0000125	Prax.g_01447	Syar.g_00338
OG0000126	Prax.g_01485	Syar.g_00887, Syar.g_00888
OG0000128	Prax.g_01974	Syar.g_00482
OG0000129	Prax.g_00269	Syar.g_00324
OG0000130	Prax.g_00640	Syar.g_03040
OG0000131	Prax.g_01073	Syar.g_02216, Syar.g_00078
OG0000132	Prax.g_01054	Syar.g_00099
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Syar.g_02543
OG0000134	Prax.g_00816, Prax.g_01573	Syar.g_02009, Syar.g_01165
OG0000135	Prax.g_00792	Syar.g_00698
OG0000136	Prax.g_00759	Syar.g_02874
OG0000137	Prax.g_00727	Syar.g_01273
OG0000138	Prax.g_00706	Syar.g_01486
OG0000139	Prax.g_00664	Syar.g_03245, Syar.g_02348
OG0000140	Prax.g_00663	Syar.g_02344, Syar.g_03246
OG0000141	Prax.g_00066	Syar.g_02129
OG0000142	Prax.g_00094	Syar.g_02418
OG0000143	Prax.g_00098	Syar.g_02422
OG0000144	Prax.g_00111	Syar.g_02441
OG0000145	Prax.g_00413	Syar.g_01494, Syar.g_03205
OG0000146	Prax.g_00408	Syar.g_02549
OG0000147	Prax.g_00407	Syar.g_02550
OG0000148	Prax.g_00357	Syar.g_02658
OG0000149	Prax.g_00326	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prax.g_00318	Syar.g_02130
OG0000151	Prax.g_00571	Syar.g_02038
