Orthogroup	Prax	Prbg
OG0000000	Prax.g_01608, Prax.g_00496	Prbg.g_01567
OG0000001	Prax.g_01878	Prbg.g_00502
OG0000002	Prax.g_01870	Prbg.g_01222, Prbg.g_01227
OG0000002	Prax.g_00964	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Prax.g_00947	Prbg.g_01140
OG0000004	Prax.g_00986	Prbg.g_01014
OG0000005	Prax.g_01652	Prbg.g_00674
OG0000006	Prax.g_01972	Prbg.g_01024
OG0000007	Prax.g_00704	Prbg.g_00216
OG0000007	Prax.g_01559	Prbg.g_01650
OG0000009	Prax.g_01950	Prbg.g_00686
OG0000010	Prax.g_00728	Prbg.g_00193
OG0000010	Prax.g_01212	Prbg.g_01053, Prbg.g_01348
OG0000011	Prax.g_00776	Prbg.g_00415
OG0000012	Prax.g_00082	Prbg.g_00342, Prbg.g_00706
OG0000013	Prax.g_00846	Prbg.g_00104
OG0000014	Prax.g_00869	Prbg.g_00086
OG0000015	Prax.g_00523, Prax.g_00410	Prbg.g_01589, Prbg.g_01635
OG0000017	Prax.g_00057	Prbg.g_00317, Prbg.g_00324
OG0000018	Prax.g_00346	Prbg.g_01187
OG0000018	Prax.g_00181	Prbg.g_01508
OG0000019	Prax.g_00926	Prbg.g_01032
OG0000019	Prax.g_00393	Prbg.g_01510
OG0000021	Prax.g_01587, Prax.g_00808	Prbg.g_00699, Prbg.g_01145
OG0000022	Prax.g_00415	Prbg.g_00682
OG0000023	Prax.g_00813	Prbg.g_00013
OG0000024	Prax.g_00432	Prbg.g_01352
OG0000024	Prax.g_00967	Prbg.g_01116
OG0000025	Prax.g_00842, Prax.g_00338	Prbg.g_01195
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Prbg.g_00842
OG0000027	Prax.g_01916	Prbg.g_00721, Prbg.g_01569
OG0000029	Prax.g_00425	Prbg.g_00734, Prbg.g_01581
OG0000029	Prax.g_00798	Prbg.g_01740
OG0000030	Prax.g_01404	Prbg.g_01858
OG0000031	Prax.g_01831	Prbg.g_00550
OG0000034	Prax.g_01889	Prbg.g_00488
OG0000035	Prax.g_01728, Prax.g_01733	Prbg.g_00591
OG0000037	Prax.g_01110	Prbg.g_00881
OG0000038	Prax.g_01445	Prbg.g_01898
OG0000039	Prax.g_00956	Prbg.g_01128
OG0000041	Prax.g_01512	Prbg.g_01697
OG0000042	Prax.g_01401	Prbg.g_01855
OG0000043	Prax.g_01955, Prax.g_00301, Prax.g_00501, Prax.g_00530	Prbg.g_01507
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Prbg.g_00464, Prbg.g_00050
OG0000050	Prax.g_00448, Prax.g_00508	Prbg.g_01055
OG0000053	Prax.g_01708	Prbg.g_00612, Prbg.g_01595
OG0000054	Prax.g_00065	Prbg.g_00326
OG0000055	Prax.g_00392	Prbg.g_01535, Prbg.g_01624
OG0000057	Prax.g_00944	Prbg.g_01143
OG0000058	Prax.g_01823	Prbg.g_00551
OG0000059	Prax.g_01286	Prbg.g_01737
OG0000061	Prax.g_00200	Prbg.g_01486
OG0000062	Prax.g_01650	Prbg.g_00676
OG0000065	Prax.g_01112	Prbg.g_00879
OG0000066	Prax.g_00662	Prbg.g_00256
OG0000067	Prax.g_00373	Prbg.g_01159
OG0000068	Prax.g_01863	Prbg.g_00529
OG0000069	Prax.g_01616	Prbg.g_00174
OG0000070	Prax.g_00750	Prbg.g_00170
OG0000071	Prax.g_01899	Prbg.g_00477
OG0000072	Prax.g_01047	Prbg.g_00949
OG0000073	Prax.g_00702	Prbg.g_00219
OG0000074	Prax.g_00960	Prbg.g_01123, Prbg.g_01064, Prbg.g_00021
OG0000075	Prax.g_01370	Prbg.g_01821
OG0000076	Prax.g_01394	Prbg.g_01847
OG0000077	Prax.g_00649	Prbg.g_00791
OG0000078	Prax.g_00979	Prbg.g_01022
OG0000079	Prax.g_00923	Prbg.g_01035
OG0000081	Prax.g_00670	Prbg.g_00248
OG0000082	Prax.g_00045	Prbg.g_00304, Prbg.g_01639
OG0000084	Prax.g_01737	Prbg.g_00588
OG0000085	Prax.g_01566	Prbg.g_00716, Prbg.g_01642
OG0000086	Prax.g_00659	Prbg.g_00782
OG0000087	Prax.g_01079	Prbg.g_00913
OG0000088	Prax.g_01052	Prbg.g_00944
OG0000089	Prax.g_00817	Prbg.g_00137
OG0000090	Prax.g_00668	Prbg.g_00250
OG0000091	Prax.g_00101	Prbg.g_01414
OG0000092	Prax.g_00566	Prbg.g_01089
OG0000093	Prax.g_00588	Prbg.g_01385
OG0000094	Prax.g_01185	Prbg.g_01336
OG0000095	Prax.g_01204	Prbg.g_01234
OG0000096	Prax.g_00500, Prax.g_00141, Prax.g_01936	Prbg.g_00032
OG0000097	Prax.g_00241	Prbg.g_01440
OG0000098	Prax.g_01881	Prbg.g_00505
OG0000099	Prax.g_01825	Prbg.g_00552
OG0000100	Prax.g_01654	Prbg.g_00670
OG0000101	Prax.g_01338	Prbg.g_01785
