Orthogroup	Prax	Syac
OG0000001	Prax.g_01878	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prax.g_01870, Prax.g_00964	Syac.g_01084
OG0000004	Prax.g_00947	Syac.g_00898
OG0000004	Prax.g_00986	Syac.g_00948, Syac.g_01975
OG0000005	Prax.g_01546	Syac.g_00527
OG0000005	Prax.g_01652	Syac.g_00569
OG0000006	Prax.g_01972	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prax.g_00704	Syac.g_01885
OG0000007	Prax.g_01559	Syac.g_00544
OG0000010	Prax.g_01212	Syac.g_01701
OG0000011	Prax.g_00454	Syac.g_00924
OG0000012	Prax.g_00082	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prax.g_00846	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prax.g_00869	Syac.g_00253
OG0000015	Prax.g_00523, Prax.g_00410	Syac.g_01408
OG0000017	Prax.g_00057	Syac.g_01749, Syac.g_01742
OG0000018	Prax.g_00181	Syac.g_01660
OG0000019	Prax.g_00926, Prax.g_00393	Syac.g_02207
OG0000022	Prax.g_00157	Syac.g_01031
OG0000023	Prax.g_00813	Syac.g_00760
OG0000024	Prax.g_00432, Prax.g_00967	Syac.g_00925
OG0000025	Prax.g_00842, Prax.g_00338	Syac.g_00847
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syac.g_00034
OG0000027	Prax.g_01916	Syac.g_01095, Syac.g_01009
OG0000028	Prax.g_00855	Syac.g_00237
OG0000029	Prax.g_00425, Prax.g_00798	Syac.g_01942
OG0000030	Prax.g_01404	Syac.g_00143, Syac.g_00142
OG0000031	Prax.g_01831	Syac.g_00232
OG0000034	Prax.g_01889	Syac.g_00334, Syac.g_00715
OG0000035	Prax.g_01728, Prax.g_01733	Syac.g_01630
OG0000037	Prax.g_01110	Syac.g_01077
OG0000038	Prax.g_01445	Syac.g_02357, Syac.g_02358
OG0000039	Prax.g_00956	Syac.g_00856, Syac.g_02378
OG0000040	Prax.g_01591	Syac.g_01006
OG0000040	Prax.g_00180	Syac.g_02437
OG0000041	Prax.g_01512	Syac.g_00655, Syac.g_00876
OG0000042	Prax.g_01401	Syac.g_00146
OG0000043	Prax.g_01955	Syac.g_00808
OG0000045	Prax.g_00802	Syac.g_01040
OG0000047	Prax.g_00843	Syac.g_02031
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syac.g_02240
OG0000050	Prax.g_01240	Syac.g_01937
OG0000051	Prax.g_01927	Syac.g_01073
OG0000053	Prax.g_01708	Syac.g_01657
OG0000054	Prax.g_00065	Syac.g_00933, Syac.g_01050
OG0000055	Prax.g_00392	Syac.g_01034, Syac.g_00859
OG0000057	Prax.g_00944	Syac.g_00894
OG0000059	Prax.g_01286	Syac.g_02142
OG0000060	Prax.g_00517	Syac.g_01909
OG0000061	Prax.g_00200	Syac.g_00769
OG0000062	Prax.g_01650	Syac.g_00567
OG0000063	Prax.g_00280	Syac.g_00037
OG0000065	Prax.g_01112	Syac.g_00396, Syac.g_00490
OG0000066	Prax.g_00662	Syac.g_01827
OG0000067	Prax.g_00373	Syac.g_01341
OG0000068	Prax.g_01863	Syac.g_01916
OG0000069	Prax.g_01616	Syac.g_01272
OG0000070	Prax.g_00750	Syac.g_00711
OG0000071	Prax.g_01899	Syac.g_01049, Syac.g_00729
OG0000072	Prax.g_01047	Syac.g_00302
OG0000073	Prax.g_00702	Syac.g_01883
OG0000075	Prax.g_01370	Syac.g_00191
OG0000076	Prax.g_01394	Syac.g_00156
OG0000077	Prax.g_00649	Syac.g_00439
OG0000078	Prax.g_00979	Syac.g_01964
OG0000079	Prax.g_00923	Syac.g_02211
OG0000081	Prax.g_00670	Syac.g_01954, Syac.g_00461
OG0000082	Prax.g_00045	Syac.g_01766
OG0000084	Prax.g_01737	Syac.g_00822, Syac.g_01627
OG0000085	Prax.g_01566	Syac.g_00560
OG0000086	Prax.g_00659	Syac.g_00423
OG0000087	Prax.g_01079	Syac.g_00343
OG0000088	Prax.g_01052	Syac.g_00308
OG0000089	Prax.g_00817	Syac.g_01988, Syac.g_01543
OG0000090	Prax.g_00668	Syac.g_01836
OG0000091	Prax.g_00101	Syac.g_00987
OG0000093	Prax.g_00588	Syac.g_01357
OG0000094	Prax.g_01185	Syac.g_01251
OG0000095	Prax.g_01204	Syac.g_00884
OG0000097	Prax.g_00241	Syac.g_01507
OG0000098	Prax.g_01881	Syac.g_02157
OG0000099	Prax.g_01825	Syac.g_00234
OG0000100	Prax.g_01654	Syac.g_01309
OG0000101	Prax.g_01338	Syac.g_02094
