Orthogroup	Prbm	Syac
OG0000001	Prbm.g_01633	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Syac.g_01084
OG0000004	Prbm.g_01483	Syac.g_00898
OG0000004	Prbm.g_00291	Syac.g_00948, Syac.g_01975
OG0000005	Prbm.g_01790	Syac.g_00569
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prbm.g_00522	Syac.g_01885
OG0000007	Prbm.g_01841	Syac.g_00544
OG0000008	Prbm.g_01907	Syac.g_00921
OG0000008	Prbm.g_01908	Syac.g_00922
OG0000010	Prbm.g_01066	Syac.g_01701
OG0000011	Prbm.g_01174, Prbm.g_01134	Syac.g_00924
OG0000013	Prbm.g_00382	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prbm.g_00362	Syac.g_00253
OG0000015	Prbm.g_01427, Prbm.g_01149	Syac.g_01408
OG0000016	Prbm.g_00013	Syac.g_00014
OG0000016	Prbm.g_01944	Syac.g_01505, Syac.g_01053
OG0000018	Prbm.g_01571	Syac.g_01660
OG0000019	Prbm.g_00792	Syac.g_02207
OG0000022	Prbm.g_01324	Syac.g_01031
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syac.g_00760
OG0000024	Prbm.g_01151, Prbm.g_00709	Syac.g_00925
OG0000025	Prbm.g_00849	Syac.g_00847
OG0000026	Prbm.g_00031	Syac.g_00034
OG0000028	Prbm.g_01656	Syac.g_00237
OG0000029	Prbm.g_01823	Syac.g_01942
OG0000030	Prbm.g_02105	Syac.g_00143, Syac.g_00142
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syac.g_00232
OG0000032	Prbm.g_01747	Syac.g_01677
OG0000033	Prbm.g_00228	Syac.g_00304
OG0000034	Prbm.g_01620	Syac.g_00334, Syac.g_00715
OG0000035	Prbm.g_01710	Syac.g_01630
OG0000037	Prbm.g_00166	Syac.g_01077
OG0000038	Prbm.g_02174	Syac.g_02357, Syac.g_02358
OG0000039	Prbm.g_00723	Syac.g_00856, Syac.g_02378
OG0000040	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813	Syac.g_01006
OG0000041	Prbm.g_01886	Syac.g_00655, Syac.g_00876
OG0000042	Prbm.g_02102	Syac.g_00146
OG0000043	Prbm.g_01173	Syac.g_00808
OG0000043	Prbm.g_00906	Syac.g_01100
OG0000044	Prbm.g_00478, Prbm.g_01281	Syac.g_00477, Syac.g_00858
OG0000046	Prbm.g_00383	Syac.g_02055, Syac.g_02047, Syac.g_02063
OG0000047	Prbm.g_00390, Prbm.g_00428	Syac.g_02031
OG0000048	Prbm.g_00329	Syac.g_02240
OG0000050	Prbm.g_00118	Syac.g_01937
OG0000051	Prbm.g_01276	Syac.g_01292
OG0000052	Prbm.g_00114	Syac.g_00207
OG0000053	Prbm.g_01729	Syac.g_01657
OG0000054	Prbm.g_00637	Syac.g_00933, Syac.g_01050
OG0000055	Prbm.g_01921	Syac.g_01034
OG0000057	Prbm.g_00735	Syac.g_00894
OG0000058	Prbm.g_00881	Syac.g_00226
OG0000059	Prbm.g_01973	Syac.g_02142
OG0000060	Prbm.g_01422	Syac.g_01909
OG0000061	Prbm.g_01549	Syac.g_00769
OG0000062	Prbm.g_01792	Syac.g_00567
OG0000063	Prbm.g_01947	Syac.g_00037
OG0000065	Prbm.g_00164	Syac.g_00396, Syac.g_00490
OG0000066	Prbm.g_00572	Syac.g_01827
OG0000067	Prbm.g_00814	Syac.g_01341
