Orthogroup	Prbm	Syaf
OG0000001	Prbm.g_01633	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Prbm.g_01483	Syaf.g_01455
OG0000004	Prbm.g_00291	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbm.g_01790	Syaf.g_01057
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Prbm.g_00522	Syaf.g_02702
OG0000007	Prbm.g_01841	Syaf.g_01033
OG0000008	Prbm.g_01907	Syaf.g_01479
OG0000008	Prbm.g_01908	Syaf.g_01480
OG0000010	Prbm.g_01066	Syaf.g_02499
OG0000011	Prbm.g_01202	Syaf.g_01532
OG0000011	Prbm.g_01174, Prbm.g_01134	Syaf.g_01483
OG0000013	Prbm.g_00382	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Prbm.g_00362	Syaf.g_00280
OG0000015	Prbm.g_01427, Prbm.g_01149	Syaf.g_02120, Syaf.g_02121
OG0000016	Prbm.g_00013	Syaf.g_00484
OG0000016	Prbm.g_01944	Syaf.g_01576, Syaf.g_01713
OG0000018	Prbm.g_01571	Syaf.g_02451
OG0000019	Prbm.g_00792	Syaf.g_00193
OG0000020	Prbm.g_01156	Syaf.g_02187
OG0000021	Prbm.g_01939	Syaf.g_02773
OG0000022	Prbm.g_01324	Syaf.g_02256
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbm.g_01151, Prbm.g_00709	Syaf.g_01484
OG0000025	Prbm.g_00849	Syaf.g_01385
OG0000026	Prbm.g_00031	Syaf.g_00461
OG0000028	Prbm.g_01656	Syaf.g_00297
OG0000029	Prbm.g_01823	Syaf.g_01761
OG0000030	Prbm.g_02105	Syaf.g_00406, Syaf.g_00407
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syaf.g_00314, Syaf.g_01143
OG0000032	Prbm.g_01747	Syaf.g_02471
OG0000033	Prbm.g_00228	Syaf.g_00807
OG0000034	Prbm.g_01620	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbm.g_01710	Syaf.g_02412
OG0000037	Prbm.g_00166	Syaf.g_00899
OG0000038	Prbm.g_02174	Syaf.g_00642
OG0000039	Prbm.g_00723	Syaf.g_01395
OG0000041	Prbm.g_01886	Syaf.g_01171, Syaf.g_01414
OG0000042	Prbm.g_02102	Syaf.g_00403
OG0000043	Prbm.g_00906	Syaf.g_01747
OG0000044	Prbm.g_00478, Prbm.g_01281	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400
OG0000046	Prbm.g_00383	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062
OG0000047	Prbm.g_00390, Prbm.g_00428	Syaf.g_00030
OG0000048	Prbm.g_00329	Syaf.g_00230
OG0000050	Prbm.g_01485	Syaf.g_01770
OG0000051	Prbm.g_01267	Syaf.g_00972
OG0000052	Prbm.g_00114	Syaf.g_00335
OG0000053	Prbm.g_01729	Syaf.g_02447
OG0000054	Prbm.g_00637	Syaf.g_02376
OG0000057	Prbm.g_00735	Syaf.g_01665, Syaf.g_01452
OG0000058	Prbm.g_00881	Syaf.g_00316
OG0000059	Prbm.g_01973	Syaf.g_00143
OG0000060	Prbm.g_01422	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603
OG0000061	Prbm.g_01549	Syaf.g_01288
OG0000062	Prbm.g_01792	Syaf.g_01055
OG0000063	Prbm.g_01947	Syaf.g_00457
OG0000065	Prbm.g_00164	Syaf.g_00903
OG0000066	Prbm.g_00572	Syaf.g_02643
OG0000067	Prbm.g_00814	Syaf.g_02049
OG0000068	Prbm.g_01660	Syaf.g_02733
OG0000070	Prbm.g_00460	Syaf.g_01237
