Orthogroup	Prbm	Syaq
OG0000001	Prbm.g_01633	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prbm.g_01483	Syaq.g_02603
OG0000004	Prbm.g_00291	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbm.g_01790	Syaq.g_01692
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbm.g_00522	Syaq.g_01793
OG0000007	Prbm.g_01841	Syaq.g_01673
OG0000008	Prbm.g_01907	Syaq.g_02162
OG0000008	Prbm.g_01908	Syaq.g_02575
OG0000010	Prbm.g_01066	Syaq.g_00443
OG0000011	Prbm.g_01174, Prbm.g_01134	Syaq.g_01038
OG0000012	Prbm.g_01106	Syaq.g_00077
OG0000013	Prbm.g_00382	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbm.g_00362	Syaq.g_00862
OG0000015	Prbm.g_01427, Prbm.g_01149	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prbm.g_00013	Syaq.g_01136
OG0000016	Prbm.g_01944	Syaq.g_00169
OG0000018	Prbm.g_01571	Syaq.g_00401
OG0000019	Prbm.g_00792	Syaq.g_00717
OG0000022	Prbm.g_01324	Syaq.g_02126
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syaq.g_02540
OG0000025	Prbm.g_00849	Syaq.g_02381
OG0000026	Prbm.g_00031	Syaq.g_01114
OG0000028	Prbm.g_01656	Syaq.g_00878
OG0000030	Prbm.g_02105	Syaq.g_01047, Syaq.g_01048
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syaq.g_01009
OG0000032	Prbm.g_01747	Syaq.g_00421
OG0000033	Prbm.g_00228	Syaq.g_01399
OG0000034	Prbm.g_01620	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbm.g_01710	Syaq.g_00372, Syaq.g_00371
OG0000037	Prbm.g_00166	Syaq.g_01483
OG0000038	Prbm.g_02174	Syaq.g_01260, Syaq.g_01258
OG0000039	Prbm.g_00723	Syaq.g_01601, Syaq.g_01241
OG0000041	Prbm.g_01886	Syaq.g_02688, Syaq.g_01612
OG0000042	Prbm.g_02102	Syaq.g_00200, Syaq.g_01044
OG0000043	Prbm.g_00906	Syaq.g_01920
OG0000044	Prbm.g_00478, Prbm.g_01281	Syaq.g_00107, Syaq.g_02701
OG0000045	Prbm.g_01088	Syaq.g_02047
OG0000046	Prbm.g_00383	Syaq.g_00570, Syaq.g_00573
OG0000048	Prbm.g_00329	Syaq.g_00749
