Orthogroup	Prbf	Prar
OG0000000	Prbf.g_01182, Prbf.g_01177	Prar.g_00918
OG0000000	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260	Prar.g_01508
OG0000001	Prbf.g_00760, Prbf.g_00775, Prbf.g_00881	Prar.g_00730
OG0000002	Prbf.g_00068	Prar.g_00926
OG0000002	Prbf.g_00831	Prar.g_01202, Prar.g_01203
OG0000003	Prbf.g_00880	Prar.g_00973
OG0000004	Prbf.g_00052	Prar.g_01623, Prar.g_01630
OG0000005	Prbf.g_00776	Prar.g_00713
OG0000006	Prbf.g_01780	Prar.g_01328
OG0000006	Prbf.g_00693	Prar.g_01143
OG0000007	Prbf.g_00793	Prar.g_01185
OG0000009	Prbf.g_00894	Prar.g_01663
OG0000009	Prbf.g_01588	Prar.g_00078
OG0000010	Prbf.g_00306	Prar.g_01006, Prar.g_01313, Prar.g_00991
OG0000011	Prbf.g_01707	Prar.g_00468
OG0000012	Prbf.g_01880, Prbf.g_01887	Prar.g_01428
OG0000013	Prbf.g_00754, Prbf.g_00708	Prar.g_01179
OG0000014	Prbf.g_00817, Prbf.g_00774	Prar.g_00520
OG0000015	Prbf.g_00765, Prbf.g_00732	Prar.g_00443
OG0000016	Prbf.g_00864, Prbf.g_00254	Prar.g_00915
OG0000017	Prbf.g_00178, Prbf.g_00748	Prar.g_00589
OG0000018	Prbf.g_01580	Prar.g_00086
OG0000019	Prbf.g_01259	Prar.g_00425
OG0000020	Prbf.g_00039, Prbf.g_01611	Prar.g_00435
OG0000021	Prbf.g_00711	Prar.g_01665
OG0000023	Prbf.g_00252	Prar.g_00737
OG0000024	Prbf.g_01647	Prar.g_00281
OG0000025	Prbf.g_00845	Prar.g_01940
OG0000026	Prbf.g_00808	Prar.g_01189
OG0000028	Prbf.g_00157	Prar.g_00339
OG0000029	Prbf.g_01738	Prar.g_00736, Prar.g_01170
OG0000032	Prbf.g_00116	Prar.g_00879
OG0000033	Prbf.g_00860	Prar.g_00025
OG0000035	Prbf.g_00299	Prar.g_01761
OG0000036	Prbf.g_00704, Prbf.g_01867	Prar.g_01414
OG0000037	Prbf.g_00272, Prbf.g_01905	Prar.g_01453
OG0000038	Prbf.g_00248	Prar.g_01649
OG0000039	Prbf.g_01500	Prar.g_00161
OG0000040	Prbf.g_00287	Prar.g_00420
OG0000041	Prbf.g_00729, Prbf.g_00735	Prar.g_00476
OG0000042	Prbf.g_01253	Prar.g_01599
OG0000043	Prbf.g_01153	Prar.g_01668
OG0000044	Prbf.g_00918	Prar.g_01263
OG0000045	Prbf.g_00117	Prar.g_00870, Prar.g_00362
OG0000046	Prbf.g_00701, Prbf.g_00822	Prar.g_01150
OG0000047	Prbf.g_00496	Prar.g_00653, Prar.g_00592
OG0000048	Prbf.g_00487	Prar.g_00660
OG0000050	Prbf.g_01354	Prar.g_00007
OG0000051	Prbf.g_01491	Prar.g_00170, Prar.g_01569
OG0000052	Prbf.g_00320	Prar.g_00431
OG0000053	Prbf.g_01820, Prbf.g_00781	Prar.g_01369
OG0000054	Prbf.g_01922	Prar.g_01644
OG0000055	Prbf.g_01222	Prar.g_01706
OG0000056	Prbf.g_00862	Prar.g_01307
OG0000057	Prbf.g_01575	Prar.g_00090
OG0000058	Prbf.g_01758	Prar.g_00525
OG0000059	Prbf.g_01261	Prar.g_01528
OG0000062	Prbf.g_00788	Prar.g_01296
OG0000063	Prbf.g_00945	Prar.g_01003
OG0000065	Prbf.g_00026	Prar.g_00955
OG0000066	Prbf.g_00115	Prar.g_00880
OG0000067	Prbf.g_00347	Prar.g_00988
OG0000068	Prbf.g_00558	Prar.g_01027
OG0000069	Prbf.g_00196	Prar.g_00886
OG0000071	Prbf.g_00382	Prar.g_00027
OG0000072	Prbf.g_01661	Prar.g_00265
OG0000073	Prbf.g_01018	Prar.g_01499
OG0000074	Prbf.g_01271	Prar.g_01521
OG0000075	Prbf.g_01238	Prar.g_01691
OG0000076	Prbf.g_01170	Prar.g_01904
OG0000077	Prbf.g_00777	Prar.g_00712
OG0000078	Prbf.g_00118	Prar.g_00872
OG0000079	Prbf.g_00242	Prar.g_00769
OG0000080	Prbf.g_00346	Prar.g_01166
OG0000081	Prbf.g_00524	Prar.g_00627
OG0000082	Prbf.g_00351	Prar.g_00072
OG0000083	Prbf.g_00390	Prar.g_00035
OG0000084	Prbf.g_00387	Prar.g_00032
OG0000085	Prbf.g_01345	Prar.g_00015
OG0000087	Prbf.g_01374	Prar.g_00570
OG0000088	Prbf.g_01443	Prar.g_00215
OG0000089	Prbf.g_01452	Prar.g_00207
OG0000090	Prbf.g_01469	Prar.g_00189
OG0000091	Prbf.g_01503	Prar.g_00158
OG0000092	Prbf.g_01504	Prar.g_00157
OG0000093	Prbf.g_01518	Prar.g_00143
OG0000094	Prbf.g_01537	Prar.g_00125
OG0000095	Prbf.g_01542	Prar.g_00120
OG0000096	Prbf.g_01590	Prar.g_00076
OG0000097	Prbf.g_01614	Prar.g_00313
OG0000098	Prbf.g_01625	Prar.g_00303
OG0000099	Prbf.g_01635	Prar.g_00293
OG0000100	Prbf.g_01638	Prar.g_01154
OG0000101	Prbf.g_01703	Prar.g_00417
OG0000102	Prbf.g_00044	Prar.g_00444
OG0000103	Prbf.g_01759	Prar.g_00526
OG0000104	Prbf.g_01763	Prar.g_00530
OG0000105	Prbf.g_01783	Prar.g_01330
OG0000106	Prbf.g_01813	Prar.g_01362
OG0000107	Prbf.g_01814	Prar.g_01363
OG0000108	Prbf.g_01824	Prar.g_01373
OG0000109	Prbf.g_01833	Prar.g_01382
OG0000110	Prbf.g_01850	Prar.g_01398
OG0000111	Prbf.g_00999	Prar.g_01481
OG0000112	Prbf.g_01000	Prar.g_01482
OG0000113	Prbf.g_01050	Prar.g_01621
OG0000114	Prbf.g_01247	Prar.g_01682
OG0000115	Prbf.g_01117	Prar.g_01833
OG0000116	Prbf.g_01113	Prar.g_01837
OG0000117	Prbf.g_01167	Prar.g_01901
OG0000118	Prbf.g_00873	Prar.g_01953
OG0000119	Prbf.g_00785	Prar.g_01293
OG0000120	Prbf.g_00924	Prar.g_01257
OG0000121	Prbf.g_00947	Prar.g_01238
OG0000122	Prbf.g_00967	Prar.g_01219
OG0000123	Prbf.g_01915	Prar.g_01206
OG0000124	Prbf.g_00253	Prar.g_00376
OG0000125	Prbf.g_00013	Prar.g_00943
OG0000126	Prbf.g_00095	Prar.g_00911
OG0000127	Prbf.g_00145	Prar.g_00352
OG0000128	Prbf.g_00158	Prar.g_00338
OG0000129	Prbf.g_00194	Prar.g_00810
OG0000130	Prbf.g_00696	Prar.g_01145
OG0000131	Prbf.g_00657	Prar.g_01959
OG0000132	Prbf.g_00654	Prar.g_00595
OG0000133	Prbf.g_00600	Prar.g_01068
OG0000134	Prbf.g_00564	Prar.g_01032
OG0000135	Prbf.g_00562	Prar.g_01030
OG0000136	Prbf.g_00512	Prar.g_00638
OG0000137	Prbf.g_00477	Prar.g_00669
OG0000138	Prbf.g_00443	Prar.g_00704
OG0000139	Prbf.g_00412	Prar.g_00055
OG0000140	Prbf.g_00392	Prar.g_00037
OG0000141	Prbf.g_00391	Prar.g_00036
OG0000142	Prbf.g_00389	Prar.g_00034
OG0000143	Prbf.g_00388	Prar.g_00033
OG0000144	Prbf.g_00386	Prar.g_00031
OG0000145	Prbf.g_00385	Prar.g_00030
OG0000146	Prbf.g_00384	Prar.g_00029
OG0000147	Prbf.g_00383	Prar.g_00028
OG0000148	Prbf.g_00381	Prar.g_00026
OG0000149	Prbf.g_01336	Prar.g_00024
OG0000150	Prbf.g_01337	Prar.g_00023
OG0000151	Prbf.g_01338	Prar.g_00022
OG0000152	Prbf.g_01339	Prar.g_00021
OG0000153	Prbf.g_01340	Prar.g_00020
OG0000154	Prbf.g_01341	Prar.g_00019
OG0000155	Prbf.g_01342	Prar.g_00018
OG0000156	Prbf.g_01343	Prar.g_00017
OG0000157	Prbf.g_01344	Prar.g_00016
OG0000158	Prbf.g_01346	Prar.g_00014
OG0000159	Prbf.g_01347	Prar.g_00013
OG0000160	Prbf.g_01348	Prar.g_00012
OG0000161	Prbf.g_01349	Prar.g_00011
OG0000162	Prbf.g_01350	Prar.g_00010
OG0000163	Prbf.g_01352	Prar.g_00009
OG0000164	Prbf.g_01355	Prar.g_00006
OG0000165	Prbf.g_01358	Prar.g_00002
OG0000166	Prbf.g_01359	Prar.g_00001
OG0000167	Prbf.g_01360	Prar.g_00594
OG0000168	Prbf.g_01362	Prar.g_00580
OG0000169	Prbf.g_01364	Prar.g_00578
OG0000170	Prbf.g_01366	Prar.g_00577
OG0000171	Prbf.g_01367	Prar.g_00576
OG0000172	Prbf.g_01368	Prar.g_00574
OG0000173	Prbf.g_01371	Prar.g_00573
OG0000174	Prbf.g_01372	Prar.g_00572
OG0000175	Prbf.g_01373	Prar.g_00571
OG0000176	Prbf.g_01375	Prar.g_00569
OG0000177	Prbf.g_01376	Prar.g_00568
OG0000178	Prbf.g_01378	Prar.g_00567
OG0000179	Prbf.g_01390	Prar.g_00554
OG0000180	Prbf.g_01391	Prar.g_00553
OG0000181	Prbf.g_01392	Prar.g_00552
OG0000182	Prbf.g_01396	Prar.g_00549
OG0000183	Prbf.g_01397	Prar.g_00548
OG0000184	Prbf.g_01400	Prar.g_00255
OG0000185	Prbf.g_01404	Prar.g_00251
OG0000186	Prbf.g_01405	Prar.g_00250
OG0000187	Prbf.g_00291	Prar.g_00249
OG0000188	Prbf.g_01406	Prar.g_00248
OG0000189	Prbf.g_01407	Prar.g_00247
OG0000190	Prbf.g_01408	Prar.g_00246
OG0000191	Prbf.g_01409	Prar.g_00245
OG0000192	Prbf.g_01410	Prar.g_00244
OG0000193	Prbf.g_01411	Prar.g_00243
OG0000194	Prbf.g_01412	Prar.g_00242
OG0000195	Prbf.g_01414	Prar.g_00240
OG0000196	Prbf.g_01415	Prar.g_00239
OG0000197	Prbf.g_01416	Prar.g_00238
OG0000198	Prbf.g_01417	Prar.g_00237
OG0000199	Prbf.g_01420	Prar.g_00234
OG0000200	Prbf.g_01421	Prar.g_00233
OG0000201	Prbf.g_01422	Prar.g_00232
OG0000202	Prbf.g_01424	Prar.g_00231
OG0000203	Prbf.g_01425	Prar.g_00230
OG0000204	Prbf.g_01426	Prar.g_00229
OG0000205	Prbf.g_01428	Prar.g_00228
OG0000206	Prbf.g_01429	Prar.g_00227
OG0000207	Prbf.g_01430	Prar.g_00226
OG0000208	Prbf.g_01431	Prar.g_00225
OG0000209	Prbf.g_01432	Prar.g_00224
OG0000210	Prbf.g_01433	Prar.g_00222
OG0000211	Prbf.g_01435	Prar.g_00221
OG0000212	Prbf.g_01436	Prar.g_00220
OG0000213	Prbf.g_01437	Prar.g_00219
OG0000214	Prbf.g_01441	Prar.g_00217
OG0000215	Prbf.g_01442	Prar.g_00216
OG0000216	Prbf.g_01444	Prar.g_00214
OG0000217	Prbf.g_01445	Prar.g_00213
OG0000218	Prbf.g_01446	Prar.g_00212
OG0000219	Prbf.g_01447	Prar.g_00211
OG0000220	Prbf.g_01450	Prar.g_00208
OG0000221	Prbf.g_01453	Prar.g_00206
OG0000222	Prbf.g_01454	Prar.g_00205
OG0000223	Prbf.g_01455	Prar.g_00204
OG0000224	Prbf.g_01457	Prar.g_00201
OG0000225	Prbf.g_01459	Prar.g_00199
OG0000226	Prbf.g_01461	Prar.g_00198
OG0000227	Prbf.g_01462	Prar.g_00197
OG0000228	Prbf.g_01463	Prar.g_00196
OG0000229	Prbf.g_01464	Prar.g_00195
OG0000230	Prbf.g_01465	Prar.g_00194
OG0000231	Prbf.g_01055	Prar.g_00192
OG0000232	Prbf.g_01467	Prar.g_00191
OG0000233	Prbf.g_01470	Prar.g_00188
OG0000234	Prbf.g_01472	Prar.g_00186
OG0000235	Prbf.g_01478	Prar.g_00182
OG0000236	Prbf.g_01479	Prar.g_00181
OG0000237	Prbf.g_01480	Prar.g_00180
OG0000238	Prbf.g_01481	Prar.g_00179
