Orthogroup	Prbf	Pray
OG0000000	Prbf.g_01182, Prbf.g_01177	Pray.g_01836
OG0000000	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260	Pray.g_01085
OG0000002	Prbf.g_00068	Pray.g_01844
OG0000002	Prbf.g_00831	Pray.g_00247, Pray.g_00246
OG0000003	Prbf.g_00880	Pray.g_01890
OG0000004	Prbf.g_00052	Pray.g_00277, Pray.g_00284, Pray.g_01891
OG0000005	Prbf.g_00776	Pray.g_01576
OG0000006	Prbf.g_01780	Pray.g_00988, Pray.g_00987
OG0000006	Prbf.g_00693	Pray.g_01559
OG0000007	Prbf.g_00793	Pray.g_01931
OG0000009	Prbf.g_00894	Pray.g_00328
OG0000009	Prbf.g_01588	Pray.g_00730
OG0000010	Prbf.g_00306	Pray.g_00117, Pray.g_01905
OG0000011	Prbf.g_01707	Pray.g_00897
OG0000012	Prbf.g_01880, Prbf.g_01887	Pray.g_01165
OG0000013	Prbf.g_00754, Prbf.g_00708	Pray.g_00309
OG0000014	Prbf.g_00817, Prbf.g_00774	Pray.g_00960, Pray.g_01887
OG0000015	Prbf.g_00765, Prbf.g_00732	Pray.g_00860
OG0000016	Prbf.g_00864, Prbf.g_00254	Pray.g_01833
OG0000018	Prbf.g_01580	Pray.g_00722
OG0000019	Prbf.g_01259	Pray.g_01578
OG0000020	Prbf.g_00039, Prbf.g_01611	Pray.g_00852
OG0000021	Prbf.g_00711	Pray.g_00330
OG0000023	Prbf.g_00252	Pray.g_01920
OG0000024	Prbf.g_01647	Pray.g_00784
OG0000025	Prbf.g_00845	Pray.g_00883
OG0000028	Prbf.g_00157	Pray.g_01722
OG0000029	Prbf.g_01738	Pray.g_01609
OG0000032	Prbf.g_00116	Pray.g_01806
OG0000033	Prbf.g_00860	Pray.g_01475
OG0000034	Prbf.g_00135	Pray.g_01793
OG0000035	Prbf.g_00299	Pray.g_00438
OG0000036	Prbf.g_00704, Prbf.g_01867	Pray.g_01177
OG0000037	Prbf.g_00272, Prbf.g_01905	Pray.g_01140
OG0000038	Prbf.g_00248	Pray.g_00304
OG0000039	Prbf.g_01500	Pray.g_00647
OG0000040	Prbf.g_00287	Pray.g_00838
OG0000042	Prbf.g_01253	Pray.g_01040
OG0000043	Prbf.g_01153	Pray.g_00333
OG0000045	Prbf.g_00117	Pray.g_01786
OG0000046	Prbf.g_00701, Prbf.g_00822	Pray.g_01566
OG0000047	Prbf.g_00496	Pray.g_01364
OG0000048	Prbf.g_00487	Pray.g_01371
OG0000050	Prbf.g_01354	Pray.g_01493
OG0000051	Prbf.g_01491	Pray.g_00638
OG0000052	Prbf.g_00320	Pray.g_00848
OG0000053	Prbf.g_01820, Prbf.g_00781	Pray.g_01222
OG0000054	Prbf.g_01922	Pray.g_00299
OG0000055	Prbf.g_01222	Pray.g_00370
OG0000056	Prbf.g_00862	Pray.g_00110
OG0000057	Prbf.g_01575	Pray.g_00718
OG0000058	Prbf.g_01758	Pray.g_00965
OG0000059	Prbf.g_01261	Pray.g_01065
OG0000062	Prbf.g_00788	Pray.g_00097
OG0000063	Prbf.g_00945	Pray.g_01927
OG0000065	Prbf.g_00026	Pray.g_01870
OG0000066	Prbf.g_00115	Pray.g_01808
OG0000067	Prbf.g_00347	Pray.g_00884
OG0000068	Prbf.g_00558	Pray.g_01306
OG0000069	Prbf.g_00196	Pray.g_01782
OG0000071	Prbf.g_00382	Pray.g_01473
OG0000072	Prbf.g_01661	Pray.g_00800
