Orthogroup	Prbf	Pran
OG0000000	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260	Pran.g_01500
OG0000002	Prbf.g_00831	Pran.g_01395
OG0000003	Prbf.g_00880	Pran.g_00894
OG0000004	Prbf.g_00052	Pran.g_00576, Pran.g_01436, Pran.g_00895
OG0000005	Prbf.g_00776	Pran.g_01423
OG0000006	Prbf.g_01780	Pran.g_01681
OG0000006	Prbf.g_00693	Pran.g_00970
OG0000009	Prbf.g_00894	Pran.g_01363
OG0000009	Prbf.g_01588	Pran.g_01943
OG0000010	Prbf.g_00306	Pran.g_00603, Pran.g_00114
OG0000012	Prbf.g_01887	Pran.g_01580
OG0000013	Prbf.g_00754, Prbf.g_00708	Pran.g_01394
OG0000014	Prbf.g_00817, Prbf.g_00774	Pran.g_00583
OG0000015	Prbf.g_00765, Prbf.g_00732	Pran.g_01813
OG0000016	Prbf.g_00864, Prbf.g_00254	Pran.g_00845
OG0000017	Prbf.g_00178, Prbf.g_00748	Pran.g_00713
OG0000018	Prbf.g_01580	Pran.g_01951
OG0000019	Prbf.g_01259	Pran.g_01829
OG0000020	Prbf.g_00039, Prbf.g_01611	Pran.g_01772, Pran.g_01820
OG0000021	Prbf.g_00711	Pran.g_01361
OG0000023	Prbf.g_00252	Pran.g_00615
OG0000024	Prbf.g_01647	Pran.g_01888
OG0000025	Prbf.g_00845	Pran.g_00936, Pran.g_01789
OG0000028	Prbf.g_00157	Pran.g_00733
OG0000029	Prbf.g_01738	Pran.g_00614
OG0000032	Prbf.g_00116	Pran.g_00753
OG0000033	Prbf.g_00860	Pran.g_00620
OG0000034	Prbf.g_00135	Pran.g_00777
OG0000035	Prbf.g_00299	Pran.g_00415
OG0000036	Prbf.g_00704, Prbf.g_01867	Pran.g_01593
OG0000037	Prbf.g_00272, Prbf.g_01905	Pran.g_01555
OG0000038	Prbf.g_00248	Pran.g_01401
OG0000039	Prbf.g_01500	Pran.g_00266
OG0000040	Prbf.g_00287	Pran.g_01834
OG0000041	Prbf.g_00729, Prbf.g_00735	Pran.g_01778
OG0000042	Prbf.g_01253	Pran.g_01460
OG0000043	Prbf.g_01153	Pran.g_01358
OG0000044	Prbf.g_00918	Pran.g_00060
OG0000045	Prbf.g_00117	Pran.g_00807
OG0000046	Prbf.g_00701, Prbf.g_00822	Pran.g_00963
OG0000047	Prbf.g_00496	Pran.g_01160
OG0000048	Prbf.g_00487	Pran.g_01167
OG0000050	Prbf.g_01354	Pran.g_00930
OG0000051	Prbf.g_01491	Pran.g_00275
OG0000052	Prbf.g_00320	Pran.g_01824
OG0000053	Prbf.g_01820, Prbf.g_00781	Pran.g_01639
OG0000054	Prbf.g_01922	Pran.g_01408, Pran.g_01379
OG0000055	Prbf.g_01222	Pran.g_01321
OG0000056	Prbf.g_00862	Pran.g_00935
OG0000057	Prbf.g_01575	Pran.g_00195
OG0000058	Prbf.g_01758	Pran.g_01703
OG0000059	Prbf.g_01261	Pran.g_01480
OG0000062	Prbf.g_00788	Pran.g_00093
OG0000063	Prbf.g_00945	Pran.g_01466
OG0000065	Prbf.g_00026	Pran.g_00938, Pran.g_00876
OG0000066	Prbf.g_00115	Pran.g_00752
OG0000068	Prbf.g_00558	Pran.g_01105
OG0000071	Prbf.g_00382	Pran.g_01268
OG0000072	Prbf.g_01661	Pran.g_01872
OG0000073	Prbf.g_01018	Pran.g_01509
OG0000074	Prbf.g_01271	Pran.g_01487
OG0000075	Prbf.g_01238	Pran.g_01336
OG0000076	Prbf.g_01170	Pran.g_00568, Pran.g_00903
OG0000078	Prbf.g_00118	Pran.g_00806
OG0000079	Prbf.g_00242	Pran.g_00655
OG0000080	Prbf.g_00346	Pran.g_00575, Pran.g_00912
OG0000081	Prbf.g_00524	Pran.g_01135
