Orthogroup	Prbf	Prau
OG0000000	Prbf.g_01182, Prbf.g_01177	Prau.g_01402
OG0000000	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260	Prau.g_00718
OG0000002	Prbf.g_00068	Prau.g_01394
OG0000002	Prbf.g_00831	Prau.g_01267, Prau.g_01269
OG0000003	Prbf.g_00880	Prau.g_01300, Prau.g_01350
OG0000004	Prbf.g_00052	Prau.g_00785, Prau.g_00792
OG0000005	Prbf.g_00776	Prau.g_01665
OG0000006	Prbf.g_01780	Prau.g_00538
OG0000006	Prbf.g_00693	Prau.g_01732
OG0000007	Prbf.g_00793	Prau.g_00781
OG0000009	Prbf.g_00894	Prau.g_00834
OG0000009	Prbf.g_01588	Prau.g_00251
OG0000010	Prbf.g_00306	Prau.g_01156, Prau.g_01331
OG0000011	Prbf.g_01707	Prau.g_00414
OG0000012	Prbf.g_01880, Prbf.g_01887	Prau.g_00636
OG0000013	Prbf.g_00754, Prbf.g_00708	Prau.g_00817
OG0000014	Prbf.g_00817, Prbf.g_00774	Prau.g_01353
OG0000015	Prbf.g_00765, Prbf.g_00732	Prau.g_00385, Prau.g_01284
OG0000016	Prbf.g_00864, Prbf.g_00254	Prau.g_01405
OG0000017	Prbf.g_00178, Prbf.g_00748	Prau.g_00040
OG0000018	Prbf.g_01580	Prau.g_00243, Prau.g_01316
OG0000019	Prbf.g_01259	Prau.g_01680
OG0000020	Prbf.g_00039, Prbf.g_01611	Prau.g_00377
OG0000021	Prbf.g_00711	Prau.g_00836
OG0000023	Prbf.g_00252	Prau.g_01324
OG0000024	Prbf.g_01647	Prau.g_00308
OG0000026	Prbf.g_00808	Prau.g_01295
OG0000028	Prbf.g_00157	Prau.g_01528
OG0000029	Prbf.g_01738	Prau.g_01642, Prau.g_01285
OG0000032	Prbf.g_00116	Prau.g_01431, Prau.g_01469
OG0000033	Prbf.g_00860	Prau.g_00013
OG0000034	Prbf.g_00135	Prau.g_01489
OG0000036	Prbf.g_00704, Prbf.g_01867	Prau.g_00624
OG0000037	Prbf.g_00272, Prbf.g_01905	Prau.g_00663
OG0000038	Prbf.g_00248	Prau.g_00814
OG0000039	Prbf.g_01500	Prau.g_00167
OG0000040	Prbf.g_00287	Prau.g_00362
OG0000041	Prbf.g_00729, Prbf.g_00735	Prau.g_00458
OG0000042	Prbf.g_01253	Prau.g_00755
OG0000043	Prbf.g_01153	Prau.g_00839
OG0000045	Prbf.g_00117	Prau.g_01432, Prau.g_01460
OG0000046	Prbf.g_00701, Prbf.g_00822	Prau.g_01725
OG0000047	Prbf.g_00496	Prau.g_01925, Prau.g_00037
OG0000048	Prbf.g_00487	Prau.g_01932
OG0000050	Prbf.g_01354	Prau.g_00030
OG0000051	Prbf.g_01491	Prau.g_00158
OG0000052	Prbf.g_00320	Prau.g_00373
OG0000053	Prbf.g_01820, Prbf.g_00781	Prau.g_00579
OG0000054	Prbf.g_01922	Prau.g_00808
OG0000055	Prbf.g_01222	Prau.g_00876
OG0000056	Prbf.g_00862	Prau.g_01162
OG0000057	Prbf.g_01575	Prau.g_00238, Prau.g_00784
OG0000058	Prbf.g_01758	Prau.g_00516
OG0000059	Prbf.g_01261	Prau.g_00738
OG0000062	Prbf.g_00788	Prau.g_01174
OG0000063	Prbf.g_00945	Prau.g_01318
OG0000065	Prbf.g_00026	Prau.g_01371
OG0000066	Prbf.g_00115	Prau.g_01430
OG0000068	Prbf.g_00558	Prau.g_01869
OG0000069	Prbf.g_00196	Prau.g_01446
OG0000071	Prbf.g_00382	Prau.g_00011
OG0000073	Prbf.g_01018	Prau.g_00709
OG0000074	Prbf.g_01271	Prau.g_00731
OG0000075	Prbf.g_01238	Prau.g_00861
OG0000076	Prbf.g_01170	Prau.g_01089
OG0000077	Prbf.g_00777	Prau.g_01666
OG0000078	Prbf.g_00118	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prbf.g_00242	Prau.g_01609
OG0000080	Prbf.g_00346	Prau.g_01658
OG0000081	Prbf.g_00524	Prau.g_01899
OG0000082	Prbf.g_00351	Prau.g_01297
OG0000083	Prbf.g_00390	Prau.g_00003
OG0000084	Prbf.g_00387	Prau.g_00006
OG0000085	Prbf.g_01345	Prau.g_00023
OG0000087	Prbf.g_01374	Prau.g_00057
OG0000088	Prbf.g_01443	Prau.g_00114
OG0000089	Prbf.g_01452	Prau.g_00122
OG0000090	Prbf.g_01469	Prau.g_00140
OG0000091	Prbf.g_01503	Prau.g_00170
OG0000092	Prbf.g_01504	Prau.g_00171
OG0000093	Prbf.g_01518	Prau.g_00185
OG0000094	Prbf.g_01537	Prau.g_00203
OG0000095	Prbf.g_01542	Prau.g_00208
OG0000096	Prbf.g_01590	Prau.g_00253
OG0000097	Prbf.g_01614	Prau.g_00276
OG0000099	Prbf.g_01635	Prau.g_00296
OG0000100	Prbf.g_01638	Prau.g_00299
OG0000101	Prbf.g_01703	Prau.g_00359
OG0000102	Prbf.g_00044	Prau.g_00386
OG0000103	Prbf.g_01759	Prau.g_00517
OG0000104	Prbf.g_01763	Prau.g_00521
OG0000105	Prbf.g_01783	Prau.g_00540
OG0000106	Prbf.g_01813	Prau.g_00572
OG0000107	Prbf.g_01814	Prau.g_00573
OG0000108	Prbf.g_01824	Prau.g_00583
OG0000109	Prbf.g_01833	Prau.g_00592
OG0000110	Prbf.g_01850	Prau.g_00608
OG0000111	Prbf.g_00999	Prau.g_00691
OG0000112	Prbf.g_01000	Prau.g_00692
OG0000113	Prbf.g_01050	Prau.g_00777
OG0000114	Prbf.g_01247	Prau.g_00852
OG0000115	Prbf.g_01117	Prau.g_01015
OG0000116	Prbf.g_01113	Prau.g_01019
OG0000117	Prbf.g_01167	Prau.g_01086
OG0000118	Prbf.g_00873	Prau.g_01136
OG0000119	Prbf.g_00785	Prau.g_01177
