Orthogroup	Pray	Syaa
OG0000001	Pray.g_01844	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329
OG0000004	Pray.g_01068	Syaa.g_00892
OG0000004	Pray.g_00713	Syaa.g_01667, Syaa.g_02116
OG0000005	Pray.g_01546	Syaa.g_00534
OG0000005	Pray.g_01646	Syaa.g_00573
OG0000006	Pray.g_00722	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Pray.g_00988, Pray.g_00987	Syaa.g_02032
OG0000007	Pray.g_01559	Syaa.g_00551
OG0000008	Pray.g_01931	Syaa.g_00918
OG0000009	Pray.g_00184	Syaa.g_02378
OG0000010	Pray.g_00592	Syaa.g_01843
OG0000011	Pray.g_01930	Syaa.g_00921
OG0000012	Pray.g_01140	Syaa.g_01660, Syaa.g_02304
OG0000013	Pray.g_00805	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Pray.g_00784	Syaa.g_00222
OG0000014	Pray.g_01792	Syaa.g_00481
OG0000015	Pray.g_00309	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000016	Pray.g_01475	Syaa.g_00014
OG0000017	Pray.g_01165	Syaa.g_01890, Syaa.g_01883
OG0000018	Pray.g_00083	Syaa.g_01801
OG0000019	Pray.g_00730, Pray.g_00328	Syaa.g_00307
OG0000021	Pray.g_01578, Pray.g_00842	Syaa.g_02627
OG0000022	Pray.g_00101	Syaa.g_01571
OG0000023	Pray.g_00838	Syaa.g_01529, Syaa.g_01216
OG0000024	Pray.g_00289, Pray.g_01088	Syaa.g_00922
OG0000025	Pray.g_00809, Pray.g_00383	Syaa.g_00839
OG0000026	Pray.g_01493, Pray.g_00599	Syaa.g_00038
OG0000027	Pray.g_00960, Pray.g_01887	Syaa.g_01605, Syaa.g_00854
OG0000028	Pray.g_01935, Pray.g_00798	Syaa.g_00205
OG0000029	Pray.g_00296, Pray.g_00853	Syaa.g_01578
OG0000030	Pray.g_01374	Syaa.g_00099, Syaa.g_00098
OG0000031	Pray.g_01806	Syaa.g_00200, Syaa.g_00480
OG0000034	Pray.g_01860	Syaa.g_00722, Syaa.g_02444
OG0000035	Pray.g_01722	Syaa.g_01773
OG0000037	Pray.g_00180	Syaa.g_02384
OG0000038	Pray.g_01415	Syaa.g_02596
OG0000039	Pray.g_01077	Syaa.g_00846
OG0000040	Pray.g_01585	Syaa.g_01606
OG0000040	Pray.g_00084	Syaa.g_02690
OG0000042	Pray.g_01371	Syaa.g_00103
OG0000044	Pray.g_00002	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851
OG0000045	Pray.g_00849	Syaa.g_01560
OG0000047	Pray.g_00808, Pray.g_00897	Syaa.g_02189
OG0000048	Pray.g_00852	Syaa.g_00275, Syaa.g_02719
OG0000050	Pray.g_00883	Syaa.g_01591
OG0000050	Pray.g_00619	Syaa.g_01213, Syaa.g_01712
OG0000051	Pray.g_01894	Syaa.g_01531
OG0000052	Pray.g_01793	Syaa.g_00461
OG0000053	Pray.g_01702	Syaa.g_01797
OG0000054	Pray.g_01157	Syaa.g_01691, Syaa.g_01502
OG0000055	Pray.g_00329	Syaa.g_01564, Syaa.g_00852
OG0000057	Pray.g_01065	Syaa.g_01466, Syaa.g_00889
OG0000058	Pray.g_01786	Syaa.g_00193, Syaa.g_00455
OG0000059	Pray.g_01258	Syaa.g_02315
OG0000061	Pray.g_00064	Syaa.g_00770
OG0000062	Pray.g_01644	Syaa.g_00571
OG0000063	Pray.g_01495	Syaa.g_00042
OG0000065	Pray.g_00182	Syaa.g_02380
OG0000066	Pray.g_01222	Syaa.g_01968
OG0000067	Pray.g_00348	Syaa.g_01154
OG0000068	Pray.g_01829	Syaa.g_02059
OG0000069	Pray.g_01609	Syaa.g_01497, Syaa.g_01256
OG0000070	Pray.g_00940	Syaa.g_00718
OG0000071	Pray.g_01870	Syaa.g_00735
OG0000072	Pray.g_00652	Syaa.g_02480
OG0000073	Pray.g_00990	Syaa.g_02030
OG0000074	Pray.g_01081	Syaa.g_00372
OG0000075	Pray.g_01339	Syaa.g_00157
OG0000076	Pray.g_01364	Syaa.g_00123
OG0000077	Pray.g_00211	Syaa.g_00341
OG0000078	Pray.g_00720	Syaa.g_02103
OG0000079	Pray.g_00733	Syaa.g_00303
OG0000081	Pray.g_01022	Syaa.g_02089, Syaa.g_01694
OG0000082	Pray.g_01177	Syaa.g_01905
OG0000084	Pray.g_01726	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Pray.g_01566	Syaa.g_00564
OG0000086	Pray.g_00201	Syaa.g_00324
OG0000087	Pray.g_00150	Syaa.g_02433
OG0000088	Pray.g_00647	Syaa.g_02474
OG0000089	Pray.g_00834	Syaa.g_02149
OG0000090	Pray.g_01024, Pray.g_01228	Syaa.g_01980
OG0000091	Pray.g_01121	Syaa.g_01625
OG0000093	Pray.g_00479	Syaa.g_01139
OG0000094	Pray.g_00565	Syaa.g_01288
OG0000095	Pray.g_00584	Syaa.g_00879
OG0000097	Pray.g_00022	Syaa.g_00979
OG0000098	Pray.g_01847	Syaa.g_01970
OG0000099	Pray.g_01788	Syaa.g_00202
OG0000100	Pray.g_01648	Syaa.g_01201
OG0000101	Pray.g_01306	Syaa.g_02249
OG0000102	Pray.g_01369	Syaa.g_00118
OG0000103	Pray.g_01449	Syaa.g_02740
OG0000104	Pray.g_01457	Syaa.g_02754
OG0000105	Pray.g_00753	Syaa.g_00270
OG0000106	Pray.g_00848	Syaa.g_01439
OG0000107	Pray.g_00864	Syaa.g_02351
OG0000108	Pray.g_00970	Syaa.g_02051
OG0000109	Pray.g_00984	Syaa.g_02036
OG0000110	Pray.g_01187	Syaa.g_01918
OG0000111	Pray.g_01064	Syaa.g_00888
OG0000112	Pray.g_00313	Syaa.g_01366
OG0000113	Pray.g_00370	Syaa.g_01196
OG0000114	Pray.g_00452	Syaa.g_01094
OG0000115	Pray.g_00126	Syaa.g_01795
OG0000116	Pray.g_00074	Syaa.g_00757
OG0000117	Pray.g_01927	Syaa.g_01009
OG0000118	Pray.g_01858	Syaa.g_01874
OG0000119	Pray.g_01833	Syaa.g_00785
OG0000120	Pray.g_01808	Syaa.g_00201
OG0000121	Pray.g_01720	Syaa.g_01777
OG0000122	Pray.g_01682	Syaa.g_01598
OG0000123	Pray.g_01313	Syaa.g_02242
OG0000124	Pray.g_01380	Syaa.g_00092
OG0000125	Pray.g_01417	Syaa.g_02598
OG0000126	Pray.g_01456	Syaa.g_02752
OG0000128	Pray.g_01473	Syaa.g_00012
OG0000129	Pray.g_00239	Syaa.g_02586
OG0000130	Pray.g_00220	Syaa.g_00354
OG0000131	Pray.g_00144	Syaa.g_02448
OG0000132	Pray.g_00645	Syaa.g_02472
OG0000133	Pray.g_00800	Syaa.g_01361
OG0000134	Pray.g_00835	Syaa.g_02146
OG0000135	Pray.g_00861	Syaa.g_02649
OG0000136	Pray.g_00931	Syaa.g_00708
OG0000137	Pray.g_00965	Syaa.g_01842
OG0000138	Pray.g_00985	Syaa.g_02035
OG0000139	Pray.g_01224	Syaa.g_01974
OG0000140	Pray.g_01223	Syaa.g_01971
OG0000141	Pray.g_01156	Syaa.g_01689
OG0000142	Pray.g_01128	Syaa.g_01633
OG0000143	Pray.g_01124	Syaa.g_01629
OG0000144	Pray.g_01111	Syaa.g_01446
OG0000145	Pray.g_00306	Syaa.g_02029
OG0000146	Pray.g_00314	Syaa.g_01367
OG0000147	Pray.g_00315	Syaa.g_01368
OG0000148	Pray.g_00364	Syaa.g_01190
OG0000149	Pray.g_00395	Syaa.g_00826
OG0000150	Pray.g_00403	Syaa.g_01688
OG0000151	Pray.g_00462	Syaa.g_01107
OG0000152	Pray.g_00511	Syaa.g_01357
OG0000153	Pray.g_00530	Syaa.g_01324
OG0000154	Pray.g_00558	Syaa.g_01298
OG0000155	Pray.g_00043	Syaa.g_00804
OG0000156	Pray.g_01881	Syaa.g_00751
OG0000157	Pray.g_01880	Syaa.g_00750
OG0000158	Pray.g_01787	Syaa.g_00148
OG0000160	Pray.g_01721	Syaa.g_01776
OG0000161	Pray.g_01715	Syaa.g_01782
OG0000162	Pray.g_01709	Syaa.g_01788
OG0000163	Pray.g_01675	Syaa.g_00624
OG0000164	Pray.g_01535	Syaa.g_00507
OG0000165	Pray.g_01528	Syaa.g_00681
OG0000166	Pray.g_01270	Syaa.g_02289
OG0000167	Pray.g_01337	Syaa.g_00160
OG0000168	Pray.g_01347	Syaa.g_00145
OG0000169	Pray.g_01357	Syaa.g_00134
OG0000170	Pray.g_01359	Syaa.g_00128
OG0000171	Pray.g_01379	Syaa.g_00093
OG0000172	Pray.g_01388	Syaa.g_00079
OG0000173	Pray.g_01403	Syaa.g_00060
OG0000174	Pray.g_01431	Syaa.g_02651
OG0000175	Pray.g_01441	Syaa.g_02726
OG0000176	Pray.g_01465, Pray.g_01466	Syaa.g_00004
OG0000177	Pray.g_01467	Syaa.g_00005
OG0000178	Pray.g_01468	Syaa.g_00006
OG0000179	Pray.g_01478	Syaa.g_00023
OG0000180	Pray.g_01479	Syaa.g_00024
OG0000181	Pray.g_01480	Syaa.g_00025
OG0000182	Pray.g_01481	Syaa.g_00026
OG0000183	Pray.g_01485	Syaa.g_00030
OG0000184	Pray.g_00237	Syaa.g_02578
OG0000185	Pray.g_00234	Syaa.g_02575
OG0000186	Pray.g_00225	Syaa.g_00359
