Orthogroup	Pray	Prau
OG0000000	Pray.g_01888	Prau.g_01352
OG0000000	Pray.g_01576	Prau.g_01665
OG0000000	Pray.g_01603	Prau.g_01648
OG0000000	Pray.g_00003	Prau.g_01266
OG0000000	Pray.g_01604	Prau.g_01266
OG0000000	Pray.g_00003	Prau.g_01647
OG0000000	Pray.g_01604	Prau.g_01647
OG0000000	Pray.g_01890	Prau.g_01350
OG0000000	Pray.g_01602	Prau.g_01650
OG0000001	Pray.g_01844	Prau.g_01394
OG0000001	Pray.g_00247, Pray.g_00246	Prau.g_01267, Prau.g_01269
OG0000002	Pray.g_01836	Prau.g_01402
OG0000002	Pray.g_01085	Prau.g_00718
OG0000004	Pray.g_01068	Prau.g_00735
OG0000004	Pray.g_00713	Prau.g_00233
OG0000005	Pray.g_01546	Prau.g_01745
OG0000005	Pray.g_01646	Prau.g_01607
OG0000006	Pray.g_00722	Prau.g_01316
OG0000007	Pray.g_00988, Pray.g_00987	Prau.g_00538
OG0000007	Pray.g_01559	Prau.g_01732
OG0000008	Pray.g_01931	Prau.g_00781
OG0000008	Pray.g_01091	Prau.g_00712
OG0000009	Pray.g_01920	Prau.g_01324
OG0000009	Pray.g_01610	Prau.g_01641
OG0000009	Pray.g_00184	Prau.g_00106
OG0000010	Pray.g_00964	Prau.g_00515
OG0000010	Pray.g_00592	Prau.g_01096
OG0000011	Pray.g_01897	Prau.g_00441
OG0000011	Pray.g_01930	Prau.g_01307
OG0000012	Pray.g_01140	Prau.g_00663
OG0000013	Pray.g_00805	Prau.g_00329
OG0000014	Pray.g_00784	Prau.g_00308
OG0000014	Pray.g_01792	Prau.g_01470
OG0000015	Pray.g_00309	Prau.g_00817
OG0000016	Pray.g_01475	Prau.g_00013
OG0000017	Pray.g_01165	Prau.g_00636
OG0000018	Pray.g_00375	Prau.g_00881
OG0000018	Pray.g_00083	Prau.g_01188
OG0000019	Pray.g_00730	Prau.g_00251
OG0000019	Pray.g_00328	Prau.g_00834
OG0000020	Pray.g_00120	Prau.g_01153
OG0000021	Pray.g_01578	Prau.g_01680
OG0000021	Pray.g_00842	Prau.g_00367
OG0000022	Pray.g_00101	Prau.g_01170
