Orthogroup	Pray	Syap
OG0000001	Pray.g_01844	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Pray.g_00713	Syap.g_01987
OG0000005	Pray.g_01546	Syap.g_01773
OG0000005	Pray.g_01646	Syap.g_01218
OG0000006	Pray.g_00722	Syap.g_02770
OG0000007	Pray.g_00988, Pray.g_00987	Syap.g_00275
OG0000007	Pray.g_01559	Syap.g_00621
OG0000009	Pray.g_00184	Syap.g_02081
OG0000010	Pray.g_00592	Syap.g_02757
OG0000013	Pray.g_00805	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Pray.g_00784	Syap.g_01675
OG0000014	Pray.g_01792	Syap.g_00813
OG0000015	Pray.g_00309	Syap.g_02606, Syap.g_00786
OG0000016	Pray.g_01475	Syap.g_00071
OG0000017	Pray.g_01165	Syap.g_00449
OG0000018	Pray.g_00375	Syap.g_02708
OG0000018	Pray.g_00083	Syap.g_02010
OG0000019	Pray.g_00730, Pray.g_00328	Syap.g_01586
OG0000025	Pray.g_00809, Pray.g_00383	Syap.g_01846
OG0000027	Pray.g_00960, Pray.g_01887	Syap.g_01440
OG0000028	Pray.g_01935, Pray.g_00798	Syap.g_01658
OG0000030	Pray.g_01374	Syap.g_00787, Syap.g_00788
OG0000031	Pray.g_01806	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000034	Pray.g_01860	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Pray.g_01722	Syap.g_02125, Syap.g_02465
OG0000037	Pray.g_00180	Syap.g_02492
OG0000038	Pray.g_01415	Syap.g_00139
OG0000039	Pray.g_01077	Syap.g_01749, Syap.g_01748
OG0000040	Pray.g_00084	Syap.g_01819
OG0000042	Pray.g_01371	Syap.g_01891, Syap.g_01120
OG0000043	Pray.g_01924	Syap.g_01998
OG0000044	Pray.g_00002	Syap.g_00378
OG0000048	Pray.g_00852	Syap.g_02340
OG0000051	Pray.g_01894	Syap.g_01574
OG0000053	Pray.g_01702	Syap.g_02006
OG0000054	Pray.g_01157	Syap.g_00678, Syap.g_02652, Syap.g_00774
