Orthogroup	Pray	Syat
OG0000001	Pray.g_01844	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Pray.g_01546	Syat.g_03065
OG0000005	Pray.g_01646	Syat.g_03105
OG0000006	Pray.g_00722	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Pray.g_00988, Pray.g_00987	Syat.g_03191
OG0000007	Pray.g_01559	Syat.g_03124
OG0000008	Pray.g_01931	Syat.g_02626
OG0000009	Pray.g_00184	Syat.g_01567
OG0000010	Pray.g_00592	Syat.g_01372
OG0000012	Pray.g_01140	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Pray.g_00805	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Pray.g_00784	Syat.g_02104
OG0000014	Pray.g_01792	Syat.g_02250
OG0000015	Pray.g_00309	Syat.g_00775, Syat.g_01677
OG0000016	Pray.g_01475	Syat.g_02329
OG0000017	Pray.g_01165	Syat.g_00015
OG0000018	Pray.g_00083	Syat.g_01334
OG0000019	Pray.g_00730, Pray.g_00328	Syat.g_01876
OG0000021	Pray.g_01578, Pray.g_00842	Syat.g_00964
OG0000022	Pray.g_00101	Syat.g_00210
OG0000024	Pray.g_00289, Pray.g_01088	Syat.g_03394
OG0000025	Pray.g_00809, Pray.g_00383	Syat.g_00719
OG0000026	Pray.g_01493, Pray.g_00599	Syat.g_02306
OG0000027	Pray.g_00960, Pray.g_01887	Syat.g_00850
OG0000028	Pray.g_01935, Pray.g_00798	Syat.g_02126
OG0000030	Pray.g_01374	Syat.g_00307, Syat.g_00308
OG0000031	Pray.g_01806	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000034	Pray.g_01860	Syat.g_01165, Syat.g_02902
OG0000035	Pray.g_01722	Syat.g_01227, Syat.g_01226
OG0000037	Pray.g_00180	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Pray.g_01415	Syat.g_02688, Syat.g_02686
OG0000039	Pray.g_01077	Syat.g_01278
OG0000040	Pray.g_00084	Syat.g_02551
OG0000042	Pray.g_01371	Syat.g_00223, Syat.g_02222
OG0000044	Pray.g_00002	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000048	Pray.g_00852	Syat.g_02046
OG0000053	Pray.g_01702	Syat.g_01330
OG0000054	Pray.g_01157	Syat.g_00987, Syat.g_03390
OG0000055	Pray.g_00329	Syat.g_00693
OG0000057	Pray.g_01065	Syat.g_00817, Syat.g_02055
OG0000058	Pray.g_01786	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Pray.g_01258	Syat.g_01832
OG0000061	Pray.g_00064	Syat.g_03260
OG0000062	Pray.g_01644	Syat.g_03107
OG0000063	Pray.g_01495	Syat.g_02303
OG0000065	Pray.g_00182	Syat.g_01571
OG0000066	Pray.g_01222	Syat.g_03283
OG0000067	Pray.g_00348	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Pray.g_01829	Syat.g_00085, Syat.g_01295
OG0000069	Pray.g_01609	Syat.g_00090, Syat.g_00879
OG0000070	Pray.g_00940	Syat.g_01032, Syat.g_01040
OG0000071	Pray.g_01870	Syat.g_01153
OG0000072	Pray.g_00652	Syat.g_02856, Syat.g_01597
OG0000073	Pray.g_00990	Syat.g_03201
OG0000075	Pray.g_01339	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Pray.g_01364	Syat.g_02206
OG0000077	Pray.g_00211	Syat.g_01481
OG0000078	Pray.g_00720	Syat.g_00184
OG0000079	Pray.g_00733	Syat.g_01879
OG0000081	Pray.g_01022	Syat.g_00980
OG0000082	Pray.g_01177	Syat.g_00035
OG0000085	Pray.g_01566	Syat.g_03113
OG0000086	Pray.g_00201	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Pray.g_00150	Syat.g_02912
OG0000088	Pray.g_00647	Syat.g_02862
OG0000089	Pray.g_00834	Syat.g_02953
OG0000090	Pray.g_01024, Pray.g_01228	Syat.g_03270
OG0000091	Pray.g_01121	Syat.g_00939, Syat.g_00862
OG0000092	Pray.g_01325	Syat.g_00825
OG0000094	Pray.g_00565	Syat.g_00698, Syat.g_01034
OG0000095	Pray.g_00584	Syat.g_00808
OG0000097	Pray.g_00022	Syat.g_00907, Syat.g_00535
OG0000098	Pray.g_01847	Syat.g_03281
OG0000099	Pray.g_01788	Syat.g_02130
OG0000100	Pray.g_01648	Syat.g_00517
OG0000101	Pray.g_01306	Syat.g_01661
OG0000102	Pray.g_01369	Syat.g_00974
OG0000103	Pray.g_01449	Syat.g_02399
OG0000104	Pray.g_01457	Syat.g_02385
OG0000105	Pray.g_00753	Syat.g_02052
OG0000106	Pray.g_00848	Syat.g_00957
OG0000107	Pray.g_00864	Syat.g_02009, Syat.g_01862
OG0000108	Pray.g_00970	Syat.g_03170
OG0000109	Pray.g_00984	Syat.g_03187
OG0000110	Pray.g_01187	Syat.g_00049
OG0000111	Pray.g_01064	Syat.g_00816
OG0000112	Pray.g_00313	Syat.g_00593
OG0000113	Pray.g_00370	Syat.g_00509
OG0000114	Pray.g_00452	Syat.g_00426
OG0000115	Pray.g_00126	Syat.g_01328
OG0000116	Pray.g_00074	Syat.g_02641
OG0000117	Pray.g_01927	Syat.g_00224
OG0000118	Pray.g_01858	Syat.g_01168
OG0000119	Pray.g_01833	Syat.g_00309
OG0000120	Pray.g_01808	Syat.g_02132
OG0000121	Pray.g_01720	Syat.g_01223
OG0000123	Pray.g_01313	Syat.g_01653
OG0000124	Pray.g_01380	Syat.g_02231
OG0000125	Pray.g_01417	Syat.g_02684
OG0000126	Pray.g_01456	Syat.g_00976
OG0000128	Pray.g_01473	Syat.g_02331
OG0000129	Pray.g_00239	Syat.g_02693, Syat.g_02694
OG0000130	Pray.g_00220	Syat.g_01469
OG0000131	Pray.g_00144	Syat.g_02898
OG0000132	Pray.g_00645	Syat.g_02864
OG0000133	Pray.g_00800	Syat.g_00588
OG0000134	Pray.g_00835	Syat.g_02956
OG0000135	Pray.g_00861	Syat.g_02501
OG0000136	Pray.g_00931	Syat.g_01292
OG0000137	Pray.g_00965	Syat.g_01371
OG0000138	Pray.g_00985	Syat.g_03188
OG0000139	Pray.g_01224	Syat.g_03276
OG0000140	Pray.g_01223	Syat.g_03280
OG0000141	Pray.g_01156	Syat.g_03398
OG0000142	Pray.g_01128	Syat.g_00117
OG0000143	Pray.g_01124	Syat.g_00130
OG0000144	Pray.g_01111	Syat.g_00369
OG0000145	Pray.g_00306	Syat.g_03202
OG0000146	Pray.g_00314	Syat.g_00594
OG0000147	Pray.g_00315	Syat.g_00595
OG0000148	Pray.g_00364	Syat.g_00503
OG0000149	Pray.g_00395	Syat.g_00747
OG0000150	Pray.g_00403	Syat.g_03399
OG0000151	Pray.g_00462	Syat.g_00801, Syat.g_00440
OG0000152	Pray.g_00511	Syat.g_00578
OG0000153	Pray.g_00530	Syat.g_00542
OG0000154	Pray.g_00558	Syat.g_00708
OG0000155	Pray.g_00043	Syat.g_00287
OG0000156	Pray.g_01881	Syat.g_03228
OG0000157	Pray.g_01880	Syat.g_02012, Syat.g_03227
OG0000158	Pray.g_01787	Syat.g_02163
OG0000160	Pray.g_01721	Syat.g_01224
OG0000161	Pray.g_01715	Syat.g_01180
OG0000162	Pray.g_01709	Syat.g_01281
OG0000163	Pray.g_01675	Syat.g_02979
OG0000164	Pray.g_01535	Syat.g_03040
OG0000165	Pray.g_01528	Syat.g_03033
OG0000166	Pray.g_01270	Syat.g_01822
OG0000167	Pray.g_01337	Syat.g_02148
OG0000168	Pray.g_01347	Syat.g_02164
OG0000169	Pray.g_01357	Syat.g_02192
OG0000170	Pray.g_01359	Syat.g_02201
OG0000171	Pray.g_01379	Syat.g_02230
OG0000172	Pray.g_01388	Syat.g_02260
OG0000173	Pray.g_01403	Syat.g_02284
OG0000174	Pray.g_01431	Syat.g_02504
OG0000175	Pray.g_01441	Syat.g_02416
OG0000176	Pray.g_01465, Pray.g_01466	Syat.g_02372
OG0000177	Pray.g_01467	Syat.g_02338
OG0000178	Pray.g_01468	Syat.g_02337
OG0000179	Pray.g_01478	Syat.g_02322
OG0000180	Pray.g_01479	Syat.g_02321
OG0000181	Pray.g_01480	Syat.g_02320
OG0000182	Pray.g_01481	Syat.g_02319
OG0000183	Pray.g_01485	Syat.g_02315
OG0000184	Pray.g_00237	Syat.g_02704
OG0000185	Pray.g_00234	Syat.g_02719
OG0000186	Pray.g_00225	Syat.g_01463
OG0000187	Pray.g_00224	Syat.g_01467
OG0000188	Pray.g_00207	Syat.g_01489
OG0000189	Pray.g_00193	Syat.g_00386, Syat.g_01557
OG0000190	Pray.g_00192	Syat.g_00330
OG0000191	Pray.g_00172	Syat.g_03344, Syat.g_02939
OG0000192	Pray.g_00168	Syat.g_02933
OG0000193	Pray.g_00143	Syat.g_02897
OG0000194	Pray.g_00140	Syat.g_02894
OG0000195	Pray.g_00138	Syat.g_02892
OG0000196	Pray.g_00642	Syat.g_02867
OG0000197	Pray.g_00643	Syat.g_02866
OG0000198	Pray.g_00644	Syat.g_02865
OG0000199	Pray.g_00651	Syat.g_02857
