Orthogroup	Pray	Syas
OG0000001	Pray.g_01844	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Pray.g_01068	Syas.g_00176
OG0000004	Pray.g_00713	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Pray.g_01546	Syas.g_02665
OG0000005	Pray.g_01646	Syas.g_02704
OG0000006	Pray.g_00722	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Pray.g_00988, Pray.g_00987	Syas.g_01232
OG0000007	Pray.g_01559	Syas.g_02681
OG0000008	Pray.g_01931	Syas.g_00886
OG0000009	Pray.g_00184	Syas.g_01450
OG0000010	Pray.g_00592	Syas.g_01334
OG0000012	Pray.g_01140	Syas.g_00111, Syas.g_00827
OG0000013	Pray.g_00805	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Pray.g_00784	Syas.g_01816
OG0000015	Pray.g_00309	Syas.g_02007, Syas.g_00968
OG0000016	Pray.g_01475	Syas.g_02048
OG0000017	Pray.g_01165	Syas.g_00849, Syas.g_00856
OG0000018	Pray.g_00083	Syas.g_01290
OG0000019	Pray.g_00730, Pray.g_00328	Syas.g_01696
OG0000022	Pray.g_00101	Syas.g_02758
OG0000025	Pray.g_00809, Pray.g_00383	Syas.g_00231
OG0000026	Pray.g_01493, Pray.g_00599	Syas.g_02070
OG0000027	Pray.g_00960, Pray.g_01887	Syas.g_01480
OG0000028	Pray.g_01935, Pray.g_00798	Syas.g_01793
OG0000030	Pray.g_01374	Syas.g_01644, Syas.g_01645
OG0000031	Pray.g_01806	Syas.g_01827
OG0000034	Pray.g_01860	Syas.g_02371, Syas.g_02838
OG0000035	Pray.g_01722	Syas.g_02814, Syas.g_02818
OG0000037	Pray.g_00180	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Pray.g_01415	Syas.g_01885, Syas.g_01887
OG0000039	Pray.g_01077	Syas.g_02795
OG0000040	Pray.g_01585	Syas.g_02028
OG0000040	Pray.g_00084	Syas.g_01972
OG0000042	Pray.g_01371	Syas.g_01121, Syas.g_02147
OG0000044	Pray.g_00002	Syas.g_00894, Syas.g_02453
OG0000048	Pray.g_00852	Syas.g_01734
OG0000051	Pray.g_01894	Syas.g_01445
OG0000053	Pray.g_01702	Syas.g_01287
OG0000054	Pray.g_01157	Syas.g_00961, Syas.g_00957
OG0000055	Pray.g_00329	Syas.g_00203
OG0000057	Pray.g_01065	Syas.g_01055, Syas.g_01038
OG0000058	Pray.g_01786	Syas.g_01151
OG0000059	Pray.g_01258	Syas.g_01639
OG0000061	Pray.g_00064	Syas.g_01184
OG0000062	Pray.g_01644	Syas.g_02702
OG0000063	Pray.g_01495	Syas.g_02074
