Orthogroup	Pray	Prbf
OG0000000	Pray.g_01576, Pray.g_01603	Prbf.g_00776
OG0000001	Pray.g_01844	Prbf.g_00068
OG0000002	Pray.g_01836	Prbf.g_01182, Prbf.g_01177
OG0000002	Pray.g_01085	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Pray.g_01068	Prbf.g_01264
OG0000004	Pray.g_00713	Prbf.g_01570
OG0000005	Pray.g_01646	Prbf.g_00240
OG0000006	Pray.g_00722	Prbf.g_01580
OG0000007	Pray.g_00988, Pray.g_00987	Prbf.g_01780
OG0000007	Pray.g_01559	Prbf.g_00693
OG0000008	Pray.g_01931	Prbf.g_00793
OG0000009	Pray.g_01920	Prbf.g_00252
OG0000010	Pray.g_00964	Prbf.g_01757
OG0000010	Pray.g_00592	Prbf.g_00847, Prbf.g_01056
OG0000012	Pray.g_01140	Prbf.g_01905, Prbf.g_00272
OG0000013	Pray.g_00805	Prbf.g_01665
OG0000014	Pray.g_00784	Prbf.g_01647
OG0000015	Pray.g_00309	Prbf.g_00754, Prbf.g_00708
OG0000017	Pray.g_01165	Prbf.g_01880, Prbf.g_01887
OG0000018	Pray.g_00375	Prbf.g_01217
OG0000018	Pray.g_00083	Prbf.g_00896
OG0000019	Pray.g_00730	Prbf.g_01588
OG0000019	Pray.g_00328	Prbf.g_00894
OG0000021	Pray.g_01578, Pray.g_00842	Prbf.g_00265, Prbf.g_01259
OG0000022	Pray.g_00304	Prbf.g_00248
OG0000023	Pray.g_00838	Prbf.g_00287
OG0000024	Pray.g_00289	Prbf.g_01052
OG0000024	Pray.g_01088	Prbf.g_01288
OG0000025	Pray.g_00809, Pray.g_00383	Prbf.g_01209
OG0000026	Pray.g_01493, Pray.g_00599	Prbf.g_01354
OG0000027	Pray.g_00960, Pray.g_01887	Prbf.g_00817, Prbf.g_00774
OG0000028	Pray.g_01935	Prbf.g_00794
OG0000029	Pray.g_00296	Prbf.g_00804, Prbf.g_00762
OG0000029	Pray.g_00853	Prbf.g_00603
OG0000030	Pray.g_01374	Prbf.g_00484
OG0000031	Pray.g_01806	Prbf.g_00116
OG0000034	Pray.g_01860	Prbf.g_00015
OG0000035	Pray.g_01722	Prbf.g_00157
OG0000037	Pray.g_00180	Prbf.g_01437
OG0000038	Pray.g_01415	Prbf.g_00445
OG0000039	Pray.g_01077	Prbf.g_01276
OG0000042	Pray.g_01371	Prbf.g_00487
OG0000043	Pray.g_01924, Pray.g_00420	Prbf.g_00897
OG0000047	Pray.g_00897	Prbf.g_01707
OG0000048	Pray.g_00852	Prbf.g_00039, Prbf.g_01611
OG0000050	Pray.g_00883	Prbf.g_00845
OG0000052	Pray.g_01793	Prbf.g_00135
OG0000053	Pray.g_01702	Prbf.g_00178, Prbf.g_00748
OG0000054	Pray.g_01157	Prbf.g_01889
OG0000055	Pray.g_00329	Prbf.g_00869, Prbf.g_00719
OG0000057	Pray.g_01065	Prbf.g_01261
OG0000058	Pray.g_01786	Prbf.g_00117
OG0000059	Pray.g_01258	Prbf.g_00606
OG0000061	Pray.g_00064	Prbf.g_00918
OG0000062	Pray.g_01644	Prbf.g_00242
OG0000065	Pray.g_00182	Prbf.g_01435
OG0000066	Pray.g_01222	Prbf.g_01820, Prbf.g_00781
OG0000067	Pray.g_00348	Prbf.g_01245
OG0000068	Pray.g_01829	Prbf.g_00095
OG0000069	Pray.g_01609	Prbf.g_01738
OG0000070	Pray.g_00940	Prbf.g_01734
OG0000071	Pray.g_01870	Prbf.g_00026
OG0000072	Pray.g_00652	Prbf.g_01505
OG0000073	Pray.g_00990	Prbf.g_01783
OG0000074	Pray.g_01081	Prbf.g_01281, Prbf.g_00836, Prbf.g_00295
OG0000075	Pray.g_01339	Prbf.g_00522
OG0000076	Pray.g_01364	Prbf.g_00496
OG0000077	Pray.g_00211	Prbf.g_01405
OG0000078	Pray.g_00720	Prbf.g_01578
OG0000079	Pray.g_00733	Prbf.g_01591
OG0000081	Pray.g_01022	Prbf.g_01812
OG0000082	Pray.g_01177	Prbf.g_01867, Prbf.g_00704
OG0000084	Pray.g_01726	Prbf.g_00154
OG0000085	Pray.g_01566	Prbf.g_00822, Prbf.g_00701
OG0000086	Pray.g_00201	Prbf.g_01414
OG0000087	Pray.g_00150	Prbf.g_01469
OG0000088	Pray.g_00647	Prbf.g_01500
OG0000089	Pray.g_00834	Prbf.g_01701
OG0000090	Pray.g_01024, Pray.g_01228	Prbf.g_01814
OG0000091	Pray.g_01121	Prbf.g_00990
OG0000092	Pray.g_00457	Prbf.g_01315
OG0000093	Pray.g_00479	Prbf.g_01019
OG0000094	Pray.g_00565	Prbf.g_01068
OG0000095	Pray.g_00584	Prbf.g_01170
OG0000096	Pray.g_00117, Pray.g_01905	Prbf.g_00306
OG0000097	Pray.g_00022	Prbf.g_00964
OG0000098	Pray.g_01847	Prbf.g_00071
OG0000099	Pray.g_01788	Prbf.g_00118
OG0000100	Pray.g_01648	Prbf.g_00236
OG0000101	Pray.g_01306	Prbf.g_00558
OG0000102	Pray.g_01369	Prbf.g_00491
OG0000103	Pray.g_01449	Prbf.g_00406
OG0000104	Pray.g_01457	Prbf.g_00397
OG0000105	Pray.g_00753	Prbf.g_01614
