Orthogroup	Pray	Prav
OG0000000	Pray.g_01888	Prav.g_01736, Prav.g_01415
OG0000000	Pray.g_01603	Prav.g_01695
OG0000000	Pray.g_00003	Prav.g_01694
OG0000000	Pray.g_01604	Prav.g_01694
OG0000000	Pray.g_00003	Prav.g_01821
OG0000000	Pray.g_01604	Prav.g_01821
OG0000000	Pray.g_01890	Prav.g_01413
OG0000000	Pray.g_01602	Prav.g_01698
OG0000001	Pray.g_01844	Prav.g_01458
OG0000001	Pray.g_00246	Prav.g_01820, Prav.g_02007
OG0000002	Pray.g_01836	Prav.g_01466
OG0000002	Pray.g_01085	Prav.g_01276
OG0000004	Pray.g_01068	Prav.g_01293
OG0000004	Pray.g_00713	Prav.g_00806
OG0000005	Pray.g_01546	Prav.g_01774
OG0000005	Pray.g_01646	Prav.g_01654
OG0000006	Pray.g_00722	Prav.g_02001
OG0000007	Pray.g_00988, Pray.g_00987	Prav.g_01095
OG0000007	Pray.g_01559	Prav.g_01761
OG0000008	Pray.g_01931	Prav.g_01749
OG0000008	Pray.g_01091	Prav.g_01270
OG0000009	Pray.g_01610	Prav.g_01688
OG0000009	Pray.g_00184	Prav.g_00170
OG0000010	Pray.g_00964	Prav.g_01072
OG0000010	Pray.g_00592	Prav.g_00218
OG0000011	Pray.g_00884	Prav.g_01014
OG0000011	Pray.g_01897	Prav.g_01407
OG0000011	Pray.g_01930	Prav.g_01334
OG0000012	Pray.g_01140	Prav.g_01221
OG0000013	Pray.g_00805	Prav.g_01973
OG0000014	Pray.g_00784	Prav.g_01952
OG0000015	Pray.g_00309	Prav.g_00961
OG0000016	Pray.g_01475	Prav.g_00081
OG0000017	Pray.g_01165	Prav.g_01194
OG0000018	Pray.g_00375	Prav.g_00424
OG0000018	Pray.g_00083	Prav.g_00046
OG0000019	Pray.g_00730	Prav.g_01896
OG0000019	Pray.g_00328	Prav.g_00375
OG0000020	Pray.g_00120	Prav.g_00014
OG0000021	Pray.g_01578, Pray.g_00842	Prav.g_00984
OG0000022	Pray.g_00101	Prav.g_00029
OG0000022	Pray.g_00304	Prav.g_00360
OG0000023	Pray.g_00838	Prav.g_00979
OG0000024	Pray.g_00289	Prav.g_00343
OG0000024	Pray.g_01088	Prav.g_01273
OG0000025	Pray.g_00809	Prav.g_01977
OG0000025	Pray.g_00383	Prav.g_00431
OG0000026	Pray.g_01493	Prav.g_00099
OG0000026	Pray.g_00599	Prav.g_00226
OG0000027	Pray.g_00960	Prav.g_01068
OG0000027	Pray.g_01887	Prav.g_01416
OG0000028	Pray.g_01935	Prav.g_01885
OG0000028	Pray.g_00798	Prav.g_01966
OG0000029	Pray.g_00296	Prav.g_00350
OG0000030	Pray.g_01374	Prav.g_00699
OG0000032	Pray.g_01782	Prav.g_01499
OG0000033	Pray.g_00650	Prav.g_00869
OG0000034	Pray.g_01860	Prav.g_01448
OG0000035	Pray.g_01722	Prav.g_01578
OG0000037	Pray.g_00180	Prav.g_00174
OG0000038	Pray.g_01415	Prav.g_00739
OG0000039	Pray.g_01077	Prav.g_01284
OG0000040	Pray.g_01585	Prav.g_01720
OG0000040	Pray.g_00084	Prav.g_00045
OG0000042	Pray.g_01371	Prav.g_00696
OG0000043	Pray.g_00420	Prav.g_00467
OG0000045	Pray.g_00849	Prav.g_00990
OG0000047	Pray.g_00808	Prav.g_01976
OG0000048	Pray.g_00852	Prav.g_00993
OG0000049	Pray.g_00862	Prav.g_01000
OG0000049	Pray.g_00885	Prav.g_01016
OG0000050	Pray.g_00883	Prav.g_01013
OG0000050	Pray.g_00619	Prav.g_00247
OG0000051	Pray.g_01894	Prav.g_01410
OG0000052	Pray.g_01793	Prav.g_01533
OG0000053	Pray.g_01702	Prav.g_01598
OG0000054	Pray.g_01157	Prav.g_01202
OG0000055	Pray.g_00329	Prav.g_00376
OG0000056	Pray.g_01942	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Pray.g_01065	Prav.g_01296
OG0000058	Pray.g_01786	Prav.g_01512
OG0000059	Pray.g_01258	Prav.g_00292
OG0000061	Pray.g_00064	Prav.g_00065
OG0000062	Pray.g_01644	Prav.g_01656
OG0000063	Pray.g_01495	Prav.g_00101
OG0000065	Pray.g_00182	Prav.g_00172
OG0000066	Pray.g_01222	Prav.g_01137
OG0000067	Pray.g_00348	Prav.g_00397
OG0000068	Pray.g_01829	Prav.g_01473
OG0000069	Pray.g_01609	Prav.g_01689
OG0000070	Pray.g_00940	Prav.g_01049
OG0000071	Pray.g_01870	Prav.g_01438
OG0000072	Pray.g_00652	Prav.g_00867
OG0000073	Pray.g_00990	Prav.g_01097
OG0000074	Pray.g_01081	Prav.g_01280
OG0000075	Pray.g_01339	Prav.g_00665
OG0000076	Pray.g_01364	Prav.g_00689
OG0000077	Pray.g_00211	Prav.g_00143
OG0000078	Pray.g_00720	Prav.g_00799
OG0000079	Pray.g_00733	Prav.g_01899
OG0000081	Pray.g_01022	Prav.g_01129
OG0000082	Pray.g_01177	Prav.g_01182
OG0000083	Pray.g_00284	Prav.g_00338
OG0000083	Pray.g_00277	Prav.g_00330
OG0000084	Pray.g_01726	Prav.g_01574
OG0000085	Pray.g_01566	Prav.g_01754
OG0000086	Pray.g_00201	Prav.g_00153
OG0000087	Pray.g_00150	Prav.g_00204
OG0000088	Pray.g_00647	Prav.g_00872
OG0000089	Pray.g_00834	Prav.g_00975
OG0000090	Pray.g_01024, Pray.g_01228	Prav.g_01131
