Orthogroup	Praz	Pram
OG0000000	Praz.g_00894, Praz.g_00921	Pram.g_01511
OG0000000	Praz.g_00922, Praz.g_00694	Pram.g_01556, Pram.g_01512
OG0000001	Praz.g_01146	Pram.g_00873, Pram.g_00879
OG0000001	Praz.g_01652	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Praz.g_01939, Praz.g_01940	Pram.g_00719
OG0000002	Praz.g_01154	Pram.g_01953, Pram.g_01954
OG0000004	Praz.g_01200, Praz.g_00920	Pram.g_01513, Pram.g_01176
OG0000005	Praz.g_01576	Pram.g_01207
OG0000006	Praz.g_01215, Praz.g_01563, Praz.g_00045	Pram.g_01505, Pram.g_00621
OG0000008	Praz.g_01831	Pram.g_00433
OG0000008	Praz.g_00877	Pram.g_01632
OG0000009	Praz.g_01253	Pram.g_00602
OG0000010	Praz.g_01532	Pram.g_01164
OG0000010	Praz.g_00609	Pram.g_00237
OG0000011	Praz.g_00799	Pram.g_01723
OG0000011	Praz.g_01564	Pram.g_01529
OG0000013	Praz.g_00929, Praz.g_00465	Pram.g_00390, Pram.g_01284
OG0000015	Praz.g_01921	Pram.g_00359
OG0000016	Praz.g_01551	Pram.g_01545, Pram.g_00696
OG0000018	Praz.g_01732	Pram.g_00535, Pram.g_00542
OG0000019	Praz.g_00792	Pram.g_00662, Pram.g_00618, Pram.g_01597
OG0000020	Praz.g_01143	Pram.g_01283
OG0000022	Praz.g_00601	Pram.g_00229
OG0000023	Praz.g_00896, Praz.g_00810	Pram.g_00794
OG0000024	Praz.g_01208	Pram.g_00629, Pram.g_01186
OG0000025	Praz.g_01571	Pram.g_01004, Pram.g_00765
OG0000026	Praz.g_01198	Pram.g_01561
OG0000029	Praz.g_01531	Pram.g_01189, Pram.g_01617
OG0000030	Praz.g_01530	Pram.g_01544, Pram.g_00644
OG0000031	Praz.g_00198	Pram.g_01841
OG0000034	Praz.g_01041	Pram.g_01381, Pram.g_01378
OG0000035	Praz.g_00928	Pram.g_00391
OG0000036	Praz.g_00048	Pram.g_01275
OG0000038	Praz.g_01116	Pram.g_01413
OG0000041	Praz.g_01707	Pram.g_00561
OG0000043	Praz.g_01422	Pram.g_00681
OG0000045	Praz.g_01744	Pram.g_01559
OG0000046	Praz.g_01556	Pram.g_01287
OG0000047	Praz.g_00755	Pram.g_01140
OG0000049	Praz.g_01096	Pram.g_01447
OG0000050	Praz.g_00526	Pram.g_00151
OG0000051	Praz.g_00814	Pram.g_00689
OG0000053	Praz.g_01607	Pram.g_00801
OG0000054	Praz.g_00884	Pram.g_01265
OG0000055	Praz.g_00205	Pram.g_01833
OG0000056	Praz.g_00396	Pram.g_00018
OG0000057	Praz.g_00517	Pram.g_00142
OG0000058	Praz.g_00804	Pram.g_00677
OG0000059	Praz.g_01789	Pram.g_01558
OG0000062	Praz.g_01490	Pram.g_00832
OG0000065	Praz.g_00597	Pram.g_00224
OG0000066	Praz.g_01853	Pram.g_00411
OG0000067	Praz.g_01632	Pram.g_00792
OG0000068	Praz.g_01578	Pram.g_00631
OG0000070	Praz.g_00066	Pram.g_00888
OG0000071	Praz.g_01237	Pram.g_01112
OG0000072	Praz.g_01180	Pram.g_01230
OG0000074	Praz.g_01118	Pram.g_01446
OG0000075	Praz.g_00263	Pram.g_01770
OG0000076	Praz.g_01092	Pram.g_01339
OG0000077	Praz.g_00376	Pram.g_01949
OG0000078	Praz.g_00679	Pram.g_00310
