Orthogroup	Praz	Prad
OG0000000	Praz.g_00894	Prad.g_01982
OG0000000	Praz.g_00921	Prad.g_00392
OG0000000	Praz.g_00694	Prad.g_00393
OG0000001	Praz.g_01146	Prad.g_00601
OG0000001	Praz.g_01652	Prad.g_01252
OG0000002	Praz.g_01939, Praz.g_01940	Prad.g_01994, Prad.g_01434
OG0000002	Praz.g_01154	Prad.g_00609
OG0000003	Praz.g_00404	Prad.g_01995
OG0000004	Praz.g_01200	Prad.g_00350
OG0000004	Praz.g_00920	Prad.g_00389
OG0000005	Praz.g_01583	Prad.g_01075
OG0000005	Praz.g_01576	Prad.g_01082
OG0000005	Praz.g_01201	Prad.g_00345
OG0000006	Praz.g_01215	Prad.g_00330
OG0000006	Praz.g_01563	Prad.g_01097
OG0000006	Praz.g_00045	Prad.g_00650
OG0000007	Praz.g_01317	Prad.g_00377
OG0000007	Praz.g_00767	Prad.g_01215
OG0000007	Praz.g_00790	Prad.g_00726
OG0000008	Praz.g_01831	Prad.g_00132
OG0000008	Praz.g_00877	Prad.g_00941
OG0000010	Praz.g_01532	Prad.g_01125
OG0000010	Praz.g_00609	Prad.g_01742
OG0000011	Praz.g_00799	Prad.g_00734
OG0000011	Praz.g_01564	Prad.g_01096
OG0000012	Praz.g_00800	Prad.g_00735
OG0000013	Praz.g_00929	Prad.g_00401
OG0000013	Praz.g_00465	Prad.g_01888
OG0000014	Praz.g_00663	Prad.g_01685
OG0000015	Praz.g_01921	Prad.g_00683
OG0000015	Praz.g_00687	Prad.g_01661
OG0000016	Praz.g_01551	Prad.g_01108
OG0000017	Praz.g_01197	Prad.g_00353
OG0000018	Praz.g_01732	Prad.g_01387
OG0000019	Praz.g_00792	Prad.g_00728
OG0000020	Praz.g_01143	Prad.g_00598
OG0000021	Praz.g_01021	Prad.g_00494
OG0000022	Praz.g_00601	Prad.g_01750
OG0000023	Praz.g_00896	Prad.g_01981
OG0000023	Praz.g_00810	Prad.g_00745
OG0000024	Praz.g_01208	Prad.g_00338
OG0000025	Praz.g_01571	Prad.g_01088
OG0000026	Praz.g_01198	Prad.g_00352
OG0000027	Praz.g_01658	Prad.g_01246
OG0000028	Praz.g_01222	Prad.g_00323
OG0000029	Praz.g_01531	Prad.g_01126
OG0000030	Praz.g_01530	Prad.g_01127
OG0000031	Praz.g_00198	Prad.g_01624
OG0000032	Praz.g_00398	Prad.g_01953
OG0000033	Praz.g_00954	Prad.g_00427
OG0000033	Praz.g_01580	Prad.g_01078
OG0000034	Praz.g_01041	Prad.g_00515
OG0000035	Praz.g_00928	Prad.g_00400
OG0000036	Praz.g_00048	Prad.g_00647
OG0000037	Praz.g_01204	Prad.g_00342
OG0000040	Praz.g_01207	Prad.g_00339
OG0000040	Praz.g_00768	Prad.g_01218
OG0000041	Praz.g_01707	Prad.g_01412
OG0000042	Praz.g_00152	Prad.g_01580
OG0000043	Praz.g_01422	Prad.g_00258
OG0000045	Praz.g_01744	Prad.g_01374
OG0000046	Praz.g_01556	Prad.g_01105
OG0000047	Praz.g_00755	Prad.g_01496
OG0000049	Praz.g_01096	Prad.g_00565
OG0000050	Praz.g_00526	Prad.g_01825
OG0000051	Praz.g_00814	Prad.g_00751
OG0000052	Praz.g_01908	Prad.g_00697
OG0000053	Praz.g_01607	Prad.g_01049
OG0000054	Praz.g_00884	Prad.g_00948
OG0000055	Praz.g_00205	Prad.g_01631
OG0000056	Praz.g_00396	Prad.g_01955
OG0000057	Praz.g_00517	Prad.g_01834
OG0000058	Praz.g_00804	Prad.g_00739
OG0000059	Praz.g_01789	Prad.g_00090
OG0000060	Praz.g_01594	Prad.g_01062
OG0000061	Praz.g_01561	Prad.g_01099
OG0000062	Praz.g_01490	Prad.g_01168
OG0000063	Praz.g_00038	Prad.g_00657
OG0000065	Praz.g_00597	Prad.g_01754
OG0000066	Praz.g_01853	Prad.g_00032
OG0000067	Praz.g_01632	Prad.g_01272
OG0000068	Praz.g_01578	Prad.g_01080
OG0000069	Praz.g_00027	Prad.g_01991
OG0000069	Praz.g_01330	Prad.g_00166
OG0000070	Praz.g_00066	Prad.g_01018
OG0000071	Praz.g_01237	Prad.g_01214
OG0000072	Praz.g_01180	Prad.g_00628
OG0000074	Praz.g_01118	Prad.g_00564
OG0000075	Praz.g_00263	Prad.g_00807
OG0000076	Praz.g_01092	Prad.g_00572, Prad.g_00561
OG0000077	Praz.g_00376	Prad.g_01975
OG0000078	Praz.g_00679	Prad.g_01669
OG0000079	Praz.g_00791	Prad.g_00727
OG0000080	Praz.g_01661	Prad.g_01243
OG0000081	Praz.g_01639	Prad.g_01265
OG0000082	Praz.g_01505	Prad.g_01153
OG0000083	Praz.g_01440	Prad.g_00276
OG0000084	Praz.g_01350	Prad.g_00186
OG0000085	Praz.g_00114	Prad.g_00972
OG0000086	Praz.g_00025	Prad.g_01989
OG0000087	Praz.g_00893	Prad.g_01983
OG0000088	Praz.g_01232	Prad.g_00316
OG0000089	Praz.g_01227	Prad.g_00320
OG0000090	Praz.g_01098	Prad.g_00566
OG0000091	Praz.g_01033	Prad.g_00507
OG0000092	Praz.g_00913	Prad.g_00383
OG0000093	Praz.g_00311	Prad.g_00855
OG0000094	Praz.g_00266	Prad.g_00810
OG0000095	Praz.g_00232	Prad.g_00777
OG0000096	Praz.g_00160	Prad.g_01588
OG0000097	Praz.g_00142	Prad.g_01570
OG0000098	Praz.g_00368	Prad.g_01533
